score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.842000,0.351477,200.000000,1,0,64,1,Cho2017,CSP+LDA
0.554000,0.342038,200.000000,2,0,64,1,Cho2017,CSP+LDA
0.891000,0.342640,200.000000,3,0,64,1,Cho2017,CSP+LDA
0.846000,0.341724,200.000000,4,0,64,1,Cho2017,CSP+LDA
0.823000,0.342794,200.000000,5,0,64,1,Cho2017,CSP+LDA
0.915500,0.341921,200.000000,6,0,64,1,Cho2017,CSP+LDA
0.485764,0.436205,240.000000,7,0,64,1,Cho2017,CSP+LDA
0.588500,0.345204,200.000000,8,0,64,1,Cho2017,CSP+LDA
0.733333,0.448933,240.000000,9,0,64,1,Cho2017,CSP+LDA
0.829000,0.371971,200.000000,10,0,64,1,Cho2017,CSP+LDA
0.721000,0.348155,200.000000,11,0,64,1,Cho2017,CSP+LDA
0.738000,0.372507,200.000000,12,0,64,1,Cho2017,CSP+LDA
0.718000,0.362250,200.000000,13,0,64,1,Cho2017,CSP+LDA
0.994500,0.343832,200.000000,14,0,64,1,Cho2017,CSP+LDA
0.789500,0.345125,200.000000,15,0,64,1,Cho2017,CSP+LDA
0.547000,0.338145,200.000000,16,0,64,1,Cho2017,CSP+LDA
0.457500,0.347332,200.000000,17,0,64,1,Cho2017,CSP+LDA
0.664500,0.356887,200.000000,18,0,64,1,Cho2017,CSP+LDA
0.649500,0.347117,200.000000,19,0,64,1,Cho2017,CSP+LDA
0.794500,0.345706,200.000000,20,0,64,1,Cho2017,CSP+LDA
0.739000,0.343584,200.000000,21,0,64,1,Cho2017,CSP+LDA
0.576500,0.344016,200.000000,22,0,64,1,Cho2017,CSP+LDA
0.863000,0.344494,200.000000,23,0,64,1,Cho2017,CSP+LDA
0.649500,0.365834,200.000000,24,0,64,1,Cho2017,CSP+LDA
0.680000,0.353746,200.000000,25,0,64,1,Cho2017,CSP+LDA
0.646000,0.344499,200.000000,26,0,64,1,Cho2017,CSP+LDA
