score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.759049,0.349395,200.000000,1,0,64,1,Cho2017,CSP+LDA
0.517604,0.347451,200.000000,2,0,64,1,Cho2017,CSP+LDA
0.804338,0.357275,200.000000,3,0,64,1,Cho2017,CSP+LDA
0.764470,0.366382,200.000000,4,0,64,1,Cho2017,CSP+LDA
0.739366,0.365980,200.000000,5,0,64,1,Cho2017,CSP+LDA
0.829277,0.350376,200.000000,6,0,64,1,Cho2017,CSP+LDA
0.511726,0.436746,240.000000,7,0,64,1,Cho2017,CSP+LDA
0.557652,0.349753,200.000000,8,0,64,1,Cho2017,CSP+LDA
0.686789,0.440629,240.000000,9,0,64,1,Cho2017,CSP+LDA
0.713978,0.347984,200.000000,10,0,64,1,Cho2017,CSP+LDA
0.664090,0.357979,200.000000,11,0,64,1,Cho2017,CSP+LDA
0.694863,0.347373,200.000000,12,0,64,1,Cho2017,CSP+LDA
0.652615,0.345408,200.000000,13,0,64,1,Cho2017,CSP+LDA
0.970000,0.368487,200.000000,14,0,64,1,Cho2017,CSP+LDA
0.708653,0.349879,200.000000,15,0,64,1,Cho2017,CSP+LDA
0.533565,0.349766,200.000000,16,0,64,1,Cho2017,CSP+LDA
0.454545,0.362453,200.000000,17,0,64,1,Cho2017,CSP+LDA
0.634859,0.348390,200.000000,18,0,64,1,Cho2017,CSP+LDA
0.592576,0.359055,200.000000,19,0,64,1,Cho2017,CSP+LDA
0.676886,0.349709,200.000000,20,0,64,1,Cho2017,CSP+LDA
0.699353,0.352140,200.000000,21,0,64,1,Cho2017,CSP+LDA
0.569015,0.345780,200.000000,22,0,64,1,Cho2017,CSP+LDA
0.799244,0.344903,200.000000,23,0,64,1,Cho2017,CSP+LDA
0.610650,0.346153,200.000000,24,0,64,1,Cho2017,CSP+LDA
0.616680,0.344823,200.000000,25,0,64,1,Cho2017,CSP+LDA
0.599474,0.351158,200.000000,26,0,64,1,Cho2017,CSP+LDA
0.601968,0.368035,200.000000,27,0,64,1,Cho2017,CSP+LDA
0.566293,0.344853,200.000000,28,0,64,1,Cho2017,CSP+LDA
0.524579,0.345112,200.000000,29,0,64,1,Cho2017,CSP+LDA
0.534997,0.345147,200.000000,30,0,64,1,Cho2017,CSP+LDA
0.693037,0.345679,200.000000,31,0,64,1,Cho2017,CSP+LDA
0.487767,0.345842,200.000000,32,0,64,1,Cho2017,CSP+LDA
0.528631,0.339174,200.000000,33,0,64,1,Cho2017,CSP+LDA
0.505274,0.344257,200.000000,34,0,64,1,Cho2017,CSP+LDA
0.814332,0.344634,200.000000,35,0,64,1,Cho2017,CSP+LDA
0.657075,0.346356,200.000000,36,0,64,1,Cho2017,CSP+LDA
0.763247,0.344920,200.000000,37,0,64,1,Cho2017,CSP+LDA
0.490565,0.347716,200.000000,38,0,64,1,Cho2017,CSP+LDA
0.666693,0.346345,200.000000,39,0,64,1,Cho2017,CSP+LDA
0.489913,0.346872,200.000000,40,0,64,1,Cho2017,CSP+LDA
0.874753,0.348508,200.000000,41,0,64,1,Cho2017,CSP+LDA
0.592083,0.350463,200.000000,42,0,64,1,Cho2017,CSP+LDA
0.984997,0.352758,200.000000,43,0,64,1,Cho2017,CSP+LDA
0.696857,0.346406,200.000000,44,0,64,1,Cho2017,CSP+LDA
0.461422,0.373287,200.000000,45,0,64,1,Cho2017,CSP+LDA
0.799330,0.430280,240.000000,46,0,64,1,Cho2017,CSP+LDA
0.577899,0.347301,200.000000,47,0,64,1,Cho2017,CSP+LDA
0.789187,0.357874,200.000000,48,0,64,1,Cho2017,CSP+LDA
0.713715,0.348283,200.000000,49,0,64,1,Cho2017,CSP+LDA
0.792872,0.353178,200.000000,50,0,64,1,Cho2017,CSP+LDA
0.573785,0.350163,200.000000,51,0,64,1,Cho2017,CSP+LDA
0.659177,0.347850,200.000000,52,0,64,1,Cho2017,CSP+LDA
0.834173,0.873345,200.000000,1,0,64,1,Cho2017,TS+EL
0.600892,1.532416,200.000000,2,0,64,1,Cho2017,TS+EL
0.879793,0.863663,200.000000,3,0,64,1,Cho2017,TS+EL
0.745993,0.981200,200.000000,4,0,64,1,Cho2017,TS+EL
0.729265,0.852687,200.000000,5,0,64,1,Cho2017,TS+EL
0.808768,0.788808,200.000000,6,0,64,1,Cho2017,TS+EL
0.464336,1.597560,240.000000,7,0,64,1,Cho2017,TS+EL
0.574043,1.056823,200.000000,8,0,64,1,Cho2017,TS+EL
0.664958,1.227409,240.000000,9,0,64,1,Cho2017,TS+EL
0.799787,1.149730,200.000000,10,0,64,1,Cho2017,TS+EL
0.654313,0.872470,200.000000,11,0,64,1,Cho2017,TS+EL
0.772548,1.032731,200.000000,12,0,64,1,Cho2017,TS+EL
0.758450,0.873618,200.000000,13,0,64,1,Cho2017,TS+EL
0.964997,0.722098,200.000000,14,0,64,1,Cho2017,TS+EL
0.728772,0.949008,200.000000,15,0,64,1,Cho2017,TS+EL
0.532884,1.552657,200.000000,16,0,64,1,Cho2017,TS+EL
0.485397,1.233548,200.000000,17,0,64,1,Cho2017,TS+EL
0.576995,0.947272,200.000000,18,0,64,1,Cho2017,TS+EL
0.627823,1.031933,200.000000,19,0,64,1,Cho2017,TS+EL
0.749207,1.113529,200.000000,20,0,64,1,Cho2017,TS+EL
0.694033,0.955236,200.000000,21,0,64,1,Cho2017,TS+EL
0.585928,0.958978,200.000000,22,0,64,1,Cho2017,TS+EL
0.809611,0.875469,200.000000,23,0,64,1,Cho2017,TS+EL
0.681533,0.939430,200.000000,24,0,64,1,Cho2017,TS+EL
0.639443,1.024508,200.000000,25,0,64,1,Cho2017,TS+EL
0.779492,0.979616,200.000000,26,0,64,1,Cho2017,TS+EL
0.568495,0.906393,200.000000,27,0,64,1,Cho2017,TS+EL
0.657479,1.140050,200.000000,28,0,64,1,Cho2017,TS+EL
0.471856,1.428894,200.000000,29,0,64,1,Cho2017,TS+EL
0.644388,0.948364,200.000000,30,0,64,1,Cho2017,TS+EL
0.692373,1.110200,200.000000,31,0,64,1,Cho2017,TS+EL
0.562274,0.913610,200.000000,32,0,64,1,Cho2017,TS+EL
0.592666,0.832101,200.000000,33,0,64,1,Cho2017,TS+EL
0.517220,1.171045,200.000000,34,0,64,1,Cho2017,TS+EL
0.869171,0.829421,200.000000,35,0,64,1,Cho2017,TS+EL
0.695357,1.710926,200.000000,36,0,64,1,Cho2017,TS+EL
0.774197,0.855110,200.000000,37,0,64,1,Cho2017,TS+EL
0.592956,1.032608,200.000000,38,0,64,1,Cho2017,TS+EL
0.688957,0.983233,200.000000,39,0,64,1,Cho2017,TS+EL
0.533868,1.065188,200.000000,40,0,64,1,Cho2017,TS+EL
0.874545,0.840590,200.000000,41,0,64,1,Cho2017,TS+EL
0.588747,0.808698,200.000000,42,0,64,1,Cho2017,TS+EL
0.969981,0.963428,200.000000,43,0,64,1,Cho2017,TS+EL
0.802386,1.097095,200.000000,44,0,64,1,Cho2017,TS+EL
0.559123,1.364046,200.000000,45,0,64,1,Cho2017,TS+EL
0.807557,1.190896,240.000000,46,0,64,1,Cho2017,TS+EL
0.674414,1.492441,200.000000,47,0,64,1,Cho2017,TS+EL
0.799062,1.196366,200.000000,48,0,64,1,Cho2017,TS+EL
0.783940,0.881622,200.000000,49,0,64,1,Cho2017,TS+EL
0.934809,0.853683,200.000000,50,0,64,1,Cho2017,TS+EL
0.606065,1.199064,200.000000,51,0,64,1,Cho2017,TS+EL
0.738279,0.899336,200.000000,52,0,64,1,Cho2017,TS+EL
