score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.769500,0.049937,200.000000,1,0,14,1,Cho2017,TS+SVM
0.564000,0.051151,200.000000,2,0,14,1,Cho2017,TS+SVM
0.720500,0.049355,200.000000,3,0,14,1,Cho2017,TS+SVM
0.623500,0.049141,200.000000,4,0,14,1,Cho2017,TS+SVM
0.796000,0.049435,200.000000,5,0,14,1,Cho2017,TS+SVM
0.653000,0.049739,200.000000,6,0,14,1,Cho2017,TS+SVM
0.545486,0.061133,240.000000,7,0,14,1,Cho2017,TS+SVM
0.597500,0.052465,200.000000,8,0,14,1,Cho2017,TS+SVM
0.690278,0.061949,240.000000,9,0,14,1,Cho2017,TS+SVM
0.606000,0.052295,200.000000,10,0,14,1,Cho2017,TS+SVM
0.637000,0.053520,200.000000,11,0,14,1,Cho2017,TS+SVM
0.608500,0.050632,200.000000,12,0,14,1,Cho2017,TS+SVM
0.800000,0.051416,200.000000,13,0,14,1,Cho2017,TS+SVM
0.917000,0.050959,200.000000,14,0,14,1,Cho2017,TS+SVM
0.630000,0.051408,200.000000,15,0,14,1,Cho2017,TS+SVM
0.530500,0.053322,200.000000,16,0,14,1,Cho2017,TS+SVM
0.540500,0.053161,200.000000,17,0,14,1,Cho2017,TS+SVM
0.541000,0.050218,200.000000,18,0,14,1,Cho2017,TS+SVM
0.661500,0.050086,200.000000,19,0,14,1,Cho2017,TS+SVM
0.806000,0.050457,200.000000,20,0,14,1,Cho2017,TS+SVM
0.633000,0.050169,200.000000,21,0,14,1,Cho2017,TS+SVM
0.541500,0.050161,200.000000,22,0,14,1,Cho2017,TS+SVM
0.654000,0.050337,200.000000,23,0,14,1,Cho2017,TS+SVM
0.696000,0.052601,200.000000,24,0,14,1,Cho2017,TS+SVM
0.568500,0.052337,200.000000,25,0,14,1,Cho2017,TS+SVM
0.656500,0.050598,200.000000,26,0,14,1,Cho2017,TS+SVM
0.548500,0.050669,200.000000,27,0,14,1,Cho2017,TS+SVM
0.651500,0.050621,200.000000,28,0,14,1,Cho2017,TS+SVM
0.620000,0.051687,200.000000,29,0,14,1,Cho2017,TS+SVM
0.506500,0.050700,200.000000,30,0,14,1,Cho2017,TS+SVM
0.699500,0.050459,200.000000,31,0,14,1,Cho2017,TS+SVM
0.585000,0.051734,200.000000,32,0,14,1,Cho2017,TS+SVM
0.546000,0.049425,200.000000,33,0,14,1,Cho2017,TS+SVM
0.631500,0.051801,200.000000,34,0,14,1,Cho2017,TS+SVM
0.919000,0.052006,200.000000,35,0,14,1,Cho2017,TS+SVM
0.582000,0.051791,200.000000,36,0,14,1,Cho2017,TS+SVM
0.848500,0.050725,200.000000,37,0,14,1,Cho2017,TS+SVM
0.476500,0.050743,200.000000,38,0,14,1,Cho2017,TS+SVM
0.628500,0.052136,200.000000,39,0,14,1,Cho2017,TS+SVM
0.548000,0.050296,200.000000,40,0,14,1,Cho2017,TS+SVM
0.647000,0.052620,200.000000,41,0,14,1,Cho2017,TS+SVM
0.609500,0.052561,200.000000,42,0,14,1,Cho2017,TS+SVM
0.960000,0.054934,200.000000,43,0,14,1,Cho2017,TS+SVM
0.760500,0.053579,200.000000,44,0,14,1,Cho2017,TS+SVM
0.567000,0.052436,200.000000,45,0,14,1,Cho2017,TS+SVM
0.726736,0.062277,240.000000,46,0,14,1,Cho2017,TS+SVM
0.695500,0.055534,200.000000,47,0,14,1,Cho2017,TS+SVM
0.619000,0.052937,200.000000,48,0,14,1,Cho2017,TS+SVM
0.777000,0.052658,200.000000,49,0,14,1,Cho2017,TS+SVM
0.932500,0.054720,200.000000,50,0,14,1,Cho2017,TS+SVM
0.452500,0.051583,200.000000,51,0,14,1,Cho2017,TS+SVM
0.492000,0.049938,200.000000,52,0,14,1,Cho2017,TS+SVM
0.712000,0.045096,200.000000,1,0,14,1,Cho2017,CSP+LDA
0.593500,0.042604,200.000000,2,0,14,1,Cho2017,CSP+LDA
