score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.671563,0.052570,200.000000,1,0,14,1,Cho2017,TS+SVM
0.537365,0.054599,200.000000,2,0,14,1,Cho2017,TS+SVM
0.634147,0.054200,200.000000,3,0,14,1,Cho2017,TS+SVM
0.582745,0.051087,200.000000,4,0,14,1,Cho2017,TS+SVM
0.707870,0.051682,200.000000,5,0,14,1,Cho2017,TS+SVM
0.586176,0.051641,200.000000,6,0,14,1,Cho2017,TS+SVM
0.549263,0.063778,240.000000,7,0,14,1,Cho2017,TS+SVM
0.523914,0.051396,200.000000,8,0,14,1,Cho2017,TS+SVM
0.620564,0.063324,240.000000,9,0,14,1,Cho2017,TS+SVM
0.598863,0.051926,200.000000,10,0,14,1,Cho2017,TS+SVM
0.608900,0.053658,200.000000,11,0,14,1,Cho2017,TS+SVM
0.534732,0.050870,200.000000,12,0,14,1,Cho2017,TS+SVM
0.693070,0.051114,200.000000,13,0,14,1,Cho2017,TS+SVM
0.803106,0.050765,200.000000,14,0,14,1,Cho2017,TS+SVM
0.601292,0.052967,200.000000,15,0,14,1,Cho2017,TS+SVM
0.523593,0.052008,200.000000,16,0,14,1,Cho2017,TS+SVM
0.562985,0.054604,200.000000,17,0,14,1,Cho2017,TS+SVM
0.503734,0.052873,200.000000,18,0,14,1,Cho2017,TS+SVM
0.608662,0.054976,200.000000,19,0,14,1,Cho2017,TS+SVM
0.759548,0.051505,200.000000,20,0,14,1,Cho2017,TS+SVM
0.582166,0.052226,200.000000,21,0,14,1,Cho2017,TS+SVM
0.501212,0.050934,200.000000,22,0,14,1,Cho2017,TS+SVM
0.606069,0.053645,200.000000,23,0,14,1,Cho2017,TS+SVM
0.627975,0.052281,200.000000,24,0,14,1,Cho2017,TS+SVM
0.529485,0.054908,200.000000,25,0,14,1,Cho2017,TS+SVM
0.602410,0.051530,200.000000,26,0,14,1,Cho2017,TS+SVM
0.528776,0.050940,200.000000,27,0,14,1,Cho2017,TS+SVM
0.605869,0.050735,200.000000,28,0,14,1,Cho2017,TS+SVM
0.623283,0.052373,200.000000,29,0,14,1,Cho2017,TS+SVM
0.492799,0.051067,200.000000,30,0,14,1,Cho2017,TS+SVM
0.642930,0.050973,200.000000,31,0,14,1,Cho2017,TS+SVM
0.558285,0.052387,200.000000,32,0,14,1,Cho2017,TS+SVM
0.541741,0.050017,200.000000,33,0,14,1,Cho2017,TS+SVM
0.592299,0.053821,200.000000,34,0,14,1,Cho2017,TS+SVM
0.839402,0.052433,200.000000,35,0,14,1,Cho2017,TS+SVM
0.556769,0.053558,200.000000,36,0,14,1,Cho2017,TS+SVM
0.768412,0.051528,200.000000,37,0,14,1,Cho2017,TS+SVM
0.484137,0.052056,200.000000,38,0,14,1,Cho2017,TS+SVM
0.579248,0.053153,200.000000,39,0,14,1,Cho2017,TS+SVM
0.509014,0.055550,200.000000,40,0,14,1,Cho2017,TS+SVM
0.621778,0.050878,200.000000,41,0,14,1,Cho2017,TS+SVM
0.592824,0.049081,200.000000,42,0,14,1,Cho2017,TS+SVM
