score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.828000,0.016517,200.000000,1,0,5,1,Cho2017,CSP+SVM
0.478000,0.015085,200.000000,2,0,5,1,Cho2017,CSP+SVM
0.652000,0.014798,200.000000,3,0,5,1,Cho2017,CSP+SVM
0.635000,0.014881,200.000000,4,0,5,1,Cho2017,CSP+SVM
0.551000,0.015619,200.000000,5,0,5,1,Cho2017,CSP+SVM
0.542500,0.014624,200.000000,6,0,5,1,Cho2017,CSP+SVM
0.455903,0.017421,240.000000,7,0,5,1,Cho2017,CSP+SVM
0.442000,0.014701,200.000000,8,0,5,1,Cho2017,CSP+SVM
0.558681,0.017190,240.000000,9,0,5,1,Cho2017,CSP+SVM
0.638500,0.014909,200.000000,10,0,5,1,Cho2017,CSP+SVM
0.587500,0.015192,200.000000,11,0,5,1,Cho2017,CSP+SVM
0.635000,0.015015,200.000000,12,0,5,1,Cho2017,CSP+SVM
0.655000,0.016471,200.000000,13,0,5,1,Cho2017,CSP+SVM
0.689000,0.015556,200.000000,14,0,5,1,Cho2017,CSP+SVM
0.432000,0.014749,200.000000,15,0,5,1,Cho2017,CSP+SVM
0.600000,0.014730,200.000000,16,0,5,1,Cho2017,CSP+SVM
0.427500,0.016531,200.000000,17,0,5,1,Cho2017,CSP+SVM
0.578000,0.014607,200.000000,18,0,5,1,Cho2017,CSP+SVM
0.453500,0.014697,200.000000,19,0,5,1,Cho2017,CSP+SVM
0.632000,0.014911,200.000000,20,0,5,1,Cho2017,CSP+SVM
0.652000,0.016639,200.000000,21,0,5,1,Cho2017,CSP+SVM
0.613000,0.015447,200.000000,22,0,5,1,Cho2017,CSP+SVM
0.618000,0.015120,200.000000,23,0,5,1,Cho2017,CSP+SVM
0.561000,0.014861,200.000000,24,0,5,1,Cho2017,CSP+SVM
0.602500,0.015091,200.000000,25,0,5,1,Cho2017,CSP+SVM
0.583500,0.014826,200.000000,26,0,5,1,Cho2017,CSP+SVM
0.514000,0.015657,200.000000,27,0,5,1,Cho2017,CSP+SVM
0.485500,0.015645,200.000000,28,0,5,1,Cho2017,CSP+SVM
0.551000,0.014792,200.000000,29,0,5,1,Cho2017,CSP+SVM
0.380500,0.015505,200.000000,30,0,5,1,Cho2017,CSP+SVM
0.675000,0.014635,200.000000,31,0,5,1,Cho2017,CSP+SVM
0.511500,0.015104,200.000000,32,0,5,1,Cho2017,CSP+SVM
0.448000,0.015530,200.000000,33,0,5,1,Cho2017,CSP+SVM
0.461500,0.014921,200.000000,34,0,5,1,Cho2017,CSP+SVM
0.691500,0.016351,200.000000,35,0,5,1,Cho2017,CSP+SVM
0.636500,0.015350,200.000000,36,0,5,1,Cho2017,CSP+SVM
0.578000,0.015032,200.000000,37,0,5,1,Cho2017,CSP+SVM
0.568000,0.014976,200.000000,38,0,5,1,Cho2017,CSP+SVM
0.573000,0.014786,200.000000,39,0,5,1,Cho2017,CSP+SVM
0.544000,0.016644,200.000000,40,0,5,1,Cho2017,CSP+SVM
0.606000,0.016311,200.000000,41,0,5,1,Cho2017,CSP+SVM
0.544000,0.015657,200.000000,42,0,5,1,Cho2017,CSP+SVM
0.776000,0.016436,200.000000,43,0,5,1,Cho2017,CSP+SVM
0.593000,0.016370,200.000000,44,0,5,1,Cho2017,CSP+SVM
0.458500,0.016534,200.000000,45,0,5,1,Cho2017,CSP+SVM
0.578819,0.019779,240.000000,46,0,5,1,Cho2017,CSP+SVM
0.549500,0.016130,200.000000,47,0,5,1,Cho2017,CSP+SVM
0.576000,0.016534,200.000000,48,0,5,1,Cho2017,CSP+SVM
0.755000,0.014995,200.000000,49,0,5,1,Cho2017,CSP+SVM
0.725000,0.014899,200.000000,50,0,5,1,Cho2017,CSP+SVM
0.573500,0.016904,200.000000,51,0,5,1,Cho2017,CSP+SVM
0.484000,0.015344,200.000000,52,0,5,1,Cho2017,CSP+SVM
0.830000,0.017415,200.000000,1,0,5,1,Cho2017,CSP+LDA
0.472000,0.015027,200.000000,2,0,5,1,Cho2017,CSP+LDA
0.649000,0.014799,200.000000,3,0,5,1,Cho2017,CSP+LDA
0.637000,0.014740,200.000000,4,0,5,1,Cho2017,CSP+LDA
0.552000,0.016601,200.000000,5,0,5,1,Cho2017,CSP+LDA
0.547500,0.014792,200.000000,6,0,5,1,Cho2017,CSP+LDA
0.440278,0.017822,240.000000,7,0,5,1,Cho2017,CSP+LDA
0.456000,0.014689,200.000000,8,0,5,1,Cho2017,CSP+LDA
0.563194,0.017093,240.000000,9,0,5,1,Cho2017,CSP+LDA
0.639500,0.014841,200.000000,10,0,5,1,Cho2017,CSP+LDA
0.579000,0.014594,200.000000,11,0,5,1,Cho2017,CSP+LDA
0.630500,0.015269,200.000000,12,0,5,1,Cho2017,CSP+LDA
0.651500,0.016232,200.000000,13,0,5,1,Cho2017,CSP+LDA
0.689500,0.015721,200.000000,14,0,5,1,Cho2017,CSP+LDA
