score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.738563,0.016060,200.000000,1,0,5,1,Cho2017,CSP+SVM
0.473227,0.014967,200.000000,2,0,5,1,Cho2017,CSP+SVM
0.604703,0.016005,200.000000,3,0,5,1,Cho2017,CSP+SVM
0.581807,0.015353,200.000000,4,0,5,1,Cho2017,CSP+SVM
0.567355,0.014881,200.000000,5,0,5,1,Cho2017,CSP+SVM
0.548067,0.015608,200.000000,6,0,5,1,Cho2017,CSP+SVM
0.430950,0.019707,240.000000,7,0,5,1,Cho2017,CSP+SVM
0.461720,0.015135,200.000000,8,0,5,1,Cho2017,CSP+SVM
0.529637,0.017694,240.000000,9,0,5,1,Cho2017,CSP+SVM
0.618874,0.014940,200.000000,10,0,5,1,Cho2017,CSP+SVM
0.551724,0.016033,200.000000,11,0,5,1,Cho2017,CSP+SVM
0.615119,0.015536,200.000000,12,0,5,1,Cho2017,CSP+SVM
0.595534,0.015297,200.000000,13,0,5,1,Cho2017,CSP+SVM
0.651422,0.015083,200.000000,14,0,5,1,Cho2017,CSP+SVM
0.426596,0.016892,200.000000,15,0,5,1,Cho2017,CSP+SVM
0.548907,0.015340,200.000000,16,0,5,1,Cho2017,CSP+SVM
0.417688,0.016866,200.000000,17,0,5,1,Cho2017,CSP+SVM
0.503990,0.016940,200.000000,18,0,5,1,Cho2017,CSP+SVM
0.488451,0.016127,200.000000,19,0,5,1,Cho2017,CSP+SVM
0.601374,0.016540,200.000000,20,0,5,1,Cho2017,CSP+SVM
0.624269,0.016450,200.000000,21,0,5,1,Cho2017,CSP+SVM
0.546758,0.016594,200.000000,22,0,5,1,Cho2017,CSP+SVM
0.569342,0.015099,200.000000,23,0,5,1,Cho2017,CSP+SVM
0.501152,0.015985,200.000000,24,0,5,1,Cho2017,CSP+SVM
0.556524,0.015123,200.000000,25,0,5,1,Cho2017,CSP+SVM
0.564462,0.015433,200.000000,26,0,5,1,Cho2017,CSP+SVM
0.496907,0.016601,200.000000,27,0,5,1,Cho2017,CSP+SVM
0.464691,0.016626,200.000000,28,0,5,1,Cho2017,CSP+SVM
0.466738,0.015177,200.000000,29,0,5,1,Cho2017,CSP+SVM
0.422199,0.015312,200.000000,30,0,5,1,Cho2017,CSP+SVM
0.633611,0.016247,200.000000,31,0,5,1,Cho2017,CSP+SVM
0.484321,0.015543,200.000000,32,0,5,1,Cho2017,CSP+SVM
0.453446,0.015628,200.000000,33,0,5,1,Cho2017,CSP+SVM
0.476295,0.016758,200.000000,34,0,5,1,Cho2017,CSP+SVM
0.608928,0.016494,200.000000,35,0,5,1,Cho2017,CSP+SVM
0.607027,0.016097,200.000000,36,0,5,1,Cho2017,CSP+SVM
0.531133,0.015467,200.000000,37,0,5,1,Cho2017,CSP+SVM
0.535857,0.016903,200.000000,38,0,5,1,Cho2017,CSP+SVM
0.518168,0.015714,200.000000,39,0,5,1,Cho2017,CSP+SVM
0.500899,0.015217,200.000000,40,0,5,1,Cho2017,CSP+SVM
0.589523,0.015823,200.000000,41,0,5,1,Cho2017,CSP+SVM
0.539503,0.015383,200.000000,42,0,5,1,Cho2017,CSP+SVM
0.679489,0.016458,200.000000,43,0,5,1,Cho2017,CSP+SVM
0.524477,0.017101,200.000000,44,0,5,1,Cho2017,CSP+SVM
0.431282,0.015540,200.000000,45,0,5,1,Cho2017,CSP+SVM
0.538435,0.018205,240.000000,46,0,5,1,Cho2017,CSP+SVM
0.540566,0.015321,200.000000,47,0,5,1,Cho2017,CSP+SVM
0.553856,0.015451,200.000000,48,0,5,1,Cho2017,CSP+SVM
0.684527,0.016063,200.000000,49,0,5,1,Cho2017,CSP+SVM
0.668445,0.015283,200.000000,50,0,5,1,Cho2017,CSP+SVM
0.555343,0.016641,200.000000,51,0,5,1,Cho2017,CSP+SVM
