score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.653000,0.018151,200.000000,1,0,2,1,Cho2017,TS+SVM
0.434000,0.017674,200.000000,2,0,2,1,Cho2017,TS+SVM
0.651500,0.017653,200.000000,3,0,2,1,Cho2017,TS+SVM
0.525000,0.018123,200.000000,4,0,2,1,Cho2017,TS+SVM
0.584500,0.017704,200.000000,5,0,2,1,Cho2017,TS+SVM
0.585000,0.017932,200.000000,6,0,2,1,Cho2017,TS+SVM
0.393403,0.021188,240.000000,7,0,2,1,Cho2017,TS+SVM
0.504000,0.018109,200.000000,8,0,2,1,Cho2017,TS+SVM
0.587153,0.021256,240.000000,9,0,2,1,Cho2017,TS+SVM
0.627500,0.017735,200.000000,10,0,2,1,Cho2017,TS+SVM
0.547000,0.018460,200.000000,11,0,2,1,Cho2017,TS+SVM
0.640000,0.020029,200.000000,12,0,2,1,Cho2017,TS+SVM
0.597500,0.018420,200.000000,13,0,2,1,Cho2017,TS+SVM
0.644500,0.017871,200.000000,14,0,2,1,Cho2017,TS+SVM
0.447000,0.018019,200.000000,15,0,2,1,Cho2017,TS+SVM
0.567000,0.017916,200.000000,16,0,2,1,Cho2017,TS+SVM
0.403500,0.018579,200.000000,17,0,2,1,Cho2017,TS+SVM
0.549500,0.018332,200.000000,18,0,2,1,Cho2017,TS+SVM
0.497500,0.017777,200.000000,19,0,2,1,Cho2017,TS+SVM
0.617000,0.018384,200.000000,20,0,2,1,Cho2017,TS+SVM
0.599000,0.018355,200.000000,21,0,2,1,Cho2017,TS+SVM
0.596000,0.018246,200.000000,22,0,2,1,Cho2017,TS+SVM
0.513500,0.019727,200.000000,23,0,2,1,Cho2017,TS+SVM
0.437500,0.018318,200.000000,24,0,2,1,Cho2017,TS+SVM
0.524000,0.018339,200.000000,25,0,2,1,Cho2017,TS+SVM
0.509500,0.018224,200.000000,26,0,2,1,Cho2017,TS+SVM
0.425000,0.019092,200.000000,27,0,2,1,Cho2017,TS+SVM
0.537000,0.022348,200.000000,28,0,2,1,Cho2017,TS+SVM
0.546000,0.018525,200.000000,29,0,2,1,Cho2017,TS+SVM
0.440500,0.018814,200.000000,30,0,2,1,Cho2017,TS+SVM
0.507500,0.018320,200.000000,31,0,2,1,Cho2017,TS+SVM
0.552000,0.018789,200.000000,32,0,2,1,Cho2017,TS+SVM
0.454500,0.018754,200.000000,33,0,2,1,Cho2017,TS+SVM
0.520500,0.019182,200.000000,34,0,2,1,Cho2017,TS+SVM
0.643500,0.019843,200.000000,35,0,2,1,Cho2017,TS+SVM
0.427500,0.018645,200.000000,36,0,2,1,Cho2017,TS+SVM
0.598000,0.018496,200.000000,37,0,2,1,Cho2017,TS+SVM
0.516000,0.019335,200.000000,38,0,2,1,Cho2017,TS+SVM
0.566500,0.019891,200.000000,39,0,2,1,Cho2017,TS+SVM
0.504000,0.019739,200.000000,40,0,2,1,Cho2017,TS+SVM
0.592000,0.018554,200.000000,41,0,2,1,Cho2017,TS+SVM
0.535000,0.018660,200.000000,42,0,2,1,Cho2017,TS+SVM
0.584500,0.018694,200.000000,43,0,2,1,Cho2017,TS+SVM
0.570000,0.018893,200.000000,44,0,2,1,Cho2017,TS+SVM
