score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.587983,0.018726,200.000000,1,0,2,1,Cho2017,TS+SVM
0.410285,0.018912,200.000000,2,0,2,1,Cho2017,TS+SVM
0.602834,0.019355,200.000000,3,0,2,1,Cho2017,TS+SVM
0.524383,0.019281,200.000000,4,0,2,1,Cho2017,TS+SVM
0.592743,0.018882,200.000000,5,0,2,1,Cho2017,TS+SVM
0.561193,0.018965,200.000000,6,0,2,1,Cho2017,TS+SVM
0.407211,0.022475,240.000000,7,0,2,1,Cho2017,TS+SVM
0.481533,0.019079,200.000000,8,0,2,1,Cho2017,TS+SVM
0.569495,0.022733,240.000000,9,0,2,1,Cho2017,TS+SVM
0.578338,0.018882,200.000000,10,0,2,1,Cho2017,TS+SVM
0.523461,0.019030,200.000000,11,0,2,1,Cho2017,TS+SVM
0.606685,0.019092,200.000000,12,0,2,1,Cho2017,TS+SVM
0.539263,0.019037,200.000000,13,0,2,1,Cho2017,TS+SVM
0.611275,0.019916,200.000000,14,0,2,1,Cho2017,TS+SVM
0.410831,0.019355,200.000000,15,0,2,1,Cho2017,TS+SVM
0.532212,0.019024,200.000000,16,0,2,1,Cho2017,TS+SVM
0.379756,0.019025,200.000000,17,0,2,1,Cho2017,TS+SVM
0.509812,0.019167,200.000000,18,0,2,1,Cho2017,TS+SVM
0.543070,0.018960,200.000000,19,0,2,1,Cho2017,TS+SVM
0.584800,0.020202,200.000000,20,0,2,1,Cho2017,TS+SVM
0.584533,0.019328,200.000000,21,0,2,1,Cho2017,TS+SVM
0.545002,0.018748,200.000000,22,0,2,1,Cho2017,TS+SVM
0.499651,0.019033,200.000000,23,0,2,1,Cho2017,TS+SVM
0.408323,0.018860,200.000000,24,0,2,1,Cho2017,TS+SVM
0.518570,0.018960,200.000000,25,0,2,1,Cho2017,TS+SVM
0.494060,0.019149,200.000000,26,0,2,1,Cho2017,TS+SVM
0.434519,0.019091,200.000000,27,0,2,1,Cho2017,TS+SVM
0.515587,0.019183,200.000000,28,0,2,1,Cho2017,TS+SVM
0.519996,0.019235,200.000000,29,0,2,1,Cho2017,TS+SVM
0.452334,0.019865,200.000000,30,0,2,1,Cho2017,TS+SVM
0.460708,0.019018,200.000000,31,0,2,1,Cho2017,TS+SVM
0.491721,0.020102,200.000000,32,0,2,1,Cho2017,TS+SVM
0.471078,0.019174,200.000000,33,0,2,1,Cho2017,TS+SVM
0.509315,0.019182,200.000000,34,0,2,1,Cho2017,TS+SVM
0.577092,0.019489,200.000000,35,0,2,1,Cho2017,TS+SVM
0.442713,0.019762,200.000000,36,0,2,1,Cho2017,TS+SVM
0.571873,0.019188,200.000000,37,0,2,1,Cho2017,TS+SVM
0.479127,0.019242,200.000000,38,0,2,1,Cho2017,TS+SVM
0.525526,0.019456,200.000000,39,0,2,1,Cho2017,TS+SVM
0.543728,0.020628,200.000000,40,0,2,1,Cho2017,TS+SVM
0.566872,0.019162,200.000000,41,0,2,1,Cho2017,TS+SVM
0.507964,0.019942,200.000000,42,0,2,1,Cho2017,TS+SVM
0.528499,0.019257,200.000000,43,0,2,1,Cho2017,TS+SVM
0.560853,0.019476,200.000000,44,0,2,1,Cho2017,TS+SVM
0.510588,0.019212,200.000000,45,0,2,1,Cho2017,TS+SVM
0.537542,0.023192,240.000000,46,0,2,1,Cho2017,TS+SVM
0.564822,0.019892,200.000000,47,0,2,1,Cho2017,TS+SVM
0.519059,0.019557,200.000000,48,0,2,1,Cho2017,TS+SVM
0.608127,0.019715,200.000000,49,0,2,1,Cho2017,TS+SVM
0.432224,0.019622,200.000000,50,0,2,1,Cho2017,TS+SVM
0.481388,0.019180,200.000000,51,0,2,1,Cho2017,TS+SVM
0.453424,0.019233,200.000000,52,0,2,1,Cho2017,TS+SVM
0.613819,0.019292,200.000000,1,0,2,1,Cho2017,TS+LR
0.488670,0.018992,200.000000,2,0,2,1,Cho2017,TS+LR
0.609668,0.019304,200.000000,3,0,2,1,Cho2017,TS+LR
0.489159,0.018571,200.000000,4,0,2,1,Cho2017,TS+LR
0.577683,0.018928,200.000000,5,0,2,1,Cho2017,TS+LR
0.547034,0.018822,200.000000,6,0,2,1,Cho2017,TS+LR
0.413541,0.022407,240.000000,7,0,2,1,Cho2017,TS+LR
0.471312,0.018816,200.000000,8,0,2,1,Cho2017,TS+LR
0.571245,0.023484,240.000000,9,0,2,1,Cho2017,TS+LR
0.582186,0.018854,200.000000,10,0,2,1,Cho2017,TS+LR
0.549211,0.018796,200.000000,11,0,2,1,Cho2017,TS+LR
0.610961,0.018773,200.000000,12,0,2,1,Cho2017,TS+LR
0.525592,0.018979,200.000000,13,0,2,1,Cho2017,TS+LR
0.611762,0.020221,200.000000,14,0,2,1,Cho2017,TS+LR
0.443257,0.019091,200.000000,15,0,2,1,Cho2017,TS+LR
0.533949,0.018960,200.000000,16,0,2,1,Cho2017,TS+LR
0.367790,0.018980,200.000000,17,0,2,1,Cho2017,TS+LR
0.561977,0.018979,200.000000,18,0,2,1,Cho2017,TS+LR
0.499123,0.019309,200.000000,19,0,2,1,Cho2017,TS+LR
0.599141,0.020145,200.000000,20,0,2,1,Cho2017,TS+LR
0.570071,0.020061,200.000000,21,0,2,1,Cho2017,TS+LR
0.568011,0.019129,200.000000,22,0,2,1,Cho2017,TS+LR
0.515758,0.019480,200.000000,23,0,2,1,Cho2017,TS+LR
0.439546,0.018795,200.000000,24,0,2,1,Cho2017,TS+LR
0.540197,0.019720,200.000000,25,0,2,1,Cho2017,TS+LR
0.505920,0.019144,200.000000,26,0,2,1,Cho2017,TS+LR
0.430290,0.018937,200.000000,27,0,2,1,Cho2017,TS+LR
0.522220,0.019039,200.000000,28,0,2,1,Cho2017,TS+LR
0.510624,0.019196,200.000000,29,0,2,1,Cho2017,TS+LR
0.475733,0.020110,200.000000,30,0,2,1,Cho2017,TS+LR
0.507705,0.019162,200.000000,31,0,2,1,Cho2017,TS+LR
0.532692,0.020159,200.000000,32,0,2,1,Cho2017,TS+LR
0.444609,0.019124,200.000000,33,0,2,1,Cho2017,TS+LR
0.503008,0.018983,200.000000,34,0,2,1,Cho2017,TS+LR
0.588195,0.019251,200.000000,35,0,2,1,Cho2017,TS+LR
0.462703,0.019260,200.000000,36,0,2,1,Cho2017,TS+LR
0.561433,0.019353,200.000000,37,0,2,1,Cho2017,TS+LR
0.494980,0.019064,200.000000,38,0,2,1,Cho2017,TS+LR
0.549078,0.019302,200.000000,39,0,2,1,Cho2017,TS+LR
0.513461,0.020461,200.000000,40,0,2,1,Cho2017,TS+LR
0.570651,0.019112,200.000000,41,0,2,1,Cho2017,TS+LR
0.497301,0.020116,200.000000,42,0,2,1,Cho2017,TS+LR
0.503245,0.019150,200.000000,43,0,2,1,Cho2017,TS+LR
0.531210,0.019373,200.000000,44,0,2,1,Cho2017,TS+LR
0.512769,0.019700,200.000000,45,0,2,1,Cho2017,TS+LR
