score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.835500,0.052383,200.000000,1,0,16,1,Cho2017,TS+SVM
0.600000,0.053857,200.000000,2,0,16,1,Cho2017,TS+SVM
0.904000,0.054340,200.000000,3,0,16,1,Cho2017,TS+SVM
0.764500,0.052155,200.000000,4,0,16,1,Cho2017,TS+SVM
0.760000,0.053186,200.000000,5,0,16,1,Cho2017,TS+SVM
0.615500,0.052599,200.000000,6,0,16,1,Cho2017,TS+SVM
0.543403,0.065084,240.000000,7,0,16,1,Cho2017,TS+SVM
0.585000,0.053051,200.000000,8,0,16,1,Cho2017,TS+SVM
0.771875,0.065456,240.000000,9,0,16,1,Cho2017,TS+SVM
0.740000,0.054998,200.000000,10,0,16,1,Cho2017,TS+SVM
0.711000,0.054891,200.000000,11,0,16,1,Cho2017,TS+SVM
0.777000,0.054728,200.000000,12,0,16,1,Cho2017,TS+SVM
0.745500,0.052881,200.000000,13,0,16,1,Cho2017,TS+SVM
0.983500,0.052318,200.000000,14,0,16,1,Cho2017,TS+SVM
0.703000,0.052631,200.000000,15,0,16,1,Cho2017,TS+SVM
0.527000,0.052139,200.000000,16,0,16,1,Cho2017,TS+SVM
0.471000,0.060047,200.000000,17,0,16,1,Cho2017,TS+SVM
0.651000,0.055823,200.000000,18,0,16,1,Cho2017,TS+SVM
0.754000,0.056399,200.000000,19,0,16,1,Cho2017,TS+SVM
0.746000,0.051165,200.000000,20,0,16,1,Cho2017,TS+SVM
0.776000,0.053220,200.000000,21,0,16,1,Cho2017,TS+SVM
0.642500,0.052766,200.000000,22,0,16,1,Cho2017,TS+SVM
0.811000,0.052724,200.000000,23,0,16,1,Cho2017,TS+SVM
0.675500,0.053067,200.000000,24,0,16,1,Cho2017,TS+SVM
0.665000,0.053654,200.000000,25,0,16,1,Cho2017,TS+SVM
0.681500,0.055522,200.000000,26,0,16,1,Cho2017,TS+SVM
0.630500,0.053179,200.000000,27,0,16,1,Cho2017,TS+SVM
0.690000,0.053945,200.000000,28,0,16,1,Cho2017,TS+SVM
0.550500,0.054926,200.000000,29,0,16,1,Cho2017,TS+SVM
0.596500,0.050925,200.000000,30,0,16,1,Cho2017,TS+SVM
0.747500,0.054103,200.000000,31,0,16,1,Cho2017,TS+SVM
0.516000,0.053684,200.000000,32,0,16,1,Cho2017,TS+SVM
0.609500,0.053200,200.000000,33,0,16,1,Cho2017,TS+SVM
0.632000,0.053626,200.000000,34,0,16,1,Cho2017,TS+SVM
0.889000,0.053366,200.000000,35,0,16,1,Cho2017,TS+SVM
0.698000,0.054870,200.000000,36,0,16,1,Cho2017,TS+SVM
0.783000,0.053084,200.000000,37,0,16,1,Cho2017,TS+SVM
0.588500,0.054218,200.000000,38,0,16,1,Cho2017,TS+SVM
0.739500,0.052919,200.000000,39,0,16,1,Cho2017,TS+SVM
0.573500,0.053313,200.000000,40,0,16,1,Cho2017,TS+SVM
0.868500,0.051357,200.000000,41,0,16,1,Cho2017,TS+SVM
0.664000,0.052761,200.000000,42,0,16,1,Cho2017,TS+SVM
0.996000,0.054843,200.000000,43,0,16,1,Cho2017,TS+SVM
0.655000,0.052779,200.000000,44,0,16,1,Cho2017,TS+SVM
0.616500,0.054638,200.000000,45,0,16,1,Cho2017,TS+SVM
0.788542,0.064694,240.000000,46,0,16,1,Cho2017,TS+SVM
0.721000,0.054273,200.000000,47,0,16,1,Cho2017,TS+SVM
0.776500,0.053785,200.000000,48,0,16,1,Cho2017,TS+SVM
0.773500,0.053677,200.000000,49,0,16,1,Cho2017,TS+SVM
0.915500,0.055605,200.000000,50,0,16,1,Cho2017,TS+SVM
0.535500,0.053701,200.000000,51,0,16,1,Cho2017,TS+SVM
0.667000,0.050767,200.000000,52,0,16,1,Cho2017,TS+SVM
0.891500,0.057858,200.000000,1,0,16,1,Cho2017,TS+EL
0.593000,0.069342,200.000000,2,0,16,1,Cho2017,TS+EL
0.940000,0.059397,200.000000,3,0,16,1,Cho2017,TS+EL
0.812500,0.062642,200.000000,4,0,16,1,Cho2017,TS+EL
0.792500,0.062097,200.000000,5,0,16,1,Cho2017,TS+EL
0.618000,0.059158,200.000000,6,0,16,1,Cho2017,TS+EL
0.552431,0.080036,240.000000,7,0,16,1,Cho2017,TS+EL
0.603500,0.063268,200.000000,8,0,16,1,Cho2017,TS+EL
0.797569,0.073366,240.000000,9,0,16,1,Cho2017,TS+EL
0.716000,0.069480,200.000000,10,0,16,1,Cho2017,TS+EL
0.694500,0.058626,200.000000,11,0,16,1,Cho2017,TS+EL
0.803000,0.063195,200.000000,12,0,16,1,Cho2017,TS+EL
0.817000,0.062261,200.000000,13,0,16,1,Cho2017,TS+EL
0.990500,0.060775,200.000000,14,0,16,1,Cho2017,TS+EL
0.763500,0.061807,200.000000,15,0,16,1,Cho2017,TS+EL
0.601000,0.075272,200.000000,16,0,16,1,Cho2017,TS+EL
0.491500,0.072032,200.000000,17,0,16,1,Cho2017,TS+EL
0.645000,0.060219,200.000000,18,0,16,1,Cho2017,TS+EL
0.760500,0.062370,200.000000,19,0,16,1,Cho2017,TS+EL
0.781500,0.058896,200.000000,20,0,16,1,Cho2017,TS+EL
0.797000,0.062496,200.000000,21,0,16,1,Cho2017,TS+EL
0.597000,0.059351,200.000000,22,0,16,1,Cho2017,TS+EL
0.837000,0.058174,200.000000,23,0,16,1,Cho2017,TS+EL
0.726500,0.061311,200.000000,24,0,16,1,Cho2017,TS+EL
0.678000,0.068562,200.000000,25,0,16,1,Cho2017,TS+EL
0.694000,0.064590,200.000000,26,0,16,1,Cho2017,TS+EL
0.574500,0.064366,200.000000,27,0,16,1,Cho2017,TS+EL
0.729000,0.064240,200.000000,28,0,16,1,Cho2017,TS+EL
0.594500,0.068537,200.000000,29,0,16,1,Cho2017,TS+EL
0.636500,0.058307,200.000000,30,0,16,1,Cho2017,TS+EL
0.810000,0.061515,200.000000,31,0,16,1,Cho2017,TS+EL
0.485500,0.061224,200.000000,32,0,16,1,Cho2017,TS+EL
0.640000,0.058964,200.000000,33,0,16,1,Cho2017,TS+EL
0.662000,0.068143,200.000000,34,0,16,1,Cho2017,TS+EL
0.922500,0.060962,200.000000,35,0,16,1,Cho2017,TS+EL
0.715500,0.082742,200.000000,36,0,16,1,Cho2017,TS+EL
0.811000,0.059377,200.000000,37,0,16,1,Cho2017,TS+EL
0.609500,0.062808,200.000000,38,0,16,1,Cho2017,TS+EL
0.744000,0.065438,200.000000,39,0,16,1,Cho2017,TS+EL
0.603000,0.063450,200.000000,40,0,16,1,Cho2017,TS+EL
0.913000,0.056914,200.000000,41,0,16,1,Cho2017,TS+EL
0.696500,0.059203,200.000000,42,0,16,1,Cho2017,TS+EL
0.995000,0.067319,200.000000,43,0,16,1,Cho2017,TS+EL
0.759500,0.065595,200.000000,44,0,16,1,Cho2017,TS+EL
0.602500,0.074716,200.000000,45,0,16,1,Cho2017,TS+EL
0.834722,0.078701,240.000000,46,0,16,1,Cho2017,TS+EL
0.727500,0.075874,200.000000,47,0,16,1,Cho2017,TS+EL
0.801000,0.065311,200.000000,48,0,16,1,Cho2017,TS+EL
0.803500,0.059869,200.000000,49,0,16,1,Cho2017,TS+EL
0.930000,0.058960,200.000000,50,0,16,1,Cho2017,TS+EL
0.523000,0.066845,200.000000,51,0,16,1,Cho2017,TS+EL
0.695500,0.056686,200.000000,52,0,16,1,Cho2017,TS+EL
0.865500,0.052386,200.000000,1,0,16,1,Cho2017,TS+LR
0.604000,0.053764,200.000000,2,0,16,1,Cho2017,TS+LR
0.933000,0.054796,200.000000,3,0,16,1,Cho2017,TS+LR
0.823500,0.057700,200.000000,4,0,16,1,Cho2017,TS+LR
0.798000,0.055660,200.000000,5,0,16,1,Cho2017,TS+LR
0.644000,0.052316,200.000000,6,0,16,1,Cho2017,TS+LR
0.518403,0.062692,240.000000,7,0,16,1,Cho2017,TS+LR
0.614000,0.052186,200.000000,8,0,16,1,Cho2017,TS+LR
0.788542,0.063844,240.000000,9,0,16,1,Cho2017,TS+LR
0.760000,0.057136,200.000000,10,0,16,1,Cho2017,TS+LR
0.703500,0.054338,200.000000,11,0,16,1,Cho2017,TS+LR
0.797000,0.053086,200.000000,12,0,16,1,Cho2017,TS+LR
0.803000,0.052419,200.000000,13,0,16,1,Cho2017,TS+LR
0.994500,0.053622,200.000000,14,0,16,1,Cho2017,TS+LR
0.750500,0.052189,200.000000,15,0,16,1,Cho2017,TS+LR
0.551000,0.051726,200.000000,16,0,16,1,Cho2017,TS+LR
0.496500,0.060032,200.000000,17,0,16,1,Cho2017,TS+LR
0.674500,0.053444,200.000000,18,0,16,1,Cho2017,TS+LR
0.733000,0.052925,200.000000,19,0,16,1,Cho2017,TS+LR
0.789000,0.050792,200.000000,20,0,16,1,Cho2017,TS+LR
0.785000,0.052526,200.000000,21,0,16,1,Cho2017,TS+LR
0.628000,0.052541,200.000000,22,0,16,1,Cho2017,TS+LR
0.802000,0.052108,200.000000,23,0,16,1,Cho2017,TS+LR
0.718000,0.053681,200.000000,24,0,16,1,Cho2017,TS+LR
0.681000,0.053768,200.000000,25,0,16,1,Cho2017,TS+LR
0.680500,0.055436,200.000000,26,0,16,1,Cho2017,TS+LR
0.601500,0.053528,200.000000,27,0,16,1,Cho2017,TS+LR
0.706500,0.053420,200.000000,28,0,16,1,Cho2017,TS+LR
0.562500,0.054619,200.000000,29,0,16,1,Cho2017,TS+LR
0.611000,0.050221,200.000000,30,0,16,1,Cho2017,TS+LR
0.795000,0.053724,200.000000,31,0,16,1,Cho2017,TS+LR
0.525000,0.053666,200.000000,32,0,16,1,Cho2017,TS+LR
0.582500,0.053401,200.000000,33,0,16,1,Cho2017,TS+LR
0.641500,0.052442,200.000000,34,0,16,1,Cho2017,TS+LR
0.919000,0.053075,200.000000,35,0,16,1,Cho2017,TS+LR
0.705000,0.054409,200.000000,36,0,16,1,Cho2017,TS+LR
0.823500,0.052720,200.000000,37,0,16,1,Cho2017,TS+LR
0.617500,0.053299,200.000000,38,0,16,1,Cho2017,TS+LR
0.771500,0.052668,200.000000,39,0,16,1,Cho2017,TS+LR
0.587500,0.052638,200.000000,40,0,16,1,Cho2017,TS+LR
0.915500,0.050327,200.000000,41,0,16,1,Cho2017,TS+LR
0.694000,0.052113,200.000000,42,0,16,1,Cho2017,TS+LR
0.994000,0.054620,200.000000,43,0,16,1,Cho2017,TS+LR
0.722000,0.053019,200.000000,44,0,16,1,Cho2017,TS+LR
0.598000,0.053824,200.000000,45,0,16,1,Cho2017,TS+LR
0.827083,0.063686,240.000000,46,0,16,1,Cho2017,TS+LR
0.755500,0.053397,200.000000,47,0,16,1,Cho2017,TS+LR
0.807500,0.052967,200.000000,48,0,16,1,Cho2017,TS+LR
0.799000,0.053277,200.000000,49,0,16,1,Cho2017,TS+LR
0.937500,0.053476,200.000000,50,0,16,1,Cho2017,TS+LR
0.528000,0.052511,200.000000,51,0,16,1,Cho2017,TS+LR
0.688000,0.050669,200.000000,52,0,16,1,Cho2017,TS+LR
0.841500,0.059321,200.000000,1,0,16,1,Cho2017,CSP+LDA
0.555000,0.053904,200.000000,2,0,16,1,Cho2017,CSP+LDA
0.917500,0.056322,200.000000,3,0,16,1,Cho2017,CSP+LDA
0.833500,0.062600,200.000000,4,0,16,1,Cho2017,CSP+LDA
0.784500,0.054780,200.000000,5,0,16,1,Cho2017,CSP+LDA
0.571500,0.053052,200.000000,6,0,16,1,Cho2017,CSP+LDA
0.524653,0.069325,240.000000,7,0,16,1,Cho2017,CSP+LDA
0.643000,0.054143,200.000000,8,0,16,1,Cho2017,CSP+LDA
0.796181,0.084410,240.000000,9,0,16,1,Cho2017,CSP+LDA
0.695500,0.064239,200.000000,10,0,16,1,Cho2017,CSP+LDA
0.666500,0.063537,200.000000,11,0,16,1,Cho2017,CSP+LDA
0.751500,0.053367,200.000000,12,0,16,1,Cho2017,CSP+LDA
0.747500,0.054057,200.000000,13,0,16,1,Cho2017,CSP+LDA
0.991000,0.053715,200.000000,14,0,16,1,Cho2017,CSP+LDA
0.737000,0.053621,200.000000,15,0,16,1,Cho2017,CSP+LDA
0.581000,0.053808,200.000000,16,0,16,1,Cho2017,CSP+LDA
0.470000,0.063993,200.000000,17,0,16,1,Cho2017,CSP+LDA
0.667000,0.063761,200.000000,18,0,16,1,Cho2017,CSP+LDA
0.621000,0.066312,200.000000,19,0,16,1,Cho2017,CSP+LDA
0.762500,0.058420,200.000000,20,0,16,1,Cho2017,CSP+LDA
0.714500,0.054072,200.000000,21,0,16,1,Cho2017,CSP+LDA
0.562000,0.053911,200.000000,22,0,16,1,Cho2017,CSP+LDA
0.799000,0.053607,200.000000,23,0,16,1,Cho2017,CSP+LDA
0.756000,0.053672,200.000000,24,0,16,1,Cho2017,CSP+LDA
0.662500,0.054444,200.000000,25,0,16,1,Cho2017,CSP+LDA
0.574500,0.054561,200.000000,26,0,16,1,Cho2017,CSP+LDA
0.542000,0.053587,200.000000,27,0,16,1,Cho2017,CSP+LDA
0.556500,0.053393,200.000000,28,0,16,1,Cho2017,CSP+LDA
0.500000,0.057500,200.000000,29,0,16,1,Cho2017,CSP+LDA
0.607000,0.053861,200.000000,30,0,16,1,Cho2017,CSP+LDA
0.789000,0.053587,200.000000,31,0,16,1,Cho2017,CSP+LDA
0.518500,0.059335,200.000000,32,0,16,1,Cho2017,CSP+LDA
0.628500,0.053579,200.000000,33,0,16,1,Cho2017,CSP+LDA
0.540000,0.053606,200.000000,34,0,16,1,Cho2017,CSP+LDA
0.884000,0.056042,200.000000,35,0,16,1,Cho2017,CSP+LDA
0.598000,0.053296,200.000000,36,0,16,1,Cho2017,CSP+LDA
0.802000,0.053705,200.000000,37,0,16,1,Cho2017,CSP+LDA
0.586500,0.054164,200.000000,38,0,16,1,Cho2017,CSP+LDA
0.694500,0.053988,200.000000,39,0,16,1,Cho2017,CSP+LDA
0.492500,0.053944,200.000000,40,0,16,1,Cho2017,CSP+LDA
