score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.737503,0.053277,200.000000,1,0,16,1,Cho2017,TS+SVM
0.608959,0.054554,200.000000,2,0,16,1,Cho2017,TS+SVM
0.813535,0.056062,200.000000,3,0,16,1,Cho2017,TS+SVM
0.682689,0.053301,200.000000,4,0,16,1,Cho2017,TS+SVM
0.673387,0.052829,200.000000,5,0,16,1,Cho2017,TS+SVM
0.557857,0.053683,200.000000,6,0,16,1,Cho2017,TS+SVM
0.534690,0.064296,240.000000,7,0,16,1,Cho2017,TS+SVM
0.562902,0.053008,200.000000,8,0,16,1,Cho2017,TS+SVM
0.682395,0.067923,240.000000,9,0,16,1,Cho2017,TS+SVM
0.688134,0.057034,200.000000,10,0,16,1,Cho2017,TS+SVM
0.669141,0.054735,200.000000,11,0,16,1,Cho2017,TS+SVM
0.697207,0.052503,200.000000,12,0,16,1,Cho2017,TS+SVM
0.635409,0.054769,200.000000,13,0,16,1,Cho2017,TS+SVM
0.949975,0.052278,200.000000,14,0,16,1,Cho2017,TS+SVM
0.634210,0.052748,200.000000,15,0,16,1,Cho2017,TS+SVM
0.536449,0.052617,200.000000,16,0,16,1,Cho2017,TS+SVM
0.472818,0.055339,200.000000,17,0,16,1,Cho2017,TS+SVM
0.606501,0.053868,200.000000,18,0,16,1,Cho2017,TS+SVM
0.689416,0.057063,200.000000,19,0,16,1,Cho2017,TS+SVM
0.642769,0.050530,200.000000,20,0,16,1,Cho2017,TS+SVM
0.693681,0.052462,200.000000,21,0,16,1,Cho2017,TS+SVM
0.612938,0.052759,200.000000,22,0,16,1,Cho2017,TS+SVM
0.717895,0.052862,200.000000,23,0,16,1,Cho2017,TS+SVM
0.599745,0.053281,200.000000,24,0,16,1,Cho2017,TS+SVM
0.608281,0.053407,200.000000,25,0,16,1,Cho2017,TS+SVM
0.649266,0.057816,200.000000,26,0,16,1,Cho2017,TS+SVM
0.557331,0.056646,200.000000,27,0,16,1,Cho2017,TS+SVM
0.616823,0.053986,200.000000,28,0,16,1,Cho2017,TS+SVM
0.553848,0.056738,200.000000,29,0,16,1,Cho2017,TS+SVM
0.551296,0.051806,200.000000,30,0,16,1,Cho2017,TS+SVM
0.655398,0.053178,200.000000,31,0,16,1,Cho2017,TS+SVM
0.496079,0.053143,200.000000,32,0,16,1,Cho2017,TS+SVM
0.558700,0.052914,200.000000,33,0,16,1,Cho2017,TS+SVM
0.598959,0.052830,200.000000,34,0,16,1,Cho2017,TS+SVM
0.808649,0.052700,200.000000,35,0,16,1,Cho2017,TS+SVM
0.642703,0.056813,200.000000,36,0,16,1,Cho2017,TS+SVM
0.709121,0.055100,200.000000,37,0,16,1,Cho2017,TS+SVM
0.569693,0.054290,200.000000,38,0,16,1,Cho2017,TS+SVM
0.683631,0.053706,200.000000,39,0,16,1,Cho2017,TS+SVM
0.531090,0.053360,200.000000,40,0,16,1,Cho2017,TS+SVM
0.759180,0.050801,200.000000,41,0,16,1,Cho2017,TS+SVM
0.614140,0.053137,200.000000,42,0,16,1,Cho2017,TS+SVM
0.969981,0.057034,200.000000,43,0,16,1,Cho2017,TS+SVM
0.595720,0.053487,200.000000,44,0,16,1,Cho2017,TS+SVM
0.559868,0.055727,200.000000,45,0,16,1,Cho2017,TS+SVM
0.744632,0.064024,240.000000,46,0,16,1,Cho2017,TS+SVM
0.663759,0.058361,200.000000,47,0,16,1,Cho2017,TS+SVM
0.704545,0.052727,200.000000,48,0,16,1,Cho2017,TS+SVM
0.718621,0.053849,200.000000,49,0,16,1,Cho2017,TS+SVM
0.819471,0.052965,200.000000,50,0,16,1,Cho2017,TS+SVM
0.502982,0.052400,200.000000,51,0,16,1,Cho2017,TS+SVM
0.617943,0.055318,200.000000,52,0,16,1,Cho2017,TS+SVM
0.834170,0.059129,200.000000,1,0,16,1,Cho2017,TS+EL
0.575384,0.070661,200.000000,2,0,16,1,Cho2017,TS+EL
0.844533,0.060972,200.000000,3,0,16,1,Cho2017,TS+EL
