score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.914000,0.030555,200.000000,1,0,8,1,Cho2017,TS+EL
0.521000,0.032770,200.000000,2,0,8,1,Cho2017,TS+EL
0.860500,0.031834,200.000000,3,0,8,1,Cho2017,TS+EL
0.830000,0.030538,200.000000,4,0,8,1,Cho2017,TS+EL
0.781500,0.030722,200.000000,5,0,8,1,Cho2017,TS+EL
0.635500,0.030448,200.000000,6,0,8,1,Cho2017,TS+EL
0.529167,0.037595,240.000000,7,0,8,1,Cho2017,TS+EL
0.593000,0.030682,200.000000,8,0,8,1,Cho2017,TS+EL
0.749653,0.036743,240.000000,9,0,8,1,Cho2017,TS+EL
0.755000,0.030514,200.000000,10,0,8,1,Cho2017,TS+EL
0.676000,0.031010,200.000000,11,0,8,1,Cho2017,TS+EL
0.759000,0.030493,200.000000,12,0,8,1,Cho2017,TS+EL
0.807500,0.031361,200.000000,13,0,8,1,Cho2017,TS+EL
0.991000,0.030646,200.000000,14,0,8,1,Cho2017,TS+EL
0.748000,0.032428,200.000000,15,0,8,1,Cho2017,TS+EL
0.625500,0.031402,200.000000,16,0,8,1,Cho2017,TS+EL
0.619500,0.030377,200.000000,17,0,8,1,Cho2017,TS+EL
0.762500,0.031477,200.000000,18,0,8,1,Cho2017,TS+EL
0.709000,0.030321,200.000000,19,0,8,1,Cho2017,TS+EL
0.818500,0.030642,200.000000,20,0,8,1,Cho2017,TS+EL
0.769500,0.031212,200.000000,21,0,8,1,Cho2017,TS+EL
0.680000,0.030734,200.000000,22,0,8,1,Cho2017,TS+EL
0.812000,0.031169,200.000000,23,0,8,1,Cho2017,TS+EL
0.744000,0.030445,200.000000,24,0,8,1,Cho2017,TS+EL
0.672000,0.030361,200.000000,25,0,8,1,Cho2017,TS+EL
0.622000,0.032227,200.000000,26,0,8,1,Cho2017,TS+EL
0.654000,0.030667,200.000000,27,0,8,1,Cho2017,TS+EL
0.572000,0.030254,200.000000,28,0,8,1,Cho2017,TS+EL
0.477500,0.031361,200.000000,29,0,8,1,Cho2017,TS+EL
0.702500,0.031063,200.000000,30,0,8,1,Cho2017,TS+EL
0.732000,0.030704,200.000000,31,0,8,1,Cho2017,TS+EL
0.503000,0.031280,200.000000,32,0,8,1,Cho2017,TS+EL
0.515500,0.031124,200.000000,33,0,8,1,Cho2017,TS+EL
0.491000,0.030834,200.000000,34,0,8,1,Cho2017,TS+EL
0.714500,0.032189,200.000000,35,0,8,1,Cho2017,TS+EL
0.647000,0.034145,200.000000,36,0,8,1,Cho2017,TS+EL
0.703000,0.033222,200.000000,37,0,8,1,Cho2017,TS+EL
0.588500,0.032077,200.000000,38,0,8,1,Cho2017,TS+EL
0.691000,0.032769,200.000000,39,0,8,1,Cho2017,TS+EL
0.581000,0.031401,200.000000,40,0,8,1,Cho2017,TS+EL
0.914500,0.031142,200.000000,41,0,8,1,Cho2017,TS+EL
0.680000,0.030184,200.000000,42,0,8,1,Cho2017,TS+EL
0.992500,0.030509,200.000000,43,0,8,1,Cho2017,TS+EL
0.536500,0.033240,200.000000,44,0,8,1,Cho2017,TS+EL
0.659000,0.033386,200.000000,45,0,8,1,Cho2017,TS+EL
0.772917,0.036615,240.000000,46,0,8,1,Cho2017,TS+EL
0.690500,0.030798,200.000000,47,0,8,1,Cho2017,TS+EL
0.796000,0.031240,200.000000,48,0,8,1,Cho2017,TS+EL
0.796000,0.031351,200.000000,49,0,8,1,Cho2017,TS+EL
0.838000,0.030501,200.000000,50,0,8,1,Cho2017,TS+EL
0.609500,0.031303,200.000000,51,0,8,1,Cho2017,TS+EL
0.664000,0.034382,200.000000,52,0,8,1,Cho2017,TS+EL
0.904000,0.030379,200.000000,1,0,8,1,Cho2017,TS+SVM
0.546500,0.030776,200.000000,2,0,8,1,Cho2017,TS+SVM
0.848500,0.030302,200.000000,3,0,8,1,Cho2017,TS+SVM
0.792500,0.030182,200.000000,4,0,8,1,Cho2017,TS+SVM
0.749500,0.029871,200.000000,5,0,8,1,Cho2017,TS+SVM
0.663500,0.030124,200.000000,6,0,8,1,Cho2017,TS+SVM
0.503472,0.036626,240.000000,7,0,8,1,Cho2017,TS+SVM
0.545000,0.029852,200.000000,8,0,8,1,Cho2017,TS+SVM
0.715278,0.035759,240.000000,9,0,8,1,Cho2017,TS+SVM
0.709000,0.030235,200.000000,10,0,8,1,Cho2017,TS+SVM
0.650000,0.030449,200.000000,11,0,8,1,Cho2017,TS+SVM
0.729000,0.029783,200.000000,12,0,8,1,Cho2017,TS+SVM
0.803000,0.031169,200.000000,13,0,8,1,Cho2017,TS+SVM
0.984000,0.029901,200.000000,14,0,8,1,Cho2017,TS+SVM
0.706000,0.030581,200.000000,15,0,8,1,Cho2017,TS+SVM
0.568000,0.030012,200.000000,16,0,8,1,Cho2017,TS+SVM
0.600500,0.029828,200.000000,17,0,8,1,Cho2017,TS+SVM
0.761500,0.030445,200.000000,18,0,8,1,Cho2017,TS+SVM
0.718500,0.030134,200.000000,19,0,8,1,Cho2017,TS+SVM
0.798000,0.029766,200.000000,20,0,8,1,Cho2017,TS+SVM
0.764000,0.030296,200.000000,21,0,8,1,Cho2017,TS+SVM
0.673500,0.030041,200.000000,22,0,8,1,Cho2017,TS+SVM
0.822000,0.030648,200.000000,23,0,8,1,Cho2017,TS+SVM
0.739000,0.029593,200.000000,24,0,8,1,Cho2017,TS+SVM
0.647500,0.029929,200.000000,25,0,8,1,Cho2017,TS+SVM
0.617500,0.031094,200.000000,26,0,8,1,Cho2017,TS+SVM
0.651500,0.030499,200.000000,27,0,8,1,Cho2017,TS+SVM
0.570500,0.029821,200.000000,28,0,8,1,Cho2017,TS+SVM
0.480000,0.030674,200.000000,29,0,8,1,Cho2017,TS+SVM
0.727000,0.031485,200.000000,30,0,8,1,Cho2017,TS+SVM
0.729000,0.029948,200.000000,31,0,8,1,Cho2017,TS+SVM
0.513500,0.030529,200.000000,32,0,8,1,Cho2017,TS+SVM
0.499000,0.030622,200.000000,33,0,8,1,Cho2017,TS+SVM
0.476000,0.030801,200.000000,34,0,8,1,Cho2017,TS+SVM
0.720500,0.031751,200.000000,35,0,8,1,Cho2017,TS+SVM
0.634000,0.031642,200.000000,36,0,8,1,Cho2017,TS+SVM
0.722000,0.030854,200.000000,37,0,8,1,Cho2017,TS+SVM
0.549500,0.033940,200.000000,38,0,8,1,Cho2017,TS+SVM
0.677500,0.030843,200.000000,39,0,8,1,Cho2017,TS+SVM
0.602000,0.031435,200.000000,40,0,8,1,Cho2017,TS+SVM
0.912000,0.030056,200.000000,41,0,8,1,Cho2017,TS+SVM
0.671500,0.029708,200.000000,42,0,8,1,Cho2017,TS+SVM
0.992500,0.029544,200.000000,43,0,8,1,Cho2017,TS+SVM
0.493000,0.030581,200.000000,44,0,8,1,Cho2017,TS+SVM
0.644500,0.030657,200.000000,45,0,8,1,Cho2017,TS+SVM
0.763194,0.035633,240.000000,46,0,8,1,Cho2017,TS+SVM
0.694000,0.029787,200.000000,47,0,8,1,Cho2017,TS+SVM
0.777500,0.030418,200.000000,48,0,8,1,Cho2017,TS+SVM
0.763000,0.030550,200.000000,49,0,8,1,Cho2017,TS+SVM
0.830000,0.030534,200.000000,50,0,8,1,Cho2017,TS+SVM
0.592500,0.030587,200.000000,51,0,8,1,Cho2017,TS+SVM
0.679000,0.030533,200.000000,52,0,8,1,Cho2017,TS+SVM
0.908000,0.030404,200.000000,1,0,8,1,Cho2017,TS+LR
0.539500,0.030686,200.000000,2,0,8,1,Cho2017,TS+LR
0.864500,0.030707,200.000000,3,0,8,1,Cho2017,TS+LR
0.815500,0.030098,200.000000,4,0,8,1,Cho2017,TS+LR
0.791000,0.029914,200.000000,5,0,8,1,Cho2017,TS+LR
0.658500,0.030379,200.000000,6,0,8,1,Cho2017,TS+LR
0.524306,0.036183,240.000000,7,0,8,1,Cho2017,TS+LR
0.581500,0.029950,200.000000,8,0,8,1,Cho2017,TS+LR
0.741319,0.035644,240.000000,9,0,8,1,Cho2017,TS+LR
0.740500,0.029977,200.000000,10,0,8,1,Cho2017,TS+LR
0.679000,0.030167,200.000000,11,0,8,1,Cho2017,TS+LR
0.751500,0.029945,200.000000,12,0,8,1,Cho2017,TS+LR
0.815000,0.030880,200.000000,13,0,8,1,Cho2017,TS+LR
0.992500,0.029657,200.000000,14,0,8,1,Cho2017,TS+LR
0.720500,0.030766,200.000000,15,0,8,1,Cho2017,TS+LR
0.606500,0.030115,200.000000,16,0,8,1,Cho2017,TS+LR
0.620000,0.031288,200.000000,17,0,8,1,Cho2017,TS+LR
0.767000,0.030628,200.000000,18,0,8,1,Cho2017,TS+LR
0.715000,0.029884,200.000000,19,0,8,1,Cho2017,TS+LR
0.809500,0.029645,200.000000,20,0,8,1,Cho2017,TS+LR
0.752500,0.030596,200.000000,21,0,8,1,Cho2017,TS+LR
0.685500,0.029927,200.000000,22,0,8,1,Cho2017,TS+LR
0.812500,0.030598,200.000000,23,0,8,1,Cho2017,TS+LR
0.764000,0.030105,200.000000,24,0,8,1,Cho2017,TS+LR
0.655500,0.029622,200.000000,25,0,8,1,Cho2017,TS+LR
0.625000,0.031269,200.000000,26,0,8,1,Cho2017,TS+LR
0.634500,0.030316,200.000000,27,0,8,1,Cho2017,TS+LR
0.564000,0.030245,200.000000,28,0,8,1,Cho2017,TS+LR
0.498000,0.030439,200.000000,29,0,8,1,Cho2017,TS+LR
0.720000,0.031239,200.000000,30,0,8,1,Cho2017,TS+LR
0.737000,0.030818,200.000000,31,0,8,1,Cho2017,TS+LR
0.499000,0.030570,200.000000,32,0,8,1,Cho2017,TS+LR
0.520000,0.030494,200.000000,33,0,8,1,Cho2017,TS+LR
0.489000,0.030632,200.000000,34,0,8,1,Cho2017,TS+LR
0.734000,0.033219,200.000000,35,0,8,1,Cho2017,TS+LR
0.649500,0.031702,200.000000,36,0,8,1,Cho2017,TS+LR
0.709500,0.031068,200.000000,37,0,8,1,Cho2017,TS+LR
0.567000,0.030066,200.000000,38,0,8,1,Cho2017,TS+LR
0.709000,0.030658,200.000000,39,0,8,1,Cho2017,TS+LR
0.582500,0.031255,200.000000,40,0,8,1,Cho2017,TS+LR
0.920500,0.029765,200.000000,41,0,8,1,Cho2017,TS+LR
0.665000,0.029634,200.000000,42,0,8,1,Cho2017,TS+LR
0.993000,0.030097,200.000000,43,0,8,1,Cho2017,TS+LR
0.514000,0.032176,200.000000,44,0,8,1,Cho2017,TS+LR
0.675500,0.031328,200.000000,45,0,8,1,Cho2017,TS+LR
0.770833,0.035953,240.000000,46,0,8,1,Cho2017,TS+LR
0.698500,0.029860,200.000000,47,0,8,1,Cho2017,TS+LR
0.790000,0.029809,200.000000,48,0,8,1,Cho2017,TS+LR
0.788500,0.031055,200.000000,49,0,8,1,Cho2017,TS+LR
0.838000,0.030551,200.000000,50,0,8,1,Cho2017,TS+LR
0.603500,0.031717,200.000000,51,0,8,1,Cho2017,TS+LR
0.662000,0.030384,200.000000,52,0,8,1,Cho2017,TS+LR
0.871500,0.020519,200.000000,1,0,8,1,Cho2017,CSP+LDA
0.524500,0.020093,200.000000,2,0,8,1,Cho2017,CSP+LDA
0.861500,0.019751,200.000000,3,0,8,1,Cho2017,CSP+LDA
0.797500,0.019778,200.000000,4,0,8,1,Cho2017,CSP+LDA
0.801500,0.019922,200.000000,5,0,8,1,Cho2017,CSP+LDA
0.635000,0.019874,200.000000,6,0,8,1,Cho2017,CSP+LDA
0.568056,0.026989,240.000000,7,0,8,1,Cho2017,CSP+LDA
0.546500,0.019920,200.000000,8,0,8,1,Cho2017,CSP+LDA
0.765278,0.026448,240.000000,9,0,8,1,Cho2017,CSP+LDA
0.744000,0.020003,200.000000,10,0,8,1,Cho2017,CSP+LDA
0.703000,0.020136,200.000000,11,0,8,1,Cho2017,CSP+LDA
0.777500,0.019879,200.000000,12,0,8,1,Cho2017,CSP+LDA
0.805000,0.020077,200.000000,13,0,8,1,Cho2017,CSP+LDA
0.992500,0.019975,200.000000,14,0,8,1,Cho2017,CSP+LDA
