score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.844771,0.031213,200.000000,1,0,8,1,Cho2017,TS+EL
0.517676,0.032954,200.000000,2,0,8,1,Cho2017,TS+EL
0.774646,0.031470,200.000000,3,0,8,1,Cho2017,TS+EL
0.742930,0.031330,200.000000,4,0,8,1,Cho2017,TS+EL
0.689139,0.031559,200.000000,5,0,8,1,Cho2017,TS+EL
0.628959,0.031118,200.000000,6,0,8,1,Cho2017,TS+EL
0.523139,0.038007,240.000000,7,0,8,1,Cho2017,TS+EL
0.540533,0.030765,200.000000,8,0,8,1,Cho2017,TS+EL
0.686419,0.037762,240.000000,9,0,8,1,Cho2017,TS+EL
0.688855,0.031968,200.000000,10,0,8,1,Cho2017,TS+EL
0.616579,0.030878,200.000000,11,0,8,1,Cho2017,TS+EL
0.671958,0.031117,200.000000,12,0,8,1,Cho2017,TS+EL
0.748879,0.031337,200.000000,13,0,8,1,Cho2017,TS+EL
0.949987,0.030405,200.000000,14,0,8,1,Cho2017,TS+EL
0.648152,0.032259,200.000000,15,0,8,1,Cho2017,TS+EL
0.569093,0.031318,200.000000,16,0,8,1,Cho2017,TS+EL
0.567857,0.030337,200.000000,17,0,8,1,Cho2017,TS+EL
0.686746,0.032855,200.000000,18,0,8,1,Cho2017,TS+EL
0.637838,0.031688,200.000000,19,0,8,1,Cho2017,TS+EL
0.749574,0.031207,200.000000,20,0,8,1,Cho2017,TS+EL
0.698501,0.031069,200.000000,21,0,8,1,Cho2017,TS+EL
0.654483,0.030511,200.000000,22,0,8,1,Cho2017,TS+EL
0.763618,0.031217,200.000000,23,0,8,1,Cho2017,TS+EL
0.678945,0.031016,200.000000,24,0,8,1,Cho2017,TS+EL
0.648668,0.030303,200.000000,25,0,8,1,Cho2017,TS+EL
0.597659,0.031787,200.000000,26,0,8,1,Cho2017,TS+EL
0.581443,0.032879,200.000000,27,0,8,1,Cho2017,TS+EL
0.545937,0.030341,200.000000,28,0,8,1,Cho2017,TS+EL
0.454214,0.032000,200.000000,29,0,8,1,Cho2017,TS+EL
0.659068,0.030479,200.000000,30,0,8,1,Cho2017,TS+EL
0.674193,0.034714,200.000000,31,0,8,1,Cho2017,TS+EL
0.502714,0.031208,200.000000,32,0,8,1,Cho2017,TS+EL
0.532319,0.031250,200.000000,33,0,8,1,Cho2017,TS+EL
0.478249,0.031640,200.000000,34,0,8,1,Cho2017,TS+EL
0.661790,0.032362,200.000000,35,0,8,1,Cho2017,TS+EL
0.592728,0.034132,200.000000,36,0,8,1,Cho2017,TS+EL
0.627314,0.033478,200.000000,37,0,8,1,Cho2017,TS+EL
0.550846,0.032043,200.000000,38,0,8,1,Cho2017,TS+EL
0.614361,0.033804,200.000000,39,0,8,1,Cho2017,TS+EL
0.567792,0.031405,200.000000,40,0,8,1,Cho2017,TS+EL
0.843699,0.031331,200.000000,41,0,8,1,Cho2017,TS+EL
0.658834,0.030201,200.000000,42,0,8,1,Cho2017,TS+EL
0.949987,0.032169,200.000000,43,0,8,1,Cho2017,TS+EL
0.520401,0.032814,200.000000,44,0,8,1,Cho2017,TS+EL
