score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.834500,0.036423,200.000000,1,0,12,1,Cho2017,CSP+SVM
0.579000,0.035950,200.000000,2,0,12,1,Cho2017,CSP+SVM
0.808500,0.036223,200.000000,3,0,12,1,Cho2017,CSP+SVM
0.617500,0.035464,200.000000,4,0,12,1,Cho2017,CSP+SVM
0.816500,0.035912,200.000000,5,0,12,1,Cho2017,CSP+SVM
0.542500,0.035563,200.000000,6,0,12,1,Cho2017,CSP+SVM
0.492014,0.045260,240.000000,7,0,12,1,Cho2017,CSP+SVM
0.607000,0.034696,200.000000,8,0,12,1,Cho2017,CSP+SVM
0.671875,0.042704,240.000000,9,0,12,1,Cho2017,CSP+SVM
0.723000,0.035664,200.000000,10,0,12,1,Cho2017,CSP+SVM
0.658500,0.035690,200.000000,11,0,12,1,Cho2017,CSP+SVM
0.734000,0.035491,200.000000,12,0,12,1,Cho2017,CSP+SVM
0.734000,0.035768,200.000000,13,0,12,1,Cho2017,CSP+SVM
0.908500,0.035522,200.000000,14,0,12,1,Cho2017,CSP+SVM
0.558000,0.035644,200.000000,15,0,12,1,Cho2017,CSP+SVM
0.557500,0.036657,200.000000,16,0,12,1,Cho2017,CSP+SVM
0.476000,0.035597,200.000000,17,0,12,1,Cho2017,CSP+SVM
0.619500,0.035579,200.000000,18,0,12,1,Cho2017,CSP+SVM
0.541000,0.036402,200.000000,19,0,12,1,Cho2017,CSP+SVM
0.724500,0.035826,200.000000,20,0,12,1,Cho2017,CSP+SVM
0.726500,0.035766,200.000000,21,0,12,1,Cho2017,CSP+SVM
0.593500,0.036027,200.000000,22,0,12,1,Cho2017,CSP+SVM
0.652500,0.036060,200.000000,23,0,12,1,Cho2017,CSP+SVM
0.768000,0.036311,200.000000,24,0,12,1,Cho2017,CSP+SVM
0.594500,0.036464,200.000000,25,0,12,1,Cho2017,CSP+SVM
0.669000,0.036032,200.000000,26,0,12,1,Cho2017,CSP+SVM
0.509000,0.034967,200.000000,27,0,12,1,Cho2017,CSP+SVM
0.558500,0.035874,200.000000,28,0,12,1,Cho2017,CSP+SVM
0.505000,0.036449,200.000000,29,0,12,1,Cho2017,CSP+SVM
0.530500,0.035857,200.000000,30,0,12,1,Cho2017,CSP+SVM
0.494500,0.035719,200.000000,31,0,12,1,Cho2017,CSP+SVM
0.525000,0.035787,200.000000,32,0,12,1,Cho2017,CSP+SVM
0.618500,0.035487,200.000000,33,0,12,1,Cho2017,CSP+SVM
0.572500,0.035705,200.000000,34,0,12,1,Cho2017,CSP+SVM
0.768000,0.035734,200.000000,35,0,12,1,Cho2017,CSP+SVM
0.631500,0.035635,200.000000,36,0,12,1,Cho2017,CSP+SVM
0.772500,0.035912,200.000000,37,0,12,1,Cho2017,CSP+SVM
0.579500,0.035787,200.000000,38,0,12,1,Cho2017,CSP+SVM
0.713000,0.036698,200.000000,39,0,12,1,Cho2017,CSP+SVM
0.537000,0.037538,200.000000,40,0,12,1,Cho2017,CSP+SVM
0.672500,0.035511,200.000000,41,0,12,1,Cho2017,CSP+SVM
0.621000,0.036686,200.000000,42,0,12,1,Cho2017,CSP+SVM
