score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.748981,0.038346,200.000000,1,0,12,1,Cho2017,CSP+SVM
0.574782,0.037229,200.000000,2,0,12,1,Cho2017,CSP+SVM
0.733908,0.039559,200.000000,3,0,12,1,Cho2017,CSP+SVM
0.575705,0.040659,200.000000,4,0,12,1,Cho2017,CSP+SVM
0.732951,0.040274,200.000000,5,0,12,1,Cho2017,CSP+SVM
0.528391,0.037964,200.000000,6,0,12,1,Cho2017,CSP+SVM
0.490165,0.045401,240.000000,7,0,12,1,Cho2017,CSP+SVM
0.561734,0.037913,200.000000,8,0,12,1,Cho2017,CSP+SVM
0.595974,0.048095,240.000000,9,0,12,1,Cho2017,CSP+SVM
0.655944,0.038379,200.000000,10,0,12,1,Cho2017,CSP+SVM
0.607378,0.038567,200.000000,11,0,12,1,Cho2017,CSP+SVM
0.666725,0.037650,200.000000,12,0,12,1,Cho2017,CSP+SVM
0.638815,0.038086,200.000000,13,0,12,1,Cho2017,CSP+SVM
0.812255,0.037321,200.000000,14,0,12,1,Cho2017,CSP+SVM
0.526895,0.037565,200.000000,15,0,12,1,Cho2017,CSP+SVM
0.527381,0.037829,200.000000,16,0,12,1,Cho2017,CSP+SVM
0.461786,0.037291,200.000000,17,0,12,1,Cho2017,CSP+SVM
0.547873,0.037071,200.000000,18,0,12,1,Cho2017,CSP+SVM
0.540136,0.037056,200.000000,19,0,12,1,Cho2017,CSP+SVM
0.681135,0.036451,200.000000,20,0,12,1,Cho2017,CSP+SVM
0.708274,0.036229,200.000000,21,0,12,1,Cho2017,CSP+SVM
0.557662,0.036404,200.000000,22,0,12,1,Cho2017,CSP+SVM
0.589574,0.037102,200.000000,23,0,12,1,Cho2017,CSP+SVM
0.693224,0.036024,200.000000,24,0,12,1,Cho2017,CSP+SVM
0.583994,0.036372,200.000000,25,0,12,1,Cho2017,CSP+SVM
0.649165,0.037408,200.000000,26,0,12,1,Cho2017,CSP+SVM
0.508547,0.036002,200.000000,27,0,12,1,Cho2017,CSP+SVM
0.568692,0.036028,200.000000,28,0,12,1,Cho2017,CSP+SVM
0.505744,0.036229,200.000000,29,0,12,1,Cho2017,CSP+SVM
0.491283,0.037126,200.000000,30,0,12,1,Cho2017,CSP+SVM
0.489593,0.036278,200.000000,31,0,12,1,Cho2017,CSP+SVM
0.521505,0.035784,200.000000,32,0,12,1,Cho2017,CSP+SVM
0.552768,0.036051,200.000000,33,0,12,1,Cho2017,CSP+SVM
0.516424,0.036437,200.000000,34,0,12,1,Cho2017,CSP+SVM
0.733744,0.040232,200.000000,35,0,12,1,Cho2017,CSP+SVM
0.623892,0.037502,200.000000,36,0,12,1,Cho2017,CSP+SVM
0.686127,0.037727,200.000000,37,0,12,1,Cho2017,CSP+SVM
0.469328,0.041335,200.000000,38,0,12,1,Cho2017,CSP+SVM
0.679178,0.036466,200.000000,39,0,12,1,Cho2017,CSP+SVM
0.507149,0.036421,200.000000,40,0,12,1,Cho2017,CSP+SVM
0.627314,0.045072,200.000000,41,0,12,1,Cho2017,CSP+SVM
0.606522,0.036857,200.000000,42,0,12,1,Cho2017,CSP+SVM
0.864738,0.036402,200.000000,43,0,12,1,Cho2017,CSP+SVM
0.638250,0.037842,200.000000,44,0,12,1,Cho2017,CSP+SVM
0.518334,0.036886,200.000000,45,0,12,1,Cho2017,CSP+SVM
0.715482,0.043570,240.000000,46,0,12,1,Cho2017,CSP+SVM
0.644152,0.037593,200.000000,47,0,12,1,Cho2017,CSP+SVM
0.626540,0.036988,200.000000,48,0,12,1,Cho2017,CSP+SVM
0.715888,0.037259,200.000000,49,0,12,1,Cho2017,CSP+SVM
0.783955,0.036961,200.000000,50,0,12,1,Cho2017,CSP+SVM
0.537848,0.036452,200.000000,51,0,12,1,Cho2017,CSP+SVM
0.552264,0.036255,200.000000,52,0,12,1,Cho2017,CSP+SVM
0.774291,0.045818,200.000000,1,0,12,1,Cho2017,TS+SVM
0.550592,0.047385,200.000000,2,0,12,1,Cho2017,TS+SVM
0.733340,0.044467,200.000000,3,0,12,1,Cho2017,TS+SVM
0.635235,0.045676,200.000000,4,0,12,1,Cho2017,TS+SVM
0.724236,0.048496,200.000000,5,0,12,1,Cho2017,TS+SVM
0.602958,0.045866,200.000000,6,0,12,1,Cho2017,TS+SVM
0.523161,0.054729,240.000000,7,0,12,1,Cho2017,TS+SVM
0.527351,0.046320,200.000000,8,0,12,1,Cho2017,TS+SVM
0.607631,0.053480,240.000000,9,0,12,1,Cho2017,TS+SVM
0.612633,0.043413,200.000000,10,0,12,1,Cho2017,TS+SVM
0.638054,0.043870,200.000000,11,0,12,1,Cho2017,TS+SVM
0.672683,0.044535,200.000000,12,0,12,1,Cho2017,TS+SVM
0.693763,0.044771,200.000000,13,0,12,1,Cho2017,TS+SVM
0.839679,0.044034,200.000000,14,0,12,1,Cho2017,TS+SVM
0.638645,0.046029,200.000000,15,0,12,1,Cho2017,TS+SVM
