score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.745000,0.021083,200.000000,1,0,8,1,Cho2017,CSP+LDA
0.571500,0.020783,200.000000,2,0,8,1,Cho2017,CSP+LDA
0.703500,0.020181,200.000000,3,0,8,1,Cho2017,CSP+LDA
0.593500,0.020238,200.000000,4,0,8,1,Cho2017,CSP+LDA
0.732500,0.020600,200.000000,5,0,8,1,Cho2017,CSP+LDA
0.555500,0.020279,200.000000,6,0,8,1,Cho2017,CSP+LDA
0.526389,0.027380,240.000000,7,0,8,1,Cho2017,CSP+LDA
0.601500,0.020271,200.000000,8,0,8,1,Cho2017,CSP+LDA
0.622917,0.026837,240.000000,9,0,8,1,Cho2017,CSP+LDA
0.587500,0.020322,200.000000,10,0,8,1,Cho2017,CSP+LDA
0.614000,0.020523,200.000000,11,0,8,1,Cho2017,CSP+LDA
0.641000,0.020419,200.000000,12,0,8,1,Cho2017,CSP+LDA
0.722000,0.020536,200.000000,13,0,8,1,Cho2017,CSP+LDA
0.666500,0.020477,200.000000,14,0,8,1,Cho2017,CSP+LDA
0.489500,0.020702,200.000000,15,0,8,1,Cho2017,CSP+LDA
0.520000,0.020202,200.000000,16,0,8,1,Cho2017,CSP+LDA
0.532000,0.020623,200.000000,17,0,8,1,Cho2017,CSP+LDA
0.532500,0.020550,200.000000,18,0,8,1,Cho2017,CSP+LDA
0.518500,0.020430,200.000000,19,0,8,1,Cho2017,CSP+LDA
0.737500,0.020442,200.000000,20,0,8,1,Cho2017,CSP+LDA
0.566500,0.020414,200.000000,21,0,8,1,Cho2017,CSP+LDA
0.586000,0.020620,200.000000,22,0,8,1,Cho2017,CSP+LDA
0.584500,0.020429,200.000000,23,0,8,1,Cho2017,CSP+LDA
0.647000,0.020416,200.000000,24,0,8,1,Cho2017,CSP+LDA
0.552500,0.020462,200.000000,25,0,8,1,Cho2017,CSP+LDA
0.726500,0.020617,200.000000,26,0,8,1,Cho2017,CSP+LDA
0.545500,0.020295,200.000000,27,0,8,1,Cho2017,CSP+LDA
0.589500,0.020552,200.000000,28,0,8,1,Cho2017,CSP+LDA
0.552000,0.020232,200.000000,29,0,8,1,Cho2017,CSP+LDA
0.558000,0.020519,200.000000,30,0,8,1,Cho2017,CSP+LDA
0.417500,0.020526,200.000000,31,0,8,1,Cho2017,CSP+LDA
0.567500,0.020586,200.000000,32,0,8,1,Cho2017,CSP+LDA
0.585000,0.020421,200.000000,33,0,8,1,Cho2017,CSP+LDA
0.576000,0.020450,200.000000,34,0,8,1,Cho2017,CSP+LDA
0.716000,0.020672,200.000000,35,0,8,1,Cho2017,CSP+LDA
0.469500,0.020386,200.000000,36,0,8,1,Cho2017,CSP+LDA
0.779500,0.020670,200.000000,37,0,8,1,Cho2017,CSP+LDA
0.533500,0.020459,200.000000,38,0,8,1,Cho2017,CSP+LDA
0.675500,0.020444,200.000000,39,0,8,1,Cho2017,CSP+LDA
