score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.659430,0.022011,200.000000,1,0,8,1,Cho2017,CSP+LDA
0.551750,0.020693,200.000000,2,0,8,1,Cho2017,CSP+LDA
0.663154,0.020522,200.000000,3,0,8,1,Cho2017,CSP+LDA
0.561920,0.020794,200.000000,4,0,8,1,Cho2017,CSP+LDA
0.672413,0.020813,200.000000,5,0,8,1,Cho2017,CSP+LDA
0.528496,0.021223,200.000000,6,0,8,1,Cho2017,CSP+LDA
0.486497,0.027625,240.000000,7,0,8,1,Cho2017,CSP+LDA
0.549272,0.021462,200.000000,8,0,8,1,Cho2017,CSP+LDA
0.568885,0.026997,240.000000,9,0,8,1,Cho2017,CSP+LDA
0.564446,0.020604,200.000000,10,0,8,1,Cho2017,CSP+LDA
0.582230,0.020691,200.000000,11,0,8,1,Cho2017,CSP+LDA
0.572515,0.020490,200.000000,12,0,8,1,Cho2017,CSP+LDA
0.647326,0.020985,200.000000,13,0,8,1,Cho2017,CSP+LDA
0.636975,0.020633,200.000000,14,0,8,1,Cho2017,CSP+LDA
0.503574,0.020630,200.000000,15,0,8,1,Cho2017,CSP+LDA
0.500761,0.020591,200.000000,16,0,8,1,Cho2017,CSP+LDA
0.541690,0.020551,200.000000,17,0,8,1,Cho2017,CSP+LDA
0.509366,0.020778,200.000000,18,0,8,1,Cho2017,CSP+LDA
0.482878,0.020817,200.000000,19,0,8,1,Cho2017,CSP+LDA
0.687437,0.020540,200.000000,20,0,8,1,Cho2017,CSP+LDA
0.563117,0.020741,200.000000,21,0,8,1,Cho2017,CSP+LDA
0.558568,0.020781,200.000000,22,0,8,1,Cho2017,CSP+LDA
0.574181,0.020653,200.000000,23,0,8,1,Cho2017,CSP+LDA
0.618353,0.020449,200.000000,24,0,8,1,Cho2017,CSP+LDA
0.557159,0.020563,200.000000,25,0,8,1,Cho2017,CSP+LDA
0.674275,0.020837,200.000000,26,0,8,1,Cho2017,CSP+LDA
0.534390,0.020858,200.000000,27,0,8,1,Cho2017,CSP+LDA
0.558055,0.020764,200.000000,28,0,8,1,Cho2017,CSP+LDA
0.550725,0.020489,200.000000,29,0,8,1,Cho2017,CSP+LDA
0.536848,0.020556,200.000000,30,0,8,1,Cho2017,CSP+LDA
