score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.856000,0.027037,200.000000,1,0,9,1,Cho2017,CSP+LDA
0.380000,0.026496,200.000000,2,0,9,1,Cho2017,CSP+LDA
0.856500,0.026134,200.000000,3,0,9,1,Cho2017,CSP+LDA
0.889500,0.026356,200.000000,4,0,9,1,Cho2017,CSP+LDA
0.598500,0.028205,200.000000,5,0,9,1,Cho2017,CSP+LDA
0.658500,0.026306,200.000000,6,0,9,1,Cho2017,CSP+LDA
0.388889,0.030250,240.000000,7,0,9,1,Cho2017,CSP+LDA
0.475500,0.026672,200.000000,8,0,9,1,Cho2017,CSP+LDA
0.799653,0.029802,240.000000,9,0,9,1,Cho2017,CSP+LDA
0.832500,0.026955,200.000000,10,0,9,1,Cho2017,CSP+LDA
0.748500,0.028523,200.000000,11,0,9,1,Cho2017,CSP+LDA
0.766500,0.027106,200.000000,12,0,9,1,Cho2017,CSP+LDA
0.707000,0.026775,200.000000,13,0,9,1,Cho2017,CSP+LDA
0.997000,0.027277,200.000000,14,0,9,1,Cho2017,CSP+LDA
0.741500,0.026779,200.000000,15,0,9,1,Cho2017,CSP+LDA
0.660500,0.026975,200.000000,16,0,9,1,Cho2017,CSP+LDA
0.528000,0.026667,200.000000,17,0,9,1,Cho2017,CSP+LDA
0.704500,0.027190,200.000000,18,0,9,1,Cho2017,CSP+LDA
0.718500,0.027368,200.000000,19,0,9,1,Cho2017,CSP+LDA
0.786500,0.026525,200.000000,20,0,9,1,Cho2017,CSP+LDA
0.769000,0.026744,200.000000,21,0,9,1,Cho2017,CSP+LDA
0.677500,0.027041,200.000000,22,0,9,1,Cho2017,CSP+LDA
0.713500,0.027325,200.000000,23,0,9,1,Cho2017,CSP+LDA
0.736500,0.027191,200.000000,24,0,9,1,Cho2017,CSP+LDA
0.715500,0.026859,200.000000,25,0,9,1,Cho2017,CSP+LDA
0.531500,0.027429,200.000000,26,0,9,1,Cho2017,CSP+LDA
0.603500,0.026145,200.000000,27,0,9,1,Cho2017,CSP+LDA
0.473000,0.027375,200.000000,28,0,9,1,Cho2017,CSP+LDA
0.500000,0.026665,200.000000,29,0,9,1,Cho2017,CSP+LDA
0.717500,0.026527,200.000000,30,0,9,1,Cho2017,CSP+LDA
0.780000,0.026769,200.000000,31,0,9,1,Cho2017,CSP+LDA
0.497500,0.027021,200.000000,32,0,9,1,Cho2017,CSP+LDA
0.446000,0.026765,200.000000,33,0,9,1,Cho2017,CSP+LDA
0.511000,0.026687,200.000000,34,0,9,1,Cho2017,CSP+LDA
0.804500,0.027525,200.000000,35,0,9,1,Cho2017,CSP+LDA
0.689000,0.027240,200.000000,36,0,9,1,Cho2017,CSP+LDA
0.751000,0.027065,200.000000,37,0,9,1,Cho2017,CSP+LDA
0.512000,0.027004,200.000000,38,0,9,1,Cho2017,CSP+LDA
0.726000,0.028674,200.000000,39,0,9,1,Cho2017,CSP+LDA
0.502000,0.028444,200.000000,40,0,9,1,Cho2017,CSP+LDA
0.903500,0.027222,200.000000,41,0,9,1,Cho2017,CSP+LDA
0.715500,0.026683,200.000000,42,0,9,1,Cho2017,CSP+LDA
0.997500,0.026714,200.000000,43,0,9,1,Cho2017,CSP+LDA
0.724000,0.027288,200.000000,44,0,9,1,Cho2017,CSP+LDA
0.564000,0.027338,200.000000,45,0,9,1,Cho2017,CSP+LDA
0.743403,0.030695,240.000000,46,0,9,1,Cho2017,CSP+LDA
0.649000,0.026692,200.000000,47,0,9,1,Cho2017,CSP+LDA
0.808500,0.027479,200.000000,48,0,9,1,Cho2017,CSP+LDA
0.742000,0.026676,200.000000,49,0,9,1,Cho2017,CSP+LDA
0.473000,0.026795,200.000000,50,0,9,1,Cho2017,CSP+LDA
0.616500,0.026727,200.000000,51,0,9,1,Cho2017,CSP+LDA
0.675500,0.026745,200.000000,52,0,9,1,Cho2017,CSP+LDA
0.884000,0.032963,200.000000,1,0,9,1,Cho2017,TS+EL
0.495500,0.037300,200.000000,2,0,9,1,Cho2017,TS+EL
0.911000,0.034272,200.000000,3,0,9,1,Cho2017,TS+EL
0.886500,0.033734,200.000000,4,0,9,1,Cho2017,TS+EL
0.614000,0.034738,200.000000,5,0,9,1,Cho2017,TS+EL
0.654000,0.035692,200.000000,6,0,9,1,Cho2017,TS+EL
0.477778,0.044144,240.000000,7,0,9,1,Cho2017,TS+EL
0.476500,0.033481,200.000000,8,0,9,1,Cho2017,TS+EL
0.785764,0.039561,240.000000,9,0,9,1,Cho2017,TS+EL
0.832500,0.035005,200.000000,10,0,9,1,Cho2017,TS+EL
0.730000,0.034871,200.000000,11,0,9,1,Cho2017,TS+EL
0.788000,0.034516,200.000000,12,0,9,1,Cho2017,TS+EL
0.717500,0.033017,200.000000,13,0,9,1,Cho2017,TS+EL
0.993000,0.033944,200.000000,14,0,9,1,Cho2017,TS+EL
0.783000,0.036052,200.000000,15,0,9,1,Cho2017,TS+EL
0.638500,0.037083,200.000000,16,0,9,1,Cho2017,TS+EL
0.513000,0.035806,200.000000,17,0,9,1,Cho2017,TS+EL
0.720000,0.034891,200.000000,18,0,9,1,Cho2017,TS+EL
0.741000,0.033318,200.000000,19,0,9,1,Cho2017,TS+EL
0.764500,0.033230,200.000000,20,0,9,1,Cho2017,TS+EL
0.749000,0.033911,200.000000,21,0,9,1,Cho2017,TS+EL
0.701500,0.033212,200.000000,22,0,9,1,Cho2017,TS+EL
0.798000,0.034221,200.000000,23,0,9,1,Cho2017,TS+EL
0.734500,0.033992,200.000000,24,0,9,1,Cho2017,TS+EL
0.716500,0.033616,200.000000,25,0,9,1,Cho2017,TS+EL
0.595000,0.036694,200.000000,26,0,9,1,Cho2017,TS+EL
0.635500,0.033553,200.000000,27,0,9,1,Cho2017,TS+EL
0.536000,0.033360,200.000000,28,0,9,1,Cho2017,TS+EL
0.478000,0.036577,200.000000,29,0,9,1,Cho2017,TS+EL
0.721000,0.031880,200.000000,30,0,9,1,Cho2017,TS+EL
0.781000,0.033165,200.000000,31,0,9,1,Cho2017,TS+EL
0.537000,0.035633,200.000000,32,0,9,1,Cho2017,TS+EL
0.474000,0.036021,200.000000,33,0,9,1,Cho2017,TS+EL
0.567500,0.033612,200.000000,34,0,9,1,Cho2017,TS+EL
0.825500,0.035351,200.000000,35,0,9,1,Cho2017,TS+EL
0.747500,0.039141,200.000000,36,0,9,1,Cho2017,TS+EL
0.772500,0.033229,200.000000,37,0,9,1,Cho2017,TS+EL
0.528500,0.034165,200.000000,38,0,9,1,Cho2017,TS+EL
0.699500,0.038363,200.000000,39,0,9,1,Cho2017,TS+EL
0.506000,0.034450,200.000000,40,0,9,1,Cho2017,TS+EL
0.920000,0.033276,200.000000,41,0,9,1,Cho2017,TS+EL
0.710500,0.034205,200.000000,42,0,9,1,Cho2017,TS+EL
0.997000,0.033493,200.000000,43,0,9,1,Cho2017,TS+EL
0.732500,0.038366,200.000000,44,0,9,1,Cho2017,TS+EL
0.609000,0.037345,200.000000,45,0,9,1,Cho2017,TS+EL
0.798264,0.041978,240.000000,46,0,9,1,Cho2017,TS+EL
0.659000,0.035769,200.000000,47,0,9,1,Cho2017,TS+EL
0.800500,0.033219,200.000000,48,0,9,1,Cho2017,TS+EL
0.754500,0.033963,200.000000,49,0,9,1,Cho2017,TS+EL
0.555000,0.034517,200.000000,50,0,9,1,Cho2017,TS+EL
0.625000,0.033606,200.000000,51,0,9,1,Cho2017,TS+EL
0.774000,0.033317,200.000000,52,0,9,1,Cho2017,TS+EL
0.877000,0.032344,200.000000,1,0,9,1,Cho2017,TS+SVM
0.505500,0.032974,200.000000,2,0,9,1,Cho2017,TS+SVM
0.902500,0.033139,200.000000,3,0,9,1,Cho2017,TS+SVM
0.858500,0.031900,200.000000,4,0,9,1,Cho2017,TS+SVM
0.544000,0.032250,200.000000,5,0,9,1,Cho2017,TS+SVM
0.646000,0.035784,200.000000,6,0,9,1,Cho2017,TS+SVM
0.473611,0.039680,240.000000,7,0,9,1,Cho2017,TS+SVM
0.449000,0.033449,200.000000,8,0,9,1,Cho2017,TS+SVM
0.786111,0.038737,240.000000,9,0,9,1,Cho2017,TS+SVM
0.830000,0.033436,200.000000,10,0,9,1,Cho2017,TS+SVM
0.754000,0.033060,200.000000,11,0,9,1,Cho2017,TS+SVM
0.766000,0.033307,200.000000,12,0,9,1,Cho2017,TS+SVM
0.667000,0.032401,200.000000,13,0,9,1,Cho2017,TS+SVM
0.993000,0.032537,200.000000,14,0,9,1,Cho2017,TS+SVM
0.758000,0.033862,200.000000,15,0,9,1,Cho2017,TS+SVM
0.629000,0.034492,200.000000,16,0,9,1,Cho2017,TS+SVM
0.497500,0.032983,200.000000,17,0,9,1,Cho2017,TS+SVM
0.739000,0.035493,200.000000,18,0,9,1,Cho2017,TS+SVM
0.741500,0.032885,200.000000,19,0,9,1,Cho2017,TS+SVM
0.739000,0.032074,200.000000,20,0,9,1,Cho2017,TS+SVM
0.736000,0.032793,200.000000,21,0,9,1,Cho2017,TS+SVM
0.677500,0.033328,200.000000,22,0,9,1,Cho2017,TS+SVM
0.797500,0.033204,200.000000,23,0,9,1,Cho2017,TS+SVM
0.711000,0.033219,200.000000,24,0,9,1,Cho2017,TS+SVM
0.714500,0.032302,200.000000,25,0,9,1,Cho2017,TS+SVM
0.574500,0.033649,200.000000,26,0,9,1,Cho2017,TS+SVM
0.646500,0.032536,200.000000,27,0,9,1,Cho2017,TS+SVM
0.534500,0.032865,200.000000,28,0,9,1,Cho2017,TS+SVM
0.500500,0.035683,200.000000,29,0,9,1,Cho2017,TS+SVM
0.707500,0.031919,200.000000,30,0,9,1,Cho2017,TS+SVM
0.753000,0.032345,200.000000,31,0,9,1,Cho2017,TS+SVM
0.541000,0.035686,200.000000,32,0,9,1,Cho2017,TS+SVM
0.498000,0.033935,200.000000,33,0,9,1,Cho2017,TS+SVM
0.565500,0.032328,200.000000,34,0,9,1,Cho2017,TS+SVM
0.824000,0.032290,200.000000,35,0,9,1,Cho2017,TS+SVM
0.734000,0.035607,200.000000,36,0,9,1,Cho2017,TS+SVM
0.757000,0.032474,200.000000,37,0,9,1,Cho2017,TS+SVM
0.519500,0.033143,200.000000,38,0,9,1,Cho2017,TS+SVM
0.709000,0.033998,200.000000,39,0,9,1,Cho2017,TS+SVM
0.534000,0.033662,200.000000,40,0,9,1,Cho2017,TS+SVM
0.903000,0.032377,200.000000,41,0,9,1,Cho2017,TS+SVM
0.658000,0.032615,200.000000,42,0,9,1,Cho2017,TS+SVM
0.997500,0.032730,200.000000,43,0,9,1,Cho2017,TS+SVM
