score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.743948,0.027655,200.000000,1,0,9,1,Cho2017,CSP+LDA
0.406828,0.027588,200.000000,2,0,9,1,Cho2017,CSP+LDA
0.764796,0.027092,200.000000,3,0,9,1,Cho2017,CSP+LDA
0.823579,0.028844,200.000000,4,0,9,1,Cho2017,CSP+LDA
0.587840,0.027810,200.000000,5,0,9,1,Cho2017,CSP+LDA
0.613860,0.027431,200.000000,6,0,9,1,Cho2017,CSP+LDA
0.461128,0.029977,240.000000,7,0,9,1,Cho2017,CSP+LDA
0.481377,0.028065,200.000000,8,0,9,1,Cho2017,CSP+LDA
0.707716,0.030071,240.000000,9,0,9,1,Cho2017,CSP+LDA
0.749224,0.027259,200.000000,10,0,9,1,Cho2017,CSP+LDA
0.672529,0.027938,200.000000,11,0,9,1,Cho2017,CSP+LDA
0.670881,0.026894,200.000000,12,0,9,1,Cho2017,CSP+LDA
0.633920,0.026999,200.000000,13,0,9,1,Cho2017,CSP+LDA
0.959988,0.026733,200.000000,14,0,9,1,Cho2017,CSP+LDA
0.669092,0.027410,200.000000,15,0,9,1,Cho2017,CSP+LDA
0.643583,0.027001,200.000000,16,0,9,1,Cho2017,CSP+LDA
0.481644,0.027811,200.000000,17,0,9,1,Cho2017,CSP+LDA
0.642772,0.026978,200.000000,18,0,9,1,Cho2017,CSP+LDA
0.654211,0.026860,200.000000,19,0,9,1,Cho2017,CSP+LDA
0.706754,0.026766,200.000000,20,0,9,1,Cho2017,CSP+LDA
0.664301,0.026844,200.000000,21,0,9,1,Cho2017,CSP+LDA
0.622274,0.028143,200.000000,22,0,9,1,Cho2017,CSP+LDA
0.662466,0.028436,200.000000,23,0,9,1,Cho2017,CSP+LDA
0.632229,0.028269,200.000000,24,0,9,1,Cho2017,CSP+LDA
0.678174,0.028371,200.000000,25,0,9,1,Cho2017,CSP+LDA
0.540490,0.027249,200.000000,26,0,9,1,Cho2017,CSP+LDA
0.545127,0.026686,200.000000,27,0,9,1,Cho2017,CSP+LDA
0.482947,0.031003,200.000000,28,0,9,1,Cho2017,CSP+LDA
0.521845,0.028729,200.000000,29,0,9,1,Cho2017,CSP+LDA
0.679190,0.027666,200.000000,30,0,9,1,Cho2017,CSP+LDA
0.697762,0.027107,200.000000,31,0,9,1,Cho2017,CSP+LDA
0.472787,0.027389,200.000000,32,0,9,1,Cho2017,CSP+LDA
0.441705,0.026977,200.000000,33,0,9,1,Cho2017,CSP+LDA
0.502316,0.028809,200.000000,34,0,9,1,Cho2017,CSP+LDA
0.753455,0.026717,200.000000,35,0,9,1,Cho2017,CSP+LDA
0.608366,0.026678,200.000000,36,0,9,1,Cho2017,CSP+LDA
0.647660,0.026947,200.000000,37,0,9,1,Cho2017,CSP+LDA
0.507623,0.027014,200.000000,38,0,9,1,Cho2017,CSP+LDA
0.671562,0.026946,200.000000,39,0,9,1,Cho2017,CSP+LDA
0.487513,0.026754,200.000000,40,0,9,1,Cho2017,CSP+LDA
0.829774,0.027235,200.000000,41,0,9,1,Cho2017,CSP+LDA
0.658880,0.027714,200.000000,42,0,9,1,Cho2017,CSP+LDA
0.974966,0.027242,200.000000,43,0,9,1,Cho2017,CSP+LDA
0.704003,0.027183,200.000000,44,0,9,1,Cho2017,CSP+LDA
0.541076,0.026677,200.000000,45,0,9,1,Cho2017,CSP+LDA
0.672802,0.031267,240.000000,46,0,9,1,Cho2017,CSP+LDA
0.598966,0.027097,200.000000,47,0,9,1,Cho2017,CSP+LDA
0.742770,0.027349,200.000000,48,0,9,1,Cho2017,CSP+LDA
0.648268,0.026966,200.000000,49,0,9,1,Cho2017,CSP+LDA
0.453789,0.027686,200.000000,50,0,9,1,Cho2017,CSP+LDA
0.567640,0.027420,200.000000,51,0,9,1,Cho2017,CSP+LDA
0.649010,0.032436,200.000000,52,0,9,1,Cho2017,CSP+LDA
0.814608,0.033286,200.000000,1,0,9,1,Cho2017,TS+EL
0.539187,0.038468,200.000000,2,0,9,1,Cho2017,TS+EL
0.794273,0.035432,200.000000,3,0,9,1,Cho2017,TS+EL
0.797679,0.033969,200.000000,4,0,9,1,Cho2017,TS+EL
0.560133,0.035657,200.000000,5,0,9,1,Cho2017,TS+EL
0.619200,0.035437,200.000000,6,0,9,1,Cho2017,TS+EL
0.477118,0.044248,240.000000,7,0,9,1,Cho2017,TS+EL
0.496852,0.034359,200.000000,8,0,9,1,Cho2017,TS+EL
0.689929,0.039970,240.000000,9,0,9,1,Cho2017,TS+EL
0.744796,0.036431,200.000000,10,0,9,1,Cho2017,TS+EL
0.671824,0.034231,200.000000,11,0,9,1,Cho2017,TS+EL
0.676374,0.034238,200.000000,12,0,9,1,Cho2017,TS+EL
0.652348,0.033862,200.000000,13,0,9,1,Cho2017,TS+EL
0.964997,0.034259,200.000000,14,0,9,1,Cho2017,TS+EL
0.724740,0.037846,200.000000,15,0,9,1,Cho2017,TS+EL
0.577565,0.038620,200.000000,16,0,9,1,Cho2017,TS+EL
0.510993,0.035490,200.000000,17,0,9,1,Cho2017,TS+EL
0.653289,0.034384,200.000000,18,0,9,1,Cho2017,TS+EL
0.677855,0.032999,200.000000,19,0,9,1,Cho2017,TS+EL
0.681776,0.033119,200.000000,20,0,9,1,Cho2017,TS+EL
0.664118,0.035381,200.000000,21,0,9,1,Cho2017,TS+EL
0.639511,0.034936,200.000000,22,0,9,1,Cho2017,TS+EL
0.724109,0.034562,200.000000,23,0,9,1,Cho2017,TS+EL
0.662721,0.033023,200.000000,24,0,9,1,Cho2017,TS+EL
0.658514,0.033696,200.000000,25,0,9,1,Cho2017,TS+EL
0.563616,0.037282,200.000000,26,0,9,1,Cho2017,TS+EL
0.569405,0.034510,200.000000,27,0,9,1,Cho2017,TS+EL
0.547444,0.033425,200.000000,28,0,9,1,Cho2017,TS+EL
0.487982,0.036890,200.000000,29,0,9,1,Cho2017,TS+EL
0.703584,0.031881,200.000000,30,0,9,1,Cho2017,TS+EL
0.682110,0.034430,200.000000,31,0,9,1,Cho2017,TS+EL
0.507310,0.035723,200.000000,32,0,9,1,Cho2017,TS+EL
0.482099,0.034685,200.000000,33,0,9,1,Cho2017,TS+EL
0.523600,0.034153,200.000000,34,0,9,1,Cho2017,TS+EL
0.778506,0.032901,200.000000,35,0,9,1,Cho2017,TS+EL
0.712155,0.038283,200.000000,36,0,9,1,Cho2017,TS+EL
0.672180,0.032849,200.000000,37,0,9,1,Cho2017,TS+EL
0.492891,0.033936,200.000000,38,0,9,1,Cho2017,TS+EL
0.659039,0.035319,200.000000,39,0,9,1,Cho2017,TS+EL
0.538115,0.034413,200.000000,40,0,9,1,Cho2017,TS+EL
0.839454,0.032956,200.000000,41,0,9,1,Cho2017,TS+EL
0.663728,0.035570,200.000000,42,0,9,1,Cho2017,TS+EL
0.974984,0.034415,200.000000,43,0,9,1,Cho2017,TS+EL
0.680647,0.038878,200.000000,44,0,9,1,Cho2017,TS+EL
0.566401,0.037264,200.000000,45,0,9,1,Cho2017,TS+EL
0.709696,0.040149,240.000000,46,0,9,1,Cho2017,TS+EL
0.629555,0.034495,200.000000,47,0,9,1,Cho2017,TS+EL
0.733544,0.033843,200.000000,48,0,9,1,Cho2017,TS+EL
0.694482,0.033133,200.000000,49,0,9,1,Cho2017,TS+EL
0.526028,0.034420,200.000000,50,0,9,1,Cho2017,TS+EL
0.587025,0.034085,200.000000,51,0,9,1,Cho2017,TS+EL
0.713871,0.034466,200.000000,52,0,9,1,Cho2017,TS+EL
0.799574,0.032470,200.000000,1,0,9,1,Cho2017,TS+SVM
0.523260,0.034476,200.000000,2,0,9,1,Cho2017,TS+SVM
0.799320,0.033548,200.000000,3,0,9,1,Cho2017,TS+SVM
0.761021,0.033958,200.000000,4,0,9,1,Cho2017,TS+SVM
0.533192,0.033541,200.000000,5,0,9,1,Cho2017,TS+SVM
0.589603,0.033503,200.000000,6,0,9,1,Cho2017,TS+SVM
0.478640,0.040438,240.000000,7,0,9,1,Cho2017,TS+SVM
0.455647,0.033450,200.000000,8,0,9,1,Cho2017,TS+SVM
0.697901,0.039296,240.000000,9,0,9,1,Cho2017,TS+SVM
0.739156,0.032668,200.000000,10,0,9,1,Cho2017,TS+SVM
