score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.578000,0.024135,200.000000,1,0,5,1,Cho2017,TS+LR
0.473000,0.023809,200.000000,2,0,5,1,Cho2017,TS+LR
0.689500,0.023740,200.000000,3,0,5,1,Cho2017,TS+LR
0.517000,0.024077,200.000000,4,0,5,1,Cho2017,TS+LR
0.587000,0.023823,200.000000,5,0,5,1,Cho2017,TS+LR
0.502500,0.024165,200.000000,6,0,5,1,Cho2017,TS+LR
0.448958,0.028355,240.000000,7,0,5,1,Cho2017,TS+LR
0.387000,0.024164,200.000000,8,0,5,1,Cho2017,TS+LR
0.633333,0.027992,240.000000,9,0,5,1,Cho2017,TS+LR
0.639500,0.024362,200.000000,10,0,5,1,Cho2017,TS+LR
0.528000,0.023681,200.000000,11,0,5,1,Cho2017,TS+LR
0.526500,0.023803,200.000000,12,0,5,1,Cho2017,TS+LR
0.624500,0.024426,200.000000,13,0,5,1,Cho2017,TS+LR
0.592500,0.024746,200.000000,14,0,5,1,Cho2017,TS+LR
0.526000,0.024058,200.000000,15,0,5,1,Cho2017,TS+LR
0.478000,0.024176,200.000000,16,0,5,1,Cho2017,TS+LR
0.470500,0.024537,200.000000,17,0,5,1,Cho2017,TS+LR
0.485500,0.024999,200.000000,18,0,5,1,Cho2017,TS+LR
0.448500,0.024657,200.000000,19,0,5,1,Cho2017,TS+LR
0.651000,0.024561,200.000000,20,0,5,1,Cho2017,TS+LR
0.578500,0.024732,200.000000,21,0,5,1,Cho2017,TS+LR
0.542000,0.025270,200.000000,22,0,5,1,Cho2017,TS+LR
0.617000,0.024828,200.000000,23,0,5,1,Cho2017,TS+LR
0.443500,0.024671,200.000000,24,0,5,1,Cho2017,TS+LR
0.589500,0.024981,200.000000,25,0,5,1,Cho2017,TS+LR
0.748500,0.025474,200.000000,26,0,5,1,Cho2017,TS+LR
0.518500,0.024766,200.000000,27,0,5,1,Cho2017,TS+LR
0.591000,0.024913,200.000000,28,0,5,1,Cho2017,TS+LR
0.501000,0.025749,200.000000,29,0,5,1,Cho2017,TS+LR
0.467500,0.024441,200.000000,30,0,5,1,Cho2017,TS+LR
0.490000,0.024106,200.000000,31,0,5,1,Cho2017,TS+LR
0.562500,0.024471,200.000000,32,0,5,1,Cho2017,TS+LR
0.403500,0.024478,200.000000,33,0,5,1,Cho2017,TS+LR
0.552000,0.027814,200.000000,34,0,5,1,Cho2017,TS+LR
0.693500,0.024663,200.000000,35,0,5,1,Cho2017,TS+LR
0.419000,0.025331,200.000000,36,0,5,1,Cho2017,TS+LR
0.793000,0.025270,200.000000,37,0,5,1,Cho2017,TS+LR
0.354500,0.024811,200.000000,38,0,5,1,Cho2017,TS+LR
0.577500,0.024894,200.000000,39,0,5,1,Cho2017,TS+LR
0.487500,0.025344,200.000000,40,0,5,1,Cho2017,TS+LR
0.523500,0.025060,200.000000,41,0,5,1,Cho2017,TS+LR
0.724500,0.024815,200.000000,42,0,5,1,Cho2017,TS+LR
0.827500,0.025123,200.000000,43,0,5,1,Cho2017,TS+LR
0.777000,0.024877,200.000000,44,0,5,1,Cho2017,TS+LR
0.443000,0.025095,200.000000,45,0,5,1,Cho2017,TS+LR
0.707639,0.029913,240.000000,46,0,5,1,Cho2017,TS+LR
0.714500,0.025114,200.000000,47,0,5,1,Cho2017,TS+LR
0.466500,0.025365,200.000000,48,0,5,1,Cho2017,TS+LR
0.823500,0.025629,200.000000,49,0,5,1,Cho2017,TS+LR
0.828000,0.024234,200.000000,50,0,5,1,Cho2017,TS+LR
0.451500,0.024962,200.000000,51,0,5,1,Cho2017,TS+LR
0.443500,0.025051,200.000000,52,0,5,1,Cho2017,TS+LR
0.593000,0.014715,200.000000,1,0,5,1,Cho2017,CSP+SVM
0.522500,0.014751,200.000000,2,0,5,1,Cho2017,CSP+SVM
0.654000,0.014781,200.000000,3,0,5,1,Cho2017,CSP+SVM
0.500500,0.014676,200.000000,4,0,5,1,Cho2017,CSP+SVM
0.573000,0.014684,200.000000,5,0,5,1,Cho2017,CSP+SVM
0.532000,0.014916,200.000000,6,0,5,1,Cho2017,CSP+SVM
0.449306,0.017756,240.000000,7,0,5,1,Cho2017,CSP+SVM
0.424000,0.014936,200.000000,8,0,5,1,Cho2017,CSP+SVM
0.584722,0.018575,240.000000,9,0,5,1,Cho2017,CSP+SVM
0.642500,0.015025,200.000000,10,0,5,1,Cho2017,CSP+SVM
0.479500,0.014983,200.000000,11,0,5,1,Cho2017,CSP+SVM
0.587500,0.015421,200.000000,12,0,5,1,Cho2017,CSP+SVM
0.583000,0.015523,200.000000,13,0,5,1,Cho2017,CSP+SVM
0.588500,0.015306,200.000000,14,0,5,1,Cho2017,CSP+SVM
0.496000,0.015196,200.000000,15,0,5,1,Cho2017,CSP+SVM
0.499000,0.015206,200.000000,16,0,5,1,Cho2017,CSP+SVM
0.552500,0.015318,200.000000,17,0,5,1,Cho2017,CSP+SVM
0.465000,0.015266,200.000000,18,0,5,1,Cho2017,CSP+SVM
0.429000,0.015183,200.000000,19,0,5,1,Cho2017,CSP+SVM
0.646500,0.016111,200.000000,20,0,5,1,Cho2017,CSP+SVM
0.585000,0.016073,200.000000,21,0,5,1,Cho2017,CSP+SVM
0.570500,0.015715,200.000000,22,0,5,1,Cho2017,CSP+SVM
0.524000,0.015176,200.000000,23,0,5,1,Cho2017,CSP+SVM
0.474500,0.015414,200.000000,24,0,5,1,Cho2017,CSP+SVM
0.526000,0.015623,200.000000,25,0,5,1,Cho2017,CSP+SVM
0.660000,0.015294,200.000000,26,0,5,1,Cho2017,CSP+SVM
0.531000,0.015043,200.000000,27,0,5,1,Cho2017,CSP+SVM
0.453000,0.014962,200.000000,28,0,5,1,Cho2017,CSP+SVM
0.467500,0.015083,200.000000,29,0,5,1,Cho2017,CSP+SVM
0.456500,0.015478,200.000000,30,0,5,1,Cho2017,CSP+SVM
0.429000,0.015246,200.000000,31,0,5,1,Cho2017,CSP+SVM
0.556500,0.015334,200.000000,32,0,5,1,Cho2017,CSP+SVM
0.409500,0.015121,200.000000,33,0,5,1,Cho2017,CSP+SVM
0.520000,0.015491,200.000000,34,0,5,1,Cho2017,CSP+SVM
0.705000,0.015376,200.000000,35,0,5,1,Cho2017,CSP+SVM
0.452500,0.015415,200.000000,36,0,5,1,Cho2017,CSP+SVM
0.638000,0.015399,200.000000,37,0,5,1,Cho2017,CSP+SVM
0.468500,0.015364,200.000000,38,0,5,1,Cho2017,CSP+SVM
0.553500,0.015643,200.000000,39,0,5,1,Cho2017,CSP+SVM
0.435500,0.015565,200.000000,40,0,5,1,Cho2017,CSP+SVM
0.578500,0.016016,200.000000,41,0,5,1,Cho2017,CSP+SVM
0.724000,0.015309,200.000000,42,0,5,1,Cho2017,CSP+SVM
0.575000,0.015503,200.000000,43,0,5,1,Cho2017,CSP+SVM
0.707000,0.015728,200.000000,44,0,5,1,Cho2017,CSP+SVM
0.494500,0.015974,200.000000,45,0,5,1,Cho2017,CSP+SVM
0.596875,0.018682,240.000000,46,0,5,1,Cho2017,CSP+SVM
0.603500,0.015816,200.000000,47,0,5,1,Cho2017,CSP+SVM
0.448500,0.016178,200.000000,48,0,5,1,Cho2017,CSP+SVM
0.676000,0.016710,200.000000,49,0,5,1,Cho2017,CSP+SVM
0.752500,0.015582,200.000000,50,0,5,1,Cho2017,CSP+SVM
0.464500,0.016825,200.000000,51,0,5,1,Cho2017,CSP+SVM
0.479500,0.015836,200.000000,52,0,5,1,Cho2017,CSP+SVM
0.569500,0.024031,200.000000,1,0,5,1,Cho2017,TS+EL
0.494500,0.024190,200.000000,2,0,5,1,Cho2017,TS+EL
0.688000,0.024279,200.000000,3,0,5,1,Cho2017,TS+EL
0.528000,0.024020,200.000000,4,0,5,1,Cho2017,TS+EL
0.598500,0.023974,200.000000,5,0,5,1,Cho2017,TS+EL
0.488500,0.023997,200.000000,6,0,5,1,Cho2017,TS+EL
0.453819,0.028715,240.000000,7,0,5,1,Cho2017,TS+EL
0.382000,0.024431,200.000000,8,0,5,1,Cho2017,TS+EL
0.625347,0.028234,240.000000,9,0,5,1,Cho2017,TS+EL
0.630500,0.024248,200.000000,10,0,5,1,Cho2017,TS+EL
0.519500,0.023905,200.000000,11,0,5,1,Cho2017,TS+EL
0.534500,0.024393,200.000000,12,0,5,1,Cho2017,TS+EL
0.648500,0.025045,200.000000,13,0,5,1,Cho2017,TS+EL
0.581500,0.024675,200.000000,14,0,5,1,Cho2017,TS+EL
0.489000,0.024459,200.000000,15,0,5,1,Cho2017,TS+EL
0.471500,0.024563,200.000000,16,0,5,1,Cho2017,TS+EL
0.484000,0.025143,200.000000,17,0,5,1,Cho2017,TS+EL
0.505500,0.024810,200.000000,18,0,5,1,Cho2017,TS+EL
0.469000,0.025144,200.000000,19,0,5,1,Cho2017,TS+EL
0.638500,0.024499,200.000000,20,0,5,1,Cho2017,TS+EL
0.559500,0.024320,200.000000,21,0,5,1,Cho2017,TS+EL
0.553000,0.026044,200.000000,22,0,5,1,Cho2017,TS+EL
0.614000,0.025482,200.000000,23,0,5,1,Cho2017,TS+EL
0.462000,0.025824,200.000000,24,0,5,1,Cho2017,TS+EL
0.607000,0.024914,200.000000,25,0,5,1,Cho2017,TS+EL
0.753000,0.025570,200.000000,26,0,5,1,Cho2017,TS+EL
0.519000,0.024735,200.000000,27,0,5,1,Cho2017,TS+EL
0.565500,0.026007,200.000000,28,0,5,1,Cho2017,TS+EL
0.520000,0.025504,200.000000,29,0,5,1,Cho2017,TS+EL
0.485000,0.024396,200.000000,30,0,5,1,Cho2017,TS+EL
0.470500,0.024168,200.000000,31,0,5,1,Cho2017,TS+EL
0.555000,0.024318,200.000000,32,0,5,1,Cho2017,TS+EL
0.412000,0.024261,200.000000,33,0,5,1,Cho2017,TS+EL
0.552000,0.024461,200.000000,34,0,5,1,Cho2017,TS+EL
0.711500,0.024790,200.000000,35,0,5,1,Cho2017,TS+EL
0.460500,0.025823,200.000000,36,0,5,1,Cho2017,TS+EL
0.790000,0.025270,200.000000,37,0,5,1,Cho2017,TS+EL
0.424500,0.025183,200.000000,38,0,5,1,Cho2017,TS+EL
0.554500,0.025710,200.000000,39,0,5,1,Cho2017,TS+EL
0.504000,0.025145,200.000000,40,0,5,1,Cho2017,TS+EL
0.549000,0.024801,200.000000,41,0,5,1,Cho2017,TS+EL
0.724000,0.028921,200.000000,42,0,5,1,Cho2017,TS+EL
0.826500,0.025080,200.000000,43,0,5,1,Cho2017,TS+EL
0.779500,0.024975,200.000000,44,0,5,1,Cho2017,TS+EL
0.411000,0.026712,200.000000,45,0,5,1,Cho2017,TS+EL
0.704167,0.030116,240.000000,46,0,5,1,Cho2017,TS+EL
0.731500,0.025624,200.000000,47,0,5,1,Cho2017,TS+EL
0.463000,0.025573,200.000000,48,0,5,1,Cho2017,TS+EL
0.829500,0.025424,200.000000,49,0,5,1,Cho2017,TS+EL
0.826000,0.024944,200.000000,50,0,5,1,Cho2017,TS+EL
0.454000,0.025239,200.000000,51,0,5,1,Cho2017,TS+EL
0.444000,0.025047,200.000000,52,0,5,1,Cho2017,TS+EL
0.575000,0.023818,200.000000,1,0,5,1,Cho2017,TS+SVM
0.487500,0.024249,200.000000,2,0,5,1,Cho2017,TS+SVM
0.698000,0.024203,200.000000,3,0,5,1,Cho2017,TS+SVM
0.525000,0.024061,200.000000,4,0,5,1,Cho2017,TS+SVM
0.596500,0.024090,200.000000,5,0,5,1,Cho2017,TS+SVM
0.502000,0.024192,200.000000,6,0,5,1,Cho2017,TS+SVM
0.440278,0.028939,240.000000,7,0,5,1,Cho2017,TS+SVM
0.374000,0.024204,200.000000,8,0,5,1,Cho2017,TS+SVM
0.616319,0.028887,240.000000,9,0,5,1,Cho2017,TS+SVM
0.626500,0.024733,200.000000,10,0,5,1,Cho2017,TS+SVM
0.561500,0.023500,200.000000,11,0,5,1,Cho2017,TS+SVM
0.534000,0.024249,200.000000,12,0,5,1,Cho2017,TS+SVM
0.632500,0.024683,200.000000,13,0,5,1,Cho2017,TS+SVM
0.585000,0.024195,200.000000,14,0,5,1,Cho2017,TS+SVM
0.531000,0.024408,200.000000,15,0,5,1,Cho2017,TS+SVM
0.448000,0.024444,200.000000,16,0,5,1,Cho2017,TS+SVM
0.475500,0.024793,200.000000,17,0,5,1,Cho2017,TS+SVM
0.494000,0.024740,200.000000,18,0,5,1,Cho2017,TS+SVM
0.440000,0.025112,200.000000,19,0,5,1,Cho2017,TS+SVM
0.644000,0.024338,200.000000,20,0,5,1,Cho2017,TS+SVM
0.573500,0.024594,200.000000,21,0,5,1,Cho2017,TS+SVM
0.519500,0.025590,200.000000,22,0,5,1,Cho2017,TS+SVM
0.610000,0.024533,200.000000,23,0,5,1,Cho2017,TS+SVM
0.432000,0.024505,200.000000,24,0,5,1,Cho2017,TS+SVM
0.610500,0.024633,200.000000,25,0,5,1,Cho2017,TS+SVM
0.738500,0.024971,200.000000,26,0,5,1,Cho2017,TS+SVM
0.514500,0.024832,200.000000,27,0,5,1,Cho2017,TS+SVM
0.558500,0.025085,200.000000,28,0,5,1,Cho2017,TS+SVM
0.487500,0.025834,200.000000,29,0,5,1,Cho2017,TS+SVM
0.461000,0.024609,200.000000,30,0,5,1,Cho2017,TS+SVM
0.477500,0.024015,200.000000,31,0,5,1,Cho2017,TS+SVM
0.559000,0.024463,200.000000,32,0,5,1,Cho2017,TS+SVM
0.395000,0.024577,200.000000,33,0,5,1,Cho2017,TS+SVM
0.543500,0.024442,200.000000,34,0,5,1,Cho2017,TS+SVM
0.687000,0.024929,200.000000,35,0,5,1,Cho2017,TS+SVM
0.411500,0.025877,200.000000,36,0,5,1,Cho2017,TS+SVM
0.768500,0.025206,200.000000,37,0,5,1,Cho2017,TS+SVM
0.349000,0.025103,200.000000,38,0,5,1,Cho2017,TS+SVM
0.566000,0.025106,200.000000,39,0,5,1,Cho2017,TS+SVM
0.476000,0.025715,200.000000,40,0,5,1,Cho2017,TS+SVM
0.513500,0.025223,200.000000,41,0,5,1,Cho2017,TS+SVM
0.714500,0.024419,200.000000,42,0,5,1,Cho2017,TS+SVM
0.827000,0.025385,200.000000,43,0,5,1,Cho2017,TS+SVM
0.779000,0.024922,200.000000,44,0,5,1,Cho2017,TS+SVM
0.449500,0.024922,200.000000,45,0,5,1,Cho2017,TS+SVM
0.712500,0.030315,240.000000,46,0,5,1,Cho2017,TS+SVM
0.702500,0.025497,200.000000,47,0,5,1,Cho2017,TS+SVM
0.468000,0.025560,200.000000,48,0,5,1,Cho2017,TS+SVM
0.810000,0.025647,200.000000,49,0,5,1,Cho2017,TS+SVM
0.825500,0.024733,200.000000,50,0,5,1,Cho2017,TS+SVM
0.460000,0.025919,200.000000,51,0,5,1,Cho2017,TS+SVM
0.441000,0.026390,200.000000,52,0,5,1,Cho2017,TS+SVM
0.588500,0.015363,200.000000,1,0,5,1,Cho2017,CSP+LDA
0.525500,0.014957,200.000000,2,0,5,1,Cho2017,CSP+LDA
0.650500,0.014722,200.000000,3,0,5,1,Cho2017,CSP+LDA
0.506000,0.014690,200.000000,4,0,5,1,Cho2017,CSP+LDA
0.569500,0.014918,200.000000,5,0,5,1,Cho2017,CSP+LDA
0.511000,0.014867,200.000000,6,0,5,1,Cho2017,CSP+LDA
0.480556,0.017662,240.000000,7,0,5,1,Cho2017,CSP+LDA
0.403500,0.015637,200.000000,8,0,5,1,Cho2017,CSP+LDA
0.589236,0.018912,240.000000,9,0,5,1,Cho2017,CSP+LDA
0.651000,0.014770,200.000000,10,0,5,1,Cho2017,CSP+LDA
0.488000,0.014658,200.000000,11,0,5,1,Cho2017,CSP+LDA
0.586500,0.015162,200.000000,12,0,5,1,Cho2017,CSP+LDA
0.578000,0.015233,200.000000,13,0,5,1,Cho2017,CSP+LDA
0.590500,0.015120,200.000000,14,0,5,1,Cho2017,CSP+LDA
0.495500,0.015175,200.000000,15,0,5,1,Cho2017,CSP+LDA
0.512500,0.015145,200.000000,16,0,5,1,Cho2017,CSP+LDA
0.544000,0.015173,200.000000,17,0,5,1,Cho2017,CSP+LDA
0.462500,0.015427,200.000000,18,0,5,1,Cho2017,CSP+LDA
0.426500,0.015739,200.000000,19,0,5,1,Cho2017,CSP+LDA
0.654500,0.016340,200.000000,20,0,5,1,Cho2017,CSP+LDA
0.585500,0.019196,200.000000,21,0,5,1,Cho2017,CSP+LDA
0.589000,0.015454,200.000000,22,0,5,1,Cho2017,CSP+LDA
0.535000,0.014946,200.000000,23,0,5,1,Cho2017,CSP+LDA
0.471500,0.015252,200.000000,24,0,5,1,Cho2017,CSP+LDA
0.538000,0.015681,200.000000,25,0,5,1,Cho2017,CSP+LDA
0.661500,0.015490,200.000000,26,0,5,1,Cho2017,CSP+LDA
0.525500,0.015011,200.000000,27,0,5,1,Cho2017,CSP+LDA
0.454000,0.014981,200.000000,28,0,5,1,Cho2017,CSP+LDA
0.471000,0.014893,200.000000,29,0,5,1,Cho2017,CSP+LDA
0.455500,0.015130,200.000000,30,0,5,1,Cho2017,CSP+LDA
0.432500,0.015443,200.000000,31,0,5,1,Cho2017,CSP+LDA
0.553500,0.016265,200.000000,32,0,5,1,Cho2017,CSP+LDA
0.406500,0.015139,200.000000,33,0,5,1,Cho2017,CSP+LDA
0.527500,0.015468,200.000000,34,0,5,1,Cho2017,CSP+LDA
0.701500,0.015096,200.000000,35,0,5,1,Cho2017,CSP+LDA
0.448500,0.015338,200.000000,36,0,5,1,Cho2017,CSP+LDA
0.642500,0.015260,200.000000,37,0,5,1,Cho2017,CSP+LDA
0.459000,0.015520,200.000000,38,0,5,1,Cho2017,CSP+LDA
0.574500,0.015852,200.000000,39,0,5,1,Cho2017,CSP+LDA
0.437500,0.015618,200.000000,40,0,5,1,Cho2017,CSP+LDA
0.581000,0.016146,200.000000,41,0,5,1,Cho2017,CSP+LDA
0.723500,0.015297,200.000000,42,0,5,1,Cho2017,CSP+LDA
0.575500,0.015318,200.000000,43,0,5,1,Cho2017,CSP+LDA
0.702500,0.015705,200.000000,44,0,5,1,Cho2017,CSP+LDA
0.498000,0.015429,200.000000,45,0,5,1,Cho2017,CSP+LDA
0.605208,0.018722,240.000000,46,0,5,1,Cho2017,CSP+LDA
0.606500,0.016371,200.000000,47,0,5,1,Cho2017,CSP+LDA
0.447500,0.016335,200.000000,48,0,5,1,Cho2017,CSP+LDA
0.692500,0.015426,200.000000,49,0,5,1,Cho2017,CSP+LDA
0.752000,0.015622,200.000000,50,0,5,1,Cho2017,CSP+LDA
0.480500,0.016132,200.000000,51,0,5,1,Cho2017,CSP+LDA
0.482000,0.015244,200.000000,52,0,5,1,Cho2017,CSP+LDA
