score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.567356,0.025605,200.000000,1,0,5,1,Cho2017,TS+LR
0.488188,0.024613,200.000000,2,0,5,1,Cho2017,TS+LR
0.637363,0.024818,200.000000,3,0,5,1,Cho2017,TS+LR
0.496375,0.024741,200.000000,4,0,5,1,Cho2017,TS+LR
0.566784,0.025077,200.000000,5,0,5,1,Cho2017,TS+LR
0.524293,0.025217,200.000000,6,0,5,1,Cho2017,TS+LR
0.490255,0.029718,240.000000,7,0,5,1,Cho2017,TS+LR
0.424552,0.025470,200.000000,8,0,5,1,Cho2017,TS+LR
0.610988,0.029658,240.000000,9,0,5,1,Cho2017,TS+LR
0.596816,0.025875,200.000000,10,0,5,1,Cho2017,TS+LR
0.511560,0.025041,200.000000,11,0,5,1,Cho2017,TS+LR
0.506074,0.025347,200.000000,12,0,5,1,Cho2017,TS+LR
0.591136,0.025226,200.000000,13,0,5,1,Cho2017,TS+LR
0.563949,0.024929,200.000000,14,0,5,1,Cho2017,TS+LR
0.494724,0.025215,200.000000,15,0,5,1,Cho2017,TS+LR
0.467795,0.025159,200.000000,16,0,5,1,Cho2017,TS+LR
0.459042,0.025739,200.000000,17,0,5,1,Cho2017,TS+LR
0.501302,0.024837,200.000000,18,0,5,1,Cho2017,TS+LR
0.451610,0.025802,200.000000,19,0,5,1,Cho2017,TS+LR
0.611091,0.024973,200.000000,20,0,5,1,Cho2017,TS+LR
0.522452,0.025523,200.000000,21,0,5,1,Cho2017,TS+LR
0.544569,0.025556,200.000000,22,0,5,1,Cho2017,TS+LR
0.569309,0.025440,200.000000,23,0,5,1,Cho2017,TS+LR
0.452831,0.024983,200.000000,24,0,5,1,Cho2017,TS+LR
0.565747,0.024905,200.000000,25,0,5,1,Cho2017,TS+LR
0.684445,0.025321,200.000000,26,0,5,1,Cho2017,TS+LR
0.537743,0.026172,200.000000,27,0,5,1,Cho2017,TS+LR
0.577951,0.031260,200.000000,28,0,5,1,Cho2017,TS+LR
0.488685,0.025775,200.000000,29,0,5,1,Cho2017,TS+LR
0.476092,0.025016,200.000000,30,0,5,1,Cho2017,TS+LR
0.473516,0.025714,200.000000,31,0,5,1,Cho2017,TS+LR
0.547805,0.024734,200.000000,32,0,5,1,Cho2017,TS+LR
0.440720,0.025116,200.000000,33,0,5,1,Cho2017,TS+LR
0.528439,0.024970,200.000000,34,0,5,1,Cho2017,TS+LR
0.657937,0.025586,200.000000,35,0,5,1,Cho2017,TS+LR
0.432893,0.025483,200.000000,36,0,5,1,Cho2017,TS+LR
0.707555,0.027013,200.000000,37,0,5,1,Cho2017,TS+LR
0.403031,0.025249,200.000000,38,0,5,1,Cho2017,TS+LR
0.529424,0.025347,200.000000,39,0,5,1,Cho2017,TS+LR
0.496667,0.025732,200.000000,40,0,5,1,Cho2017,TS+LR
0.521236,0.025751,200.000000,41,0,5,1,Cho2017,TS+LR
0.628968,0.024695,200.000000,42,0,5,1,Cho2017,TS+LR
0.749499,0.025521,200.000000,43,0,5,1,Cho2017,TS+LR
0.702878,0.025796,200.000000,44,0,5,1,Cho2017,TS+LR
0.422525,0.025272,200.000000,45,0,5,1,Cho2017,TS+LR
0.643583,0.031189,240.000000,46,0,5,1,Cho2017,TS+LR
0.650133,0.025458,200.000000,47,0,5,1,Cho2017,TS+LR
0.492506,0.025260,200.000000,48,0,5,1,Cho2017,TS+LR
0.758015,0.026056,200.000000,49,0,5,1,Cho2017,TS+LR
0.754376,0.025038,200.000000,50,0,5,1,Cho2017,TS+LR
0.437757,0.025324,200.000000,51,0,5,1,Cho2017,TS+LR
0.455846,0.025805,200.000000,52,0,5,1,Cho2017,TS+LR
0.566712,0.015840,200.000000,1,0,5,1,Cho2017,CSP+SVM
0.488272,0.015389,200.000000,2,0,5,1,Cho2017,CSP+SVM
0.618845,0.015781,200.000000,3,0,5,1,Cho2017,CSP+SVM
0.510169,0.015403,200.000000,4,0,5,1,Cho2017,CSP+SVM
0.561185,0.015407,200.000000,5,0,5,1,Cho2017,CSP+SVM
0.509719,0.016667,200.000000,6,0,5,1,Cho2017,CSP+SVM
0.441957,0.018449,240.000000,7,0,5,1,Cho2017,CSP+SVM
0.424047,0.015812,200.000000,8,0,5,1,Cho2017,CSP+SVM
0.545847,0.018672,240.000000,9,0,5,1,Cho2017,CSP+SVM
0.587605,0.016124,200.000000,10,0,5,1,Cho2017,CSP+SVM
0.502324,0.015451,200.000000,11,0,5,1,Cho2017,CSP+SVM
0.515161,0.016119,200.000000,12,0,5,1,Cho2017,CSP+SVM
0.499937,0.016622,200.000000,13,0,5,1,Cho2017,CSP+SVM
0.561499,0.015450,200.000000,14,0,5,1,Cho2017,CSP+SVM
0.483019,0.016015,200.000000,15,0,5,1,Cho2017,CSP+SVM
0.482028,0.015563,200.000000,16,0,5,1,Cho2017,CSP+SVM
0.486433,0.015272,200.000000,17,0,5,1,Cho2017,CSP+SVM
0.501422,0.015533,200.000000,18,0,5,1,Cho2017,CSP+SVM
0.426869,0.015500,200.000000,19,0,5,1,Cho2017,CSP+SVM
0.591104,0.015719,200.000000,20,0,5,1,Cho2017,CSP+SVM
0.560816,0.015493,200.000000,21,0,5,1,Cho2017,CSP+SVM
0.527050,0.015496,200.000000,22,0,5,1,Cho2017,CSP+SVM
0.512672,0.015831,200.000000,23,0,5,1,Cho2017,CSP+SVM
0.441045,0.016046,200.000000,24,0,5,1,Cho2017,CSP+SVM
0.527808,0.015624,200.000000,25,0,5,1,Cho2017,CSP+SVM
0.608383,0.016234,200.000000,26,0,5,1,Cho2017,CSP+SVM
0.505809,0.015579,200.000000,27,0,5,1,Cho2017,CSP+SVM
0.426174,0.015671,200.000000,28,0,5,1,Cho2017,CSP+SVM
0.410915,0.015558,200.000000,29,0,5,1,Cho2017,CSP+SVM
0.452697,0.015660,200.000000,30,0,5,1,Cho2017,CSP+SVM
0.457937,0.015885,200.000000,31,0,5,1,Cho2017,CSP+SVM
0.555035,0.016013,200.000000,32,0,5,1,Cho2017,CSP+SVM
0.416645,0.016082,200.000000,33,0,5,1,Cho2017,CSP+SVM
0.504800,0.016491,200.000000,34,0,5,1,Cho2017,CSP+SVM
0.648792,0.015645,200.000000,35,0,5,1,Cho2017,CSP+SVM
0.422027,0.015740,200.000000,36,0,5,1,Cho2017,CSP+SVM
0.612501,0.015631,200.000000,37,0,5,1,Cho2017,CSP+SVM
0.415043,0.015601,200.000000,38,0,5,1,Cho2017,CSP+SVM
0.514314,0.016219,200.000000,39,0,5,1,Cho2017,CSP+SVM
0.461171,0.015746,200.000000,40,0,5,1,Cho2017,CSP+SVM
0.531815,0.016228,200.000000,41,0,5,1,Cho2017,CSP+SVM
0.634152,0.015853,200.000000,42,0,5,1,Cho2017,CSP+SVM
0.551244,0.015697,200.000000,43,0,5,1,Cho2017,CSP+SVM
0.653311,0.016096,200.000000,44,0,5,1,Cho2017,CSP+SVM
0.451243,0.015578,200.000000,45,0,5,1,Cho2017,CSP+SVM
0.577560,0.018771,240.000000,46,0,5,1,Cho2017,CSP+SVM
0.551442,0.019632,200.000000,47,0,5,1,Cho2017,CSP+SVM
0.472296,0.015842,200.000000,48,0,5,1,Cho2017,CSP+SVM
0.643027,0.015836,200.000000,49,0,5,1,Cho2017,CSP+SVM
0.677163,0.015635,200.000000,50,0,5,1,Cho2017,CSP+SVM
0.428499,0.016236,200.000000,51,0,5,1,Cho2017,CSP+SVM
0.478140,0.015736,200.000000,52,0,5,1,Cho2017,CSP+SVM
0.582108,0.025010,200.000000,1,0,5,1,Cho2017,TS+EL
0.508135,0.024924,200.000000,2,0,5,1,Cho2017,TS+EL
0.653027,0.024972,200.000000,3,0,5,1,Cho2017,TS+EL
0.470235,0.025424,200.000000,4,0,5,1,Cho2017,TS+EL
0.573957,0.025094,200.000000,5,0,5,1,Cho2017,TS+EL
0.497102,0.024772,200.000000,6,0,5,1,Cho2017,TS+EL
0.482884,0.029791,240.000000,7,0,5,1,Cho2017,TS+EL
0.403549,0.025402,200.000000,8,0,5,1,Cho2017,TS+EL
