score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.634000,0.021627,200.000000,1,0,3,1,Cho2017,TS+SVM
0.541000,0.021969,200.000000,2,0,3,1,Cho2017,TS+SVM
0.677500,0.021605,200.000000,3,0,3,1,Cho2017,TS+SVM
0.492000,0.021856,200.000000,4,0,3,1,Cho2017,TS+SVM
0.600000,0.021565,200.000000,5,0,3,1,Cho2017,TS+SVM
0.473500,0.021203,200.000000,6,0,3,1,Cho2017,TS+SVM
0.436458,0.025486,240.000000,7,0,3,1,Cho2017,TS+SVM
0.462500,0.021369,200.000000,8,0,3,1,Cho2017,TS+SVM
0.611806,0.025808,240.000000,9,0,3,1,Cho2017,TS+SVM
0.653500,0.020835,200.000000,10,0,3,1,Cho2017,TS+SVM
0.450000,0.021206,200.000000,11,0,3,1,Cho2017,TS+SVM
0.590000,0.021197,200.000000,12,0,3,1,Cho2017,TS+SVM
0.545500,0.021144,200.000000,13,0,3,1,Cho2017,TS+SVM
0.555000,0.024327,200.000000,14,0,3,1,Cho2017,TS+SVM
0.485000,0.021550,200.000000,15,0,3,1,Cho2017,TS+SVM
0.485000,0.022140,200.000000,16,0,3,1,Cho2017,TS+SVM
0.507000,0.021701,200.000000,17,0,3,1,Cho2017,TS+SVM
0.512000,0.022179,200.000000,18,0,3,1,Cho2017,TS+SVM
0.440000,0.021970,200.000000,19,0,3,1,Cho2017,TS+SVM
0.614500,0.021643,200.000000,20,0,3,1,Cho2017,TS+SVM
0.602500,0.021761,200.000000,21,0,3,1,Cho2017,TS+SVM
0.575500,0.021596,200.000000,22,0,3,1,Cho2017,TS+SVM
0.501500,0.022286,200.000000,23,0,3,1,Cho2017,TS+SVM
0.451000,0.021931,200.000000,24,0,3,1,Cho2017,TS+SVM
0.581000,0.021661,200.000000,25,0,3,1,Cho2017,TS+SVM
0.717500,0.022199,200.000000,26,0,3,1,Cho2017,TS+SVM
0.522500,0.021527,200.000000,27,0,3,1,Cho2017,TS+SVM
0.558500,0.021763,200.000000,28,0,3,1,Cho2017,TS+SVM
0.527500,0.021820,200.000000,29,0,3,1,Cho2017,TS+SVM
0.498500,0.022129,200.000000,30,0,3,1,Cho2017,TS+SVM
0.494500,0.021483,200.000000,31,0,3,1,Cho2017,TS+SVM
0.562000,0.022100,200.000000,32,0,3,1,Cho2017,TS+SVM
0.451500,0.022108,200.000000,33,0,3,1,Cho2017,TS+SVM
0.437000,0.021375,200.000000,34,0,3,1,Cho2017,TS+SVM
0.704000,0.021739,200.000000,35,0,3,1,Cho2017,TS+SVM
0.386500,0.021576,200.000000,36,0,3,1,Cho2017,TS+SVM
0.783000,0.021276,200.000000,37,0,3,1,Cho2017,TS+SVM
0.481000,0.021544,200.000000,38,0,3,1,Cho2017,TS+SVM
0.603500,0.021499,200.000000,39,0,3,1,Cho2017,TS+SVM
0.470500,0.021651,200.000000,40,0,3,1,Cho2017,TS+SVM
0.552000,0.021383,200.000000,41,0,3,1,Cho2017,TS+SVM
0.678500,0.021569,200.000000,42,0,3,1,Cho2017,TS+SVM
0.802500,0.021762,200.000000,43,0,3,1,Cho2017,TS+SVM
0.772500,0.021274,200.000000,44,0,3,1,Cho2017,TS+SVM
0.508000,0.021627,200.000000,45,0,3,1,Cho2017,TS+SVM
0.674653,0.025446,240.000000,46,0,3,1,Cho2017,TS+SVM
0.729500,0.021217,200.000000,47,0,3,1,Cho2017,TS+SVM
0.500000,0.021341,200.000000,48,0,3,1,Cho2017,TS+SVM
0.808000,0.021604,200.000000,49,0,3,1,Cho2017,TS+SVM
0.635500,0.021327,200.000000,50,0,3,1,Cho2017,TS+SVM
0.541000,0.021445,200.000000,51,0,3,1,Cho2017,TS+SVM
0.502500,0.021404,200.000000,52,0,3,1,Cho2017,TS+SVM
0.621500,0.021393,200.000000,1,0,3,1,Cho2017,TS+EL
0.549000,0.021307,200.000000,2,0,3,1,Cho2017,TS+EL
0.678000,0.021150,200.000000,3,0,3,1,Cho2017,TS+EL
0.480000,0.020985,200.000000,4,0,3,1,Cho2017,TS+EL
0.607000,0.020857,200.000000,5,0,3,1,Cho2017,TS+EL
0.480500,0.021193,200.000000,6,0,3,1,Cho2017,TS+EL
0.427778,0.025301,240.000000,7,0,3,1,Cho2017,TS+EL
0.485500,0.022170,200.000000,8,0,3,1,Cho2017,TS+EL
0.610069,0.026158,240.000000,9,0,3,1,Cho2017,TS+EL
0.659000,0.021034,200.000000,10,0,3,1,Cho2017,TS+EL
0.442000,0.021047,200.000000,11,0,3,1,Cho2017,TS+EL
0.577500,0.021515,200.000000,12,0,3,1,Cho2017,TS+EL
0.542500,0.021669,200.000000,13,0,3,1,Cho2017,TS+EL
0.551500,0.021305,200.000000,14,0,3,1,Cho2017,TS+EL
0.484000,0.021221,200.000000,15,0,3,1,Cho2017,TS+EL
0.478500,0.022931,200.000000,16,0,3,1,Cho2017,TS+EL
0.497000,0.021353,200.000000,17,0,3,1,Cho2017,TS+EL
0.515500,0.021952,200.000000,18,0,3,1,Cho2017,TS+EL
0.431500,0.021685,200.000000,19,0,3,1,Cho2017,TS+EL
0.610000,0.021636,200.000000,20,0,3,1,Cho2017,TS+EL
0.579500,0.021451,200.000000,21,0,3,1,Cho2017,TS+EL
0.587000,0.021503,200.000000,22,0,3,1,Cho2017,TS+EL
0.517500,0.021336,200.000000,23,0,3,1,Cho2017,TS+EL
0.479000,0.021399,200.000000,24,0,3,1,Cho2017,TS+EL
0.601000,0.021365,200.000000,25,0,3,1,Cho2017,TS+EL
0.716500,0.021374,200.000000,26,0,3,1,Cho2017,TS+EL
0.558000,0.021321,200.000000,27,0,3,1,Cho2017,TS+EL
0.552000,0.022523,200.000000,28,0,3,1,Cho2017,TS+EL
0.565500,0.021374,200.000000,29,0,3,1,Cho2017,TS+EL
0.499500,0.021242,200.000000,30,0,3,1,Cho2017,TS+EL
0.466000,0.021023,200.000000,31,0,3,1,Cho2017,TS+EL
0.585500,0.021728,200.000000,32,0,3,1,Cho2017,TS+EL
0.434000,0.021711,200.000000,33,0,3,1,Cho2017,TS+EL
0.416000,0.021166,200.000000,34,0,3,1,Cho2017,TS+EL
0.703500,0.021743,200.000000,35,0,3,1,Cho2017,TS+EL
0.385500,0.021632,200.000000,36,0,3,1,Cho2017,TS+EL
0.791000,0.021362,200.000000,37,0,3,1,Cho2017,TS+EL
0.479500,0.021480,200.000000,38,0,3,1,Cho2017,TS+EL
0.592000,0.021370,200.000000,39,0,3,1,Cho2017,TS+EL
0.479000,0.021277,200.000000,40,0,3,1,Cho2017,TS+EL
0.546000,0.020873,200.000000,41,0,3,1,Cho2017,TS+EL
0.703000,0.021148,200.000000,42,0,3,1,Cho2017,TS+EL
0.804500,0.021509,200.000000,43,0,3,1,Cho2017,TS+EL
0.774000,0.021239,200.000000,44,0,3,1,Cho2017,TS+EL
0.507000,0.021590,200.000000,45,0,3,1,Cho2017,TS+EL
0.676736,0.025563,240.000000,46,0,3,1,Cho2017,TS+EL
0.735500,0.021356,200.000000,47,0,3,1,Cho2017,TS+EL
0.534000,0.021393,200.000000,48,0,3,1,Cho2017,TS+EL
0.810500,0.021500,200.000000,49,0,3,1,Cho2017,TS+EL
0.628000,0.021113,200.000000,50,0,3,1,Cho2017,TS+EL
0.528500,0.021211,200.000000,51,0,3,1,Cho2017,TS+EL
0.478000,0.021239,200.000000,52,0,3,1,Cho2017,TS+EL
0.626000,0.010871,200.000000,1,0,3,1,Cho2017,CSP+LDA
0.541500,0.010278,200.000000,2,0,3,1,Cho2017,CSP+LDA
0.649500,0.011190,200.000000,3,0,3,1,Cho2017,CSP+LDA
0.473000,0.010097,200.000000,4,0,3,1,Cho2017,CSP+LDA
0.609000,0.010133,200.000000,5,0,3,1,Cho2017,CSP+LDA
0.493000,0.010023,200.000000,6,0,3,1,Cho2017,CSP+LDA
0.446181,0.011962,240.000000,7,0,3,1,Cho2017,CSP+LDA
0.459000,0.010239,200.000000,8,0,3,1,Cho2017,CSP+LDA
0.616667,0.012332,240.000000,9,0,3,1,Cho2017,CSP+LDA
0.658500,0.010037,200.000000,10,0,3,1,Cho2017,CSP+LDA
0.484000,0.010381,200.000000,11,0,3,1,Cho2017,CSP+LDA
0.592500,0.010477,200.000000,12,0,3,1,Cho2017,CSP+LDA
0.551000,0.010280,200.000000,13,0,3,1,Cho2017,CSP+LDA
0.523000,0.010130,200.000000,14,0,3,1,Cho2017,CSP+LDA
0.522000,0.010206,200.000000,15,0,3,1,Cho2017,CSP+LDA
0.516000,0.010323,200.000000,16,0,3,1,Cho2017,CSP+LDA
0.518000,0.010424,200.000000,17,0,3,1,Cho2017,CSP+LDA
0.518500,0.010243,200.000000,18,0,3,1,Cho2017,CSP+LDA
0.477000,0.011056,200.000000,19,0,3,1,Cho2017,CSP+LDA
