score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.582224,0.021793,200.000000,1,0,3,1,Cho2017,TS+SVM
0.517076,0.021842,200.000000,2,0,3,1,Cho2017,TS+SVM
0.628334,0.021446,200.000000,3,0,3,1,Cho2017,TS+SVM
0.470920,0.021650,200.000000,4,0,3,1,Cho2017,TS+SVM
0.608624,0.021783,200.000000,5,0,3,1,Cho2017,TS+SVM
0.481644,0.021531,200.000000,6,0,3,1,Cho2017,TS+SVM
0.440081,0.025236,240.000000,7,0,3,1,Cho2017,TS+SVM
0.420592,0.021361,200.000000,8,0,3,1,Cho2017,TS+SVM
0.580123,0.025675,240.000000,9,0,3,1,Cho2017,TS+SVM
0.591537,0.021452,200.000000,10,0,3,1,Cho2017,TS+SVM
0.444541,0.021526,200.000000,11,0,3,1,Cho2017,TS+SVM
0.533420,0.021512,200.000000,12,0,3,1,Cho2017,TS+SVM
0.543275,0.021288,200.000000,13,0,3,1,Cho2017,TS+SVM
0.549870,0.021267,200.000000,14,0,3,1,Cho2017,TS+SVM
0.492911,0.021388,200.000000,15,0,3,1,Cho2017,TS+SVM
0.436878,0.021432,200.000000,16,0,3,1,Cho2017,TS+SVM
0.492467,0.021570,200.000000,17,0,3,1,Cho2017,TS+SVM
0.509425,0.023425,200.000000,18,0,3,1,Cho2017,TS+SVM
0.431422,0.021818,200.000000,19,0,3,1,Cho2017,TS+SVM
0.611686,0.021306,200.000000,20,0,3,1,Cho2017,TS+SVM
0.581617,0.021873,200.000000,21,0,3,1,Cho2017,TS+SVM
0.537354,0.021870,200.000000,22,0,3,1,Cho2017,TS+SVM
0.470904,0.021493,200.000000,23,0,3,1,Cho2017,TS+SVM
0.424939,0.021745,200.000000,24,0,3,1,Cho2017,TS+SVM
0.584195,0.021556,200.000000,25,0,3,1,Cho2017,TS+SVM
0.668221,0.021278,200.000000,26,0,3,1,Cho2017,TS+SVM
0.505031,0.021293,200.000000,27,0,3,1,Cho2017,TS+SVM
0.512486,0.021435,200.000000,28,0,3,1,Cho2017,TS+SVM
0.501069,0.021586,200.000000,29,0,3,1,Cho2017,TS+SVM
0.507564,0.021442,200.000000,30,0,3,1,Cho2017,TS+SVM
0.458763,0.021565,200.000000,31,0,3,1,Cho2017,TS+SVM
0.546113,0.021317,200.000000,32,0,3,1,Cho2017,TS+SVM
0.472698,0.021307,200.000000,33,0,3,1,Cho2017,TS+SVM
0.435607,0.021378,200.000000,34,0,3,1,Cho2017,TS+SVM
0.644055,0.021393,200.000000,35,0,3,1,Cho2017,TS+SVM
0.416035,0.021608,200.000000,36,0,3,1,Cho2017,TS+SVM
0.731529,0.021340,200.000000,37,0,3,1,Cho2017,TS+SVM
0.467657,0.021435,200.000000,38,0,3,1,Cho2017,TS+SVM
0.571843,0.021577,200.000000,39,0,3,1,Cho2017,TS+SVM
0.473208,0.021601,200.000000,40,0,3,1,Cho2017,TS+SVM
0.541054,0.021480,200.000000,41,0,3,1,Cho2017,TS+SVM
0.606217,0.021468,200.000000,42,0,3,1,Cho2017,TS+SVM
0.728368,0.021798,200.000000,43,0,3,1,Cho2017,TS+SVM
0.685071,0.021398,200.000000,44,0,3,1,Cho2017,TS+SVM
0.476011,0.021474,200.000000,45,0,3,1,Cho2017,TS+SVM
0.622355,0.025480,240.000000,46,0,3,1,Cho2017,TS+SVM
0.657896,0.021421,200.000000,47,0,3,1,Cho2017,TS+SVM
0.495014,0.021251,200.000000,48,0,3,1,Cho2017,TS+SVM
0.769432,0.021560,200.000000,49,0,3,1,Cho2017,TS+SVM
0.568251,0.021383,200.000000,50,0,3,1,Cho2017,TS+SVM
0.528972,0.021350,200.000000,51,0,3,1,Cho2017,TS+SVM
0.489948,0.021415,200.000000,52,0,3,1,Cho2017,TS+SVM
0.572452,0.021320,200.000000,1,0,3,1,Cho2017,TS+EL
0.511415,0.021255,200.000000,2,0,3,1,Cho2017,TS+EL
0.611460,0.021166,200.000000,3,0,3,1,Cho2017,TS+EL
0.471146,0.021394,200.000000,4,0,3,1,Cho2017,TS+EL
0.592207,0.021400,200.000000,5,0,3,1,Cho2017,TS+EL
0.502963,0.021517,200.000000,6,0,3,1,Cho2017,TS+EL
0.440687,0.025554,240.000000,7,0,3,1,Cho2017,TS+EL
0.473095,0.021633,200.000000,8,0,3,1,Cho2017,TS+EL
0.603365,0.025019,240.000000,9,0,3,1,Cho2017,TS+EL
0.599499,0.021227,200.000000,10,0,3,1,Cho2017,TS+EL
0.442271,0.021148,200.000000,11,0,3,1,Cho2017,TS+EL
0.533692,0.021404,200.000000,12,0,3,1,Cho2017,TS+EL
0.534779,0.021172,200.000000,13,0,3,1,Cho2017,TS+EL
0.545085,0.021288,200.000000,14,0,3,1,Cho2017,TS+EL
0.505170,0.021615,200.000000,15,0,3,1,Cho2017,TS+EL
0.462537,0.021624,200.000000,16,0,3,1,Cho2017,TS+EL
0.507276,0.021506,200.000000,17,0,3,1,Cho2017,TS+EL
0.514763,0.021446,200.000000,18,0,3,1,Cho2017,TS+EL
0.473392,0.021533,200.000000,19,0,3,1,Cho2017,TS+EL
0.618770,0.020983,200.000000,20,0,3,1,Cho2017,TS+EL
0.557150,0.021359,200.000000,21,0,3,1,Cho2017,TS+EL
0.565223,0.021392,200.000000,22,0,3,1,Cho2017,TS+EL
0.501224,0.021283,200.000000,23,0,3,1,Cho2017,TS+EL
0.464976,0.021559,200.000000,24,0,3,1,Cho2017,TS+EL
0.578106,0.021350,200.000000,25,0,3,1,Cho2017,TS+EL
0.648951,0.021603,200.000000,26,0,3,1,Cho2017,TS+EL
0.541716,0.021766,200.000000,27,0,3,1,Cho2017,TS+EL
0.521523,0.021846,200.000000,28,0,3,1,Cho2017,TS+EL
0.556383,0.021476,200.000000,29,0,3,1,Cho2017,TS+EL
0.511571,0.021143,200.000000,30,0,3,1,Cho2017,TS+EL
0.472155,0.021122,200.000000,31,0,3,1,Cho2017,TS+EL
0.564773,0.021084,200.000000,32,0,3,1,Cho2017,TS+EL
0.447903,0.021106,200.000000,33,0,3,1,Cho2017,TS+EL
0.424483,0.021370,200.000000,34,0,3,1,Cho2017,TS+EL
0.644167,0.021283,200.000000,35,0,3,1,Cho2017,TS+EL
0.427640,0.021649,200.000000,36,0,3,1,Cho2017,TS+EL
0.713196,0.021476,200.000000,37,0,3,1,Cho2017,TS+EL
0.485825,0.021465,200.000000,38,0,3,1,Cho2017,TS+EL
0.549718,0.022347,200.000000,39,0,3,1,Cho2017,TS+EL
0.482438,0.021454,200.000000,40,0,3,1,Cho2017,TS+EL
0.513604,0.020971,200.000000,41,0,3,1,Cho2017,TS+EL
0.653693,0.020913,200.000000,42,0,3,1,Cho2017,TS+EL
0.733749,0.021633,200.000000,43,0,3,1,Cho2017,TS+EL
0.685985,0.021381,200.000000,44,0,3,1,Cho2017,TS+EL
0.469301,0.021359,200.000000,45,0,3,1,Cho2017,TS+EL
0.642840,0.025742,240.000000,46,0,3,1,Cho2017,TS+EL
0.664423,0.021557,200.000000,47,0,3,1,Cho2017,TS+EL
0.534251,0.021353,200.000000,48,0,3,1,Cho2017,TS+EL
