score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.864500,0.030083,200.000000,1,0,8,1,Cho2017,TS+SVM
0.561000,0.030759,200.000000,2,0,8,1,Cho2017,TS+SVM
0.947500,0.030821,200.000000,3,0,8,1,Cho2017,TS+SVM
0.805000,0.029690,200.000000,4,0,8,1,Cho2017,TS+SVM
0.649000,0.029971,200.000000,5,0,8,1,Cho2017,TS+SVM
0.626000,0.030009,200.000000,6,0,8,1,Cho2017,TS+SVM
0.648611,0.036472,240.000000,7,0,8,1,Cho2017,TS+SVM
0.607000,0.033221,200.000000,8,0,8,1,Cho2017,TS+SVM
0.765278,0.035706,240.000000,9,0,8,1,Cho2017,TS+SVM
0.831500,0.029853,200.000000,10,0,8,1,Cho2017,TS+SVM
0.722000,0.029919,200.000000,11,0,8,1,Cho2017,TS+SVM
0.781500,0.029770,200.000000,12,0,8,1,Cho2017,TS+SVM
0.717500,0.030128,200.000000,13,0,8,1,Cho2017,TS+SVM
0.989000,0.029697,200.000000,14,0,8,1,Cho2017,TS+SVM
0.684000,0.030602,200.000000,15,0,8,1,Cho2017,TS+SVM
0.571000,0.029828,200.000000,16,0,8,1,Cho2017,TS+SVM
0.500500,0.030299,200.000000,17,0,8,1,Cho2017,TS+SVM
0.752000,0.030529,200.000000,18,0,8,1,Cho2017,TS+SVM
0.665500,0.030692,200.000000,19,0,8,1,Cho2017,TS+SVM
0.780500,0.029777,200.000000,20,0,8,1,Cho2017,TS+SVM
0.749500,0.030928,200.000000,21,0,8,1,Cho2017,TS+SVM
0.694500,0.030364,200.000000,22,0,8,1,Cho2017,TS+SVM
0.793500,0.029598,200.000000,23,0,8,1,Cho2017,TS+SVM
0.750000,0.030849,200.000000,24,0,8,1,Cho2017,TS+SVM
0.658500,0.030316,200.000000,25,0,8,1,Cho2017,TS+SVM
0.656500,0.031189,200.000000,26,0,8,1,Cho2017,TS+SVM
0.585500,0.029916,200.000000,27,0,8,1,Cho2017,TS+SVM
0.514500,0.029651,200.000000,28,0,8,1,Cho2017,TS+SVM
0.603000,0.030317,200.000000,29,0,8,1,Cho2017,TS+SVM
0.723000,0.029720,200.000000,30,0,8,1,Cho2017,TS+SVM
0.782000,0.030255,200.000000,31,0,8,1,Cho2017,TS+SVM
0.476500,0.029651,200.000000,32,0,8,1,Cho2017,TS+SVM
0.624000,0.031535,200.000000,33,0,8,1,Cho2017,TS+SVM
0.500500,0.029537,200.000000,34,0,8,1,Cho2017,TS+SVM
0.832000,0.029632,200.000000,35,0,8,1,Cho2017,TS+SVM
0.724500,0.030681,200.000000,36,0,8,1,Cho2017,TS+SVM
0.749000,0.029598,200.000000,37,0,8,1,Cho2017,TS+SVM
