score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.778789,0.029600,200.000000,1,0,8,1,Cho2017,TS+SVM
0.538728,0.030493,200.000000,2,0,8,1,Cho2017,TS+SVM
0.854809,0.030410,200.000000,3,0,8,1,Cho2017,TS+SVM
0.715930,0.029585,200.000000,4,0,8,1,Cho2017,TS+SVM
0.602299,0.029973,200.000000,5,0,8,1,Cho2017,TS+SVM
0.597504,0.029484,200.000000,6,0,8,1,Cho2017,TS+SVM
0.577123,0.035959,240.000000,7,0,8,1,Cho2017,TS+SVM
0.593329,0.029868,200.000000,8,0,8,1,Cho2017,TS+SVM
0.701750,0.035597,240.000000,9,0,8,1,Cho2017,TS+SVM
0.768975,0.029329,200.000000,10,0,8,1,Cho2017,TS+SVM
0.649106,0.029891,200.000000,11,0,8,1,Cho2017,TS+SVM
0.711660,0.029708,200.000000,12,0,8,1,Cho2017,TS+SVM
0.653001,0.029426,200.000000,13,0,8,1,Cho2017,TS+SVM
0.934903,0.030217,200.000000,14,0,8,1,Cho2017,TS+SVM
0.663799,0.030397,200.000000,15,0,8,1,Cho2017,TS+SVM
0.552730,0.029695,200.000000,16,0,8,1,Cho2017,TS+SVM
0.487576,0.030135,200.000000,17,0,8,1,Cho2017,TS+SVM
0.708428,0.030319,200.000000,18,0,8,1,Cho2017,TS+SVM
0.613847,0.030496,200.000000,19,0,8,1,Cho2017,TS+SVM
0.656942,0.030977,200.000000,20,0,8,1,Cho2017,TS+SVM
0.659017,0.030787,200.000000,21,0,8,1,Cho2017,TS+SVM
0.638095,0.030368,200.000000,22,0,8,1,Cho2017,TS+SVM
0.703496,0.030706,200.000000,23,0,8,1,Cho2017,TS+SVM
0.684772,0.033630,200.000000,24,0,8,1,Cho2017,TS+SVM
0.593221,0.031165,200.000000,25,0,8,1,Cho2017,TS+SVM
0.595625,0.030674,200.000000,26,0,8,1,Cho2017,TS+SVM
0.535842,0.030893,200.000000,27,0,8,1,Cho2017,TS+SVM
0.501547,0.030583,200.000000,28,0,8,1,Cho2017,TS+SVM
0.595305,0.030785,200.000000,29,0,8,1,Cho2017,TS+SVM
0.643117,0.031645,200.000000,30,0,8,1,Cho2017,TS+SVM
0.717970,0.034267,200.000000,31,0,8,1,Cho2017,TS+SVM
0.506242,0.031843,200.000000,32,0,8,1,Cho2017,TS+SVM
