score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.814159,0.050930,200.000000,1,0,15,1,Cho2017,CSP+LDA
0.496567,0.049385,200.000000,2,0,15,1,Cho2017,CSP+LDA
0.819547,0.050381,200.000000,3,0,15,1,Cho2017,CSP+LDA
0.752508,0.048351,200.000000,4,0,15,1,Cho2017,CSP+LDA
0.626801,0.048500,200.000000,5,0,15,1,Cho2017,CSP+LDA
0.576444,0.050154,200.000000,6,0,15,1,Cho2017,CSP+LDA
0.530653,0.060907,240.000000,7,0,15,1,Cho2017,CSP+LDA
0.583885,0.053983,200.000000,8,0,15,1,Cho2017,CSP+LDA
0.678447,0.059841,240.000000,9,0,15,1,Cho2017,CSP+LDA
0.593366,0.048304,200.000000,10,0,15,1,Cho2017,CSP+LDA
0.637301,0.047761,200.000000,11,0,15,1,Cho2017,CSP+LDA
0.681866,0.048979,200.000000,12,0,15,1,Cho2017,CSP+LDA
0.656624,0.048779,200.000000,13,0,15,1,Cho2017,CSP+LDA
0.970000,0.050484,200.000000,14,0,15,1,Cho2017,CSP+LDA
0.698678,0.052377,200.000000,15,0,15,1,Cho2017,CSP+LDA
0.523467,0.048951,200.000000,16,0,15,1,Cho2017,CSP+LDA
0.445216,0.048198,200.000000,17,0,15,1,Cho2017,CSP+LDA
0.611647,0.048469,200.000000,18,0,15,1,Cho2017,CSP+LDA
0.583313,0.048498,200.000000,19,0,15,1,Cho2017,CSP+LDA
0.712061,0.048640,200.000000,20,0,15,1,Cho2017,CSP+LDA
0.697691,0.049663,200.000000,21,0,15,1,Cho2017,CSP+LDA
0.588326,0.048316,200.000000,22,0,15,1,Cho2017,CSP+LDA
0.718735,0.050244,200.000000,23,0,15,1,Cho2017,CSP+LDA
0.656806,0.048028,200.000000,24,0,15,1,Cho2017,CSP+LDA
0.611081,0.048378,200.000000,25,0,15,1,Cho2017,CSP+LDA
0.537222,0.048249,200.000000,26,0,15,1,Cho2017,CSP+LDA
0.540939,0.048475,200.000000,27,0,15,1,Cho2017,CSP+LDA
0.463949,0.048606,200.000000,28,0,15,1,Cho2017,CSP+LDA
0.491840,0.048739,200.000000,29,0,15,1,Cho2017,CSP+LDA
0.598124,0.049701,200.000000,30,0,15,1,Cho2017,CSP+LDA
0.668073,0.049832,200.000000,31,0,15,1,Cho2017,CSP+LDA
0.509526,0.051615,200.000000,32,0,15,1,Cho2017,CSP+LDA
0.582021,0.050582,200.000000,33,0,15,1,Cho2017,CSP+LDA
0.506672,0.049194,200.000000,34,0,15,1,Cho2017,CSP+LDA
0.798028,0.055082,200.000000,35,0,15,1,Cho2017,CSP+LDA
0.622936,0.048593,200.000000,36,0,15,1,Cho2017,CSP+LDA
0.673866,0.048309,200.000000,37,0,15,1,Cho2017,CSP+LDA
0.570636,0.049143,200.000000,38,0,15,1,Cho2017,CSP+LDA
0.656647,0.048355,200.000000,39,0,15,1,Cho2017,CSP+LDA
0.539583,0.048352,200.000000,40,0,15,1,Cho2017,CSP+LDA
0.854708,0.048590,200.000000,41,0,15,1,Cho2017,CSP+LDA
0.608272,0.048422,200.000000,42,0,15,1,Cho2017,CSP+LDA
0.969981,0.048604,200.000000,43,0,15,1,Cho2017,CSP+LDA
0.601374,0.048175,200.000000,44,0,15,1,Cho2017,CSP+LDA
0.499215,0.048541,200.000000,45,0,15,1,Cho2017,CSP+LDA
0.736136,0.063676,240.000000,46,0,15,1,Cho2017,CSP+LDA
0.652303,0.052034,200.000000,47,0,15,1,Cho2017,CSP+LDA
0.717282,0.049772,200.000000,48,0,15,1,Cho2017,CSP+LDA
0.749087,0.053342,200.000000,49,0,15,1,Cho2017,CSP+LDA
0.828810,0.048517,200.000000,50,0,15,1,Cho2017,CSP+LDA
0.569169,0.048479,200.000000,51,0,15,1,Cho2017,CSP+LDA
0.613198,0.050713,200.000000,52,0,15,1,Cho2017,CSP+LDA
0.859659,0.059049,200.000000,1,0,15,1,Cho2017,TS+EL
0.512928,0.070765,200.000000,2,0,15,1,Cho2017,TS+EL
0.844457,0.060914,200.000000,3,0,15,1,Cho2017,TS+EL
0.764979,0.063422,200.000000,4,0,15,1,Cho2017,TS+EL
0.571820,0.059737,200.000000,5,0,15,1,Cho2017,TS+EL
0.529061,0.061791,200.000000,6,0,15,1,Cho2017,TS+EL
0.543651,0.079650,240.000000,7,0,15,1,Cho2017,TS+EL
0.539122,0.064434,200.000000,8,0,15,1,Cho2017,TS+EL
0.684894,0.071930,240.000000,9,0,15,1,Cho2017,TS+EL
0.714821,0.065249,200.000000,10,0,15,1,Cho2017,TS+EL
0.692962,0.057820,200.000000,11,0,15,1,Cho2017,TS+EL
0.701302,0.064121,200.000000,12,0,15,1,Cho2017,TS+EL
0.704231,0.062157,200.000000,13,0,15,1,Cho2017,TS+EL
0.974991,0.058901,200.000000,14,0,15,1,Cho2017,TS+EL
0.666946,0.064745,200.000000,15,0,15,1,Cho2017,TS+EL
0.548005,0.077096,200.000000,16,0,15,1,Cho2017,TS+EL
0.543899,0.070683,200.000000,17,0,15,1,Cho2017,TS+EL
0.632733,0.060542,200.000000,18,0,15,1,Cho2017,TS+EL
0.635824,0.064169,200.000000,19,0,15,1,Cho2017,TS+EL
0.733612,0.062654,200.000000,20,0,15,1,Cho2017,TS+EL
0.691067,0.061993,200.000000,21,0,15,1,Cho2017,TS+EL
0.603356,0.060483,200.000000,22,0,15,1,Cho2017,TS+EL
0.748818,0.060540,200.000000,23,0,15,1,Cho2017,TS+EL
0.645691,0.064116,200.000000,24,0,15,1,Cho2017,TS+EL
0.622094,0.061434,200.000000,25,0,15,1,Cho2017,TS+EL
0.632923,0.065872,200.000000,26,0,15,1,Cho2017,TS+EL
0.627465,0.061470,200.000000,27,0,15,1,Cho2017,TS+EL
0.701293,0.065111,200.000000,28,0,15,1,Cho2017,TS+EL
0.503008,0.069282,200.000000,29,0,15,1,Cho2017,TS+EL
0.595662,0.063487,200.000000,30,0,15,1,Cho2017,TS+EL
0.682982,0.063214,200.000000,31,0,15,1,Cho2017,TS+EL
0.521358,0.061621,200.000000,32,0,15,1,Cho2017,TS+EL
0.614433,0.061056,200.000000,33,0,15,1,Cho2017,TS+EL
0.561723,0.065559,200.000000,34,0,15,1,Cho2017,TS+EL
0.818958,0.062806,200.000000,35,0,15,1,Cho2017,TS+EL
0.624432,0.079032,200.000000,36,0,15,1,Cho2017,TS+EL
0.734310,0.069327,200.000000,37,0,15,1,Cho2017,TS+EL
0.590339,0.063977,200.000000,38,0,15,1,Cho2017,TS+EL
0.714407,0.066805,200.000000,39,0,15,1,Cho2017,TS+EL
0.541298,0.062506,200.000000,40,0,15,1,Cho2017,TS+EL
0.824265,0.061351,200.000000,41,0,15,1,Cho2017,TS+EL
0.672076,0.057298,200.000000,42,0,15,1,Cho2017,TS+EL
0.959899,0.073039,200.000000,43,0,15,1,Cho2017,TS+EL
0.686380,0.065405,200.000000,44,0,15,1,Cho2017,TS+EL
0.527880,0.082541,200.000000,45,0,15,1,Cho2017,TS+EL
0.778904,0.078561,240.000000,46,0,15,1,Cho2017,TS+EL
0.688369,0.075301,200.000000,47,0,15,1,Cho2017,TS+EL
0.731813,0.069105,200.000000,48,0,15,1,Cho2017,TS+EL
0.773593,0.062392,200.000000,49,0,15,1,Cho2017,TS+EL
0.834545,0.059914,200.000000,50,0,15,1,Cho2017,TS+EL
0.512394,0.065716,200.000000,51,0,15,1,Cho2017,TS+EL
0.663142,0.058241,200.000000,52,0,15,1,Cho2017,TS+EL
0.798293,0.048530,200.000000,1,0,15,1,Cho2017,CSP+SVM
0.488508,0.047643,200.000000,2,0,15,1,Cho2017,CSP+SVM
0.819737,0.048196,200.000000,3,0,15,1,Cho2017,CSP+SVM
0.758369,0.048294,200.000000,4,0,15,1,Cho2017,CSP+SVM
0.635380,0.048064,200.000000,5,0,15,1,Cho2017,CSP+SVM
0.563554,0.051254,200.000000,6,0,15,1,Cho2017,CSP+SVM
0.501775,0.060618,240.000000,7,0,15,1,Cho2017,CSP+SVM
0.583531,0.050720,200.000000,8,0,15,1,Cho2017,CSP+SVM
0.682920,0.059663,240.000000,9,0,15,1,Cho2017,CSP+SVM
0.629203,0.048148,200.000000,10,0,15,1,Cho2017,CSP+SVM
0.656898,0.048103,200.000000,11,0,15,1,Cho2017,CSP+SVM
0.683002,0.048339,200.000000,12,0,15,1,Cho2017,CSP+SVM
0.641547,0.048156,200.000000,13,0,15,1,Cho2017,CSP+SVM
0.959981,0.050176,200.000000,14,0,15,1,Cho2017,CSP+SVM
0.687604,0.049354,200.000000,15,0,15,1,Cho2017,CSP+SVM
0.557141,0.049417,200.000000,16,0,15,1,Cho2017,CSP+SVM
0.450568,0.048334,200.000000,17,0,15,1,Cho2017,CSP+SVM
0.600008,0.048399,200.000000,18,0,15,1,Cho2017,CSP+SVM
0.593938,0.048048,200.000000,19,0,15,1,Cho2017,CSP+SVM
0.711577,0.048946,200.000000,20,0,15,1,Cho2017,CSP+SVM
0.696695,0.048197,200.000000,21,0,15,1,Cho2017,CSP+SVM
0.583873,0.048421,200.000000,22,0,15,1,Cho2017,CSP+SVM
0.718570,0.049059,200.000000,23,0,15,1,Cho2017,CSP+SVM
0.657473,0.050074,200.000000,24,0,15,1,Cho2017,CSP+SVM
0.599930,0.048422,200.000000,25,0,15,1,Cho2017,CSP+SVM
0.561005,0.048275,200.000000,26,0,15,1,Cho2017,CSP+SVM
0.525284,0.048067,200.000000,27,0,15,1,Cho2017,CSP+SVM
0.456090,0.048302,200.000000,28,0,15,1,Cho2017,CSP+SVM
0.506131,0.048189,200.000000,29,0,15,1,Cho2017,CSP+SVM
0.626789,0.048184,200.000000,30,0,15,1,Cho2017,CSP+SVM
0.682290,0.048302,200.000000,31,0,15,1,Cho2017,CSP+SVM
0.515517,0.049173,200.000000,32,0,15,1,Cho2017,CSP+SVM
0.598070,0.049734,200.000000,33,0,15,1,Cho2017,CSP+SVM
0.505845,0.048279,200.000000,34,0,15,1,Cho2017,CSP+SVM
0.802802,0.048169,200.000000,35,0,15,1,Cho2017,CSP+SVM
0.628459,0.048966,200.000000,36,0,15,1,Cho2017,CSP+SVM
0.677924,0.048328,200.000000,37,0,15,1,Cho2017,CSP+SVM
0.537742,0.049141,200.000000,38,0,15,1,Cho2017,CSP+SVM
0.651040,0.048840,200.000000,39,0,15,1,Cho2017,CSP+SVM
0.520744,0.048303,200.000000,40,0,15,1,Cho2017,CSP+SVM
0.859692,0.048539,200.000000,41,0,15,1,Cho2017,CSP+SVM
0.623080,0.048273,200.000000,42,0,15,1,Cho2017,CSP+SVM
0.969981,0.048359,200.000000,43,0,15,1,Cho2017,CSP+SVM
0.643195,0.048548,200.000000,44,0,15,1,Cho2017,CSP+SVM
0.523586,0.048513,200.000000,45,0,15,1,Cho2017,CSP+SVM
0.732124,0.060311,240.000000,46,0,15,1,Cho2017,CSP+SVM
0.646204,0.052104,200.000000,47,0,15,1,Cho2017,CSP+SVM
