score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.921500,0.121792,200.000000,1,0,29,1,Cho2017,TS+LR
0.598500,0.128305,200.000000,2,0,29,1,Cho2017,TS+LR
0.937000,0.121584,200.000000,3,0,29,1,Cho2017,TS+LR
0.796000,0.123108,200.000000,4,0,29,1,Cho2017,TS+LR
0.823500,0.122216,200.000000,5,0,29,1,Cho2017,TS+LR
0.652000,0.122396,200.000000,6,0,29,1,Cho2017,TS+LR
0.578472,0.170448,240.000000,7,0,29,1,Cho2017,TS+LR
0.541500,0.121395,200.000000,8,0,29,1,Cho2017,TS+LR
0.721875,0.148017,240.000000,9,0,29,1,Cho2017,TS+LR
0.826000,0.124793,200.000000,10,0,29,1,Cho2017,TS+LR
0.676500,0.126234,200.000000,11,0,29,1,Cho2017,TS+LR
0.797000,0.122148,200.000000,12,0,29,1,Cho2017,TS+LR
0.848500,0.122760,200.000000,13,0,29,1,Cho2017,TS+LR
0.997500,0.126791,200.000000,14,0,29,1,Cho2017,TS+LR
0.725000,0.128921,200.000000,15,0,29,1,Cho2017,TS+LR
0.565500,0.126398,200.000000,16,0,29,1,Cho2017,TS+LR
0.493500,0.131387,200.000000,17,0,29,1,Cho2017,TS+LR
0.681500,0.116080,200.000000,18,0,29,1,Cho2017,TS+LR
0.745000,0.119192,200.000000,19,0,29,1,Cho2017,TS+LR
0.800500,0.118741,200.000000,20,0,29,1,Cho2017,TS+LR
0.792500,0.118761,200.000000,21,0,29,1,Cho2017,TS+LR
0.634500,0.119053,200.000000,22,0,29,1,Cho2017,TS+LR
0.829500,0.118021,200.000000,23,0,29,1,Cho2017,TS+LR
0.753000,0.118962,200.000000,24,0,29,1,Cho2017,TS+LR
0.664500,0.129956,200.000000,25,0,29,1,Cho2017,TS+LR
0.799000,0.118092,200.000000,26,0,29,1,Cho2017,TS+LR
0.602500,0.117592,200.000000,27,0,29,1,Cho2017,TS+LR
0.680000,0.118444,200.000000,28,0,29,1,Cho2017,TS+LR
0.591000,0.127770,200.000000,29,0,29,1,Cho2017,TS+LR
0.650000,0.123436,200.000000,30,0,29,1,Cho2017,TS+LR
0.731000,0.117901,200.000000,31,0,29,1,Cho2017,TS+LR
0.573500,0.119580,200.000000,32,0,29,1,Cho2017,TS+LR
0.625500,0.115864,200.000000,33,0,29,1,Cho2017,TS+LR
0.647000,0.118011,200.000000,34,0,29,1,Cho2017,TS+LR
0.952500,0.119150,200.000000,35,0,29,1,Cho2017,TS+LR
0.687500,0.123352,200.000000,36,0,29,1,Cho2017,TS+LR
0.871500,0.117366,200.000000,37,0,29,1,Cho2017,TS+LR
0.536000,0.118966,200.000000,38,0,29,1,Cho2017,TS+LR
0.800500,0.118079,200.000000,39,0,29,1,Cho2017,TS+LR
0.612500,0.121845,200.000000,40,0,29,1,Cho2017,TS+LR
0.945500,0.119188,200.000000,41,0,29,1,Cho2017,TS+LR
0.619000,0.111660,200.000000,42,0,29,1,Cho2017,TS+LR
0.992000,0.120847,200.000000,43,0,29,1,Cho2017,TS+LR
0.754000,0.121064,200.000000,44,0,29,1,Cho2017,TS+LR
0.601000,0.128027,200.000000,45,0,29,1,Cho2017,TS+LR
0.854514,0.145657,240.000000,46,0,29,1,Cho2017,TS+LR
0.756500,0.121668,200.000000,47,0,29,1,Cho2017,TS+LR
0.833000,0.121171,200.000000,48,0,29,1,Cho2017,TS+LR
0.874500,0.117072,200.000000,49,0,29,1,Cho2017,TS+LR
