score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.728000,0.029709,200.000000,1,0,8,1,Cho2017,TS+SVM
0.588000,0.030195,200.000000,2,0,8,1,Cho2017,TS+SVM
0.892000,0.029744,200.000000,3,0,8,1,Cho2017,TS+SVM
0.794000,0.029787,200.000000,4,0,8,1,Cho2017,TS+SVM
0.695000,0.029650,200.000000,5,0,8,1,Cho2017,TS+SVM
0.605000,0.029690,200.000000,6,0,8,1,Cho2017,TS+SVM
0.553125,0.036070,240.000000,7,0,8,1,Cho2017,TS+SVM
0.648000,0.029647,200.000000,8,0,8,1,Cho2017,TS+SVM
0.703472,0.035565,240.000000,9,0,8,1,Cho2017,TS+SVM
0.606000,0.029350,200.000000,10,0,8,1,Cho2017,TS+SVM
0.723500,0.029692,200.000000,11,0,8,1,Cho2017,TS+SVM
0.735000,0.029592,200.000000,12,0,8,1,Cho2017,TS+SVM
0.761000,0.029593,200.000000,13,0,8,1,Cho2017,TS+SVM
0.973500,0.029404,200.000000,14,0,8,1,Cho2017,TS+SVM
0.586000,0.030509,200.000000,15,0,8,1,Cho2017,TS+SVM
0.494000,0.029381,200.000000,16,0,8,1,Cho2017,TS+SVM
0.499500,0.032544,200.000000,17,0,8,1,Cho2017,TS+SVM
0.642000,0.030333,200.000000,18,0,8,1,Cho2017,TS+SVM
0.693500,0.030380,200.000000,19,0,8,1,Cho2017,TS+SVM
0.798500,0.029715,200.000000,20,0,8,1,Cho2017,TS+SVM
0.719000,0.030087,200.000000,21,0,8,1,Cho2017,TS+SVM
0.594000,0.029983,200.000000,22,0,8,1,Cho2017,TS+SVM
0.792500,0.030074,200.000000,23,0,8,1,Cho2017,TS+SVM
0.702500,0.032318,200.000000,24,0,8,1,Cho2017,TS+SVM
0.561000,0.030343,200.000000,25,0,8,1,Cho2017,TS+SVM
0.693500,0.030084,200.000000,26,0,8,1,Cho2017,TS+SVM
0.587500,0.030302,200.000000,27,0,8,1,Cho2017,TS+SVM
0.546500,0.030308,200.000000,28,0,8,1,Cho2017,TS+SVM
0.582000,0.030608,200.000000,29,0,8,1,Cho2017,TS+SVM
0.621500,0.029726,200.000000,30,0,8,1,Cho2017,TS+SVM
0.732000,0.029743,200.000000,31,0,8,1,Cho2017,TS+SVM
0.576000,0.029462,200.000000,32,0,8,1,Cho2017,TS+SVM
0.627000,0.029824,200.000000,33,0,8,1,Cho2017,TS+SVM
0.466500,0.029656,200.000000,34,0,8,1,Cho2017,TS+SVM
0.807500,0.030217,200.000000,35,0,8,1,Cho2017,TS+SVM
0.721000,0.031607,200.000000,36,0,8,1,Cho2017,TS+SVM
0.757500,0.030125,200.000000,37,0,8,1,Cho2017,TS+SVM
0.562000,0.030952,200.000000,38,0,8,1,Cho2017,TS+SVM
0.655000,0.030236,200.000000,39,0,8,1,Cho2017,TS+SVM
0.477500,0.031824,200.000000,40,0,8,1,Cho2017,TS+SVM
0.861000,0.029408,200.000000,41,0,8,1,Cho2017,TS+SVM
0.730000,0.031069,200.000000,42,0,8,1,Cho2017,TS+SVM
0.985000,0.030132,200.000000,43,0,8,1,Cho2017,TS+SVM
0.643000,0.031411,200.000000,44,0,8,1,Cho2017,TS+SVM
0.599000,0.031087,200.000000,45,0,8,1,Cho2017,TS+SVM
0.720486,0.037813,240.000000,46,0,8,1,Cho2017,TS+SVM
0.702500,0.029454,200.000000,47,0,8,1,Cho2017,TS+SVM
0.777500,0.030169,200.000000,48,0,8,1,Cho2017,TS+SVM
0.790500,0.030486,200.000000,49,0,8,1,Cho2017,TS+SVM
0.894500,0.029694,200.000000,50,0,8,1,Cho2017,TS+SVM
0.546000,0.029568,200.000000,51,0,8,1,Cho2017,TS+SVM
0.729500,0.029414,200.000000,52,0,8,1,Cho2017,TS+SVM
0.712000,0.020319,200.000000,1,0,8,1,Cho2017,CSP+SVM
0.492500,0.020394,200.000000,2,0,8,1,Cho2017,CSP+SVM
0.871500,0.020289,200.000000,3,0,8,1,Cho2017,CSP+SVM
0.763000,0.020664,200.000000,4,0,8,1,Cho2017,CSP+SVM
0.709000,0.020385,200.000000,5,0,8,1,Cho2017,CSP+SVM
0.592500,0.020303,200.000000,6,0,8,1,Cho2017,CSP+SVM
