score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.653101,0.029437,200.000000,1,0,8,1,Cho2017,TS+SVM
0.535526,0.030140,200.000000,2,0,8,1,Cho2017,TS+SVM
0.813922,0.029435,200.000000,3,0,8,1,Cho2017,TS+SVM
0.707911,0.029420,200.000000,4,0,8,1,Cho2017,TS+SVM
0.650123,0.029872,200.000000,5,0,8,1,Cho2017,TS+SVM
0.567537,0.030171,200.000000,6,0,8,1,Cho2017,TS+SVM
0.536871,0.036236,240.000000,7,0,8,1,Cho2017,TS+SVM
0.629147,0.029662,200.000000,8,0,8,1,Cho2017,TS+SVM
0.649179,0.035181,240.000000,9,0,8,1,Cho2017,TS+SVM
0.552641,0.029566,200.000000,10,0,8,1,Cho2017,TS+SVM
0.668704,0.029643,200.000000,11,0,8,1,Cho2017,TS+SVM
0.672128,0.029473,200.000000,12,0,8,1,Cho2017,TS+SVM
0.696267,0.029543,200.000000,13,0,8,1,Cho2017,TS+SVM
0.934897,0.029322,200.000000,14,0,8,1,Cho2017,TS+SVM
0.572561,0.030458,200.000000,15,0,8,1,Cho2017,TS+SVM
0.484704,0.029467,200.000000,16,0,8,1,Cho2017,TS+SVM
0.501583,0.030585,200.000000,17,0,8,1,Cho2017,TS+SVM
0.612961,0.030347,200.000000,18,0,8,1,Cho2017,TS+SVM
0.622495,0.030172,200.000000,19,0,8,1,Cho2017,TS+SVM
0.692502,0.030691,200.000000,20,0,8,1,Cho2017,TS+SVM
0.625531,0.030371,200.000000,21,0,8,1,Cho2017,TS+SVM
0.582646,0.030606,200.000000,22,0,8,1,Cho2017,TS+SVM
0.742717,0.029996,200.000000,23,0,8,1,Cho2017,TS+SVM
0.643126,0.031554,200.000000,24,0,8,1,Cho2017,TS+SVM
0.550461,0.030886,200.000000,25,0,8,1,Cho2017,TS+SVM
0.638939,0.030286,200.000000,26,0,8,1,Cho2017,TS+SVM
0.546829,0.030412,200.000000,27,0,8,1,Cho2017,TS+SVM
0.549180,0.030114,200.000000,28,0,8,1,Cho2017,TS+SVM
0.529083,0.030865,200.000000,29,0,8,1,Cho2017,TS+SVM
0.591675,0.029531,200.000000,30,0,8,1,Cho2017,TS+SVM
0.664042,0.029587,200.000000,31,0,8,1,Cho2017,TS+SVM
0.573973,0.029715,200.000000,32,0,8,1,Cho2017,TS+SVM
0.604250,0.030462,200.000000,33,0,8,1,Cho2017,TS+SVM
0.458019,0.029475,200.000000,34,0,8,1,Cho2017,TS+SVM
0.720868,0.030066,200.000000,35,0,8,1,Cho2017,TS+SVM
0.650772,0.030751,200.000000,36,0,8,1,Cho2017,TS+SVM
0.689637,0.029605,200.000000,37,0,8,1,Cho2017,TS+SVM
0.527143,0.032552,200.000000,38,0,8,1,Cho2017,TS+SVM
0.632170,0.030254,200.000000,39,0,8,1,Cho2017,TS+SVM
0.444515,0.030828,200.000000,40,0,8,1,Cho2017,TS+SVM
0.774179,0.029618,200.000000,41,0,8,1,Cho2017,TS+SVM
0.675411,0.029471,200.000000,42,0,8,1,Cho2017,TS+SVM
0.914840,0.030221,200.000000,43,0,8,1,Cho2017,TS+SVM
0.583256,0.030778,200.000000,44,0,8,1,Cho2017,TS+SVM
0.575258,0.030185,200.000000,45,0,8,1,Cho2017,TS+SVM
0.661681,0.035906,240.000000,46,0,8,1,Cho2017,TS+SVM
0.645496,0.030775,200.000000,47,0,8,1,Cho2017,TS+SVM
0.707156,0.029519,200.000000,48,0,8,1,Cho2017,TS+SVM
0.729130,0.030533,200.000000,49,0,8,1,Cho2017,TS+SVM
0.809379,0.029398,200.000000,50,0,8,1,Cho2017,TS+SVM
0.537819,0.029978,200.000000,51,0,8,1,Cho2017,TS+SVM
0.649348,0.029445,200.000000,52,0,8,1,Cho2017,TS+SVM
0.698790,0.020584,200.000000,1,0,8,1,Cho2017,CSP+SVM
0.502224,0.020601,200.000000,2,0,8,1,Cho2017,CSP+SVM
0.808942,0.020787,200.000000,3,0,8,1,Cho2017,CSP+SVM
0.692104,0.021083,200.000000,4,0,8,1,Cho2017,CSP+SVM
0.645501,0.020670,200.000000,5,0,8,1,Cho2017,CSP+SVM
0.535771,0.020938,200.000000,6,0,8,1,Cho2017,CSP+SVM
0.536444,0.027750,240.000000,7,0,8,1,Cho2017,CSP+SVM
0.554175,0.020774,200.000000,8,0,8,1,Cho2017,CSP+SVM
0.606598,0.027289,240.000000,9,0,8,1,Cho2017,CSP+SVM
0.600889,0.020797,200.000000,10,0,8,1,Cho2017,CSP+SVM
0.681863,0.020823,200.000000,11,0,8,1,Cho2017,CSP+SVM
0.624207,0.020312,200.000000,12,0,8,1,Cho2017,CSP+SVM
0.715625,0.020326,200.000000,13,0,8,1,Cho2017,CSP+SVM
0.899950,0.020458,200.000000,14,0,8,1,Cho2017,CSP+SVM
0.543025,0.020614,200.000000,15,0,8,1,Cho2017,CSP+SVM
0.529918,0.020606,200.000000,16,0,8,1,Cho2017,CSP+SVM
0.480933,0.021321,200.000000,17,0,8,1,Cho2017,CSP+SVM
0.548037,0.020812,200.000000,18,0,8,1,Cho2017,CSP+SVM
0.596529,0.020774,200.000000,19,0,8,1,Cho2017,CSP+SVM
0.700097,0.020739,200.000000,20,0,8,1,Cho2017,CSP+SVM
0.662863,0.020538,200.000000,21,0,8,1,Cho2017,CSP+SVM
0.592431,0.024505,200.000000,22,0,8,1,Cho2017,CSP+SVM
0.741797,0.021043,200.000000,23,0,8,1,Cho2017,CSP+SVM
0.664042,0.020882,200.000000,24,0,8,1,Cho2017,CSP+SVM
0.566658,0.021318,200.000000,25,0,8,1,Cho2017,CSP+SVM
0.593473,0.020849,200.000000,26,0,8,1,Cho2017,CSP+SVM
0.506233,0.020725,200.000000,27,0,8,1,Cho2017,CSP+SVM
0.479406,0.020581,200.000000,28,0,8,1,Cho2017,CSP+SVM
0.466065,0.020522,200.000000,29,0,8,1,Cho2017,CSP+SVM
0.574998,0.020687,200.000000,30,0,8,1,Cho2017,CSP+SVM
0.654344,0.020661,200.000000,31,0,8,1,Cho2017,CSP+SVM
0.574042,0.020849,200.000000,32,0,8,1,Cho2017,CSP+SVM
