score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.697000,0.025920,200.000000,1,0,6,1,Cho2017,TS+EL
0.555000,0.025595,200.000000,2,0,6,1,Cho2017,TS+EL
0.895000,0.025864,200.000000,3,0,6,1,Cho2017,TS+EL
0.717000,0.025145,200.000000,4,0,6,1,Cho2017,TS+EL
0.703500,0.025693,200.000000,5,0,6,1,Cho2017,TS+EL
0.592500,0.025758,200.000000,6,0,6,1,Cho2017,TS+EL
0.601042,0.031563,240.000000,7,0,6,1,Cho2017,TS+EL
0.630500,0.025959,200.000000,8,0,6,1,Cho2017,TS+EL
0.653472,0.031441,240.000000,9,0,6,1,Cho2017,TS+EL
0.607500,0.026036,200.000000,10,0,6,1,Cho2017,TS+EL
0.727500,0.026477,200.000000,11,0,6,1,Cho2017,TS+EL
0.686500,0.026065,200.000000,12,0,6,1,Cho2017,TS+EL
0.786000,0.026254,200.000000,13,0,6,1,Cho2017,TS+EL
0.879000,0.026060,200.000000,14,0,6,1,Cho2017,TS+EL
0.616500,0.027080,200.000000,15,0,6,1,Cho2017,TS+EL
0.503000,0.026259,200.000000,16,0,6,1,Cho2017,TS+EL
0.510000,0.027421,200.000000,17,0,6,1,Cho2017,TS+EL
0.606000,0.026816,200.000000,18,0,6,1,Cho2017,TS+EL
0.699500,0.026859,200.000000,19,0,6,1,Cho2017,TS+EL
0.789000,0.026334,200.000000,20,0,6,1,Cho2017,TS+EL
0.695000,0.026228,200.000000,21,0,6,1,Cho2017,TS+EL
0.596000,0.026279,200.000000,22,0,6,1,Cho2017,TS+EL
0.766000,0.026504,200.000000,23,0,6,1,Cho2017,TS+EL
0.707000,0.026645,200.000000,24,0,6,1,Cho2017,TS+EL
0.581500,0.026124,200.000000,25,0,6,1,Cho2017,TS+EL
0.652000,0.026489,200.000000,26,0,6,1,Cho2017,TS+EL
0.562500,0.026541,200.000000,27,0,6,1,Cho2017,TS+EL
0.532500,0.027391,200.000000,28,0,6,1,Cho2017,TS+EL
0.550000,0.028184,200.000000,29,0,6,1,Cho2017,TS+EL
0.622000,0.026348,200.000000,30,0,6,1,Cho2017,TS+EL
0.642500,0.026654,200.000000,31,0,6,1,Cho2017,TS+EL
0.562500,0.026561,200.000000,32,0,6,1,Cho2017,TS+EL
0.668000,0.026374,200.000000,33,0,6,1,Cho2017,TS+EL
0.469000,0.026275,200.000000,34,0,6,1,Cho2017,TS+EL
0.720500,0.026455,200.000000,35,0,6,1,Cho2017,TS+EL
0.647500,0.028485,200.000000,36,0,6,1,Cho2017,TS+EL
0.713000,0.026611,200.000000,37,0,6,1,Cho2017,TS+EL
