score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.687355,0.027301,200.000000,1,0,6,1,Cho2017,TS+EL
0.521833,0.026951,200.000000,2,0,6,1,Cho2017,TS+EL
0.819648,0.026870,200.000000,3,0,6,1,Cho2017,TS+EL
0.652951,0.026919,200.000000,4,0,6,1,Cho2017,TS+EL
0.644042,0.026567,200.000000,5,0,6,1,Cho2017,TS+EL
0.546607,0.026414,200.000000,6,0,6,1,Cho2017,TS+EL
0.591453,0.032584,240.000000,7,0,6,1,Cho2017,TS+EL
0.563873,0.026920,200.000000,8,0,6,1,Cho2017,TS+EL
0.610304,0.032114,240.000000,9,0,6,1,Cho2017,TS+EL
0.579134,0.027494,200.000000,10,0,6,1,Cho2017,TS+EL
0.688288,0.027673,200.000000,11,0,6,1,Cho2017,TS+EL
0.611431,0.027301,200.000000,12,0,6,1,Cho2017,TS+EL
0.687462,0.028228,200.000000,13,0,6,1,Cho2017,TS+EL
0.799674,0.026734,200.000000,14,0,6,1,Cho2017,TS+EL
0.568062,0.027883,200.000000,15,0,6,1,Cho2017,TS+EL
0.513767,0.027127,200.000000,16,0,6,1,Cho2017,TS+EL
0.499072,0.028115,200.000000,17,0,6,1,Cho2017,TS+EL
0.574276,0.027530,200.000000,18,0,6,1,Cho2017,TS+EL
0.638332,0.027485,200.000000,19,0,6,1,Cho2017,TS+EL
0.682524,0.026940,200.000000,20,0,6,1,Cho2017,TS+EL
0.663209,0.027370,200.000000,21,0,6,1,Cho2017,TS+EL
0.569172,0.026902,200.000000,22,0,6,1,Cho2017,TS+EL
0.699322,0.026823,200.000000,23,0,6,1,Cho2017,TS+EL
0.642055,0.026993,200.000000,24,0,6,1,Cho2017,TS+EL
0.546214,0.026556,200.000000,25,0,6,1,Cho2017,TS+EL
0.619367,0.027271,200.000000,26,0,6,1,Cho2017,TS+EL
0.514809,0.026794,200.000000,27,0,6,1,Cho2017,TS+EL
0.512782,0.027744,200.000000,28,0,6,1,Cho2017,TS+EL
0.526548,0.027137,200.000000,29,0,6,1,Cho2017,TS+EL
0.568124,0.026897,200.000000,30,0,6,1,Cho2017,TS+EL
0.643013,0.026941,200.000000,31,0,6,1,Cho2017,TS+EL
0.574206,0.027112,200.000000,32,0,6,1,Cho2017,TS+EL
0.627217,0.027139,200.000000,33,0,6,1,Cho2017,TS+EL
0.478598,0.026560,200.000000,34,0,6,1,Cho2017,TS+EL
0.634122,0.026551,200.000000,35,0,6,1,Cho2017,TS+EL
0.623999,0.027395,200.000000,36,0,6,1,Cho2017,TS+EL
0.647290,0.026937,200.000000,37,0,6,1,Cho2017,TS+EL
0.528496,0.026959,200.000000,38,0,6,1,Cho2017,TS+EL
0.643372,0.027204,200.000000,39,0,6,1,Cho2017,TS+EL
0.507019,0.027054,200.000000,40,0,6,1,Cho2017,TS+EL
0.803717,0.026949,200.000000,41,0,6,1,Cho2017,TS+EL
0.661435,0.026585,200.000000,42,0,6,1,Cho2017,TS+EL
0.859533,0.027178,200.000000,43,0,6,1,Cho2017,TS+EL
0.616839,0.027415,200.000000,44,0,6,1,Cho2017,TS+EL
0.582245,0.027636,200.000000,45,0,6,1,Cho2017,TS+EL
0.620331,0.032265,240.000000,46,0,6,1,Cho2017,TS+EL
0.640370,0.026862,200.000000,47,0,6,1,Cho2017,TS+EL
0.702042,0.026604,200.000000,48,0,6,1,Cho2017,TS+EL
0.768418,0.027202,200.000000,49,0,6,1,Cho2017,TS+EL
0.804601,0.026995,200.000000,50,0,6,1,Cho2017,TS+EL
0.577341,0.026960,200.000000,51,0,6,1,Cho2017,TS+EL
0.679137,0.026397,200.000000,52,0,6,1,Cho2017,TS+EL
0.648935,0.018555,200.000000,1,0,6,1,Cho2017,CSP+SVM
0.522915,0.018609,200.000000,2,0,6,1,Cho2017,CSP+SVM
0.714788,0.018494,200.000000,3,0,6,1,Cho2017,CSP+SVM
0.589961,0.018339,200.000000,4,0,6,1,Cho2017,CSP+SVM
0.623655,0.018545,200.000000,5,0,6,1,Cho2017,CSP+SVM
0.495466,0.018519,200.000000,6,0,6,1,Cho2017,CSP+SVM
0.537609,0.021692,240.000000,7,0,6,1,Cho2017,CSP+SVM
0.585747,0.018401,200.000000,8,0,6,1,Cho2017,CSP+SVM
0.640911,0.023473,240.000000,9,0,6,1,Cho2017,CSP+SVM
0.611659,0.018970,200.000000,10,0,6,1,Cho2017,CSP+SVM
0.613627,0.019972,200.000000,11,0,6,1,Cho2017,CSP+SVM
0.636155,0.020004,200.000000,12,0,6,1,Cho2017,CSP+SVM
0.642094,0.019515,200.000000,13,0,6,1,Cho2017,CSP+SVM
0.723616,0.019061,200.000000,14,0,6,1,Cho2017,CSP+SVM
0.513449,0.018409,200.000000,15,0,6,1,Cho2017,CSP+SVM
0.533808,0.018889,200.000000,16,0,6,1,Cho2017,CSP+SVM
0.498553,0.018534,200.000000,17,0,6,1,Cho2017,CSP+SVM
0.552910,0.018637,200.000000,18,0,6,1,Cho2017,CSP+SVM
0.530382,0.018681,200.000000,19,0,6,1,Cho2017,CSP+SVM
0.614342,0.018601,200.000000,20,0,6,1,Cho2017,CSP+SVM
0.566840,0.020327,200.000000,21,0,6,1,Cho2017,CSP+SVM
0.574677,0.018809,200.000000,22,0,6,1,Cho2017,CSP+SVM
0.662857,0.018662,200.000000,23,0,6,1,Cho2017,CSP+SVM
0.623633,0.018636,200.000000,24,0,6,1,Cho2017,CSP+SVM
0.519061,0.018766,200.000000,25,0,6,1,Cho2017,CSP+SVM
0.565178,0.018820,200.000000,26,0,6,1,Cho2017,CSP+SVM
0.511794,0.018696,200.000000,27,0,6,1,Cho2017,CSP+SVM
0.462093,0.018651,200.000000,28,0,6,1,Cho2017,CSP+SVM
0.461255,0.018754,200.000000,29,0,6,1,Cho2017,CSP+SVM
0.531003,0.018704,200.000000,30,0,6,1,Cho2017,CSP+SVM
0.532256,0.018614,200.000000,31,0,6,1,Cho2017,CSP+SVM
0.469557,0.018736,200.000000,32,0,6,1,Cho2017,CSP+SVM
0.587977,0.018445,200.000000,33,0,6,1,Cho2017,CSP+SVM
0.455426,0.018603,200.000000,34,0,6,1,Cho2017,CSP+SVM
0.643355,0.018736,200.000000,35,0,6,1,Cho2017,CSP+SVM
0.557239,0.018643,200.000000,36,0,6,1,Cho2017,CSP+SVM
0.622143,0.018497,200.000000,37,0,6,1,Cho2017,CSP+SVM
0.537378,0.018646,200.000000,38,0,6,1,Cho2017,CSP+SVM
0.574809,0.018550,200.000000,39,0,6,1,Cho2017,CSP+SVM
0.518057,0.018759,200.000000,40,0,6,1,Cho2017,CSP+SVM
0.618325,0.018490,200.000000,41,0,6,1,Cho2017,CSP+SVM
0.515297,0.018892,200.000000,42,0,6,1,Cho2017,CSP+SVM
0.813282,0.018499,200.000000,43,0,6,1,Cho2017,CSP+SVM
0.577804,0.018686,200.000000,44,0,6,1,Cho2017,CSP+SVM
0.514174,0.018536,200.000000,45,0,6,1,Cho2017,CSP+SVM
0.669996,0.021879,240.000000,46,0,6,1,Cho2017,CSP+SVM
0.609460,0.018738,200.000000,47,0,6,1,Cho2017,CSP+SVM
0.643154,0.018503,200.000000,48,0,6,1,Cho2017,CSP+SVM
0.714357,0.018718,200.000000,49,0,6,1,Cho2017,CSP+SVM
0.769498,0.018669,200.000000,50,0,6,1,Cho2017,CSP+SVM
0.564497,0.018591,200.000000,51,0,6,1,Cho2017,CSP+SVM
0.606472,0.018972,200.000000,52,0,6,1,Cho2017,CSP+SVM
0.646456,0.026755,200.000000,1,0,6,1,Cho2017,TS+SVM
0.538053,0.026792,200.000000,2,0,6,1,Cho2017,TS+SVM
0.828441,0.026473,200.000000,3,0,6,1,Cho2017,TS+SVM
0.632667,0.026597,200.000000,4,0,6,1,Cho2017,TS+SVM
0.595065,0.026599,200.000000,5,0,6,1,Cho2017,TS+SVM
0.572011,0.026178,200.000000,6,0,6,1,Cho2017,TS+SVM
0.595589,0.032566,240.000000,7,0,6,1,Cho2017,TS+SVM
0.578750,0.026626,200.000000,8,0,6,1,Cho2017,TS+SVM
0.589179,0.033395,240.000000,9,0,6,1,Cho2017,TS+SVM
0.527440,0.026489,200.000000,10,0,6,1,Cho2017,TS+SVM
0.667705,0.028006,200.000000,11,0,6,1,Cho2017,TS+SVM
0.672363,0.028102,200.000000,12,0,6,1,Cho2017,TS+SVM
0.662361,0.027070,200.000000,13,0,6,1,Cho2017,TS+SVM
0.794665,0.027458,200.000000,14,0,6,1,Cho2017,TS+SVM
0.546650,0.027168,200.000000,15,0,6,1,Cho2017,TS+SVM
0.491019,0.026768,200.000000,16,0,6,1,Cho2017,TS+SVM
0.514697,0.027023,200.000000,17,0,6,1,Cho2017,TS+SVM
0.546226,0.027120,200.000000,18,0,6,1,Cho2017,TS+SVM
0.637447,0.027530,200.000000,19,0,6,1,Cho2017,TS+SVM
0.682298,0.026832,200.000000,20,0,6,1,Cho2017,TS+SVM
0.677650,0.027987,200.000000,21,0,6,1,Cho2017,TS+SVM
0.516857,0.027009,200.000000,22,0,6,1,Cho2017,TS+SVM
0.694259,0.026473,200.000000,23,0,6,1,Cho2017,TS+SVM
0.654583,0.026694,200.000000,24,0,6,1,Cho2017,TS+SVM
0.535605,0.026983,200.000000,25,0,6,1,Cho2017,TS+SVM
0.562405,0.027137,200.000000,26,0,6,1,Cho2017,TS+SVM
0.482538,0.026369,200.000000,27,0,6,1,Cho2017,TS+SVM
0.470275,0.026749,200.000000,28,0,6,1,Cho2017,TS+SVM
0.556901,0.027162,200.000000,29,0,6,1,Cho2017,TS+SVM
0.568783,0.026686,200.000000,30,0,6,1,Cho2017,TS+SVM
0.616934,0.026546,200.000000,31,0,6,1,Cho2017,TS+SVM
0.560367,0.026616,200.000000,32,0,6,1,Cho2017,TS+SVM
0.617311,0.026582,200.000000,33,0,6,1,Cho2017,TS+SVM
0.478738,0.026906,200.000000,34,0,6,1,Cho2017,TS+SVM
0.650808,0.026519,200.000000,35,0,6,1,Cho2017,TS+SVM
0.604053,0.026804,200.000000,36,0,6,1,Cho2017,TS+SVM
0.663149,0.026583,200.000000,37,0,6,1,Cho2017,TS+SVM
0.547343,0.026717,200.000000,38,0,6,1,Cho2017,TS+SVM
0.644572,0.026787,200.000000,39,0,6,1,Cho2017,TS+SVM
0.517917,0.026515,200.000000,40,0,6,1,Cho2017,TS+SVM
0.764084,0.026288,200.000000,41,0,6,1,Cho2017,TS+SVM
0.661557,0.026727,200.000000,42,0,6,1,Cho2017,TS+SVM
0.858261,0.027045,200.000000,43,0,6,1,Cho2017,TS+SVM
0.628823,0.026780,200.000000,44,0,6,1,Cho2017,TS+SVM
0.554537,0.026614,200.000000,45,0,6,1,Cho2017,TS+SVM
0.614190,0.031905,240.000000,46,0,6,1,Cho2017,TS+SVM
0.640424,0.026710,200.000000,47,0,6,1,Cho2017,TS+SVM
0.700673,0.026751,200.000000,48,0,6,1,Cho2017,TS+SVM
0.768590,0.027129,200.000000,49,0,6,1,Cho2017,TS+SVM
