score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.797000,0.024823,200.000000,1,0,6,1,Cho2017,TS+LR
0.494500,0.024550,200.000000,2,0,6,1,Cho2017,TS+LR
0.899500,0.024157,200.000000,3,0,6,1,Cho2017,TS+LR
0.787500,0.023992,200.000000,4,0,6,1,Cho2017,TS+LR
0.626500,0.024016,200.000000,5,0,6,1,Cho2017,TS+LR
0.649500,0.024223,200.000000,6,0,6,1,Cho2017,TS+LR
0.444792,0.029705,240.000000,7,0,6,1,Cho2017,TS+LR
0.523500,0.024275,200.000000,8,0,6,1,Cho2017,TS+LR
0.748264,0.029113,240.000000,9,0,6,1,Cho2017,TS+LR
0.793500,0.024025,200.000000,10,0,6,1,Cho2017,TS+LR
0.664000,0.024324,200.000000,11,0,6,1,Cho2017,TS+LR
0.819500,0.024310,200.000000,12,0,6,1,Cho2017,TS+LR
0.474500,0.024219,200.000000,13,0,6,1,Cho2017,TS+LR
0.994500,0.024554,200.000000,14,0,6,1,Cho2017,TS+LR
0.700500,0.024623,200.000000,15,0,6,1,Cho2017,TS+LR
0.616500,0.024329,200.000000,16,0,6,1,Cho2017,TS+LR
0.454500,0.023917,200.000000,17,0,6,1,Cho2017,TS+LR
0.664000,0.024485,200.000000,18,0,6,1,Cho2017,TS+LR
0.698000,0.024692,200.000000,19,0,6,1,Cho2017,TS+LR
0.683500,0.024134,200.000000,20,0,6,1,Cho2017,TS+LR
0.750000,0.024400,200.000000,21,0,6,1,Cho2017,TS+LR
0.734000,0.025293,200.000000,22,0,6,1,Cho2017,TS+LR
0.819000,0.025993,200.000000,23,0,6,1,Cho2017,TS+LR
0.690500,0.025773,200.000000,24,0,6,1,Cho2017,TS+LR
0.639000,0.026493,200.000000,25,0,6,1,Cho2017,TS+LR
0.639000,0.025710,200.000000,26,0,6,1,Cho2017,TS+LR
0.618500,0.025061,200.000000,27,0,6,1,Cho2017,TS+LR
0.390500,0.025582,200.000000,28,0,6,1,Cho2017,TS+LR
0.547500,0.025802,200.000000,29,0,6,1,Cho2017,TS+LR
0.675500,0.024136,200.000000,30,0,6,1,Cho2017,TS+LR
0.712000,0.024679,200.000000,31,0,6,1,Cho2017,TS+LR
0.568500,0.024486,200.000000,32,0,6,1,Cho2017,TS+LR
0.566500,0.026196,200.000000,33,0,6,1,Cho2017,TS+LR
0.563500,0.025363,200.000000,34,0,6,1,Cho2017,TS+LR
0.872000,0.025873,200.000000,35,0,6,1,Cho2017,TS+LR
0.700500,0.026044,200.000000,36,0,6,1,Cho2017,TS+LR
0.713500,0.025905,200.000000,37,0,6,1,Cho2017,TS+LR
0.466500,0.024371,200.000000,38,0,6,1,Cho2017,TS+LR
0.686000,0.025819,200.000000,39,0,6,1,Cho2017,TS+LR
0.468500,0.025545,200.000000,40,0,6,1,Cho2017,TS+LR
0.924000,0.025429,200.000000,41,0,6,1,Cho2017,TS+LR
0.569000,0.025077,200.000000,42,0,6,1,Cho2017,TS+LR
0.970000,0.024727,200.000000,43,0,6,1,Cho2017,TS+LR
0.566500,0.025943,200.000000,44,0,6,1,Cho2017,TS+LR
0.646000,0.025535,200.000000,45,0,6,1,Cho2017,TS+LR
0.678125,0.029808,240.000000,46,0,6,1,Cho2017,TS+LR
0.664500,0.025141,200.000000,47,0,6,1,Cho2017,TS+LR
0.773500,0.025420,200.000000,48,0,6,1,Cho2017,TS+LR
0.691500,0.025336,200.000000,49,0,6,1,Cho2017,TS+LR
0.524000,0.025724,200.000000,50,0,6,1,Cho2017,TS+LR
0.628000,0.025455,200.000000,51,0,6,1,Cho2017,TS+LR
0.755000,0.025762,200.000000,52,0,6,1,Cho2017,TS+LR
0.731500,0.017598,200.000000,1,0,6,1,Cho2017,CSP+SVM
0.488000,0.017759,200.000000,2,0,6,1,Cho2017,CSP+SVM
0.872000,0.017658,200.000000,3,0,6,1,Cho2017,CSP+SVM
0.807000,0.017746,200.000000,4,0,6,1,Cho2017,CSP+SVM
0.614000,0.017809,200.000000,5,0,6,1,Cho2017,CSP+SVM
0.635000,0.017788,200.000000,6,0,6,1,Cho2017,CSP+SVM
0.472917,0.020844,240.000000,7,0,6,1,Cho2017,CSP+SVM
0.481000,0.017840,200.000000,8,0,6,1,Cho2017,CSP+SVM
0.737500,0.020807,240.000000,9,0,6,1,Cho2017,CSP+SVM
0.703000,0.017634,200.000000,10,0,6,1,Cho2017,CSP+SVM
0.699500,0.017726,200.000000,11,0,6,1,Cho2017,CSP+SVM
0.791500,0.017704,200.000000,12,0,6,1,Cho2017,CSP+SVM
0.485500,0.017722,200.000000,13,0,6,1,Cho2017,CSP+SVM
0.993000,0.017640,200.000000,14,0,6,1,Cho2017,CSP+SVM
0.666000,0.017556,200.000000,15,0,6,1,Cho2017,CSP+SVM
0.625000,0.018132,200.000000,16,0,6,1,Cho2017,CSP+SVM
0.460500,0.018048,200.000000,17,0,6,1,Cho2017,CSP+SVM
0.568500,0.017593,200.000000,18,0,6,1,Cho2017,CSP+SVM
0.610500,0.017663,200.000000,19,0,6,1,Cho2017,CSP+SVM
0.647500,0.017691,200.000000,20,0,6,1,Cho2017,CSP+SVM
0.642000,0.017944,200.000000,21,0,6,1,Cho2017,CSP+SVM
0.608000,0.017878,200.000000,22,0,6,1,Cho2017,CSP+SVM
0.806500,0.017682,200.000000,23,0,6,1,Cho2017,CSP+SVM
0.638000,0.018106,200.000000,24,0,6,1,Cho2017,CSP+SVM
0.620500,0.018347,200.000000,25,0,6,1,Cho2017,CSP+SVM
0.562500,0.017864,200.000000,26,0,6,1,Cho2017,CSP+SVM
0.587500,0.017585,200.000000,27,0,6,1,Cho2017,CSP+SVM
0.465000,0.017709,200.000000,28,0,6,1,Cho2017,CSP+SVM
0.494000,0.017695,200.000000,29,0,6,1,Cho2017,CSP+SVM
0.662000,0.017999,200.000000,30,0,6,1,Cho2017,CSP+SVM
0.682500,0.017706,200.000000,31,0,6,1,Cho2017,CSP+SVM
0.510000,0.017561,200.000000,32,0,6,1,Cho2017,CSP+SVM
0.524500,0.017694,200.000000,33,0,6,1,Cho2017,CSP+SVM
0.518000,0.020111,200.000000,34,0,6,1,Cho2017,CSP+SVM
0.791000,0.018705,200.000000,35,0,6,1,Cho2017,CSP+SVM
0.613500,0.018039,200.000000,36,0,6,1,Cho2017,CSP+SVM
0.671500,0.018660,200.000000,37,0,6,1,Cho2017,CSP+SVM
0.553000,0.019428,200.000000,38,0,6,1,Cho2017,CSP+SVM
0.642500,0.019629,200.000000,39,0,6,1,Cho2017,CSP+SVM
0.515000,0.018387,200.000000,40,0,6,1,Cho2017,CSP+SVM
0.925000,0.019669,200.000000,41,0,6,1,Cho2017,CSP+SVM
0.572500,0.018772,200.000000,42,0,6,1,Cho2017,CSP+SVM
