score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.698596,0.027278,200.000000,1,0,6,1,Cho2017,TS+LR
0.487593,0.026711,200.000000,2,0,6,1,Cho2017,TS+LR
0.799215,0.026171,200.000000,3,0,6,1,Cho2017,TS+LR
0.707099,0.026092,200.000000,4,0,6,1,Cho2017,TS+LR
0.556914,0.026379,200.000000,5,0,6,1,Cho2017,TS+LR
0.597608,0.026161,200.000000,6,0,6,1,Cho2017,TS+LR
0.460709,0.032243,240.000000,7,0,6,1,Cho2017,TS+LR
0.511711,0.026071,200.000000,8,0,6,1,Cho2017,TS+LR
0.670658,0.030256,240.000000,9,0,6,1,Cho2017,TS+LR
0.713614,0.025290,200.000000,10,0,6,1,Cho2017,TS+LR
0.618714,0.025869,200.000000,11,0,6,1,Cho2017,TS+LR
0.731452,0.025594,200.000000,12,0,6,1,Cho2017,TS+LR
0.468563,0.026299,200.000000,13,0,6,1,Cho2017,TS+LR
0.959994,0.025932,200.000000,14,0,6,1,Cho2017,TS+LR
0.662599,0.026721,200.000000,15,0,6,1,Cho2017,TS+LR
0.572726,0.026020,200.000000,16,0,6,1,Cho2017,TS+LR
0.491492,0.029572,200.000000,17,0,6,1,Cho2017,TS+LR
0.633735,0.025914,200.000000,18,0,6,1,Cho2017,TS+LR
0.654395,0.026229,200.000000,19,0,6,1,Cho2017,TS+LR
0.648414,0.025992,200.000000,20,0,6,1,Cho2017,TS+LR
0.669618,0.026379,200.000000,21,0,6,1,Cho2017,TS+LR
0.629811,0.026573,200.000000,22,0,6,1,Cho2017,TS+LR
0.763141,0.026179,200.000000,23,0,6,1,Cho2017,TS+LR
0.632645,0.026228,200.000000,24,0,6,1,Cho2017,TS+LR
0.618993,0.026880,200.000000,25,0,6,1,Cho2017,TS+LR
0.598753,0.026741,200.000000,26,0,6,1,Cho2017,TS+LR
0.576167,0.025965,200.000000,27,0,6,1,Cho2017,TS+LR
0.421117,0.026945,200.000000,28,0,6,1,Cho2017,TS+LR
0.496011,0.026649,200.000000,29,0,6,1,Cho2017,TS+LR
0.624420,0.025659,200.000000,30,0,6,1,Cho2017,TS+LR
0.651799,0.026340,200.000000,31,0,6,1,Cho2017,TS+LR
0.555410,0.026107,200.000000,32,0,6,1,Cho2017,TS+LR
0.546132,0.026212,200.000000,33,0,6,1,Cho2017,TS+LR
0.511705,0.026054,200.000000,34,0,6,1,Cho2017,TS+LR
0.784010,0.026631,200.000000,35,0,6,1,Cho2017,TS+LR
0.647937,0.026860,200.000000,36,0,6,1,Cho2017,TS+LR
0.658976,0.026024,200.000000,37,0,6,1,Cho2017,TS+LR
0.478789,0.025311,200.000000,38,0,6,1,Cho2017,TS+LR
0.605783,0.026003,200.000000,39,0,6,1,Cho2017,TS+LR
0.449899,0.026581,200.000000,40,0,6,1,Cho2017,TS+LR
0.858727,0.026253,200.000000,41,0,6,1,Cho2017,TS+LR
0.567402,0.025377,200.000000,42,0,6,1,Cho2017,TS+LR
0.924821,0.026296,200.000000,43,0,6,1,Cho2017,TS+LR
0.565464,0.026223,200.000000,44,0,6,1,Cho2017,TS+LR
0.632740,0.025807,200.000000,45,0,6,1,Cho2017,TS+LR
0.639693,0.030445,240.000000,46,0,6,1,Cho2017,TS+LR
0.604263,0.025901,200.000000,47,0,6,1,Cho2017,TS+LR
0.678433,0.025985,200.000000,48,0,6,1,Cho2017,TS+LR
0.656422,0.025962,200.000000,49,0,6,1,Cho2017,TS+LR
0.497145,0.026876,200.000000,50,0,6,1,Cho2017,TS+LR
0.613854,0.025871,200.000000,51,0,6,1,Cho2017,TS+LR
0.666830,0.025763,200.000000,52,0,6,1,Cho2017,TS+LR
0.647617,0.018147,200.000000,1,0,6,1,Cho2017,CSP+SVM
0.483811,0.018297,200.000000,2,0,6,1,Cho2017,CSP+SVM
0.804714,0.018718,200.000000,3,0,6,1,Cho2017,CSP+SVM
0.716594,0.018302,200.000000,4,0,6,1,Cho2017,CSP+SVM
0.553952,0.019078,200.000000,5,0,6,1,Cho2017,CSP+SVM
