score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.702500,0.012342,200.000000,1,0,4,1,Cho2017,CSP+LDA
0.538500,0.012469,200.000000,2,0,4,1,Cho2017,CSP+LDA
0.720500,0.011908,200.000000,3,0,4,1,Cho2017,CSP+LDA
0.599500,0.011884,200.000000,4,0,4,1,Cho2017,CSP+LDA
0.647000,0.011933,200.000000,5,0,4,1,Cho2017,CSP+LDA
0.481500,0.011968,200.000000,6,0,4,1,Cho2017,CSP+LDA
0.570833,0.014738,240.000000,7,0,4,1,Cho2017,CSP+LDA
0.625000,0.012078,200.000000,8,0,4,1,Cho2017,CSP+LDA
0.584722,0.013807,240.000000,9,0,4,1,Cho2017,CSP+LDA
0.596500,0.011859,200.000000,10,0,4,1,Cho2017,CSP+LDA
0.679000,0.012082,200.000000,11,0,4,1,Cho2017,CSP+LDA
0.634500,0.011976,200.000000,12,0,4,1,Cho2017,CSP+LDA
0.669000,0.012049,200.000000,13,0,4,1,Cho2017,CSP+LDA
0.589500,0.013513,200.000000,14,0,4,1,Cho2017,CSP+LDA
0.439500,0.012306,200.000000,15,0,4,1,Cho2017,CSP+LDA
0.558500,0.012394,200.000000,16,0,4,1,Cho2017,CSP+LDA
0.548500,0.012498,200.000000,17,0,4,1,Cho2017,CSP+LDA
0.470500,0.011926,200.000000,18,0,4,1,Cho2017,CSP+LDA
0.457000,0.012179,200.000000,19,0,4,1,Cho2017,CSP+LDA
0.677500,0.012856,200.000000,20,0,4,1,Cho2017,CSP+LDA
0.542500,0.012025,200.000000,21,0,4,1,Cho2017,CSP+LDA
0.633000,0.013345,200.000000,22,0,4,1,Cho2017,CSP+LDA
0.456000,0.012015,200.000000,23,0,4,1,Cho2017,CSP+LDA
0.649000,0.013907,200.000000,24,0,4,1,Cho2017,CSP+LDA
0.579000,0.013711,200.000000,25,0,4,1,Cho2017,CSP+LDA
0.630000,0.013443,200.000000,26,0,4,1,Cho2017,CSP+LDA
0.496500,0.012384,200.000000,27,0,4,1,Cho2017,CSP+LDA
0.504500,0.013318,200.000000,28,0,4,1,Cho2017,CSP+LDA
0.514500,0.013488,200.000000,29,0,4,1,Cho2017,CSP+LDA
0.569500,0.013453,200.000000,30,0,4,1,Cho2017,CSP+LDA
0.417000,0.012322,200.000000,31,0,4,1,Cho2017,CSP+LDA
0.537000,0.012585,200.000000,32,0,4,1,Cho2017,CSP+LDA
0.647000,0.012009,200.000000,33,0,4,1,Cho2017,CSP+LDA
0.504000,0.012617,200.000000,34,0,4,1,Cho2017,CSP+LDA
0.587500,0.012581,200.000000,35,0,4,1,Cho2017,CSP+LDA
0.440500,0.012148,200.000000,36,0,4,1,Cho2017,CSP+LDA
0.591500,0.012152,200.000000,37,0,4,1,Cho2017,CSP+LDA
0.628500,0.012033,200.000000,38,0,4,1,Cho2017,CSP+LDA
0.535000,0.012140,200.000000,39,0,4,1,Cho2017,CSP+LDA
0.438500,0.012103,200.000000,40,0,4,1,Cho2017,CSP+LDA
0.582000,0.012085,200.000000,41,0,4,1,Cho2017,CSP+LDA
0.611000,0.012679,200.000000,42,0,4,1,Cho2017,CSP+LDA
0.581000,0.012081,200.000000,43,0,4,1,Cho2017,CSP+LDA
0.600500,0.012069,200.000000,44,0,4,1,Cho2017,CSP+LDA
0.543000,0.012041,200.000000,45,0,4,1,Cho2017,CSP+LDA
0.675000,0.014264,240.000000,46,0,4,1,Cho2017,CSP+LDA
0.649500,0.012150,200.000000,47,0,4,1,Cho2017,CSP+LDA
0.575000,0.012212,200.000000,48,0,4,1,Cho2017,CSP+LDA
0.744000,0.012180,200.000000,49,0,4,1,Cho2017,CSP+LDA
0.842000,0.012108,200.000000,50,0,4,1,Cho2017,CSP+LDA
0.495500,0.012153,200.000000,51,0,4,1,Cho2017,CSP+LDA
0.519500,0.012179,200.000000,52,0,4,1,Cho2017,CSP+LDA
0.711000,0.021143,200.000000,1,0,4,1,Cho2017,TS+LR
0.535000,0.021008,200.000000,2,0,4,1,Cho2017,TS+LR
0.756000,0.021132,200.000000,3,0,4,1,Cho2017,TS+LR
0.645500,0.020766,200.000000,4,0,4,1,Cho2017,TS+LR
0.642000,0.021181,200.000000,5,0,4,1,Cho2017,TS+LR
0.512500,0.021327,200.000000,6,0,4,1,Cho2017,TS+LR
0.605556,0.025380,240.000000,7,0,4,1,Cho2017,TS+LR
0.611000,0.021429,200.000000,8,0,4,1,Cho2017,TS+LR
0.602778,0.025234,240.000000,9,0,4,1,Cho2017,TS+LR
0.589500,0.020966,200.000000,10,0,4,1,Cho2017,TS+LR
0.683000,0.021300,200.000000,11,0,4,1,Cho2017,TS+LR
0.635000,0.021594,200.000000,12,0,4,1,Cho2017,TS+LR
0.767000,0.021159,200.000000,13,0,4,1,Cho2017,TS+LR
0.651000,0.021942,200.000000,14,0,4,1,Cho2017,TS+LR
0.449000,0.021949,200.000000,15,0,4,1,Cho2017,TS+LR
0.551000,0.021771,200.000000,16,0,4,1,Cho2017,TS+LR
0.504000,0.021969,200.000000,17,0,4,1,Cho2017,TS+LR
0.517500,0.022586,200.000000,18,0,4,1,Cho2017,TS+LR
0.546500,0.021953,200.000000,19,0,4,1,Cho2017,TS+LR
