score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.630189,0.013277,200.000000,1,0,4,1,Cho2017,CSP+LDA
0.518147,0.012635,200.000000,2,0,4,1,Cho2017,CSP+LDA
0.675224,0.012925,200.000000,3,0,4,1,Cho2017,CSP+LDA
0.577047,0.012187,200.000000,4,0,4,1,Cho2017,CSP+LDA
0.623862,0.012112,200.000000,5,0,4,1,Cho2017,CSP+LDA
0.490603,0.012110,200.000000,6,0,4,1,Cho2017,CSP+LDA
0.577698,0.014977,240.000000,7,0,4,1,Cho2017,CSP+LDA
0.567754,0.012140,200.000000,8,0,4,1,Cho2017,CSP+LDA
0.571917,0.014270,240.000000,9,0,4,1,Cho2017,CSP+LDA
0.588991,0.012234,200.000000,10,0,4,1,Cho2017,CSP+LDA
0.609228,0.012115,200.000000,11,0,4,1,Cho2017,CSP+LDA
0.588861,0.013331,200.000000,12,0,4,1,Cho2017,CSP+LDA
0.610076,0.012443,200.000000,13,0,4,1,Cho2017,CSP+LDA
0.531003,0.012199,200.000000,14,0,4,1,Cho2017,CSP+LDA
0.429619,0.012179,200.000000,15,0,4,1,Cho2017,CSP+LDA
0.572464,0.012260,200.000000,16,0,4,1,Cho2017,CSP+LDA
0.551690,0.012093,200.000000,17,0,4,1,Cho2017,CSP+LDA
0.465136,0.012125,200.000000,18,0,4,1,Cho2017,CSP+LDA
0.471281,0.012352,200.000000,19,0,4,1,Cho2017,CSP+LDA
0.636687,0.012278,200.000000,20,0,4,1,Cho2017,CSP+LDA
0.549674,0.012667,200.000000,21,0,4,1,Cho2017,CSP+LDA
0.608719,0.012367,200.000000,22,0,4,1,Cho2017,CSP+LDA
0.493331,0.012155,200.000000,23,0,4,1,Cho2017,CSP+LDA
0.611499,0.012428,200.000000,24,0,4,1,Cho2017,CSP+LDA
0.562971,0.012387,200.000000,25,0,4,1,Cho2017,CSP+LDA
0.584609,0.012270,200.000000,26,0,4,1,Cho2017,CSP+LDA
0.507006,0.013359,200.000000,27,0,4,1,Cho2017,CSP+LDA
0.508667,0.016848,200.000000,28,0,4,1,Cho2017,CSP+LDA
0.463980,0.012790,200.000000,29,0,4,1,Cho2017,CSP+LDA
0.539952,0.012731,200.000000,30,0,4,1,Cho2017,CSP+LDA
0.410589,0.012510,200.000000,31,0,4,1,Cho2017,CSP+LDA
0.528685,0.013255,200.000000,32,0,4,1,Cho2017,CSP+LDA
0.607544,0.012238,200.000000,33,0,4,1,Cho2017,CSP+LDA
0.498069,0.012223,200.000000,34,0,4,1,Cho2017,CSP+LDA
0.613910,0.012245,200.000000,35,0,4,1,Cho2017,CSP+LDA
0.451117,0.012257,200.000000,36,0,4,1,Cho2017,CSP+LDA
0.581620,0.012464,200.000000,37,0,4,1,Cho2017,CSP+LDA
0.535206,0.012208,200.000000,38,0,4,1,Cho2017,CSP+LDA
0.526771,0.012288,200.000000,39,0,4,1,Cho2017,CSP+LDA
0.443955,0.012290,200.000000,40,0,4,1,Cho2017,CSP+LDA
0.549775,0.012530,200.000000,41,0,4,1,Cho2017,CSP+LDA
0.598206,0.012360,200.000000,42,0,4,1,Cho2017,CSP+LDA
0.547374,0.012357,200.000000,43,0,4,1,Cho2017,CSP+LDA
0.572677,0.013039,200.000000,44,0,4,1,Cho2017,CSP+LDA
0.547675,0.012819,200.000000,45,0,4,1,Cho2017,CSP+LDA
0.628701,0.015005,240.000000,46,0,4,1,Cho2017,CSP+LDA
0.617968,0.013016,200.000000,47,0,4,1,Cho2017,CSP+LDA
0.558412,0.012369,200.000000,48,0,4,1,Cho2017,CSP+LDA
0.673259,0.012216,200.000000,49,0,4,1,Cho2017,CSP+LDA
0.784822,0.012726,200.000000,50,0,4,1,Cho2017,CSP+LDA
0.483225,0.012300,200.000000,51,0,4,1,Cho2017,CSP+LDA
0.486962,0.013698,200.000000,52,0,4,1,Cho2017,CSP+LDA
0.652883,0.022749,200.000000,1,0,4,1,Cho2017,TS+LR
0.544288,0.022879,200.000000,2,0,4,1,Cho2017,TS+LR
0.697809,0.022566,200.000000,3,0,4,1,Cho2017,TS+LR
0.633450,0.022060,200.000000,4,0,4,1,Cho2017,TS+LR
0.594571,0.022463,200.000000,5,0,4,1,Cho2017,TS+LR
0.515994,0.022775,200.000000,6,0,4,1,Cho2017,TS+LR
0.556709,0.026693,240.000000,7,0,4,1,Cho2017,TS+LR
0.564031,0.022401,200.000000,8,0,4,1,Cho2017,TS+LR
0.583144,0.026278,240.000000,9,0,4,1,Cho2017,TS+LR
0.572438,0.022207,200.000000,10,0,4,1,Cho2017,TS+LR
0.634332,0.022114,200.000000,11,0,4,1,Cho2017,TS+LR
0.573028,0.022943,200.000000,12,0,4,1,Cho2017,TS+LR
0.690656,0.022511,200.000000,13,0,4,1,Cho2017,TS+LR
0.597208,0.022427,200.000000,14,0,4,1,Cho2017,TS+LR
0.463220,0.022696,200.000000,15,0,4,1,Cho2017,TS+LR
0.529009,0.022302,200.000000,16,0,4,1,Cho2017,TS+LR
0.497315,0.022989,200.000000,17,0,4,1,Cho2017,TS+LR
0.472594,0.022751,200.000000,18,0,4,1,Cho2017,TS+LR
0.527375,0.022590,200.000000,19,0,4,1,Cho2017,TS+LR
