score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.925500,0.054073,200.000000,1,0,17,1,Cho2017,TS+LR
0.535500,0.058297,200.000000,2,0,17,1,Cho2017,TS+LR
0.934000,0.056951,200.000000,3,0,17,1,Cho2017,TS+LR
0.829500,0.057346,200.000000,4,0,17,1,Cho2017,TS+LR
0.644000,0.057193,200.000000,5,0,17,1,Cho2017,TS+LR
0.596000,0.056995,200.000000,6,0,17,1,Cho2017,TS+LR
0.562153,0.067929,240.000000,7,0,17,1,Cho2017,TS+LR
0.570500,0.056679,200.000000,8,0,17,1,Cho2017,TS+LR
0.755903,0.067921,240.000000,9,0,17,1,Cho2017,TS+LR
0.826000,0.056558,200.000000,10,0,17,1,Cho2017,TS+LR
0.693000,0.057544,200.000000,11,0,17,1,Cho2017,TS+LR
0.771000,0.057151,200.000000,12,0,17,1,Cho2017,TS+LR
0.812500,0.057496,200.000000,13,0,17,1,Cho2017,TS+LR
0.996500,0.057095,200.000000,14,0,17,1,Cho2017,TS+LR
0.769500,0.062268,200.000000,15,0,17,1,Cho2017,TS+LR
0.576500,0.057832,200.000000,16,0,17,1,Cho2017,TS+LR
0.500500,0.060399,200.000000,17,0,17,1,Cho2017,TS+LR
0.631500,0.058515,200.000000,18,0,17,1,Cho2017,TS+LR
0.694500,0.060054,200.000000,19,0,17,1,Cho2017,TS+LR
0.790000,0.055137,200.000000,20,0,17,1,Cho2017,TS+LR
0.775000,0.057525,200.000000,21,0,17,1,Cho2017,TS+LR
0.629500,0.056667,200.000000,22,0,17,1,Cho2017,TS+LR
0.811000,0.057560,200.000000,23,0,17,1,Cho2017,TS+LR
0.767000,0.057689,200.000000,24,0,17,1,Cho2017,TS+LR
0.656500,0.056888,200.000000,25,0,17,1,Cho2017,TS+LR
0.726500,0.060003,200.000000,26,0,17,1,Cho2017,TS+LR
0.647500,0.056993,200.000000,27,0,17,1,Cho2017,TS+LR
0.678500,0.059613,200.000000,28,0,17,1,Cho2017,TS+LR
0.505500,0.060074,200.000000,29,0,17,1,Cho2017,TS+LR
0.656000,0.055527,200.000000,30,0,17,1,Cho2017,TS+LR
0.754500,0.059071,200.000000,31,0,17,1,Cho2017,TS+LR
0.502000,0.056907,200.000000,32,0,17,1,Cho2017,TS+LR
0.624000,0.057100,200.000000,33,0,17,1,Cho2017,TS+LR
0.524000,0.057945,200.000000,34,0,17,1,Cho2017,TS+LR
0.885000,0.059801,200.000000,35,0,17,1,Cho2017,TS+LR
0.673000,0.060138,200.000000,36,0,17,1,Cho2017,TS+LR
0.833000,0.058889,200.000000,37,0,17,1,Cho2017,TS+LR
0.606000,0.058456,200.000000,38,0,17,1,Cho2017,TS+LR
0.782500,0.058028,200.000000,39,0,17,1,Cho2017,TS+LR
0.579000,0.058942,200.000000,40,0,17,1,Cho2017,TS+LR
0.917000,0.057750,200.000000,41,0,17,1,Cho2017,TS+LR
0.695500,0.056388,200.000000,42,0,17,1,Cho2017,TS+LR
0.994000,0.059583,200.000000,43,0,17,1,Cho2017,TS+LR
0.755000,0.057042,200.000000,44,0,17,1,Cho2017,TS+LR
0.579000,0.060236,200.000000,45,0,17,1,Cho2017,TS+LR
0.865278,0.069878,240.000000,46,0,17,1,Cho2017,TS+LR
0.715500,0.059130,200.000000,47,0,17,1,Cho2017,TS+LR
0.826000,0.056727,200.000000,48,0,17,1,Cho2017,TS+LR
0.837500,0.057212,200.000000,49,0,17,1,Cho2017,TS+LR
0.934000,0.057446,200.000000,50,0,17,1,Cho2017,TS+LR
0.556500,0.056976,200.000000,51,0,17,1,Cho2017,TS+LR
0.708000,0.054696,200.000000,52,0,17,1,Cho2017,TS+LR
