score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.869666,0.054611,200.000000,1,0,17,1,Cho2017,TS+LR
0.544345,0.060142,200.000000,2,0,17,1,Cho2017,TS+LR
0.834520,0.058618,200.000000,3,0,17,1,Cho2017,TS+LR
0.735140,0.056747,200.000000,4,0,17,1,Cho2017,TS+LR
0.577738,0.057144,200.000000,5,0,17,1,Cho2017,TS+LR
0.566138,0.057557,200.000000,6,0,17,1,Cho2017,TS+LR
0.555527,0.068310,240.000000,7,0,17,1,Cho2017,TS+LR
0.568217,0.057318,200.000000,8,0,17,1,Cho2017,TS+LR
0.669766,0.069190,240.000000,9,0,17,1,Cho2017,TS+LR
0.759587,0.058227,200.000000,10,0,17,1,Cho2017,TS+LR
0.634772,0.057399,200.000000,11,0,17,1,Cho2017,TS+LR
0.671434,0.057273,200.000000,12,0,17,1,Cho2017,TS+LR
0.709385,0.059146,200.000000,13,0,17,1,Cho2017,TS+LR
0.979994,0.057190,200.000000,14,0,17,1,Cho2017,TS+LR
0.688152,0.058263,200.000000,15,0,17,1,Cho2017,TS+LR
0.528107,0.058478,200.000000,16,0,17,1,Cho2017,TS+LR
0.523283,0.060136,200.000000,17,0,17,1,Cho2017,TS+LR
0.593121,0.057433,200.000000,18,0,17,1,Cho2017,TS+LR
0.635905,0.059686,200.000000,19,0,17,1,Cho2017,TS+LR
0.708660,0.055571,200.000000,20,0,17,1,Cho2017,TS+LR
0.743540,0.057037,200.000000,21,0,17,1,Cho2017,TS+LR
0.593035,0.057380,200.000000,22,0,17,1,Cho2017,TS+LR
0.738711,0.057234,200.000000,23,0,17,1,Cho2017,TS+LR
0.678550,0.057570,200.000000,24,0,17,1,Cho2017,TS+LR
0.637561,0.057944,200.000000,25,0,17,1,Cho2017,TS+LR
0.679183,0.059444,200.000000,26,0,17,1,Cho2017,TS+LR
0.587959,0.057726,200.000000,27,0,17,1,Cho2017,TS+LR
0.627962,0.058533,200.000000,28,0,17,1,Cho2017,TS+LR
0.527719,0.059784,200.000000,29,0,17,1,Cho2017,TS+LR
0.595922,0.055216,200.000000,30,0,17,1,Cho2017,TS+LR
0.647132,0.058074,200.000000,31,0,17,1,Cho2017,TS+LR
0.491643,0.058111,200.000000,32,0,17,1,Cho2017,TS+LR
0.613910,0.058529,200.000000,33,0,17,1,Cho2017,TS+LR
0.497822,0.058180,200.000000,34,0,17,1,Cho2017,TS+LR
0.791786,0.057136,200.000000,35,0,17,1,Cho2017,TS+LR
0.647249,0.059695,200.000000,36,0,17,1,Cho2017,TS+LR
0.768577,0.058210,200.000000,37,0,17,1,Cho2017,TS+LR
0.566606,0.057736,200.000000,38,0,17,1,Cho2017,TS+LR
0.718163,0.057384,200.000000,39,0,17,1,Cho2017,TS+LR
0.533592,0.057227,200.000000,40,0,17,1,Cho2017,TS+LR
0.854796,0.055323,200.000000,41,0,17,1,Cho2017,TS+LR
0.667071,0.056521,200.000000,42,0,17,1,Cho2017,TS+LR
0.959981,0.063646,200.000000,43,0,17,1,Cho2017,TS+LR
0.649966,0.057980,200.000000,44,0,17,1,Cho2017,TS+LR
