score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.763500,0.019749,200.000000,1,0,3,1,Cho2017,TS+EL
0.402500,0.020173,200.000000,2,0,3,1,Cho2017,TS+EL
0.800000,0.019883,200.000000,3,0,3,1,Cho2017,TS+EL
0.681500,0.019909,200.000000,4,0,3,1,Cho2017,TS+EL
0.625000,0.020014,200.000000,5,0,3,1,Cho2017,TS+EL
0.615500,0.019920,200.000000,6,0,3,1,Cho2017,TS+EL
0.372569,0.024191,240.000000,7,0,3,1,Cho2017,TS+EL
0.502500,0.020135,200.000000,8,0,3,1,Cho2017,TS+EL
0.722917,0.023871,240.000000,9,0,3,1,Cho2017,TS+EL
0.718500,0.020275,200.000000,10,0,3,1,Cho2017,TS+EL
0.706000,0.020467,200.000000,11,0,3,1,Cho2017,TS+EL
0.768000,0.020595,200.000000,12,0,3,1,Cho2017,TS+EL
0.562500,0.020659,200.000000,13,0,3,1,Cho2017,TS+EL
0.987000,0.020315,200.000000,14,0,3,1,Cho2017,TS+EL
0.705000,0.020874,200.000000,15,0,3,1,Cho2017,TS+EL
0.603500,0.020178,200.000000,16,0,3,1,Cho2017,TS+EL
0.511500,0.020601,200.000000,17,0,3,1,Cho2017,TS+EL
0.669500,0.020465,200.000000,18,0,3,1,Cho2017,TS+EL
0.653000,0.020170,200.000000,19,0,3,1,Cho2017,TS+EL
0.671500,0.020708,200.000000,20,0,3,1,Cho2017,TS+EL
0.662000,0.020925,200.000000,21,0,3,1,Cho2017,TS+EL
0.714000,0.020075,200.000000,22,0,3,1,Cho2017,TS+EL
0.739500,0.020655,200.000000,23,0,3,1,Cho2017,TS+EL
0.660000,0.020651,200.000000,24,0,3,1,Cho2017,TS+EL
0.678000,0.020275,200.000000,25,0,3,1,Cho2017,TS+EL
0.572000,0.020951,200.000000,26,0,3,1,Cho2017,TS+EL
0.573500,0.020620,200.000000,27,0,3,1,Cho2017,TS+EL
0.512500,0.020572,200.000000,28,0,3,1,Cho2017,TS+EL
0.520500,0.021139,200.000000,29,0,3,1,Cho2017,TS+EL
0.664500,0.020585,200.000000,30,0,3,1,Cho2017,TS+EL
0.720000,0.020627,200.000000,31,0,3,1,Cho2017,TS+EL
0.536000,0.020782,200.000000,32,0,3,1,Cho2017,TS+EL
0.545500,0.020902,200.000000,33,0,3,1,Cho2017,TS+EL
0.541500,0.020645,200.000000,34,0,3,1,Cho2017,TS+EL
0.717500,0.020560,200.000000,35,0,3,1,Cho2017,TS+EL
0.587500,0.021159,200.000000,36,0,3,1,Cho2017,TS+EL
0.660000,0.020190,200.000000,37,0,3,1,Cho2017,TS+EL
0.551000,0.020244,200.000000,38,0,3,1,Cho2017,TS+EL
0.670000,0.020871,200.000000,39,0,3,1,Cho2017,TS+EL
0.485000,0.020629,200.000000,40,0,3,1,Cho2017,TS+EL
0.847500,0.020614,200.000000,41,0,3,1,Cho2017,TS+EL
0.634500,0.020636,200.000000,42,0,3,1,Cho2017,TS+EL
0.958000,0.020581,200.000000,43,0,3,1,Cho2017,TS+EL
0.551000,0.020768,200.000000,44,0,3,1,Cho2017,TS+EL
0.638000,0.021060,200.000000,45,0,3,1,Cho2017,TS+EL
0.559028,0.024763,240.000000,46,0,3,1,Cho2017,TS+EL
0.669500,0.020524,200.000000,47,0,3,1,Cho2017,TS+EL
