score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.693385,0.020784,200.000000,1,0,3,1,Cho2017,TS+EL
0.425084,0.021078,200.000000,2,0,3,1,Cho2017,TS+EL
0.714753,0.020600,200.000000,3,0,3,1,Cho2017,TS+EL
0.648844,0.020716,200.000000,4,0,3,1,Cho2017,TS+EL
0.559015,0.020920,200.000000,5,0,3,1,Cho2017,TS+EL
0.555207,0.020681,200.000000,6,0,3,1,Cho2017,TS+EL
0.405015,0.024690,240.000000,7,0,3,1,Cho2017,TS+EL
0.501947,0.020637,200.000000,8,0,3,1,Cho2017,TS+EL
0.653170,0.024797,240.000000,9,0,3,1,Cho2017,TS+EL
0.654093,0.020723,200.000000,10,0,3,1,Cho2017,TS+EL
0.669040,0.020716,200.000000,11,0,3,1,Cho2017,TS+EL
0.723839,0.020635,200.000000,12,0,3,1,Cho2017,TS+EL
0.560270,0.020933,200.000000,13,0,3,1,Cho2017,TS+EL
0.934959,0.020870,200.000000,14,0,3,1,Cho2017,TS+EL
0.644023,0.020962,200.000000,15,0,3,1,Cho2017,TS+EL
0.548100,0.020936,200.000000,16,0,3,1,Cho2017,TS+EL
0.527356,0.020643,200.000000,17,0,3,1,Cho2017,TS+EL
0.612979,0.020825,200.000000,18,0,3,1,Cho2017,TS+EL
0.598270,0.020845,200.000000,19,0,3,1,Cho2017,TS+EL
0.598232,0.021002,200.000000,20,0,3,1,Cho2017,TS+EL
0.602595,0.020948,200.000000,21,0,3,1,Cho2017,TS+EL
0.643751,0.020610,200.000000,22,0,3,1,Cho2017,TS+EL
0.708892,0.021056,200.000000,23,0,3,1,Cho2017,TS+EL
0.604118,0.021155,200.000000,24,0,3,1,Cho2017,TS+EL
0.633804,0.020702,200.000000,25,0,3,1,Cho2017,TS+EL
0.530119,0.021323,200.000000,26,0,3,1,Cho2017,TS+EL
0.523479,0.020796,200.000000,27,0,3,1,Cho2017,TS+EL
0.530834,0.020817,200.000000,28,0,3,1,Cho2017,TS+EL
0.492033,0.021108,200.000000,29,0,3,1,Cho2017,TS+EL
0.598902,0.020758,200.000000,30,0,3,1,Cho2017,TS+EL
0.678079,0.021090,200.000000,31,0,3,1,Cho2017,TS+EL
0.497884,0.021046,200.000000,32,0,3,1,Cho2017,TS+EL
0.536913,0.021013,200.000000,33,0,3,1,Cho2017,TS+EL
0.535324,0.020930,200.000000,34,0,3,1,Cho2017,TS+EL
0.670830,0.020785,200.000000,35,0,3,1,Cho2017,TS+EL
0.603516,0.021240,200.000000,36,0,3,1,Cho2017,TS+EL
0.603124,0.020770,200.000000,37,0,3,1,Cho2017,TS+EL
0.531492,0.020599,200.000000,38,0,3,1,Cho2017,TS+EL
0.598583,0.021375,200.000000,39,0,3,1,Cho2017,TS+EL
0.516605,0.021410,200.000000,40,0,3,1,Cho2017,TS+EL
0.764771,0.020807,200.000000,41,0,3,1,Cho2017,TS+EL
