score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.681500,0.017909,200.000000,1,0,6,1,Cho2017,CSP+SVM
0.550500,0.017964,200.000000,2,0,6,1,Cho2017,CSP+SVM
0.861500,0.017891,200.000000,3,0,6,1,Cho2017,CSP+SVM
0.724500,0.017783,200.000000,4,0,6,1,Cho2017,CSP+SVM
0.654500,0.017816,200.000000,5,0,6,1,Cho2017,CSP+SVM
0.548000,0.017876,200.000000,6,0,6,1,Cho2017,CSP+SVM
0.523611,0.020837,240.000000,7,0,6,1,Cho2017,CSP+SVM
0.619500,0.018030,200.000000,8,0,6,1,Cho2017,CSP+SVM
0.718056,0.021350,240.000000,9,0,6,1,Cho2017,CSP+SVM
0.634000,0.017787,200.000000,10,0,6,1,Cho2017,CSP+SVM
0.680500,0.017795,200.000000,11,0,6,1,Cho2017,CSP+SVM
0.750500,0.021616,200.000000,12,0,6,1,Cho2017,CSP+SVM
0.691500,0.018350,200.000000,13,0,6,1,Cho2017,CSP+SVM
0.977500,0.017741,200.000000,14,0,6,1,Cho2017,CSP+SVM
0.685500,0.018554,200.000000,15,0,6,1,Cho2017,CSP+SVM
0.608000,0.018434,200.000000,16,0,6,1,Cho2017,CSP+SVM
0.553000,0.018693,200.000000,17,0,6,1,Cho2017,CSP+SVM
0.576500,0.017957,200.000000,18,0,6,1,Cho2017,CSP+SVM
0.565500,0.017812,200.000000,19,0,6,1,Cho2017,CSP+SVM
0.686500,0.018317,200.000000,20,0,6,1,Cho2017,CSP+SVM
0.638500,0.018101,200.000000,21,0,6,1,Cho2017,CSP+SVM
0.584000,0.018140,200.000000,22,0,6,1,Cho2017,CSP+SVM
0.663500,0.018095,200.000000,23,0,6,1,Cho2017,CSP+SVM
0.668000,0.019388,200.000000,24,0,6,1,Cho2017,CSP+SVM
0.603000,0.018248,200.000000,25,0,6,1,Cho2017,CSP+SVM
0.642500,0.017903,200.000000,26,0,6,1,Cho2017,CSP+SVM
0.511000,0.018200,200.000000,27,0,6,1,Cho2017,CSP+SVM
0.517500,0.018301,200.000000,28,0,6,1,Cho2017,CSP+SVM
0.471500,0.018294,200.000000,29,0,6,1,Cho2017,CSP+SVM
0.613000,0.018860,200.000000,30,0,6,1,Cho2017,CSP+SVM
0.721500,0.018727,200.000000,31,0,6,1,Cho2017,CSP+SVM
0.553000,0.019475,200.000000,32,0,6,1,Cho2017,CSP+SVM
0.627000,0.019405,200.000000,33,0,6,1,Cho2017,CSP+SVM
0.463500,0.018834,200.000000,34,0,6,1,Cho2017,CSP+SVM
0.742500,0.018540,200.000000,35,0,6,1,Cho2017,CSP+SVM
0.522500,0.018059,200.000000,36,0,6,1,Cho2017,CSP+SVM
0.651500,0.018746,200.000000,37,0,6,1,Cho2017,CSP+SVM
0.583000,0.018586,200.000000,38,0,6,1,Cho2017,CSP+SVM
0.599500,0.019458,200.000000,39,0,6,1,Cho2017,CSP+SVM
0.473500,0.018204,200.000000,40,0,6,1,Cho2017,CSP+SVM
0.705000,0.018521,200.000000,41,0,6,1,Cho2017,CSP+SVM
0.619000,0.018174,200.000000,42,0,6,1,Cho2017,CSP+SVM
0.955500,0.017943,200.000000,43,0,6,1,Cho2017,CSP+SVM
0.600500,0.018046,200.000000,44,0,6,1,Cho2017,CSP+SVM
0.539000,0.018128,200.000000,45,0,6,1,Cho2017,CSP+SVM
0.677083,0.021214,240.000000,46,0,6,1,Cho2017,CSP+SVM
0.651500,0.018340,200.000000,47,0,6,1,Cho2017,CSP+SVM
0.709500,0.018294,200.000000,48,0,6,1,Cho2017,CSP+SVM
0.736500,0.018112,200.000000,49,0,6,1,Cho2017,CSP+SVM
0.843500,0.018090,200.000000,50,0,6,1,Cho2017,CSP+SVM
0.545500,0.018752,200.000000,51,0,6,1,Cho2017,CSP+SVM
0.558500,0.018382,200.000000,52,0,6,1,Cho2017,CSP+SVM
0.705000,0.025187,200.000000,1,0,6,1,Cho2017,TS+LR
0.546500,0.025461,200.000000,2,0,6,1,Cho2017,TS+LR
0.909500,0.025175,200.000000,3,0,6,1,Cho2017,TS+LR
0.763500,0.024895,200.000000,4,0,6,1,Cho2017,TS+LR
0.685000,0.025176,200.000000,5,0,6,1,Cho2017,TS+LR
0.598500,0.025079,200.000000,6,0,6,1,Cho2017,TS+LR
0.632639,0.030611,240.000000,7,0,6,1,Cho2017,TS+LR
0.592500,0.025517,200.000000,8,0,6,1,Cho2017,TS+LR
0.756250,0.029945,240.000000,9,0,6,1,Cho2017,TS+LR
0.654000,0.025007,200.000000,10,0,6,1,Cho2017,TS+LR
0.742000,0.027504,200.000000,11,0,6,1,Cho2017,TS+LR
0.755500,0.025521,200.000000,12,0,6,1,Cho2017,TS+LR
0.789500,0.028251,200.000000,13,0,6,1,Cho2017,TS+LR
0.975500,0.025520,200.000000,14,0,6,1,Cho2017,TS+LR
0.739000,0.026433,200.000000,15,0,6,1,Cho2017,TS+LR
0.618000,0.025954,200.000000,16,0,6,1,Cho2017,TS+LR
0.518000,0.026329,200.000000,17,0,6,1,Cho2017,TS+LR
0.627000,0.026046,200.000000,18,0,6,1,Cho2017,TS+LR
0.658500,0.026808,200.000000,19,0,6,1,Cho2017,TS+LR
0.794000,0.025907,200.000000,20,0,6,1,Cho2017,TS+LR
0.668500,0.025554,200.000000,21,0,6,1,Cho2017,TS+LR
0.611000,0.026056,200.000000,22,0,6,1,Cho2017,TS+LR
0.718000,0.025711,200.000000,23,0,6,1,Cho2017,TS+LR
0.704500,0.025826,200.000000,24,0,6,1,Cho2017,TS+LR
0.623500,0.026783,200.000000,25,0,6,1,Cho2017,TS+LR
0.657500,0.026693,200.000000,26,0,6,1,Cho2017,TS+LR
0.563500,0.025692,200.000000,27,0,6,1,Cho2017,TS+LR
0.538000,0.026333,200.000000,28,0,6,1,Cho2017,TS+LR
0.529000,0.026399,200.000000,29,0,6,1,Cho2017,TS+LR
0.654000,0.026328,200.000000,30,0,6,1,Cho2017,TS+LR
0.750500,0.026198,200.000000,31,0,6,1,Cho2017,TS+LR
0.516500,0.025912,200.000000,32,0,6,1,Cho2017,TS+LR
0.647500,0.026339,200.000000,33,0,6,1,Cho2017,TS+LR
0.442500,0.026462,200.000000,34,0,6,1,Cho2017,TS+LR
0.766000,0.026184,200.000000,35,0,6,1,Cho2017,TS+LR
0.609500,0.026276,200.000000,36,0,6,1,Cho2017,TS+LR
0.738000,0.025875,200.000000,37,0,6,1,Cho2017,TS+LR
0.613000,0.025989,200.000000,38,0,6,1,Cho2017,TS+LR
0.712000,0.026556,200.000000,39,0,6,1,Cho2017,TS+LR
0.475000,0.026571,200.000000,40,0,6,1,Cho2017,TS+LR
0.896500,0.025952,200.000000,41,0,6,1,Cho2017,TS+LR
0.724000,0.026119,200.000000,42,0,6,1,Cho2017,TS+LR
0.985000,0.026116,200.000000,43,0,6,1,Cho2017,TS+LR
0.679500,0.025698,200.000000,44,0,6,1,Cho2017,TS+LR
0.569500,0.026425,200.000000,45,0,6,1,Cho2017,TS+LR
0.702778,0.031305,240.000000,46,0,6,1,Cho2017,TS+LR
0.706000,0.025941,200.000000,47,0,6,1,Cho2017,TS+LR
0.746500,0.026259,200.000000,48,0,6,1,Cho2017,TS+LR
0.821500,0.026843,200.000000,49,0,6,1,Cho2017,TS+LR
0.898500,0.025931,200.000000,50,0,6,1,Cho2017,TS+LR
0.611000,0.025790,200.000000,51,0,6,1,Cho2017,TS+LR
0.598000,0.027818,200.000000,52,0,6,1,Cho2017,TS+LR
0.689000,0.024911,200.000000,1,0,6,1,Cho2017,TS+SVM
0.552500,0.025602,200.000000,2,0,6,1,Cho2017,TS+SVM
0.908000,0.025005,200.000000,3,0,6,1,Cho2017,TS+SVM
0.750000,0.025067,200.000000,4,0,6,1,Cho2017,TS+SVM
0.684500,0.025185,200.000000,5,0,6,1,Cho2017,TS+SVM
0.627000,0.025115,200.000000,6,0,6,1,Cho2017,TS+SVM
0.639931,0.030729,240.000000,7,0,6,1,Cho2017,TS+SVM
0.597500,0.025206,200.000000,8,0,6,1,Cho2017,TS+SVM
0.750000,0.030248,240.000000,9,0,6,1,Cho2017,TS+SVM
0.648500,0.025065,200.000000,10,0,6,1,Cho2017,TS+SVM
0.740000,0.026684,200.000000,11,0,6,1,Cho2017,TS+SVM
0.741000,0.026612,200.000000,12,0,6,1,Cho2017,TS+SVM
0.784000,0.026063,200.000000,13,0,6,1,Cho2017,TS+SVM
0.972000,0.025416,200.000000,14,0,6,1,Cho2017,TS+SVM
0.736500,0.026374,200.000000,15,0,6,1,Cho2017,TS+SVM
0.636500,0.025684,200.000000,16,0,6,1,Cho2017,TS+SVM
0.509000,0.026381,200.000000,17,0,6,1,Cho2017,TS+SVM
0.626000,0.028151,200.000000,18,0,6,1,Cho2017,TS+SVM
0.644000,0.031493,200.000000,19,0,6,1,Cho2017,TS+SVM
0.798000,0.025883,200.000000,20,0,6,1,Cho2017,TS+SVM
0.660500,0.025771,200.000000,21,0,6,1,Cho2017,TS+SVM
0.598500,0.025674,200.000000,22,0,6,1,Cho2017,TS+SVM
0.721000,0.025811,200.000000,23,0,6,1,Cho2017,TS+SVM
0.702000,0.026588,200.000000,24,0,6,1,Cho2017,TS+SVM
