score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.633328,0.017961,200.000000,1,0,6,1,Cho2017,CSP+SVM
0.521562,0.018540,200.000000,2,0,6,1,Cho2017,CSP+SVM
0.772221,0.018090,200.000000,3,0,6,1,Cho2017,CSP+SVM
0.655860,0.018220,200.000000,4,0,6,1,Cho2017,CSP+SVM
0.636869,0.018305,200.000000,5,0,6,1,Cho2017,CSP+SVM
0.528306,0.018067,200.000000,6,0,6,1,Cho2017,CSP+SVM
0.434649,0.021405,240.000000,7,0,6,1,Cho2017,CSP+SVM
0.575499,0.018149,200.000000,8,0,6,1,Cho2017,CSP+SVM
0.657311,0.021183,240.000000,9,0,6,1,Cho2017,CSP+SVM
0.617283,0.018260,200.000000,10,0,6,1,Cho2017,CSP+SVM
0.612304,0.018125,200.000000,11,0,6,1,Cho2017,CSP+SVM
0.671664,0.018190,200.000000,12,0,6,1,Cho2017,CSP+SVM
0.662615,0.018150,200.000000,13,0,6,1,Cho2017,CSP+SVM
0.924966,0.019826,200.000000,14,0,6,1,Cho2017,CSP+SVM
0.636382,0.018208,200.000000,15,0,6,1,Cho2017,CSP+SVM
0.554586,0.018150,200.000000,16,0,6,1,Cho2017,CSP+SVM
0.501235,0.018457,200.000000,17,0,6,1,Cho2017,CSP+SVM
0.525808,0.018241,200.000000,18,0,6,1,Cho2017,CSP+SVM
0.541850,0.018321,200.000000,19,0,6,1,Cho2017,CSP+SVM
0.659815,0.018504,200.000000,20,0,6,1,Cho2017,CSP+SVM
0.588824,0.018564,200.000000,21,0,6,1,Cho2017,CSP+SVM
0.571677,0.018294,200.000000,22,0,6,1,Cho2017,CSP+SVM
0.662313,0.018783,200.000000,23,0,6,1,Cho2017,CSP+SVM
0.583616,0.018502,200.000000,24,0,6,1,Cho2017,CSP+SVM
0.597939,0.018266,200.000000,25,0,6,1,Cho2017,CSP+SVM
0.631381,0.018230,200.000000,26,0,6,1,Cho2017,CSP+SVM
0.470023,0.018057,200.000000,27,0,6,1,Cho2017,CSP+SVM
0.431676,0.017979,200.000000,28,0,6,1,Cho2017,CSP+SVM
0.441531,0.018184,200.000000,29,0,6,1,Cho2017,CSP+SVM
0.574435,0.018280,200.000000,30,0,6,1,Cho2017,CSP+SVM
0.688749,0.018128,200.000000,31,0,6,1,Cho2017,CSP+SVM
0.532337,0.018178,200.000000,32,0,6,1,Cho2017,CSP+SVM
0.587740,0.018407,200.000000,33,0,6,1,Cho2017,CSP+SVM
0.423271,0.018315,200.000000,34,0,6,1,Cho2017,CSP+SVM
0.732104,0.018144,200.000000,35,0,6,1,Cho2017,CSP+SVM
0.508896,0.018623,200.000000,36,0,6,1,Cho2017,CSP+SVM
0.631668,0.018156,200.000000,37,0,6,1,Cho2017,CSP+SVM
0.539558,0.018192,200.000000,38,0,6,1,Cho2017,CSP+SVM
0.591310,0.018439,200.000000,39,0,6,1,Cho2017,CSP+SVM
0.485994,0.018360,200.000000,40,0,6,1,Cho2017,CSP+SVM
0.652358,0.018346,200.000000,41,0,6,1,Cho2017,CSP+SVM
0.575214,0.018194,200.000000,42,0,6,1,Cho2017,CSP+SVM
0.889686,0.018017,200.000000,43,0,6,1,Cho2017,CSP+SVM
0.603715,0.018202,200.000000,44,0,6,1,Cho2017,CSP+SVM
0.528371,0.018489,200.000000,45,0,6,1,Cho2017,CSP+SVM
0.645607,0.021451,240.000000,46,0,6,1,Cho2017,CSP+SVM
0.586830,0.018442,200.000000,47,0,6,1,Cho2017,CSP+SVM
0.663163,0.018235,200.000000,48,0,6,1,Cho2017,CSP+SVM
0.709166,0.018040,200.000000,49,0,6,1,Cho2017,CSP+SVM
0.774752,0.018002,200.000000,50,0,6,1,Cho2017,CSP+SVM
0.560848,0.018168,200.000000,51,0,6,1,Cho2017,CSP+SVM
0.503327,0.018068,200.000000,52,0,6,1,Cho2017,CSP+SVM
0.657882,0.026030,200.000000,1,0,6,1,Cho2017,TS+LR
0.548333,0.026424,200.000000,2,0,6,1,Cho2017,TS+LR
