score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.519500,0.017793,200.000000,1,0,2,1,Cho2017,TS+LR
0.539500,0.017770,200.000000,2,0,2,1,Cho2017,TS+LR
0.733500,0.017617,200.000000,3,0,2,1,Cho2017,TS+LR
0.489000,0.017708,200.000000,4,0,2,1,Cho2017,TS+LR
0.654000,0.017749,200.000000,5,0,2,1,Cho2017,TS+LR
0.508500,0.017686,200.000000,6,0,2,1,Cho2017,TS+LR
0.620833,0.020906,240.000000,7,0,2,1,Cho2017,TS+LR
0.658000,0.017646,200.000000,8,0,2,1,Cho2017,TS+LR
0.524653,0.020957,240.000000,9,0,2,1,Cho2017,TS+LR
0.454500,0.017370,200.000000,10,0,2,1,Cho2017,TS+LR
0.661500,0.017559,200.000000,11,0,2,1,Cho2017,TS+LR
0.554500,0.017652,200.000000,12,0,2,1,Cho2017,TS+LR
0.710000,0.017587,200.000000,13,0,2,1,Cho2017,TS+LR
0.629500,0.018103,200.000000,14,0,2,1,Cho2017,TS+LR
0.453500,0.017625,200.000000,15,0,2,1,Cho2017,TS+LR
0.545500,0.017873,200.000000,16,0,2,1,Cho2017,TS+LR
0.426500,0.017866,200.000000,17,0,2,1,Cho2017,TS+LR
0.539500,0.017665,200.000000,18,0,2,1,Cho2017,TS+LR
0.491500,0.018624,200.000000,19,0,2,1,Cho2017,TS+LR
0.658500,0.017825,200.000000,20,0,2,1,Cho2017,TS+LR
0.592500,0.017846,200.000000,21,0,2,1,Cho2017,TS+LR
0.630000,0.017695,200.000000,22,0,2,1,Cho2017,TS+LR
0.356500,0.017799,200.000000,23,0,2,1,Cho2017,TS+LR
0.660500,0.017802,200.000000,24,0,2,1,Cho2017,TS+LR
0.552500,0.017835,200.000000,25,0,2,1,Cho2017,TS+LR
0.561000,0.017694,200.000000,26,0,2,1,Cho2017,TS+LR
0.503500,0.017657,200.000000,27,0,2,1,Cho2017,TS+LR
0.512500,0.017837,200.000000,28,0,2,1,Cho2017,TS+LR
