score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.512517,0.018971,200.000000,1,0,2,1,Cho2017,TS+LR
0.539366,0.018342,200.000000,2,0,2,1,Cho2017,TS+LR
0.698298,0.018521,200.000000,3,0,2,1,Cho2017,TS+LR
0.477951,0.018220,200.000000,4,0,2,1,Cho2017,TS+LR
0.629033,0.018250,200.000000,5,0,2,1,Cho2017,TS+LR
0.494281,0.018318,200.000000,6,0,2,1,Cho2017,TS+LR
0.568617,0.021726,240.000000,7,0,2,1,Cho2017,TS+LR
0.593151,0.018200,200.000000,8,0,2,1,Cho2017,TS+LR
0.537301,0.022127,240.000000,9,0,2,1,Cho2017,TS+LR
0.476056,0.018243,200.000000,10,0,2,1,Cho2017,TS+LR
0.619593,0.018334,200.000000,11,0,2,1,Cho2017,TS+LR
0.547956,0.018503,200.000000,12,0,2,1,Cho2017,TS+LR
0.692195,0.018545,200.000000,13,0,2,1,Cho2017,TS+LR
0.597326,0.018706,200.000000,14,0,2,1,Cho2017,TS+LR
0.461569,0.018375,200.000000,15,0,2,1,Cho2017,TS+LR
0.534883,0.018453,200.000000,16,0,2,1,Cho2017,TS+LR
0.419709,0.018649,200.000000,17,0,2,1,Cho2017,TS+LR
0.524697,0.018616,200.000000,18,0,2,1,Cho2017,TS+LR
0.520165,0.018563,200.000000,19,0,2,1,Cho2017,TS+LR
0.621244,0.018584,200.000000,20,0,2,1,Cho2017,TS+LR
0.554086,0.018476,200.000000,21,0,2,1,Cho2017,TS+LR
0.591702,0.018291,200.000000,22,0,2,1,Cho2017,TS+LR
0.411402,0.018639,200.000000,23,0,2,1,Cho2017,TS+LR
0.589344,0.018474,200.000000,24,0,2,1,Cho2017,TS+LR
0.543115,0.018547,200.000000,25,0,2,1,Cho2017,TS+LR
0.540876,0.018609,200.000000,26,0,2,1,Cho2017,TS+LR
0.485712,0.018355,200.000000,27,0,2,1,Cho2017,TS+LR
0.523736,0.018505,200.000000,28,0,2,1,Cho2017,TS+LR
0.506078,0.018509,200.000000,29,0,2,1,Cho2017,TS+LR
0.520177,0.018649,200.000000,30,0,2,1,Cho2017,TS+LR
0.458879,0.018972,200.000000,31,0,2,1,Cho2017,TS+LR
0.526310,0.018445,200.000000,32,0,2,1,Cho2017,TS+LR
0.623145,0.018818,200.000000,33,0,2,1,Cho2017,TS+LR
0.572737,0.018650,200.000000,34,0,2,1,Cho2017,TS+LR
0.569078,0.018357,200.000000,35,0,2,1,Cho2017,TS+LR
0.504216,0.018607,200.000000,36,0,2,1,Cho2017,TS+LR
0.568221,0.018700,200.000000,37,0,2,1,Cho2017,TS+LR
0.555698,0.018599,200.000000,38,0,2,1,Cho2017,TS+LR
0.573631,0.018842,200.000000,39,0,2,1,Cho2017,TS+LR
0.520887,0.018809,200.000000,40,0,2,1,Cho2017,TS+LR
0.564007,0.018542,200.000000,41,0,2,1,Cho2017,TS+LR
0.447073,0.018753,200.000000,42,0,2,1,Cho2017,TS+LR
0.512835,0.018812,200.000000,43,0,2,1,Cho2017,TS+LR
0.546739,0.018609,200.000000,44,0,2,1,Cho2017,TS+LR
0.463562,0.018665,200.000000,45,0,2,1,Cho2017,TS+LR
0.611533,0.022397,240.000000,46,0,2,1,Cho2017,TS+LR
0.626841,0.019048,200.000000,47,0,2,1,Cho2017,TS+LR
0.525857,0.018822,200.000000,48,0,2,1,Cho2017,TS+LR
0.688109,0.019350,200.000000,49,0,2,1,Cho2017,TS+LR
0.754488,0.020088,200.000000,50,0,2,1,Cho2017,TS+LR
0.568576,0.020376,200.000000,51,0,2,1,Cho2017,TS+LR
0.540668,0.018148,200.000000,52,0,2,1,Cho2017,TS+LR
0.519143,0.007904,200.000000,1,0,2,1,Cho2017,CSP+SVM
0.493882,0.008359,200.000000,2,0,2,1,Cho2017,CSP+SVM
0.670118,0.007753,200.000000,3,0,2,1,Cho2017,CSP+SVM
0.459531,0.007934,200.000000,4,0,2,1,Cho2017,CSP+SVM
0.643416,0.007837,200.000000,5,0,2,1,Cho2017,CSP+SVM
0.464567,0.007723,200.000000,6,0,2,1,Cho2017,CSP+SVM
0.545988,0.009802,240.000000,7,0,2,1,Cho2017,CSP+SVM
0.592960,0.007958,200.000000,8,0,2,1,Cho2017,CSP+SVM
0.474162,0.009829,240.000000,9,0,2,1,Cho2017,CSP+SVM
0.454318,0.007854,200.000000,10,0,2,1,Cho2017,CSP+SVM
0.638907,0.007659,200.000000,11,0,2,1,Cho2017,CSP+SVM
0.558821,0.007819,200.000000,12,0,2,1,Cho2017,CSP+SVM
0.695211,0.007714,200.000000,13,0,2,1,Cho2017,CSP+SVM
0.592946,0.007791,200.000000,14,0,2,1,Cho2017,CSP+SVM
0.457276,0.007889,200.000000,15,0,2,1,Cho2017,CSP+SVM
0.506588,0.007991,200.000000,16,0,2,1,Cho2017,CSP+SVM
0.405333,0.007760,200.000000,17,0,2,1,Cho2017,CSP+SVM
0.495136,0.007911,200.000000,18,0,2,1,Cho2017,CSP+SVM
0.401426,0.007740,200.000000,19,0,2,1,Cho2017,CSP+SVM
0.607060,0.007707,200.000000,20,0,2,1,Cho2017,CSP+SVM
0.544726,0.007728,200.000000,21,0,2,1,Cho2017,CSP+SVM
0.570591,0.007879,200.000000,22,0,2,1,Cho2017,CSP+SVM
0.412216,0.007852,200.000000,23,0,2,1,Cho2017,CSP+SVM
0.595598,0.007641,200.000000,24,0,2,1,Cho2017,CSP+SVM
0.564565,0.007749,200.000000,25,0,2,1,Cho2017,CSP+SVM
0.510707,0.007699,200.000000,26,0,2,1,Cho2017,CSP+SVM
0.461471,0.007807,200.000000,27,0,2,1,Cho2017,CSP+SVM
0.516373,0.007733,200.000000,28,0,2,1,Cho2017,CSP+SVM
0.466802,0.007711,200.000000,29,0,2,1,Cho2017,CSP+SVM
0.482468,0.007798,200.000000,30,0,2,1,Cho2017,CSP+SVM
0.433178,0.007699,200.000000,31,0,2,1,Cho2017,CSP+SVM
0.537409,0.007737,200.000000,32,0,2,1,Cho2017,CSP+SVM
0.605597,0.007800,200.000000,33,0,2,1,Cho2017,CSP+SVM
0.523744,0.007809,200.000000,34,0,2,1,Cho2017,CSP+SVM
0.585779,0.007740,200.000000,35,0,2,1,Cho2017,CSP+SVM
0.501745,0.007668,200.000000,36,0,2,1,Cho2017,CSP+SVM
0.512511,0.007812,200.000000,37,0,2,1,Cho2017,CSP+SVM
0.479905,0.007735,200.000000,38,0,2,1,Cho2017,CSP+SVM
0.579416,0.007772,200.000000,39,0,2,1,Cho2017,CSP+SVM
0.479508,0.007762,200.000000,40,0,2,1,Cho2017,CSP+SVM
0.546597,0.007820,200.000000,41,0,2,1,Cho2017,CSP+SVM
0.432257,0.007716,200.000000,42,0,2,1,Cho2017,CSP+SVM
0.522856,0.007682,200.000000,43,0,2,1,Cho2017,CSP+SVM
0.482267,0.007810,200.000000,44,0,2,1,Cho2017,CSP+SVM
0.505074,0.007714,200.000000,45,0,2,1,Cho2017,CSP+SVM
0.623933,0.009031,240.000000,46,0,2,1,Cho2017,CSP+SVM
0.631105,0.007753,200.000000,47,0,2,1,Cho2017,CSP+SVM
0.554558,0.007858,200.000000,48,0,2,1,Cho2017,CSP+SVM
0.687927,0.007874,200.000000,49,0,2,1,Cho2017,CSP+SVM
0.764099,0.007906,200.000000,50,0,2,1,Cho2017,CSP+SVM
0.560321,0.008148,200.000000,51,0,2,1,Cho2017,CSP+SVM
0.480418,0.007945,200.000000,52,0,2,1,Cho2017,CSP+SVM
0.533385,0.007931,200.000000,1,0,2,1,Cho2017,CSP+LDA
0.536553,0.008311,200.000000,2,0,2,1,Cho2017,CSP+LDA
0.700669,0.007764,200.000000,3,0,2,1,Cho2017,CSP+LDA
0.474186,0.007895,200.000000,4,0,2,1,Cho2017,CSP+LDA
0.637421,0.007846,200.000000,5,0,2,1,Cho2017,CSP+LDA
0.494156,0.007647,200.000000,6,0,2,1,Cho2017,CSP+LDA
0.571478,0.009987,240.000000,7,0,2,1,Cho2017,CSP+LDA
0.567031,0.007877,200.000000,8,0,2,1,Cho2017,CSP+LDA
0.543887,0.009651,240.000000,9,0,2,1,Cho2017,CSP+LDA
0.487127,0.007791,200.000000,10,0,2,1,Cho2017,CSP+LDA
0.624483,0.007669,200.000000,11,0,2,1,Cho2017,CSP+LDA
0.559098,0.007680,200.000000,12,0,2,1,Cho2017,CSP+LDA
0.706563,0.007704,200.000000,13,0,2,1,Cho2017,CSP+LDA
0.574903,0.007712,200.000000,14,0,2,1,Cho2017,CSP+LDA
0.489612,0.007988,200.000000,15,0,2,1,Cho2017,CSP+LDA
0.540419,0.007949,200.000000,16,0,2,1,Cho2017,CSP+LDA
0.471557,0.007830,200.000000,17,0,2,1,Cho2017,CSP+LDA
0.502076,0.007737,200.000000,18,0,2,1,Cho2017,CSP+LDA
0.465049,0.007730,200.000000,19,0,2,1,Cho2017,CSP+LDA
0.600013,0.007804,200.000000,20,0,2,1,Cho2017,CSP+LDA
0.564975,0.007727,200.000000,21,0,2,1,Cho2017,CSP+LDA
0.613857,0.007765,200.000000,22,0,2,1,Cho2017,CSP+LDA
0.412354,0.007753,200.000000,23,0,2,1,Cho2017,CSP+LDA
0.580541,0.007697,200.000000,24,0,2,1,Cho2017,CSP+LDA
0.538313,0.007778,200.000000,25,0,2,1,Cho2017,CSP+LDA
0.541642,0.007722,200.000000,26,0,2,1,Cho2017,CSP+LDA
0.506132,0.007795,200.000000,27,0,2,1,Cho2017,CSP+LDA
0.558958,0.007723,200.000000,28,0,2,1,Cho2017,CSP+LDA
0.522051,0.007784,200.000000,29,0,2,1,Cho2017,CSP+LDA
0.499256,0.007745,200.000000,30,0,2,1,Cho2017,CSP+LDA
0.400820,0.007728,200.000000,31,0,2,1,Cho2017,CSP+LDA
0.520139,0.007732,200.000000,32,0,2,1,Cho2017,CSP+LDA
0.608668,0.007676,200.000000,33,0,2,1,Cho2017,CSP+LDA
0.578413,0.007814,200.000000,34,0,2,1,Cho2017,CSP+LDA
0.573259,0.007754,200.000000,35,0,2,1,Cho2017,CSP+LDA
0.491899,0.007790,200.000000,36,0,2,1,Cho2017,CSP+LDA
0.553177,0.007748,200.000000,37,0,2,1,Cho2017,CSP+LDA
0.558723,0.007725,200.000000,38,0,2,1,Cho2017,CSP+LDA
0.584646,0.007685,200.000000,39,0,2,1,Cho2017,CSP+LDA
0.470873,0.007785,200.000000,40,0,2,1,Cho2017,CSP+LDA
0.554250,0.007831,200.000000,41,0,2,1,Cho2017,CSP+LDA
0.442500,0.007783,200.000000,42,0,2,1,Cho2017,CSP+LDA
0.542469,0.007852,200.000000,43,0,2,1,Cho2017,CSP+LDA
0.495664,0.007786,200.000000,44,0,2,1,Cho2017,CSP+LDA
0.469324,0.007731,200.000000,45,0,2,1,Cho2017,CSP+LDA
0.619692,0.009020,240.000000,46,0,2,1,Cho2017,CSP+LDA
0.620584,0.007811,200.000000,47,0,2,1,Cho2017,CSP+LDA
0.547810,0.007820,200.000000,48,0,2,1,Cho2017,CSP+LDA
0.687976,0.007754,200.000000,49,0,2,1,Cho2017,CSP+LDA
0.759460,0.007841,200.000000,50,0,2,1,Cho2017,CSP+LDA
0.587143,0.008019,200.000000,51,0,2,1,Cho2017,CSP+LDA
0.524898,0.007881,200.000000,52,0,2,1,Cho2017,CSP+LDA
0.512618,0.019877,200.000000,1,0,2,1,Cho2017,TS+EL
0.545631,0.018193,200.000000,2,0,2,1,Cho2017,TS+EL
0.703188,0.018314,200.000000,3,0,2,1,Cho2017,TS+EL
0.489704,0.018058,200.000000,4,0,2,1,Cho2017,TS+EL
0.633776,0.018058,200.000000,5,0,2,1,Cho2017,TS+EL
0.477861,0.018089,200.000000,6,0,2,1,Cho2017,TS+EL
0.568680,0.021820,240.000000,7,0,2,1,Cho2017,TS+EL
0.582204,0.018221,200.000000,8,0,2,1,Cho2017,TS+EL
0.503159,0.021910,240.000000,9,0,2,1,Cho2017,TS+EL
0.474023,0.018308,200.000000,10,0,2,1,Cho2017,TS+EL
0.619530,0.018458,200.000000,11,0,2,1,Cho2017,TS+EL
0.553322,0.018400,200.000000,12,0,2,1,Cho2017,TS+EL
0.683073,0.018536,200.000000,13,0,2,1,Cho2017,TS+EL
0.591405,0.018511,200.000000,14,0,2,1,Cho2017,TS+EL
0.470999,0.018439,200.000000,15,0,2,1,Cho2017,TS+EL
0.513072,0.018302,200.000000,16,0,2,1,Cho2017,TS+EL
0.428303,0.018549,200.000000,17,0,2,1,Cho2017,TS+EL
0.508958,0.018840,200.000000,18,0,2,1,Cho2017,TS+EL
0.509146,0.018379,200.000000,19,0,2,1,Cho2017,TS+EL
0.620457,0.018039,200.000000,20,0,2,1,Cho2017,TS+EL
0.543195,0.018335,200.000000,21,0,2,1,Cho2017,TS+EL
0.585894,0.018378,200.000000,22,0,2,1,Cho2017,TS+EL
0.396934,0.018441,200.000000,23,0,2,1,Cho2017,TS+EL
0.583500,0.018570,200.000000,24,0,2,1,Cho2017,TS+EL
0.542993,0.018339,200.000000,25,0,2,1,Cho2017,TS+EL
