score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.869500,0.140356,200.000000,1,0,28,1,Cho2017,CSP+LDA
0.506000,0.135171,200.000000,2,0,28,1,Cho2017,CSP+LDA
0.905000,0.134719,200.000000,3,0,28,1,Cho2017,CSP+LDA
0.849000,0.136557,200.000000,4,0,28,1,Cho2017,CSP+LDA
0.783500,0.134389,200.000000,5,0,28,1,Cho2017,CSP+LDA
0.638500,0.136357,200.000000,6,0,28,1,Cho2017,CSP+LDA
0.552431,0.179307,240.000000,7,0,28,1,Cho2017,CSP+LDA
0.622000,0.135055,200.000000,8,0,28,1,Cho2017,CSP+LDA
0.771875,0.172310,240.000000,9,0,28,1,Cho2017,CSP+LDA
0.759000,0.136822,200.000000,10,0,28,1,Cho2017,CSP+LDA
0.665000,0.139367,200.000000,11,0,28,1,Cho2017,CSP+LDA
0.784000,0.143267,200.000000,12,0,28,1,Cho2017,CSP+LDA
0.759500,0.141917,200.000000,13,0,28,1,Cho2017,CSP+LDA
0.994500,0.141401,200.000000,14,0,28,1,Cho2017,CSP+LDA
0.730500,0.141353,200.000000,15,0,28,1,Cho2017,CSP+LDA
0.508500,0.141982,200.000000,16,0,28,1,Cho2017,CSP+LDA
0.413500,0.143314,200.000000,17,0,28,1,Cho2017,CSP+LDA
0.627500,0.142003,200.000000,18,0,28,1,Cho2017,CSP+LDA
0.735500,0.142576,200.000000,19,0,28,1,Cho2017,CSP+LDA
0.781500,0.143805,200.000000,20,0,28,1,Cho2017,CSP+LDA
0.803000,0.142682,200.000000,21,0,28,1,Cho2017,CSP+LDA
0.616000,0.147133,200.000000,22,0,28,1,Cho2017,CSP+LDA
0.822000,0.142633,200.000000,23,0,28,1,Cho2017,CSP+LDA
0.736500,0.142140,200.000000,24,0,28,1,Cho2017,CSP+LDA
0.734000,0.146396,200.000000,25,0,28,1,Cho2017,CSP+LDA
0.569000,0.143008,200.000000,26,0,28,1,Cho2017,CSP+LDA
0.641500,0.138201,200.000000,27,0,28,1,Cho2017,CSP+LDA
0.545000,0.138317,200.000000,28,0,28,1,Cho2017,CSP+LDA
0.545000,0.137057,200.000000,29,0,28,1,Cho2017,CSP+LDA
0.650500,0.139737,200.000000,30,0,28,1,Cho2017,CSP+LDA
0.805000,0.144887,200.000000,31,0,28,1,Cho2017,CSP+LDA
0.491500,0.138761,200.000000,32,0,28,1,Cho2017,CSP+LDA
0.587000,0.143987,200.000000,33,0,28,1,Cho2017,CSP+LDA
0.569000,0.138493,200.000000,34,0,28,1,Cho2017,CSP+LDA
0.929000,0.138412,200.000000,35,0,28,1,Cho2017,CSP+LDA
0.661500,0.139073,200.000000,36,0,28,1,Cho2017,CSP+LDA
0.821500,0.139076,200.000000,37,0,28,1,Cho2017,CSP+LDA
0.519000,0.137604,200.000000,38,0,28,1,Cho2017,CSP+LDA
0.739500,0.137358,200.000000,39,0,28,1,Cho2017,CSP+LDA
0.550500,0.138227,200.000000,40,0,28,1,Cho2017,CSP+LDA
0.940500,0.139001,200.000000,41,0,28,1,Cho2017,CSP+LDA
0.617500,0.148638,200.000000,42,0,28,1,Cho2017,CSP+LDA
0.997000,0.146177,200.000000,43,0,28,1,Cho2017,CSP+LDA
0.700000,0.145668,200.000000,44,0,28,1,Cho2017,CSP+LDA
0.562500,0.144880,200.000000,45,0,28,1,Cho2017,CSP+LDA
0.807639,0.183992,240.000000,46,0,28,1,Cho2017,CSP+LDA
0.630500,0.144843,200.000000,47,0,28,1,Cho2017,CSP+LDA
0.839500,0.144830,200.000000,48,0,28,1,Cho2017,CSP+LDA
0.751000,0.144937,200.000000,49,0,28,1,Cho2017,CSP+LDA
0.914000,0.147102,200.000000,50,0,28,1,Cho2017,CSP+LDA
0.632000,0.145529,200.000000,51,0,28,1,Cho2017,CSP+LDA
0.692000,0.148383,200.000000,52,0,28,1,Cho2017,CSP+LDA
0.929500,0.143022,200.000000,1,0,28,1,Cho2017,TS+EL
0.560500,0.206428,200.000000,2,0,28,1,Cho2017,TS+EL
0.937000,0.146408,200.000000,3,0,28,1,Cho2017,TS+EL
0.832500,0.154037,200.000000,4,0,28,1,Cho2017,TS+EL
0.778000,0.147324,200.000000,5,0,28,1,Cho2017,TS+EL
0.610500,0.170806,200.000000,6,0,28,1,Cho2017,TS+EL
0.583681,0.237821,240.000000,7,0,28,1,Cho2017,TS+EL
0.558000,0.158921,200.000000,8,0,28,1,Cho2017,TS+EL
0.771181,0.180973,240.000000,9,0,28,1,Cho2017,TS+EL
0.870500,0.179026,200.000000,10,0,28,1,Cho2017,TS+EL
0.692500,0.150750,200.000000,11,0,28,1,Cho2017,TS+EL
0.840000,0.159203,200.000000,12,0,28,1,Cho2017,TS+EL
0.824000,0.148849,200.000000,13,0,28,1,Cho2017,TS+EL
0.994500,0.133650,200.000000,14,0,28,1,Cho2017,TS+EL
0.730000,0.157070,200.000000,15,0,28,1,Cho2017,TS+EL
0.570000,0.221416,200.000000,16,0,28,1,Cho2017,TS+EL
0.512000,0.176468,200.000000,17,0,28,1,Cho2017,TS+EL
0.678500,0.153974,200.000000,18,0,28,1,Cho2017,TS+EL
0.784000,0.157277,200.000000,19,0,28,1,Cho2017,TS+EL
0.816500,0.154918,200.000000,20,0,28,1,Cho2017,TS+EL
0.802000,0.149012,200.000000,21,0,28,1,Cho2017,TS+EL
0.661500,0.147501,200.000000,22,0,28,1,Cho2017,TS+EL
0.837500,0.141954,200.000000,23,0,28,1,Cho2017,TS+EL
0.759000,0.153466,200.000000,24,0,28,1,Cho2017,TS+EL
0.751500,0.173240,200.000000,25,0,28,1,Cho2017,TS+EL
0.704500,0.155785,200.000000,26,0,28,1,Cho2017,TS+EL
0.664500,0.151204,200.000000,27,0,28,1,Cho2017,TS+EL
0.716000,0.170982,200.000000,28,0,28,1,Cho2017,TS+EL
0.601500,0.209260,200.000000,29,0,28,1,Cho2017,TS+EL
0.659000,0.157639,200.000000,30,0,28,1,Cho2017,TS+EL
0.793000,0.161856,200.000000,31,0,28,1,Cho2017,TS+EL
0.550500,0.152596,200.000000,32,0,28,1,Cho2017,TS+EL
0.662500,0.152455,200.000000,33,0,28,1,Cho2017,TS+EL
0.608500,0.188722,200.000000,34,0,28,1,Cho2017,TS+EL
0.952000,0.149937,200.000000,35,0,28,1,Cho2017,TS+EL
0.690000,0.259173,200.000000,36,0,28,1,Cho2017,TS+EL
0.849000,0.151080,200.000000,37,0,28,1,Cho2017,TS+EL
0.572000,0.153371,200.000000,38,0,28,1,Cho2017,TS+EL
0.796000,0.164683,200.000000,39,0,28,1,Cho2017,TS+EL
0.617000,0.156650,200.000000,40,0,28,1,Cho2017,TS+EL
0.952500,0.144117,200.000000,41,0,28,1,Cho2017,TS+EL
0.628500,0.129198,200.000000,42,0,28,1,Cho2017,TS+EL
0.995000,0.164033,200.000000,43,0,28,1,Cho2017,TS+EL
0.837000,0.178869,200.000000,44,0,28,1,Cho2017,TS+EL
0.610500,0.207061,200.000000,45,0,28,1,Cho2017,TS+EL
0.883681,0.198230,240.000000,46,0,28,1,Cho2017,TS+EL
0.767500,0.243785,200.000000,47,0,28,1,Cho2017,TS+EL
0.866500,0.193134,200.000000,48,0,28,1,Cho2017,TS+EL
0.826500,0.144598,200.000000,49,0,28,1,Cho2017,TS+EL
0.945000,0.149345,200.000000,50,0,28,1,Cho2017,TS+EL
0.634000,0.171142,200.000000,51,0,28,1,Cho2017,TS+EL
0.748000,0.144020,200.000000,52,0,28,1,Cho2017,TS+EL
0.920500,0.116575,200.000000,1,0,28,1,Cho2017,TS+LR
0.562000,0.121991,200.000000,2,0,28,1,Cho2017,TS+LR
0.929000,0.117454,200.000000,3,0,28,1,Cho2017,TS+LR
0.825500,0.114814,200.000000,4,0,28,1,Cho2017,TS+LR
0.783000,0.115122,200.000000,5,0,28,1,Cho2017,TS+LR
0.628500,0.123219,200.000000,6,0,28,1,Cho2017,TS+LR
0.605556,0.145998,240.000000,7,0,28,1,Cho2017,TS+LR
0.577000,0.113767,200.000000,8,0,28,1,Cho2017,TS+LR
0.745833,0.136696,240.000000,9,0,28,1,Cho2017,TS+LR
0.904000,0.112939,200.000000,10,0,28,1,Cho2017,TS+LR
0.704500,0.117824,200.000000,11,0,28,1,Cho2017,TS+LR
0.835000,0.112816,200.000000,12,0,28,1,Cho2017,TS+LR
0.827500,0.113577,200.000000,13,0,28,1,Cho2017,TS+LR
0.998500,0.112729,200.000000,14,0,28,1,Cho2017,TS+LR
0.753500,0.113091,200.000000,15,0,28,1,Cho2017,TS+LR
0.526000,0.120720,200.000000,16,0,28,1,Cho2017,TS+LR
0.485500,0.115087,200.000000,17,0,28,1,Cho2017,TS+LR
0.674000,0.110980,200.000000,18,0,28,1,Cho2017,TS+LR
0.772500,0.113250,200.000000,19,0,28,1,Cho2017,TS+LR
