score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.769001,0.141313,200.000000,1,0,28,1,Cho2017,CSP+LDA
0.487791,0.147120,200.000000,2,0,28,1,Cho2017,CSP+LDA
0.819496,0.149032,200.000000,3,0,28,1,Cho2017,CSP+LDA
0.766916,0.136904,200.000000,4,0,28,1,Cho2017,CSP+LDA
0.728848,0.137539,200.000000,5,0,28,1,Cho2017,CSP+LDA
0.636863,0.141407,200.000000,6,0,28,1,Cho2017,CSP+LDA
0.519881,0.179405,240.000000,7,0,28,1,Cho2017,CSP+LDA
0.581797,0.146913,200.000000,8,0,28,1,Cho2017,CSP+LDA
0.707039,0.177932,240.000000,9,0,28,1,Cho2017,CSP+LDA
0.659219,0.138644,200.000000,10,0,28,1,Cho2017,CSP+LDA
0.613476,0.136373,200.000000,11,0,28,1,Cho2017,CSP+LDA
0.702877,0.137595,200.000000,12,0,28,1,Cho2017,CSP+LDA
0.652415,0.138038,200.000000,13,0,28,1,Cho2017,CSP+LDA
0.974997,0.138171,200.000000,14,0,28,1,Cho2017,CSP+LDA
0.664100,0.137610,200.000000,15,0,28,1,Cho2017,CSP+LDA
0.468869,0.137247,200.000000,16,0,28,1,Cho2017,CSP+LDA
0.438632,0.137723,200.000000,17,0,28,1,Cho2017,CSP+LDA
0.599893,0.137955,200.000000,18,0,28,1,Cho2017,CSP+LDA
0.687893,0.137786,200.000000,19,0,28,1,Cho2017,CSP+LDA
0.722673,0.137192,200.000000,20,0,28,1,Cho2017,CSP+LDA
0.709310,0.137802,200.000000,21,0,28,1,Cho2017,CSP+LDA
0.562974,0.137718,200.000000,22,0,28,1,Cho2017,CSP+LDA
0.734152,0.137768,200.000000,23,0,28,1,Cho2017,CSP+LDA
0.673930,0.137578,200.000000,24,0,28,1,Cho2017,CSP+LDA
0.693002,0.137447,200.000000,25,0,28,1,Cho2017,CSP+LDA
0.541525,0.137488,200.000000,26,0,28,1,Cho2017,CSP+LDA
0.591719,0.143384,200.000000,27,0,28,1,Cho2017,CSP+LDA
0.526895,0.140396,200.000000,28,0,28,1,Cho2017,CSP+LDA
0.543270,0.137576,200.000000,29,0,28,1,Cho2017,CSP+LDA
0.644188,0.142909,200.000000,30,0,28,1,Cho2017,CSP+LDA
0.723112,0.139653,200.000000,31,0,28,1,Cho2017,CSP+LDA
0.498336,0.138289,200.000000,32,0,28,1,Cho2017,CSP+LDA
0.556198,0.138748,200.000000,33,0,28,1,Cho2017,CSP+LDA
