score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.637000,0.021150,200.000000,1,0,4,1,Cho2017,TS+LR
0.471500,0.021787,200.000000,2,0,4,1,Cho2017,TS+LR
0.668500,0.021369,200.000000,3,0,4,1,Cho2017,TS+LR
0.653000,0.021194,200.000000,4,0,4,1,Cho2017,TS+LR
0.574000,0.021581,200.000000,5,0,4,1,Cho2017,TS+LR
0.509500,0.022066,200.000000,6,0,4,1,Cho2017,TS+LR
0.338542,0.026014,240.000000,7,0,4,1,Cho2017,TS+LR
0.435000,0.021867,200.000000,8,0,4,1,Cho2017,TS+LR
0.610764,0.026141,240.000000,9,0,4,1,Cho2017,TS+LR
0.671000,0.021780,200.000000,10,0,4,1,Cho2017,TS+LR
0.554000,0.021928,200.000000,11,0,4,1,Cho2017,TS+LR
0.648000,0.022231,200.000000,12,0,4,1,Cho2017,TS+LR
0.627500,0.021932,200.000000,13,0,4,1,Cho2017,TS+LR
0.728000,0.021884,200.000000,14,0,4,1,Cho2017,TS+LR
0.473500,0.022516,200.000000,15,0,4,1,Cho2017,TS+LR
0.555500,0.022245,200.000000,16,0,4,1,Cho2017,TS+LR
0.434500,0.022618,200.000000,17,0,4,1,Cho2017,TS+LR
0.545000,0.022396,200.000000,18,0,4,1,Cho2017,TS+LR
0.449500,0.022249,200.000000,19,0,4,1,Cho2017,TS+LR
0.656000,0.022286,200.000000,20,0,4,1,Cho2017,TS+LR
0.597000,0.022313,200.000000,21,0,4,1,Cho2017,TS+LR
0.564000,0.022560,200.000000,22,0,4,1,Cho2017,TS+LR
0.579000,0.022186,200.000000,23,0,4,1,Cho2017,TS+LR
0.410500,0.022524,200.000000,24,0,4,1,Cho2017,TS+LR
0.542000,0.022566,200.000000,25,0,4,1,Cho2017,TS+LR
0.627500,0.022447,200.000000,26,0,4,1,Cho2017,TS+LR
0.453500,0.022222,200.000000,27,0,4,1,Cho2017,TS+LR
0.598500,0.022515,200.000000,28,0,4,1,Cho2017,TS+LR
0.515500,0.023019,200.000000,29,0,4,1,Cho2017,TS+LR
0.482000,0.022339,200.000000,30,0,4,1,Cho2017,TS+LR
0.678000,0.022350,200.000000,31,0,4,1,Cho2017,TS+LR
0.508500,0.022582,200.000000,32,0,4,1,Cho2017,TS+LR
0.385000,0.022086,200.000000,33,0,4,1,Cho2017,TS+LR
0.486000,0.022423,200.000000,34,0,4,1,Cho2017,TS+LR
0.702000,0.022561,200.000000,35,0,4,1,Cho2017,TS+LR
0.566500,0.022909,200.000000,36,0,4,1,Cho2017,TS+LR
0.677000,0.022122,200.000000,37,0,4,1,Cho2017,TS+LR
0.490000,0.022677,200.000000,38,0,4,1,Cho2017,TS+LR
0.602500,0.022558,200.000000,39,0,4,1,Cho2017,TS+LR
0.458000,0.023021,200.000000,40,0,4,1,Cho2017,TS+LR
0.570000,0.022443,200.000000,41,0,4,1,Cho2017,TS+LR
0.699000,0.023890,200.000000,42,0,4,1,Cho2017,TS+LR
0.773000,0.023330,200.000000,43,0,4,1,Cho2017,TS+LR
0.726500,0.022571,200.000000,44,0,4,1,Cho2017,TS+LR
0.500000,0.022518,200.000000,45,0,4,1,Cho2017,TS+LR
0.617361,0.027274,240.000000,46,0,4,1,Cho2017,TS+LR
0.604000,0.022858,200.000000,47,0,4,1,Cho2017,TS+LR
0.555500,0.022784,200.000000,48,0,4,1,Cho2017,TS+LR
0.736000,0.022816,200.000000,49,0,4,1,Cho2017,TS+LR
0.744000,0.022806,200.000000,50,0,4,1,Cho2017,TS+LR
0.512500,0.022647,200.000000,51,0,4,1,Cho2017,TS+LR
0.534000,0.022501,200.000000,52,0,4,1,Cho2017,TS+LR
