score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.594364,0.022339,200.000000,1,0,4,1,Cho2017,TS+LR
0.493792,0.022710,200.000000,2,0,4,1,Cho2017,TS+LR
0.621146,0.022475,200.000000,3,0,4,1,Cho2017,TS+LR
0.586580,0.022618,200.000000,4,0,4,1,Cho2017,TS+LR
0.586247,0.022600,200.000000,5,0,4,1,Cho2017,TS+LR
0.531741,0.022942,200.000000,6,0,4,1,Cho2017,TS+LR
0.381665,0.027115,240.000000,7,0,4,1,Cho2017,TS+LR
0.440828,0.022935,200.000000,8,0,4,1,Cho2017,TS+LR
0.606680,0.027331,240.000000,9,0,4,1,Cho2017,TS+LR
0.636416,0.022619,200.000000,10,0,4,1,Cho2017,TS+LR
0.548144,0.022614,200.000000,11,0,4,1,Cho2017,TS+LR
0.606023,0.022821,200.000000,12,0,4,1,Cho2017,TS+LR
0.541755,0.022557,200.000000,13,0,4,1,Cho2017,TS+LR
0.673021,0.022472,200.000000,14,0,4,1,Cho2017,TS+LR
0.463287,0.023367,200.000000,15,0,4,1,Cho2017,TS+LR
0.504339,0.022713,200.000000,16,0,4,1,Cho2017,TS+LR
0.442193,0.023355,200.000000,17,0,4,1,Cho2017,TS+LR
0.550576,0.023648,200.000000,18,0,4,1,Cho2017,TS+LR
0.509405,0.024483,200.000000,19,0,4,1,Cho2017,TS+LR
0.622076,0.023255,200.000000,20,0,4,1,Cho2017,TS+LR
0.558121,0.023257,200.000000,21,0,4,1,Cho2017,TS+LR
0.545648,0.023152,200.000000,22,0,4,1,Cho2017,TS+LR
0.559104,0.023071,200.000000,23,0,4,1,Cho2017,TS+LR
0.461594,0.023017,200.000000,24,0,4,1,Cho2017,TS+LR
0.557367,0.023688,200.000000,25,0,4,1,Cho2017,TS+LR
0.608415,0.023132,200.000000,26,0,4,1,Cho2017,TS+LR
0.455722,0.023297,200.000000,27,0,4,1,Cho2017,TS+LR
0.561814,0.023576,200.000000,28,0,4,1,Cho2017,TS+LR
0.504087,0.023522,200.000000,29,0,4,1,Cho2017,TS+LR
0.462549,0.023309,200.000000,30,0,4,1,Cho2017,TS+LR
0.608940,0.022891,200.000000,31,0,4,1,Cho2017,TS+LR
0.498690,0.022998,200.000000,32,0,4,1,Cho2017,TS+LR
0.419481,0.022876,200.000000,33,0,4,1,Cho2017,TS+LR
0.503433,0.023609,200.000000,34,0,4,1,Cho2017,TS+LR
0.669190,0.023042,200.000000,35,0,4,1,Cho2017,TS+LR
0.535514,0.023974,200.000000,36,0,4,1,Cho2017,TS+LR
0.586179,0.023456,200.000000,37,0,4,1,Cho2017,TS+LR
0.470359,0.023693,200.000000,38,0,4,1,Cho2017,TS+LR
0.557233,0.023122,200.000000,39,0,4,1,Cho2017,TS+LR
0.462945,0.023795,200.000000,40,0,4,1,Cho2017,TS+LR
0.535891,0.022899,200.000000,41,0,4,1,Cho2017,TS+LR
0.661582,0.023158,200.000000,42,0,4,1,Cho2017,TS+LR
0.699212,0.023294,200.000000,43,0,4,1,Cho2017,TS+LR
0.683036,0.024010,200.000000,44,0,4,1,Cho2017,TS+LR
0.523918,0.023264,200.000000,45,0,4,1,Cho2017,TS+LR
0.547675,0.027904,240.000000,46,0,4,1,Cho2017,TS+LR
0.546636,0.023100,200.000000,47,0,4,1,Cho2017,TS+LR
0.513843,0.023327,200.000000,48,0,4,1,Cho2017,TS+LR
0.666782,0.023240,200.000000,49,0,4,1,Cho2017,TS+LR
0.667509,0.023323,200.000000,50,0,4,1,Cho2017,TS+LR
0.492435,0.023194,200.000000,51,0,4,1,Cho2017,TS+LR
0.527428,0.026562,200.000000,52,0,4,1,Cho2017,TS+LR
0.594046,0.022574,200.000000,1,0,4,1,Cho2017,TS+EL
0.504389,0.022726,200.000000,2,0,4,1,Cho2017,TS+EL
0.633190,0.022224,200.000000,3,0,4,1,Cho2017,TS+EL
0.602992,0.022428,200.000000,4,0,4,1,Cho2017,TS+EL
0.572301,0.022662,200.000000,5,0,4,1,Cho2017,TS+EL
0.532476,0.022698,200.000000,6,0,4,1,Cho2017,TS+EL
0.400646,0.027041,240.000000,7,0,4,1,Cho2017,TS+EL
0.409958,0.022662,200.000000,8,0,4,1,Cho2017,TS+EL
0.589721,0.027268,240.000000,9,0,4,1,Cho2017,TS+EL
0.636343,0.022510,200.000000,10,0,4,1,Cho2017,TS+EL
0.538869,0.022504,200.000000,11,0,4,1,Cho2017,TS+EL
0.606259,0.022791,200.000000,12,0,4,1,Cho2017,TS+EL
0.561998,0.022527,200.000000,13,0,4,1,Cho2017,TS+EL
0.662314,0.022462,200.000000,14,0,4,1,Cho2017,TS+EL
0.454712,0.023407,200.000000,15,0,4,1,Cho2017,TS+EL
0.500414,0.022981,200.000000,16,0,4,1,Cho2017,TS+EL
0.472498,0.023138,200.000000,17,0,4,1,Cho2017,TS+EL
0.560927,0.023319,200.000000,18,0,4,1,Cho2017,TS+EL
0.489380,0.023544,200.000000,19,0,4,1,Cho2017,TS+EL
0.613746,0.023495,200.000000,20,0,4,1,Cho2017,TS+EL
0.562421,0.023122,200.000000,21,0,4,1,Cho2017,TS+EL
0.538935,0.022935,200.000000,22,0,4,1,Cho2017,TS+EL
0.585660,0.023260,200.000000,23,0,4,1,Cho2017,TS+EL
0.457358,0.023106,200.000000,24,0,4,1,Cho2017,TS+EL
0.547653,0.023200,200.000000,25,0,4,1,Cho2017,TS+EL
0.583617,0.023090,200.000000,26,0,4,1,Cho2017,TS+EL
0.453246,0.024100,200.000000,27,0,4,1,Cho2017,TS+EL
0.576955,0.023795,200.000000,28,0,4,1,Cho2017,TS+EL
0.479111,0.023696,200.000000,29,0,4,1,Cho2017,TS+EL
0.458589,0.022959,200.000000,30,0,4,1,Cho2017,TS+EL
0.639335,0.022877,200.000000,31,0,4,1,Cho2017,TS+EL
0.513678,0.023221,200.000000,32,0,4,1,Cho2017,TS+EL
0.408122,0.022869,200.000000,33,0,4,1,Cho2017,TS+EL
0.462819,0.022846,200.000000,34,0,4,1,Cho2017,TS+EL
0.649562,0.023142,200.000000,35,0,4,1,Cho2017,TS+EL
0.550371,0.023780,200.000000,36,0,4,1,Cho2017,TS+EL
0.591898,0.023138,200.000000,37,0,4,1,Cho2017,TS+EL
0.461710,0.023858,200.000000,38,0,4,1,Cho2017,TS+EL
0.566319,0.023052,200.000000,39,0,4,1,Cho2017,TS+EL
0.477633,0.023036,200.000000,40,0,4,1,Cho2017,TS+EL
0.563348,0.022819,200.000000,41,0,4,1,Cho2017,TS+EL
0.631827,0.023009,200.000000,42,0,4,1,Cho2017,TS+EL
0.708538,0.023207,200.000000,43,0,4,1,Cho2017,TS+EL
0.662906,0.023105,200.000000,44,0,4,1,Cho2017,TS+EL
0.517636,0.023729,200.000000,45,0,4,1,Cho2017,TS+EL
0.561835,0.027489,240.000000,46,0,4,1,Cho2017,TS+EL
0.563772,0.023224,200.000000,47,0,4,1,Cho2017,TS+EL
0.512936,0.023379,200.000000,48,0,4,1,Cho2017,TS+EL
0.687049,0.023898,200.000000,49,0,4,1,Cho2017,TS+EL
0.662621,0.023115,200.000000,50,0,4,1,Cho2017,TS+EL
0.492855,0.023307,200.000000,51,0,4,1,Cho2017,TS+EL
0.539103,0.023286,200.000000,52,0,4,1,Cho2017,TS+EL
0.569486,0.012499,200.000000,1,0,4,1,Cho2017,CSP+LDA
0.418312,0.012415,200.000000,2,0,4,1,Cho2017,CSP+LDA
0.621915,0.012327,200.000000,3,0,4,1,Cho2017,CSP+LDA
0.599649,0.012683,200.000000,4,0,4,1,Cho2017,CSP+LDA
0.525478,0.012521,200.000000,5,0,4,1,Cho2017,CSP+LDA
0.500574,0.012574,200.000000,6,0,4,1,Cho2017,CSP+LDA
0.411579,0.014420,240.000000,7,0,4,1,Cho2017,CSP+LDA
0.433272,0.012422,200.000000,8,0,4,1,Cho2017,CSP+LDA
0.578214,0.014502,240.000000,9,0,4,1,Cho2017,CSP+LDA
0.611898,0.012406,200.000000,10,0,4,1,Cho2017,CSP+LDA
0.501868,0.012776,200.000000,11,0,4,1,Cho2017,CSP+LDA
0.646418,0.012321,200.000000,12,0,4,1,Cho2017,CSP+LDA
0.532649,0.013888,200.000000,13,0,4,1,Cho2017,CSP+LDA
0.649109,0.012527,200.000000,14,0,4,1,Cho2017,CSP+LDA
0.437930,0.012388,200.000000,15,0,4,1,Cho2017,CSP+LDA
0.571968,0.012477,200.000000,16,0,4,1,Cho2017,CSP+LDA
0.475556,0.013349,200.000000,17,0,4,1,Cho2017,CSP+LDA
0.522124,0.014469,200.000000,18,0,4,1,Cho2017,CSP+LDA
0.466982,0.012526,200.000000,19,0,4,1,Cho2017,CSP+LDA
0.585664,0.012456,200.000000,20,0,4,1,Cho2017,CSP+LDA
0.582801,0.012806,200.000000,21,0,4,1,Cho2017,CSP+LDA
0.540011,0.012603,200.000000,22,0,4,1,Cho2017,CSP+LDA
0.576289,0.012464,200.000000,23,0,4,1,Cho2017,CSP+LDA
0.447023,0.012387,200.000000,24,0,4,1,Cho2017,CSP+LDA
0.538389,0.013294,200.000000,25,0,4,1,Cho2017,CSP+LDA
0.607572,0.012499,200.000000,26,0,4,1,Cho2017,CSP+LDA
0.476756,0.013071,200.000000,27,0,4,1,Cho2017,CSP+LDA
0.517130,0.012528,200.000000,28,0,4,1,Cho2017,CSP+LDA
0.438802,0.012507,200.000000,29,0,4,1,Cho2017,CSP+LDA
0.467263,0.012588,200.000000,30,0,4,1,Cho2017,CSP+LDA
0.642107,0.012838,200.000000,31,0,4,1,Cho2017,CSP+LDA
0.506660,0.012784,200.000000,32,0,4,1,Cho2017,CSP+LDA
0.440008,0.012741,200.000000,33,0,4,1,Cho2017,CSP+LDA
0.450773,0.012546,200.000000,34,0,4,1,Cho2017,CSP+LDA
0.588092,0.012696,200.000000,35,0,4,1,Cho2017,CSP+LDA
0.506694,0.012679,200.000000,36,0,4,1,Cho2017,CSP+LDA
0.585724,0.012512,200.000000,37,0,4,1,Cho2017,CSP+LDA
0.519645,0.013098,200.000000,38,0,4,1,Cho2017,CSP+LDA
0.454709,0.012542,200.000000,39,0,4,1,Cho2017,CSP+LDA
0.486774,0.012633,200.000000,40,0,4,1,Cho2017,CSP+LDA
0.589246,0.012516,200.000000,41,0,4,1,Cho2017,CSP+LDA
0.606921,0.012618,200.000000,42,0,4,1,Cho2017,CSP+LDA
0.557561,0.012554,200.000000,43,0,4,1,Cho2017,CSP+LDA
0.664268,0.012535,200.000000,44,0,4,1,Cho2017,CSP+LDA
0.489301,0.012923,200.000000,45,0,4,1,Cho2017,CSP+LDA
0.550770,0.014878,240.000000,46,0,4,1,Cho2017,CSP+LDA
0.543027,0.012586,200.000000,47,0,4,1,Cho2017,CSP+LDA
0.533590,0.012510,200.000000,48,0,4,1,Cho2017,CSP+LDA
0.628331,0.012731,200.000000,49,0,4,1,Cho2017,CSP+LDA
0.646251,0.012645,200.000000,50,0,4,1,Cho2017,CSP+LDA
0.516214,0.012485,200.000000,51,0,4,1,Cho2017,CSP+LDA
0.509021,0.013029,200.000000,52,0,4,1,Cho2017,CSP+LDA
0.591776,0.022507,200.000000,1,0,4,1,Cho2017,TS+SVM
0.482525,0.022738,200.000000,2,0,4,1,Cho2017,TS+SVM
0.601372,0.022692,200.000000,3,0,4,1,Cho2017,TS+SVM
0.586873,0.022599,200.000000,4,0,4,1,Cho2017,TS+SVM
0.598289,0.022739,200.000000,5,0,4,1,Cho2017,TS+SVM
0.514074,0.022884,200.000000,6,0,4,1,Cho2017,TS+SVM
0.376739,0.027317,240.000000,7,0,4,1,Cho2017,TS+SVM
0.438573,0.023024,200.000000,8,0,4,1,Cho2017,TS+SVM
0.588001,0.027291,240.000000,9,0,4,1,Cho2017,TS+SVM
0.625975,0.022557,200.000000,10,0,4,1,Cho2017,TS+SVM
0.573611,0.022776,200.000000,11,0,4,1,Cho2017,TS+SVM
0.606553,0.022797,200.000000,12,0,4,1,Cho2017,TS+SVM
0.530215,0.022529,200.000000,13,0,4,1,Cho2017,TS+SVM
0.683332,0.022425,200.000000,14,0,4,1,Cho2017,TS+SVM
0.475022,0.022917,200.000000,15,0,4,1,Cho2017,TS+SVM
0.542177,0.022846,200.000000,16,0,4,1,Cho2017,TS+SVM
0.468212,0.023678,200.000000,17,0,4,1,Cho2017,TS+SVM
0.567983,0.023206,200.000000,18,0,4,1,Cho2017,TS+SVM
0.489656,0.023224,200.000000,19,0,4,1,Cho2017,TS+SVM
0.623266,0.023162,200.000000,20,0,4,1,Cho2017,TS+SVM
0.534061,0.023218,200.000000,21,0,4,1,Cho2017,TS+SVM
0.527570,0.023212,200.000000,22,0,4,1,Cho2017,TS+SVM
0.551712,0.023197,200.000000,23,0,4,1,Cho2017,TS+SVM
0.452074,0.023046,200.000000,24,0,4,1,Cho2017,TS+SVM
0.537158,0.023467,200.000000,25,0,4,1,Cho2017,TS+SVM
0.591982,0.023124,200.000000,26,0,4,1,Cho2017,TS+SVM
0.481166,0.023411,200.000000,27,0,4,1,Cho2017,TS+SVM
0.560121,0.023166,200.000000,28,0,4,1,Cho2017,TS+SVM
0.474176,0.023496,200.000000,29,0,4,1,Cho2017,TS+SVM
0.462316,0.022992,200.000000,30,0,4,1,Cho2017,TS+SVM
0.624452,0.022763,200.000000,31,0,4,1,Cho2017,TS+SVM
0.484305,0.022964,200.000000,32,0,4,1,Cho2017,TS+SVM
0.431499,0.022776,200.000000,33,0,4,1,Cho2017,TS+SVM
0.455079,0.023690,200.000000,34,0,4,1,Cho2017,TS+SVM
0.662697,0.023038,200.000000,35,0,4,1,Cho2017,TS+SVM
0.496382,0.023928,200.000000,36,0,4,1,Cho2017,TS+SVM
0.593368,0.023249,200.000000,37,0,4,1,Cho2017,TS+SVM
0.478341,0.022840,200.000000,38,0,4,1,Cho2017,TS+SVM
0.593334,0.023321,200.000000,39,0,4,1,Cho2017,TS+SVM
0.497108,0.023988,200.000000,40,0,4,1,Cho2017,TS+SVM
0.586704,0.022956,200.000000,41,0,4,1,Cho2017,TS+SVM
0.642438,0.023030,200.000000,42,0,4,1,Cho2017,TS+SVM
0.713384,0.023356,200.000000,43,0,4,1,Cho2017,TS+SVM
0.693479,0.023733,200.000000,44,0,4,1,Cho2017,TS+SVM
0.485455,0.023679,200.000000,45,0,4,1,Cho2017,TS+SVM
0.574912,0.027965,240.000000,46,0,4,1,Cho2017,TS+SVM
0.510912,0.023409,200.000000,47,0,4,1,Cho2017,TS+SVM
0.523342,0.023252,200.000000,48,0,4,1,Cho2017,TS+SVM
0.698261,0.023018,200.000000,49,0,4,1,Cho2017,TS+SVM
0.673439,0.023363,200.000000,50,0,4,1,Cho2017,TS+SVM
0.486045,0.023406,200.000000,51,0,4,1,Cho2017,TS+SVM
0.497873,0.023298,200.000000,52,0,4,1,Cho2017,TS+SVM
0.574953,0.012410,200.000000,1,0,4,1,Cho2017,CSP+SVM
0.449628,0.012619,200.000000,2,0,4,1,Cho2017,CSP+SVM
0.596566,0.012399,200.000000,3,0,4,1,Cho2017,CSP+SVM
0.599743,0.012519,200.000000,4,0,4,1,Cho2017,CSP+SVM
0.540484,0.012481,200.000000,5,0,4,1,Cho2017,CSP+SVM
0.473146,0.012409,200.000000,6,0,4,1,Cho2017,CSP+SVM
0.420334,0.014600,240.000000,7,0,4,1,Cho2017,CSP+SVM
0.401430,0.012519,200.000000,8,0,4,1,Cho2017,CSP+SVM
0.550761,0.014730,240.000000,9,0,4,1,Cho2017,CSP+SVM
0.602739,0.012490,200.000000,10,0,4,1,Cho2017,CSP+SVM
0.472362,0.012401,200.000000,11,0,4,1,Cho2017,CSP+SVM
