score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.814356,0.084775,200.000000,1,0,20,1,Cho2017,CSP+SVM
0.586868,0.085002,200.000000,2,0,20,1,Cho2017,CSP+SVM
0.834583,0.084612,200.000000,3,0,20,1,Cho2017,CSP+SVM
0.783837,0.083222,200.000000,4,0,20,1,Cho2017,CSP+SVM
0.728242,0.083126,200.000000,5,0,20,1,Cho2017,CSP+SVM
0.612550,0.083325,200.000000,6,0,20,1,Cho2017,CSP+SVM
0.471187,0.109816,240.000000,7,0,20,1,Cho2017,CSP+SVM
0.613407,0.085345,200.000000,8,0,20,1,Cho2017,CSP+SVM
0.681427,0.106783,240.000000,9,0,20,1,Cho2017,CSP+SVM
0.592218,0.082962,200.000000,10,0,20,1,Cho2017,CSP+SVM
0.632072,0.083050,200.000000,11,0,20,1,Cho2017,CSP+SVM
0.679161,0.082676,200.000000,12,0,20,1,Cho2017,CSP+SVM
0.669942,0.083181,200.000000,13,0,20,1,Cho2017,CSP+SVM
0.964978,0.082756,200.000000,14,0,20,1,Cho2017,CSP+SVM
0.713343,0.082986,200.000000,15,0,20,1,Cho2017,CSP+SVM
0.518822,0.083310,200.000000,16,0,20,1,Cho2017,CSP+SVM
0.445018,0.083026,200.000000,17,0,20,1,Cho2017,CSP+SVM
0.603518,0.082758,200.000000,18,0,20,1,Cho2017,CSP+SVM
0.607824,0.083397,200.000000,19,0,20,1,Cho2017,CSP+SVM
0.685974,0.082137,200.000000,20,0,20,1,Cho2017,CSP+SVM
0.663611,0.084028,200.000000,21,0,20,1,Cho2017,CSP+SVM
0.586474,0.082862,200.000000,22,0,20,1,Cho2017,CSP+SVM
0.695312,0.083060,200.000000,23,0,20,1,Cho2017,CSP+SVM
0.678483,0.085237,200.000000,24,0,20,1,Cho2017,CSP+SVM
0.652265,0.083363,200.000000,25,0,20,1,Cho2017,CSP+SVM
0.597417,0.083271,200.000000,26,0,20,1,Cho2017,CSP+SVM
0.571171,0.083347,200.000000,27,0,20,1,Cho2017,CSP+SVM
0.517797,0.083377,200.000000,28,0,20,1,Cho2017,CSP+SVM
0.447084,0.082784,200.000000,29,0,20,1,Cho2017,CSP+SVM
0.615790,0.083444,200.000000,30,0,20,1,Cho2017,CSP+SVM
0.712336,0.085005,200.000000,31,0,20,1,Cho2017,CSP+SVM
0.522488,0.083204,200.000000,32,0,20,1,Cho2017,CSP+SVM
0.653398,0.083462,200.000000,33,0,20,1,Cho2017,CSP+SVM
0.502452,0.085146,200.000000,34,0,20,1,Cho2017,CSP+SVM
