score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.836500,0.026208,200.000000,1,0,9,1,Cho2017,CSP+SVM
0.457500,0.026109,200.000000,2,0,9,1,Cho2017,CSP+SVM
0.893500,0.026112,200.000000,3,0,9,1,Cho2017,CSP+SVM
0.858000,0.026341,200.000000,4,0,9,1,Cho2017,CSP+SVM
0.608000,0.026004,200.000000,5,0,9,1,Cho2017,CSP+SVM
0.619000,0.026426,200.000000,6,0,9,1,Cho2017,CSP+SVM
0.578125,0.029853,240.000000,7,0,9,1,Cho2017,CSP+SVM
0.579000,0.025860,200.000000,8,0,9,1,Cho2017,CSP+SVM
0.794097,0.029371,240.000000,9,0,9,1,Cho2017,CSP+SVM
0.755500,0.028647,200.000000,10,0,9,1,Cho2017,CSP+SVM
0.718500,0.026597,200.000000,11,0,9,1,Cho2017,CSP+SVM
0.762500,0.026374,200.000000,12,0,9,1,Cho2017,CSP+SVM
0.798000,0.026459,200.000000,13,0,9,1,Cho2017,CSP+SVM
0.994500,0.026442,200.000000,14,0,9,1,Cho2017,CSP+SVM
0.735000,0.026848,200.000000,15,0,9,1,Cho2017,CSP+SVM
0.648500,0.026675,200.000000,16,0,9,1,Cho2017,CSP+SVM
0.502000,0.026691,200.000000,17,0,9,1,Cho2017,CSP+SVM
0.706500,0.026516,200.000000,18,0,9,1,Cho2017,CSP+SVM
0.687000,0.026937,200.000000,19,0,9,1,Cho2017,CSP+SVM
0.791000,0.026641,200.000000,20,0,9,1,Cho2017,CSP+SVM
0.752000,0.026992,200.000000,21,0,9,1,Cho2017,CSP+SVM
0.676500,0.026410,200.000000,22,0,9,1,Cho2017,CSP+SVM
0.774000,0.026897,200.000000,23,0,9,1,Cho2017,CSP+SVM
0.745000,0.026808,200.000000,24,0,9,1,Cho2017,CSP+SVM
0.675000,0.026380,200.000000,25,0,9,1,Cho2017,CSP+SVM
0.603000,0.026875,200.000000,26,0,9,1,Cho2017,CSP+SVM
0.648500,0.026531,200.000000,27,0,9,1,Cho2017,CSP+SVM
0.467000,0.026699,200.000000,28,0,9,1,Cho2017,CSP+SVM
0.580000,0.026375,200.000000,29,0,9,1,Cho2017,CSP+SVM
0.710500,0.026530,200.000000,30,0,9,1,Cho2017,CSP+SVM
0.753000,0.026606,200.000000,31,0,9,1,Cho2017,CSP+SVM
0.499500,0.027202,200.000000,32,0,9,1,Cho2017,CSP+SVM
0.497500,0.026875,200.000000,33,0,9,1,Cho2017,CSP+SVM
0.536000,0.026892,200.000000,34,0,9,1,Cho2017,CSP+SVM
0.777500,0.026661,200.000000,35,0,9,1,Cho2017,CSP+SVM
0.698500,0.026820,200.000000,36,0,9,1,Cho2017,CSP+SVM
