score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.616500,0.014139,200.000000,1,0,1,1,Cho2017,TS+LR
0.541500,0.014255,200.000000,2,0,1,1,Cho2017,TS+LR
0.630000,0.014124,200.000000,3,0,1,1,Cho2017,TS+LR
0.471000,0.014208,200.000000,4,0,1,1,Cho2017,TS+LR
0.557000,0.014196,200.000000,5,0,1,1,Cho2017,TS+LR
0.422000,0.014114,200.000000,6,0,1,1,Cho2017,TS+LR
0.406250,0.016851,240.000000,7,0,1,1,Cho2017,TS+LR
0.457500,0.014100,200.000000,8,0,1,1,Cho2017,TS+LR
0.575347,0.017057,240.000000,9,0,1,1,Cho2017,TS+LR
0.638500,0.014159,200.000000,10,0,1,1,Cho2017,TS+LR
0.452000,0.014138,200.000000,11,0,1,1,Cho2017,TS+LR
0.620000,0.014040,200.000000,12,0,1,1,Cho2017,TS+LR
0.581000,0.014345,200.000000,13,0,1,1,Cho2017,TS+LR
0.542500,0.014451,200.000000,14,0,1,1,Cho2017,TS+LR
0.515000,0.014362,200.000000,15,0,1,1,Cho2017,TS+LR
0.587000,0.014534,200.000000,16,0,1,1,Cho2017,TS+LR
0.549500,0.014280,200.000000,17,0,1,1,Cho2017,TS+LR
0.503000,0.014710,200.000000,18,0,1,1,Cho2017,TS+LR
0.441500,0.014575,200.000000,19,0,1,1,Cho2017,TS+LR
0.615500,0.014672,200.000000,20,0,1,1,Cho2017,TS+LR
0.583000,0.015305,200.000000,21,0,1,1,Cho2017,TS+LR
0.605500,0.014655,200.000000,22,0,1,1,Cho2017,TS+LR
0.545500,0.014335,200.000000,23,0,1,1,Cho2017,TS+LR
0.531500,0.014570,200.000000,24,0,1,1,Cho2017,TS+LR
0.581000,0.014769,200.000000,25,0,1,1,Cho2017,TS+LR
0.572000,0.014599,200.000000,26,0,1,1,Cho2017,TS+LR
0.556500,0.014710,200.000000,27,0,1,1,Cho2017,TS+LR
0.415000,0.014703,200.000000,28,0,1,1,Cho2017,TS+LR
