score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.577728,0.014946,200.000000,1,0,1,1,Cho2017,TS+LR
0.523517,0.015137,200.000000,2,0,1,1,Cho2017,TS+LR
0.607414,0.014935,200.000000,3,0,1,1,Cho2017,TS+LR
0.487176,0.015079,200.000000,4,0,1,1,Cho2017,TS+LR
0.543429,0.014782,200.000000,5,0,1,1,Cho2017,TS+LR
0.409120,0.015072,200.000000,6,0,1,1,Cho2017,TS+LR
0.393619,0.017804,240.000000,7,0,1,1,Cho2017,TS+LR
0.451537,0.015073,200.000000,8,0,1,1,Cho2017,TS+LR
0.541422,0.017896,240.000000,9,0,1,1,Cho2017,TS+LR
0.598482,0.015154,200.000000,10,0,1,1,Cho2017,TS+LR
0.449190,0.014910,200.000000,11,0,1,1,Cho2017,TS+LR
0.565929,0.015208,200.000000,12,0,1,1,Cho2017,TS+LR
0.587530,0.015257,200.000000,13,0,1,1,Cho2017,TS+LR
0.538739,0.016141,200.000000,14,0,1,1,Cho2017,TS+LR
0.481018,0.015305,200.000000,15,0,1,1,Cho2017,TS+LR
0.562448,0.017092,200.000000,16,0,1,1,Cho2017,TS+LR
0.562681,0.015100,200.000000,17,0,1,1,Cho2017,TS+LR
0.513469,0.015196,200.000000,18,0,1,1,Cho2017,TS+LR
0.436368,0.015110,200.000000,19,0,1,1,Cho2017,TS+LR
0.582927,0.015392,200.000000,20,0,1,1,Cho2017,TS+LR
0.549455,0.015231,200.000000,21,0,1,1,Cho2017,TS+LR
0.565588,0.015556,200.000000,22,0,1,1,Cho2017,TS+LR
0.496125,0.015241,200.000000,23,0,1,1,Cho2017,TS+LR
0.490983,0.015198,200.000000,24,0,1,1,Cho2017,TS+LR
0.568992,0.015269,200.000000,25,0,1,1,Cho2017,TS+LR
0.574098,0.015759,200.000000,26,0,1,1,Cho2017,TS+LR
0.571224,0.016090,200.000000,27,0,1,1,Cho2017,TS+LR
0.438281,0.015182,200.000000,28,0,1,1,Cho2017,TS+LR
0.540286,0.015574,200.000000,29,0,1,1,Cho2017,TS+LR
0.537366,0.015458,200.000000,30,0,1,1,Cho2017,TS+LR
0.519662,0.015585,200.000000,31,0,1,1,Cho2017,TS+LR
0.432738,0.016953,200.000000,32,0,1,1,Cho2017,TS+LR
0.460394,0.015523,200.000000,33,0,1,1,Cho2017,TS+LR
0.518772,0.015320,200.000000,34,0,1,1,Cho2017,TS+LR
0.547532,0.015682,200.000000,35,0,1,1,Cho2017,TS+LR
0.511351,0.015477,200.000000,36,0,1,1,Cho2017,TS+LR
0.532329,0.016241,200.000000,37,0,1,1,Cho2017,TS+LR
0.500979,0.015414,200.000000,38,0,1,1,Cho2017,TS+LR
0.518608,0.015515,200.000000,39,0,1,1,Cho2017,TS+LR
0.465664,0.015772,200.000000,40,0,1,1,Cho2017,TS+LR
0.528731,0.015599,200.000000,41,0,1,1,Cho2017,TS+LR
0.487979,0.015416,200.000000,42,0,1,1,Cho2017,TS+LR
0.532695,0.015458,200.000000,43,0,1,1,Cho2017,TS+LR
0.528493,0.015295,200.000000,44,0,1,1,Cho2017,TS+LR
0.535711,0.015402,200.000000,45,0,1,1,Cho2017,TS+LR
0.508217,0.018534,240.000000,46,0,1,1,Cho2017,TS+LR
0.589887,0.015122,200.000000,47,0,1,1,Cho2017,TS+LR
0.522840,0.015426,200.000000,48,0,1,1,Cho2017,TS+LR
0.619485,0.015344,200.000000,49,0,1,1,Cho2017,TS+LR
0.481079,0.015171,200.000000,50,0,1,1,Cho2017,TS+LR
0.546146,0.015308,200.000000,51,0,1,1,Cho2017,TS+LR
0.506159,0.015333,200.000000,52,0,1,1,Cho2017,TS+LR
0.560597,0.003972,200.000000,1,0,1,1,Cho2017,CSP+SVM
0.512618,0.003964,200.000000,2,0,1,1,Cho2017,CSP+SVM
0.614711,0.003990,200.000000,3,0,1,1,Cho2017,CSP+SVM
0.470990,0.003950,200.000000,4,0,1,1,Cho2017,CSP+SVM
0.538376,0.003938,200.000000,5,0,1,1,Cho2017,CSP+SVM
0.448162,0.003945,200.000000,6,0,1,1,Cho2017,CSP+SVM
0.386365,0.004421,240.000000,7,0,1,1,Cho2017,CSP+SVM
0.470104,0.004279,200.000000,8,0,1,1,Cho2017,CSP+SVM
0.551009,0.004496,240.000000,9,0,1,1,Cho2017,CSP+SVM
0.609016,0.003991,200.000000,10,0,1,1,Cho2017,CSP+SVM
0.489065,0.003987,200.000000,11,0,1,1,Cho2017,CSP+SVM
0.562969,0.003984,200.000000,12,0,1,1,Cho2017,CSP+SVM
0.556643,0.003937,200.000000,13,0,1,1,Cho2017,CSP+SVM
0.512421,0.004107,200.000000,14,0,1,1,Cho2017,CSP+SVM
0.351392,0.004102,200.000000,15,0,1,1,Cho2017,CSP+SVM
0.572068,0.004069,200.000000,16,0,1,1,Cho2017,CSP+SVM
0.546501,0.004036,200.000000,17,0,1,1,Cho2017,CSP+SVM
0.457649,0.003978,200.000000,18,0,1,1,Cho2017,CSP+SVM
0.403913,0.003990,200.000000,19,0,1,1,Cho2017,CSP+SVM
0.570199,0.004005,200.000000,20,0,1,1,Cho2017,CSP+SVM
0.548468,0.004007,200.000000,21,0,1,1,Cho2017,CSP+SVM
0.579701,0.004074,200.000000,22,0,1,1,Cho2017,CSP+SVM
0.513708,0.004101,200.000000,23,0,1,1,Cho2017,CSP+SVM
0.523185,0.003981,200.000000,24,0,1,1,Cho2017,CSP+SVM
0.572425,0.003982,200.000000,25,0,1,1,Cho2017,CSP+SVM
0.564225,0.004076,200.000000,26,0,1,1,Cho2017,CSP+SVM
0.548001,0.004398,200.000000,27,0,1,1,Cho2017,CSP+SVM
0.365984,0.004151,200.000000,28,0,1,1,Cho2017,CSP+SVM
0.463039,0.004490,200.000000,29,0,1,1,Cho2017,CSP+SVM
0.525452,0.004067,200.000000,30,0,1,1,Cho2017,CSP+SVM
0.514407,0.004279,200.000000,31,0,1,1,Cho2017,CSP+SVM
0.436659,0.004111,200.000000,32,0,1,1,Cho2017,CSP+SVM
0.429988,0.004370,200.000000,33,0,1,1,Cho2017,CSP+SVM
0.532558,0.004096,200.000000,34,0,1,1,Cho2017,CSP+SVM
0.574754,0.004509,200.000000,35,0,1,1,Cho2017,CSP+SVM
0.447698,0.004083,200.000000,36,0,1,1,Cho2017,CSP+SVM
0.505497,0.004029,200.000000,37,0,1,1,Cho2017,CSP+SVM
0.497317,0.004094,200.000000,38,0,1,1,Cho2017,CSP+SVM
0.480682,0.004148,200.000000,39,0,1,1,Cho2017,CSP+SVM
0.524145,0.004127,200.000000,40,0,1,1,Cho2017,CSP+SVM
0.523303,0.004792,200.000000,41,0,1,1,Cho2017,CSP+SVM
0.470653,0.004122,200.000000,42,0,1,1,Cho2017,CSP+SVM
0.506702,0.004010,200.000000,43,0,1,1,Cho2017,CSP+SVM
0.424225,0.004028,200.000000,44,0,1,1,Cho2017,CSP+SVM
0.547522,0.004020,200.000000,45,0,1,1,Cho2017,CSP+SVM
0.436347,0.005020,240.000000,46,0,1,1,Cho2017,CSP+SVM
0.589887,0.004340,200.000000,47,0,1,1,Cho2017,CSP+SVM
0.483135,0.004039,200.000000,48,0,1,1,Cho2017,CSP+SVM
0.593564,0.003966,200.000000,49,0,1,1,Cho2017,CSP+SVM
0.429455,0.004042,200.000000,50,0,1,1,Cho2017,CSP+SVM
0.537413,0.004066,200.000000,51,0,1,1,Cho2017,CSP+SVM
