score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.878500,0.065975,200.000000,1,0,19,1,Cho2017,TS+SVM
0.584500,0.068681,200.000000,2,0,19,1,Cho2017,TS+SVM
0.905000,0.066569,200.000000,3,0,19,1,Cho2017,TS+SVM
0.837500,0.067248,200.000000,4,0,19,1,Cho2017,TS+SVM
0.770000,0.073152,200.000000,5,0,19,1,Cho2017,TS+SVM
0.595500,0.067059,200.000000,6,0,19,1,Cho2017,TS+SVM
0.534722,0.083207,240.000000,7,0,19,1,Cho2017,TS+SVM
0.553500,0.068957,200.000000,8,0,19,1,Cho2017,TS+SVM
0.750347,0.081477,240.000000,9,0,19,1,Cho2017,TS+SVM
0.808500,0.067947,200.000000,10,0,19,1,Cho2017,TS+SVM
0.701500,0.064517,200.000000,11,0,19,1,Cho2017,TS+SVM
0.821500,0.067713,200.000000,12,0,19,1,Cho2017,TS+SVM
0.779500,0.068530,200.000000,13,0,19,1,Cho2017,TS+SVM
0.995000,0.067651,200.000000,14,0,19,1,Cho2017,TS+SVM
0.701500,0.068390,200.000000,15,0,19,1,Cho2017,TS+SVM
0.507500,0.067216,200.000000,16,0,19,1,Cho2017,TS+SVM
0.483500,0.071228,200.000000,17,0,19,1,Cho2017,TS+SVM
0.615500,0.068024,200.000000,18,0,19,1,Cho2017,TS+SVM
0.729000,0.067964,200.000000,19,0,19,1,Cho2017,TS+SVM
0.704500,0.066247,200.000000,20,0,19,1,Cho2017,TS+SVM
0.810500,0.067281,200.000000,21,0,19,1,Cho2017,TS+SVM
0.591500,0.069530,200.000000,22,0,19,1,Cho2017,TS+SVM
0.775500,0.067899,200.000000,23,0,19,1,Cho2017,TS+SVM
0.701500,0.069734,200.000000,24,0,19,1,Cho2017,TS+SVM
0.695500,0.068780,200.000000,25,0,19,1,Cho2017,TS+SVM
0.691500,0.072139,200.000000,26,0,19,1,Cho2017,TS+SVM
0.657500,0.068922,200.000000,27,0,19,1,Cho2017,TS+SVM
0.671500,0.068646,200.000000,28,0,19,1,Cho2017,TS+SVM
0.509500,0.071429,200.000000,29,0,19,1,Cho2017,TS+SVM
0.680500,0.065517,200.000000,30,0,19,1,Cho2017,TS+SVM
0.694500,0.068233,200.000000,31,0,19,1,Cho2017,TS+SVM
0.559500,0.069163,200.000000,32,0,19,1,Cho2017,TS+SVM
0.632000,0.068509,200.000000,33,0,19,1,Cho2017,TS+SVM
0.598500,0.068282,200.000000,34,0,19,1,Cho2017,TS+SVM
0.887000,0.068287,200.000000,35,0,19,1,Cho2017,TS+SVM
0.678500,0.071285,200.000000,36,0,19,1,Cho2017,TS+SVM
0.786000,0.069584,200.000000,37,0,19,1,Cho2017,TS+SVM
0.585000,0.069743,200.000000,38,0,19,1,Cho2017,TS+SVM
0.767500,0.069143,200.000000,39,0,19,1,Cho2017,TS+SVM
0.617500,0.068357,200.000000,40,0,19,1,Cho2017,TS+SVM
0.917500,0.064561,200.000000,41,0,19,1,Cho2017,TS+SVM
0.682500,0.069516,200.000000,42,0,19,1,Cho2017,TS+SVM
0.996000,0.072679,200.000000,43,0,19,1,Cho2017,TS+SVM
0.611500,0.068793,200.000000,44,0,19,1,Cho2017,TS+SVM
0.619000,0.072551,200.000000,45,0,19,1,Cho2017,TS+SVM
0.814236,0.083399,240.000000,46,0,19,1,Cho2017,TS+SVM
0.728000,0.068187,200.000000,47,0,19,1,Cho2017,TS+SVM
0.805500,0.069382,200.000000,48,0,19,1,Cho2017,TS+SVM
0.786500,0.071720,200.000000,49,0,19,1,Cho2017,TS+SVM
0.923500,0.068656,200.000000,50,0,19,1,Cho2017,TS+SVM
0.548000,0.069856,200.000000,51,0,19,1,Cho2017,TS+SVM
0.676500,0.065903,200.000000,52,0,19,1,Cho2017,TS+SVM
0.904500,0.072408,200.000000,1,0,19,1,Cho2017,CSP+SVM
0.575500,0.076426,200.000000,2,0,19,1,Cho2017,CSP+SVM
0.894500,0.073042,200.000000,3,0,19,1,Cho2017,CSP+SVM
0.856500,0.072581,200.000000,4,0,19,1,Cho2017,CSP+SVM
0.783500,0.075562,200.000000,5,0,19,1,Cho2017,CSP+SVM
0.601000,0.073362,200.000000,6,0,19,1,Cho2017,CSP+SVM
0.527778,0.106927,240.000000,7,0,19,1,Cho2017,CSP+SVM
0.627500,0.072844,200.000000,8,0,19,1,Cho2017,CSP+SVM
0.777778,0.092671,240.000000,9,0,19,1,Cho2017,CSP+SVM
0.662500,0.073007,200.000000,10,0,19,1,Cho2017,CSP+SVM
0.670500,0.072695,200.000000,11,0,19,1,Cho2017,CSP+SVM
0.756000,0.073062,200.000000,12,0,19,1,Cho2017,CSP+SVM
0.737500,0.074722,200.000000,13,0,19,1,Cho2017,CSP+SVM
0.993500,0.073233,200.000000,14,0,19,1,Cho2017,CSP+SVM
0.762000,0.074743,200.000000,15,0,19,1,Cho2017,CSP+SVM
0.507500,0.073426,200.000000,16,0,19,1,Cho2017,CSP+SVM
0.461000,0.073662,200.000000,17,0,19,1,Cho2017,CSP+SVM
0.647000,0.073249,200.000000,18,0,19,1,Cho2017,CSP+SVM
0.655500,0.075687,200.000000,19,0,19,1,Cho2017,CSP+SVM
0.771500,0.075370,200.000000,20,0,19,1,Cho2017,CSP+SVM
0.764500,0.073491,200.000000,21,0,19,1,Cho2017,CSP+SVM
0.634000,0.077644,200.000000,22,0,19,1,Cho2017,CSP+SVM
0.772000,0.074608,200.000000,23,0,19,1,Cho2017,CSP+SVM
0.741500,0.075603,200.000000,24,0,19,1,Cho2017,CSP+SVM
0.691000,0.073679,200.000000,25,0,19,1,Cho2017,CSP+SVM
0.614000,0.080479,200.000000,26,0,19,1,Cho2017,CSP+SVM
0.567000,0.076690,200.000000,27,0,19,1,Cho2017,CSP+SVM
0.551500,0.073933,200.000000,28,0,19,1,Cho2017,CSP+SVM
0.460000,0.073471,200.000000,29,0,19,1,Cho2017,CSP+SVM
0.645500,0.075919,200.000000,30,0,19,1,Cho2017,CSP+SVM
0.805000,0.073851,200.000000,31,0,19,1,Cho2017,CSP+SVM
0.516000,0.080671,200.000000,32,0,19,1,Cho2017,CSP+SVM
