score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.789498,0.069790,200.000000,1,0,19,1,Cho2017,TS+SVM
0.584332,0.072028,200.000000,2,0,19,1,Cho2017,TS+SVM
0.799649,0.069410,200.000000,3,0,19,1,Cho2017,TS+SVM
0.733296,0.068258,200.000000,4,0,19,1,Cho2017,TS+SVM
0.676854,0.068381,200.000000,5,0,19,1,Cho2017,TS+SVM
0.568296,0.069521,200.000000,6,0,19,1,Cho2017,TS+SVM
0.539272,0.083447,240.000000,7,0,19,1,Cho2017,TS+SVM
0.561712,0.068725,200.000000,8,0,19,1,Cho2017,TS+SVM
0.686343,0.083864,240.000000,9,0,19,1,Cho2017,TS+SVM
0.724121,0.068701,200.000000,10,0,19,1,Cho2017,TS+SVM
0.679749,0.065733,200.000000,11,0,19,1,Cho2017,TS+SVM
0.733659,0.070385,200.000000,12,0,19,1,Cho2017,TS+SVM
0.689605,0.070342,200.000000,13,0,19,1,Cho2017,TS+SVM
0.959994,0.071376,200.000000,14,0,19,1,Cho2017,TS+SVM
0.657678,0.069844,200.000000,15,0,19,1,Cho2017,TS+SVM
0.544149,0.068724,200.000000,16,0,19,1,Cho2017,TS+SVM
0.508462,0.073709,200.000000,17,0,19,1,Cho2017,TS+SVM
0.623838,0.070705,200.000000,18,0,19,1,Cho2017,TS+SVM
0.653454,0.069343,200.000000,19,0,19,1,Cho2017,TS+SVM
0.642702,0.065275,200.000000,20,0,19,1,Cho2017,TS+SVM
0.744502,0.067975,200.000000,21,0,19,1,Cho2017,TS+SVM
0.539419,0.073293,200.000000,22,0,19,1,Cho2017,TS+SVM
0.732393,0.068740,200.000000,23,0,19,1,Cho2017,TS+SVM
0.641306,0.073763,200.000000,24,0,19,1,Cho2017,TS+SVM
0.659341,0.068481,200.000000,25,0,19,1,Cho2017,TS+SVM
0.636414,0.071135,200.000000,26,0,19,1,Cho2017,TS+SVM
0.605477,0.069122,200.000000,27,0,19,1,Cho2017,TS+SVM
0.629718,0.068351,200.000000,28,0,19,1,Cho2017,TS+SVM
0.482076,0.071715,200.000000,29,0,19,1,Cho2017,TS+SVM
0.630723,0.065598,200.000000,30,0,19,1,Cho2017,TS+SVM
0.630668,0.069505,200.000000,31,0,19,1,Cho2017,TS+SVM
0.552644,0.068213,200.000000,32,0,19,1,Cho2017,TS+SVM
0.577836,0.068979,200.000000,33,0,19,1,Cho2017,TS+SVM
0.576986,0.068507,200.000000,34,0,19,1,Cho2017,TS+SVM
0.796825,0.068224,200.000000,35,0,19,1,Cho2017,TS+SVM
0.642192,0.071614,200.000000,36,0,19,1,Cho2017,TS+SVM
0.719486,0.069043,200.000000,37,0,19,1,Cho2017,TS+SVM
0.552924,0.069039,200.000000,38,0,19,1,Cho2017,TS+SVM
0.703768,0.068103,200.000000,39,0,19,1,Cho2017,TS+SVM
0.551605,0.068812,200.000000,40,0,19,1,Cho2017,TS+SVM
0.809542,0.065116,200.000000,41,0,19,1,Cho2017,TS+SVM
0.627963,0.068049,200.000000,42,0,19,1,Cho2017,TS+SVM
0.964966,0.075593,200.000000,43,0,19,1,Cho2017,TS+SVM
0.568968,0.069162,200.000000,44,0,19,1,Cho2017,TS+SVM
0.577998,0.071801,200.000000,45,0,19,1,Cho2017,TS+SVM
0.741424,0.084205,240.000000,46,0,19,1,Cho2017,TS+SVM
0.673603,0.068046,200.000000,47,0,19,1,Cho2017,TS+SVM
0.748872,0.068872,200.000000,48,0,19,1,Cho2017,TS+SVM
0.754633,0.068405,200.000000,49,0,19,1,Cho2017,TS+SVM
0.849383,0.069945,200.000000,50,0,19,1,Cho2017,TS+SVM
0.554045,0.068306,200.000000,51,0,19,1,Cho2017,TS+SVM
0.607084,0.065087,200.000000,52,0,19,1,Cho2017,TS+SVM
0.814128,0.074998,200.000000,1,0,19,1,Cho2017,CSP+SVM
0.569123,0.076557,200.000000,2,0,19,1,Cho2017,CSP+SVM
0.824405,0.074436,200.000000,3,0,19,1,Cho2017,CSP+SVM
0.777904,0.074627,200.000000,4,0,19,1,Cho2017,CSP+SVM
0.728456,0.075328,200.000000,5,0,19,1,Cho2017,CSP+SVM
0.587544,0.074298,200.000000,6,0,19,1,Cho2017,CSP+SVM
0.500773,0.098466,240.000000,7,0,19,1,Cho2017,CSP+SVM
0.578790,0.074250,200.000000,8,0,19,1,Cho2017,CSP+SVM
0.665152,0.094878,240.000000,9,0,19,1,Cho2017,CSP+SVM
0.629007,0.077911,200.000000,10,0,19,1,Cho2017,CSP+SVM
0.636901,0.075899,200.000000,11,0,19,1,Cho2017,CSP+SVM
0.686671,0.074842,200.000000,12,0,19,1,Cho2017,CSP+SVM
0.687287,0.074718,200.000000,13,0,19,1,Cho2017,CSP+SVM
