score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.934500,0.027582,200.000000,1,0,7,1,Cho2017,TS+LR
0.469000,0.027512,200.000000,2,0,7,1,Cho2017,TS+LR
0.788500,0.027609,200.000000,3,0,7,1,Cho2017,TS+LR
0.706500,0.027434,200.000000,4,0,7,1,Cho2017,TS+LR
0.813500,0.027194,200.000000,5,0,7,1,Cho2017,TS+LR
0.634500,0.027727,200.000000,6,0,7,1,Cho2017,TS+LR
0.525347,0.032709,240.000000,7,0,7,1,Cho2017,TS+LR
0.616000,0.027780,200.000000,8,0,7,1,Cho2017,TS+LR
0.645486,0.033510,240.000000,9,0,7,1,Cho2017,TS+LR
0.685000,0.027622,200.000000,10,0,7,1,Cho2017,TS+LR
0.678000,0.027625,200.000000,11,0,7,1,Cho2017,TS+LR
0.744000,0.027888,200.000000,12,0,7,1,Cho2017,TS+LR
0.808000,0.028265,200.000000,13,0,7,1,Cho2017,TS+LR
0.936500,0.028184,200.000000,14,0,7,1,Cho2017,TS+LR
0.508500,0.028882,200.000000,15,0,7,1,Cho2017,TS+LR
0.552000,0.028292,200.000000,16,0,7,1,Cho2017,TS+LR
0.546500,0.027345,200.000000,17,0,7,1,Cho2017,TS+LR
0.737500,0.028762,200.000000,18,0,7,1,Cho2017,TS+LR
0.667000,0.028157,200.000000,19,0,7,1,Cho2017,TS+LR
0.749000,0.028238,200.000000,20,0,7,1,Cho2017,TS+LR
0.746000,0.028477,200.000000,21,0,7,1,Cho2017,TS+LR
0.634500,0.028581,200.000000,22,0,7,1,Cho2017,TS+LR
0.743500,0.028985,200.000000,23,0,7,1,Cho2017,TS+LR
0.812500,0.028100,200.000000,24,0,7,1,Cho2017,TS+LR
0.644000,0.028184,200.000000,25,0,7,1,Cho2017,TS+LR
0.606000,0.029871,200.000000,26,0,7,1,Cho2017,TS+LR
0.563500,0.028020,200.000000,27,0,7,1,Cho2017,TS+LR
0.610000,0.028538,200.000000,28,0,7,1,Cho2017,TS+LR
0.582500,0.028743,200.000000,29,0,7,1,Cho2017,TS+LR
0.643500,0.029120,200.000000,30,0,7,1,Cho2017,TS+LR
0.492000,0.029757,200.000000,31,0,7,1,Cho2017,TS+LR
0.543500,0.028814,200.000000,32,0,7,1,Cho2017,TS+LR
0.575000,0.028743,200.000000,33,0,7,1,Cho2017,TS+LR
0.513000,0.029157,200.000000,34,0,7,1,Cho2017,TS+LR
0.647000,0.029136,200.000000,35,0,7,1,Cho2017,TS+LR
0.666000,0.030779,200.000000,36,0,7,1,Cho2017,TS+LR
0.610500,0.030014,200.000000,37,0,7,1,Cho2017,TS+LR
0.568500,0.029226,200.000000,38,0,7,1,Cho2017,TS+LR
0.734000,0.029051,200.000000,39,0,7,1,Cho2017,TS+LR
0.548000,0.029524,200.000000,40,0,7,1,Cho2017,TS+LR
0.727500,0.028874,200.000000,41,0,7,1,Cho2017,TS+LR
0.507500,0.029541,200.000000,42,0,7,1,Cho2017,TS+LR
0.949000,0.029286,200.000000,43,0,7,1,Cho2017,TS+LR
0.475000,0.029008,200.000000,44,0,7,1,Cho2017,TS+LR
0.640000,0.030475,200.000000,45,0,7,1,Cho2017,TS+LR
0.724306,0.036645,240.000000,46,0,7,1,Cho2017,TS+LR
0.723000,0.029918,200.000000,47,0,7,1,Cho2017,TS+LR
0.761000,0.030678,200.000000,48,0,7,1,Cho2017,TS+LR
0.783000,0.029426,200.000000,49,0,7,1,Cho2017,TS+LR
0.828000,0.031423,200.000000,50,0,7,1,Cho2017,TS+LR
0.637000,0.030324,200.000000,51,0,7,1,Cho2017,TS+LR
0.699000,0.029045,200.000000,52,0,7,1,Cho2017,TS+LR
0.929000,0.027185,200.000000,1,0,7,1,Cho2017,TS+SVM
0.502000,0.027200,200.000000,2,0,7,1,Cho2017,TS+SVM
0.750500,0.028184,200.000000,3,0,7,1,Cho2017,TS+SVM
0.696000,0.027224,200.000000,4,0,7,1,Cho2017,TS+SVM
0.802500,0.027517,200.000000,5,0,7,1,Cho2017,TS+SVM
0.655500,0.027608,200.000000,6,0,7,1,Cho2017,TS+SVM
0.535069,0.032867,240.000000,7,0,7,1,Cho2017,TS+SVM
0.616500,0.027681,200.000000,8,0,7,1,Cho2017,TS+SVM
0.637153,0.033794,240.000000,9,0,7,1,Cho2017,TS+SVM
0.668000,0.027664,200.000000,10,0,7,1,Cho2017,TS+SVM
0.694000,0.028500,200.000000,11,0,7,1,Cho2017,TS+SVM
0.720000,0.027754,200.000000,12,0,7,1,Cho2017,TS+SVM
0.797000,0.029093,200.000000,13,0,7,1,Cho2017,TS+SVM
0.931000,0.027802,200.000000,14,0,7,1,Cho2017,TS+SVM
0.497000,0.028606,200.000000,15,0,7,1,Cho2017,TS+SVM
0.542500,0.028177,200.000000,16,0,7,1,Cho2017,TS+SVM
