score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.854733,0.029183,200.000000,1,0,7,1,Cho2017,TS+LR
0.465406,0.029825,200.000000,2,0,7,1,Cho2017,TS+LR
0.694027,0.029073,200.000000,3,0,7,1,Cho2017,TS+LR
0.641294,0.030086,200.000000,4,0,7,1,Cho2017,TS+LR
0.753929,0.030236,200.000000,5,0,7,1,Cho2017,TS+LR
0.561458,0.030188,200.000000,6,0,7,1,Cho2017,TS+LR
0.536547,0.035926,240.000000,7,0,7,1,Cho2017,TS+LR
0.604859,0.029503,200.000000,8,0,7,1,Cho2017,TS+LR
0.591998,0.036044,240.000000,9,0,7,1,Cho2017,TS+LR
0.631815,0.029535,200.000000,10,0,7,1,Cho2017,TS+LR
0.622201,0.032581,200.000000,11,0,7,1,Cho2017,TS+LR
0.641874,0.029558,200.000000,12,0,7,1,Cho2017,TS+LR
0.747371,0.030742,200.000000,13,0,7,1,Cho2017,TS+LR
0.844790,0.029602,200.000000,14,0,7,1,Cho2017,TS+LR
0.507362,0.030598,200.000000,15,0,7,1,Cho2017,TS+LR
0.555819,0.030800,200.000000,16,0,7,1,Cho2017,TS+LR
0.539562,0.028834,200.000000,17,0,7,1,Cho2017,TS+LR
0.667025,0.030217,200.000000,18,0,7,1,Cho2017,TS+LR
0.613439,0.029161,200.000000,19,0,7,1,Cho2017,TS+LR
0.687227,0.029424,200.000000,20,0,7,1,Cho2017,TS+LR
0.679078,0.029514,200.000000,21,0,7,1,Cho2017,TS+LR
0.614182,0.029430,200.000000,22,0,7,1,Cho2017,TS+LR
0.693013,0.029854,200.000000,23,0,7,1,Cho2017,TS+LR
0.722974,0.029393,200.000000,24,0,7,1,Cho2017,TS+LR
0.632602,0.031844,200.000000,25,0,7,1,Cho2017,TS+LR
0.567252,0.029465,200.000000,26,0,7,1,Cho2017,TS+LR
0.538005,0.028934,200.000000,27,0,7,1,Cho2017,TS+LR
0.574320,0.029016,200.000000,28,0,7,1,Cho2017,TS+LR
0.582620,0.029408,200.000000,29,0,7,1,Cho2017,TS+LR
0.592925,0.029319,200.000000,30,0,7,1,Cho2017,TS+LR
0.503963,0.029480,200.000000,31,0,7,1,Cho2017,TS+LR
0.527999,0.029474,200.000000,32,0,7,1,Cho2017,TS+LR
0.572920,0.029369,200.000000,33,0,7,1,Cho2017,TS+LR
0.528341,0.030796,200.000000,34,0,7,1,Cho2017,TS+LR
0.586146,0.029880,200.000000,35,0,7,1,Cho2017,TS+LR
0.613512,0.030340,200.000000,36,0,7,1,Cho2017,TS+LR
0.577519,0.029982,200.000000,37,0,7,1,Cho2017,TS+LR
0.543218,0.029445,200.000000,38,0,7,1,Cho2017,TS+LR
0.667778,0.029327,200.000000,39,0,7,1,Cho2017,TS+LR
0.531403,0.030062,200.000000,40,0,7,1,Cho2017,TS+LR
0.657360,0.029698,200.000000,41,0,7,1,Cho2017,TS+LR
0.513128,0.029383,200.000000,42,0,7,1,Cho2017,TS+LR
0.858661,0.029098,200.000000,43,0,7,1,Cho2017,TS+LR
0.489918,0.029340,200.000000,44,0,7,1,Cho2017,TS+LR
0.605948,0.029270,200.000000,45,0,7,1,Cho2017,TS+LR
0.694685,0.034803,240.000000,46,0,7,1,Cho2017,TS+LR
0.673187,0.029451,200.000000,47,0,7,1,Cho2017,TS+LR
0.669662,0.029208,200.000000,48,0,7,1,Cho2017,TS+LR
0.713055,0.029485,200.000000,49,0,7,1,Cho2017,TS+LR
0.773390,0.029009,200.000000,50,0,7,1,Cho2017,TS+LR
0.611490,0.029886,200.000000,51,0,7,1,Cho2017,TS+LR
0.617336,0.029291,200.000000,52,0,7,1,Cho2017,TS+LR
0.829736,0.029799,200.000000,1,0,7,1,Cho2017,TS+SVM
0.477078,0.030510,200.000000,2,0,7,1,Cho2017,TS+SVM
0.648675,0.030193,200.000000,3,0,7,1,Cho2017,TS+SVM
0.633212,0.030473,200.000000,4,0,7,1,Cho2017,TS+SVM
0.748678,0.032124,200.000000,5,0,7,1,Cho2017,TS+SVM
0.603212,0.030240,200.000000,6,0,7,1,Cho2017,TS+SVM
0.491899,0.036026,240.000000,7,0,7,1,Cho2017,TS+SVM
0.609360,0.030219,200.000000,8,0,7,1,Cho2017,TS+SVM
0.584531,0.036079,240.000000,9,0,7,1,Cho2017,TS+SVM
0.591622,0.030159,200.000000,10,0,7,1,Cho2017,TS+SVM
0.643474,0.032474,200.000000,11,0,7,1,Cho2017,TS+SVM
0.632107,0.030454,200.000000,12,0,7,1,Cho2017,TS+SVM
0.696244,0.032037,200.000000,13,0,7,1,Cho2017,TS+SVM
0.844677,0.029287,200.000000,14,0,7,1,Cho2017,TS+SVM
0.482606,0.032955,200.000000,15,0,7,1,Cho2017,TS+SVM
0.523753,0.029576,200.000000,16,0,7,1,Cho2017,TS+SVM
0.534709,0.028895,200.000000,17,0,7,1,Cho2017,TS+SVM
0.681420,0.030343,200.000000,18,0,7,1,Cho2017,TS+SVM
0.623583,0.029440,200.000000,19,0,7,1,Cho2017,TS+SVM
0.672386,0.029307,200.000000,20,0,7,1,Cho2017,TS+SVM
0.694715,0.029609,200.000000,21,0,7,1,Cho2017,TS+SVM
