score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.841000,0.028579,200.000000,1,0,7,1,Cho2017,TS+EL
0.556000,0.029037,200.000000,2,0,7,1,Cho2017,TS+EL
0.763500,0.030028,200.000000,3,0,7,1,Cho2017,TS+EL
0.591000,0.029310,200.000000,4,0,7,1,Cho2017,TS+EL
0.639500,0.029848,200.000000,5,0,7,1,Cho2017,TS+EL
0.622500,0.029216,200.000000,6,0,7,1,Cho2017,TS+EL
0.595139,0.035261,240.000000,7,0,7,1,Cho2017,TS+EL
0.585000,0.029011,200.000000,8,0,7,1,Cho2017,TS+EL
0.571528,0.034874,240.000000,9,0,7,1,Cho2017,TS+EL
0.618500,0.029340,200.000000,10,0,7,1,Cho2017,TS+EL
0.710000,0.029483,200.000000,11,0,7,1,Cho2017,TS+EL
0.716500,0.029351,200.000000,12,0,7,1,Cho2017,TS+EL
0.787000,0.029311,200.000000,13,0,7,1,Cho2017,TS+EL
0.726500,0.030395,200.000000,14,0,7,1,Cho2017,TS+EL
0.445000,0.031004,200.000000,15,0,7,1,Cho2017,TS+EL
0.550000,0.029407,200.000000,16,0,7,1,Cho2017,TS+EL
0.592000,0.031200,200.000000,17,0,7,1,Cho2017,TS+EL
0.578000,0.030369,200.000000,18,0,7,1,Cho2017,TS+EL
0.594500,0.030439,200.000000,19,0,7,1,Cho2017,TS+EL
0.770500,0.030016,200.000000,20,0,7,1,Cho2017,TS+EL
0.605500,0.030385,200.000000,21,0,7,1,Cho2017,TS+EL
0.601500,0.029906,200.000000,22,0,7,1,Cho2017,TS+EL
0.627500,0.030566,200.000000,23,0,7,1,Cho2017,TS+EL
0.760500,0.029982,200.000000,24,0,7,1,Cho2017,TS+EL
0.616000,0.029371,200.000000,25,0,7,1,Cho2017,TS+EL
0.541000,0.029655,200.000000,26,0,7,1,Cho2017,TS+EL
0.550500,0.029137,200.000000,27,0,7,1,Cho2017,TS+EL
