score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.779058,0.029891,200.000000,1,0,7,1,Cho2017,TS+EL
0.554043,0.029981,200.000000,2,0,7,1,Cho2017,TS+EL
0.683284,0.030991,200.000000,3,0,7,1,Cho2017,TS+EL
0.563068,0.030404,200.000000,4,0,7,1,Cho2017,TS+EL
0.599518,0.030232,200.000000,5,0,7,1,Cho2017,TS+EL
0.606750,0.029551,200.000000,6,0,7,1,Cho2017,TS+EL
0.606487,0.035950,240.000000,7,0,7,1,Cho2017,TS+EL
0.564575,0.030072,200.000000,8,0,7,1,Cho2017,TS+EL
0.551585,0.035448,240.000000,9,0,7,1,Cho2017,TS+EL
0.602687,0.029881,200.000000,10,0,7,1,Cho2017,TS+EL
0.613773,0.029950,200.000000,11,0,7,1,Cho2017,TS+EL
0.650241,0.029615,200.000000,12,0,7,1,Cho2017,TS+EL
0.675718,0.030515,200.000000,13,0,7,1,Cho2017,TS+EL
0.618658,0.030882,200.000000,14,0,7,1,Cho2017,TS+EL
0.421858,0.030785,200.000000,15,0,7,1,Cho2017,TS+EL
0.525346,0.029697,200.000000,16,0,7,1,Cho2017,TS+EL
0.588233,0.031120,200.000000,17,0,7,1,Cho2017,TS+EL
0.580838,0.030958,200.000000,18,0,7,1,Cho2017,TS+EL
0.602359,0.030944,200.000000,19,0,7,1,Cho2017,TS+EL
0.660188,0.029973,200.000000,20,0,7,1,Cho2017,TS+EL
0.572970,0.030486,200.000000,21,0,7,1,Cho2017,TS+EL
0.577204,0.029742,200.000000,22,0,7,1,Cho2017,TS+EL
0.570825,0.030333,200.000000,23,0,7,1,Cho2017,TS+EL
0.704380,0.030315,200.000000,24,0,7,1,Cho2017,TS+EL
0.562020,0.029795,200.000000,25,0,7,1,Cho2017,TS+EL
0.544288,0.029709,200.000000,26,0,7,1,Cho2017,TS+EL
0.503206,0.029024,200.000000,27,0,7,1,Cho2017,TS+EL
0.554383,0.029997,200.000000,28,0,7,1,Cho2017,TS+EL
0.543643,0.030547,200.000000,29,0,7,1,Cho2017,TS+EL
0.547653,0.029620,200.000000,30,0,7,1,Cho2017,TS+EL
0.466547,0.030673,200.000000,31,0,7,1,Cho2017,TS+EL
0.507107,0.029718,200.000000,32,0,7,1,Cho2017,TS+EL
0.631925,0.030249,200.000000,33,0,7,1,Cho2017,TS+EL
0.505639,0.029794,200.000000,34,0,7,1,Cho2017,TS+EL
0.558376,0.029768,200.000000,35,0,7,1,Cho2017,TS+EL
0.517132,0.029889,200.000000,36,0,7,1,Cho2017,TS+EL
0.603769,0.029147,200.000000,37,0,7,1,Cho2017,TS+EL
0.553477,0.030478,200.000000,38,0,7,1,Cho2017,TS+EL
0.669294,0.031289,200.000000,39,0,7,1,Cho2017,TS+EL
0.553632,0.030707,200.000000,40,0,7,1,Cho2017,TS+EL
0.628633,0.029902,200.000000,41,0,7,1,Cho2017,TS+EL
0.449311,0.029556,200.000000,42,0,7,1,Cho2017,TS+EL
0.759737,0.029758,200.000000,43,0,7,1,Cho2017,TS+EL
0.541389,0.031905,200.000000,44,0,7,1,Cho2017,TS+EL
0.543279,0.031959,200.000000,45,0,7,1,Cho2017,TS+EL
0.732457,0.036051,240.000000,46,0,7,1,Cho2017,TS+EL
0.597637,0.029758,200.000000,47,0,7,1,Cho2017,TS+EL
0.588809,0.030851,200.000000,48,0,7,1,Cho2017,TS+EL
0.691824,0.030377,200.000000,49,0,7,1,Cho2017,TS+EL
0.724247,0.030177,200.000000,50,0,7,1,Cho2017,TS+EL
0.536527,0.030566,200.000000,51,0,7,1,Cho2017,TS+EL
0.623244,0.029979,200.000000,52,0,7,1,Cho2017,TS+EL
0.769348,0.029779,200.000000,1,0,7,1,Cho2017,TS+LR
0.554225,0.029511,200.000000,2,0,7,1,Cho2017,TS+LR
0.677376,0.029974,200.000000,3,0,7,1,Cho2017,TS+LR
0.567771,0.029469,200.000000,4,0,7,1,Cho2017,TS+LR
0.583319,0.029584,200.000000,5,0,7,1,Cho2017,TS+LR
0.622933,0.029603,200.000000,6,0,7,1,Cho2017,TS+LR
0.593869,0.034870,240.000000,7,0,7,1,Cho2017,TS+LR
0.582255,0.029570,200.000000,8,0,7,1,Cho2017,TS+LR
0.556944,0.035314,240.000000,9,0,7,1,Cho2017,TS+LR
0.602825,0.029256,200.000000,10,0,7,1,Cho2017,TS+LR
0.613804,0.029810,200.000000,11,0,7,1,Cho2017,TS+LR
0.677290,0.029419,200.000000,12,0,7,1,Cho2017,TS+LR
0.681271,0.029478,200.000000,13,0,7,1,Cho2017,TS+LR
0.623243,0.030276,200.000000,14,0,7,1,Cho2017,TS+LR
0.432451,0.029905,200.000000,15,0,7,1,Cho2017,TS+LR
0.524281,0.029837,200.000000,16,0,7,1,Cho2017,TS+LR
0.554295,0.030002,200.000000,17,0,7,1,Cho2017,TS+LR
0.546026,0.030014,200.000000,18,0,7,1,Cho2017,TS+LR
0.603215,0.030415,200.000000,19,0,7,1,Cho2017,TS+LR
0.654621,0.029242,200.000000,20,0,7,1,Cho2017,TS+LR
0.592709,0.030011,200.000000,21,0,7,1,Cho2017,TS+LR
0.602470,0.029488,200.000000,22,0,7,1,Cho2017,TS+LR
0.569604,0.029982,200.000000,23,0,7,1,Cho2017,TS+LR
0.729598,0.029729,200.000000,24,0,7,1,Cho2017,TS+LR
0.545386,0.029517,200.000000,25,0,7,1,Cho2017,TS+LR
0.509134,0.029502,200.000000,26,0,7,1,Cho2017,TS+LR
0.525898,0.028932,200.000000,27,0,7,1,Cho2017,TS+LR
0.563574,0.029464,200.000000,28,0,7,1,Cho2017,TS+LR
0.587769,0.030205,200.000000,29,0,7,1,Cho2017,TS+LR
0.557777,0.029371,200.000000,30,0,7,1,Cho2017,TS+LR
0.457601,0.030344,200.000000,31,0,7,1,Cho2017,TS+LR
0.501676,0.029382,200.000000,32,0,7,1,Cho2017,TS+LR
0.613291,0.029630,200.000000,33,0,7,1,Cho2017,TS+LR
0.508018,0.029143,200.000000,34,0,7,1,Cho2017,TS+LR
0.523471,0.029255,200.000000,35,0,7,1,Cho2017,TS+LR
0.558068,0.029208,200.000000,36,0,7,1,Cho2017,TS+LR
0.582977,0.028640,200.000000,37,0,7,1,Cho2017,TS+LR
0.538662,0.030177,200.000000,38,0,7,1,Cho2017,TS+LR
0.674394,0.030070,200.000000,39,0,7,1,Cho2017,TS+LR
0.588014,0.030006,200.000000,40,0,7,1,Cho2017,TS+LR
0.649059,0.029284,200.000000,41,0,7,1,Cho2017,TS+LR
0.437689,0.029107,200.000000,42,0,7,1,Cho2017,TS+LR
0.749900,0.029421,200.000000,43,0,7,1,Cho2017,TS+LR
0.579886,0.030266,200.000000,44,0,7,1,Cho2017,TS+LR
0.542446,0.030238,200.000000,45,0,7,1,Cho2017,TS+LR
0.723733,0.035048,240.000000,46,0,7,1,Cho2017,TS+LR
0.628230,0.029120,200.000000,47,0,7,1,Cho2017,TS+LR
0.603733,0.029901,200.000000,48,0,7,1,Cho2017,TS+LR
0.682393,0.029434,200.000000,49,0,7,1,Cho2017,TS+LR
0.714288,0.029984,200.000000,50,0,7,1,Cho2017,TS+LR
0.552661,0.030156,200.000000,51,0,7,1,Cho2017,TS+LR
0.629228,0.029362,200.000000,52,0,7,1,Cho2017,TS+LR
0.732192,0.022760,200.000000,1,0,7,1,Cho2017,CSP+SVM
0.543249,0.022988,200.000000,2,0,7,1,Cho2017,CSP+SVM
0.690391,0.022937,200.000000,3,0,7,1,Cho2017,CSP+SVM
0.587041,0.022982,200.000000,4,0,7,1,Cho2017,CSP+SVM
0.582775,0.022965,200.000000,5,0,7,1,Cho2017,CSP+SVM
0.536058,0.022698,200.000000,6,0,7,1,Cho2017,CSP+SVM
0.572690,0.027029,240.000000,7,0,7,1,Cho2017,CSP+SVM
0.602415,0.023004,200.000000,8,0,7,1,Cho2017,CSP+SVM
0.519733,0.026858,240.000000,9,0,7,1,Cho2017,CSP+SVM
0.604357,0.022827,200.000000,10,0,7,1,Cho2017,CSP+SVM
0.592372,0.023105,200.000000,11,0,7,1,Cho2017,CSP+SVM
0.681517,0.023032,200.000000,12,0,7,1,Cho2017,CSP+SVM
0.696129,0.023036,200.000000,13,0,7,1,Cho2017,CSP+SVM
0.625771,0.023877,200.000000,14,0,7,1,Cho2017,CSP+SVM
0.401444,0.022824,200.000000,15,0,7,1,Cho2017,CSP+SVM
0.494850,0.022808,200.000000,16,0,7,1,Cho2017,CSP+SVM
0.567103,0.025411,200.000000,17,0,7,1,Cho2017,CSP+SVM
0.479738,0.022810,200.000000,18,0,7,1,Cho2017,CSP+SVM
0.508512,0.022874,200.000000,19,0,7,1,Cho2017,CSP+SVM
0.683338,0.022959,200.000000,20,0,7,1,Cho2017,CSP+SVM
0.534002,0.023098,200.000000,21,0,7,1,Cho2017,CSP+SVM
0.564656,0.022799,200.000000,22,0,7,1,Cho2017,CSP+SVM
0.581725,0.022637,200.000000,23,0,7,1,Cho2017,CSP+SVM
0.692771,0.022773,200.000000,24,0,7,1,Cho2017,CSP+SVM
0.546221,0.022645,200.000000,25,0,7,1,Cho2017,CSP+SVM
0.566634,0.022885,200.000000,26,0,7,1,Cho2017,CSP+SVM
0.538476,0.022847,200.000000,27,0,7,1,Cho2017,CSP+SVM
0.535284,0.022803,200.000000,28,0,7,1,Cho2017,CSP+SVM
0.561205,0.023141,200.000000,29,0,7,1,Cho2017,CSP+SVM
0.496052,0.022993,200.000000,30,0,7,1,Cho2017,CSP+SVM
0.503761,0.022745,200.000000,31,0,7,1,Cho2017,CSP+SVM
0.501521,0.022825,200.000000,32,0,7,1,Cho2017,CSP+SVM
0.542788,0.022777,200.000000,33,0,7,1,Cho2017,CSP+SVM
0.528729,0.022961,200.000000,34,0,7,1,Cho2017,CSP+SVM
0.532280,0.022782,200.000000,35,0,7,1,Cho2017,CSP+SVM
0.562851,0.023064,200.000000,36,0,7,1,Cho2017,CSP+SVM
0.588271,0.022907,200.000000,37,0,7,1,Cho2017,CSP+SVM
0.494577,0.023062,200.000000,38,0,7,1,Cho2017,CSP+SVM
0.647650,0.023029,200.000000,39,0,7,1,Cho2017,CSP+SVM
0.496861,0.023016,200.000000,40,0,7,1,Cho2017,CSP+SVM
0.589468,0.022850,200.000000,41,0,7,1,Cho2017,CSP+SVM
0.479523,0.022677,200.000000,42,0,7,1,Cho2017,CSP+SVM
0.709062,0.022971,200.000000,43,0,7,1,Cho2017,CSP+SVM
0.498966,0.023245,200.000000,44,0,7,1,Cho2017,CSP+SVM
0.578018,0.023361,200.000000,45,0,7,1,Cho2017,CSP+SVM
0.703139,0.027677,240.000000,46,0,7,1,Cho2017,CSP+SVM
0.648143,0.022712,200.000000,47,0,7,1,Cho2017,CSP+SVM
0.588316,0.022922,200.000000,48,0,7,1,Cho2017,CSP+SVM
0.703945,0.022949,200.000000,49,0,7,1,Cho2017,CSP+SVM
0.769649,0.023192,200.000000,50,0,7,1,Cho2017,CSP+SVM
0.503699,0.022893,200.000000,51,0,7,1,Cho2017,CSP+SVM
0.583936,0.023023,200.000000,52,0,7,1,Cho2017,CSP+SVM
0.779257,0.029456,200.000000,1,0,7,1,Cho2017,TS+SVM
0.575104,0.029854,200.000000,2,0,7,1,Cho2017,TS+SVM
0.675901,0.030076,200.000000,3,0,7,1,Cho2017,TS+SVM
0.536771,0.029509,200.000000,4,0,7,1,Cho2017,TS+SVM
0.572813,0.029504,200.000000,5,0,7,1,Cho2017,TS+SVM
0.602420,0.029378,200.000000,6,0,7,1,Cho2017,TS+SVM
0.576857,0.035255,240.000000,7,0,7,1,Cho2017,TS+SVM
0.512346,0.029659,200.000000,8,0,7,1,Cho2017,TS+SVM
0.580895,0.035180,240.000000,9,0,7,1,Cho2017,TS+SVM
0.581660,0.029997,200.000000,10,0,7,1,Cho2017,TS+SVM
0.578508,0.029798,200.000000,11,0,7,1,Cho2017,TS+SVM
0.618306,0.029530,200.000000,12,0,7,1,Cho2017,TS+SVM
0.684330,0.029370,200.000000,13,0,7,1,Cho2017,TS+SVM
0.620888,0.030977,200.000000,14,0,7,1,Cho2017,TS+SVM
0.470668,0.030470,200.000000,15,0,7,1,Cho2017,TS+SVM
0.525733,0.029735,200.000000,16,0,7,1,Cho2017,TS+SVM
0.539078,0.030539,200.000000,17,0,7,1,Cho2017,TS+SVM
0.509381,0.029959,200.000000,18,0,7,1,Cho2017,TS+SVM
0.568719,0.030495,200.000000,19,0,7,1,Cho2017,TS+SVM
0.666513,0.029437,200.000000,20,0,7,1,Cho2017,TS+SVM
0.587592,0.030217,200.000000,21,0,7,1,Cho2017,TS+SVM
0.583316,0.029355,200.000000,22,0,7,1,Cho2017,TS+SVM
0.548851,0.029832,200.000000,23,0,7,1,Cho2017,TS+SVM
0.709304,0.029926,200.000000,24,0,7,1,Cho2017,TS+SVM
0.528771,0.029764,200.000000,25,0,7,1,Cho2017,TS+SVM
0.534042,0.029492,200.000000,26,0,7,1,Cho2017,TS+SVM
0.497176,0.028989,200.000000,27,0,7,1,Cho2017,TS+SVM
0.574150,0.029402,200.000000,28,0,7,1,Cho2017,TS+SVM
0.561708,0.030640,200.000000,29,0,7,1,Cho2017,TS+SVM
0.537206,0.029692,200.000000,30,0,7,1,Cho2017,TS+SVM
0.483147,0.030064,200.000000,31,0,7,1,Cho2017,TS+SVM
0.505160,0.029369,200.000000,32,0,7,1,Cho2017,TS+SVM
0.594250,0.029571,200.000000,33,0,7,1,Cho2017,TS+SVM
0.494999,0.029397,200.000000,34,0,7,1,Cho2017,TS+SVM
0.538650,0.029357,200.000000,35,0,7,1,Cho2017,TS+SVM
0.507778,0.029520,200.000000,36,0,7,1,Cho2017,TS+SVM
0.613991,0.028821,200.000000,37,0,7,1,Cho2017,TS+SVM
0.531038,0.030114,200.000000,38,0,7,1,Cho2017,TS+SVM
0.667880,0.030025,200.000000,39,0,7,1,Cho2017,TS+SVM
0.573160,0.030328,200.000000,40,0,7,1,Cho2017,TS+SVM
0.593942,0.029559,200.000000,41,0,7,1,Cho2017,TS+SVM
