Exp_id,Mask,Price,Form,N_ch,CSP+LDA_AUC,CSP+LDA_F1,CSP+SVM_AUC,CSP+SVM_F1,TS+LR_AUC,TS+LR_F1,TS+SVM_AUC,TS+SVM_F1,TS+EL_AUC,TS+EL_F1
20251227_1159_FULL_CHO_multi_pipes,FULL_CHO,,Cap,64,70.56 ± 15.05,65.77 ± 12.61,70.55 ± 14.94,65.28 ± 12.78,74.71 ± 13.70,68.86 ± 12.29,74.70 ± 13.66,68.77 ± 12.29,75.38 ± 14.55,69.51 ± 12.70
20260113_1610_EMOTIV_FLEX_multi_pipes,EMOTIV_FLEX,1900.0,Cap,28,71.06 ± 13.75,65.95 ± 11.86,71.26 ± 13.64,66.19 ± 11.48,74.87 ± 13.25,69.54 ± 11.63,73.13 ± 13.25,67.74 ± 12.00,75.43 ± 13.26,69.65 ± 11.60
20251228_1122_EMOTIV_EPOCH_X_multi_pipes,EMOTIV_EPOCH_X,1200.0,Helmet,14,62.42 ± 12.17,58.99 ± 9.71,62.27 ± 12.26,58.49 ± 10.15,66.70 ± 12.41,61.96 ± 10.04,65.42 ± 12.02,60.85 ± 9.77,66.43 ± 12.67,61.93 ± 10.24
20251228_1129_EMOTIV_INSIGHT_multi_pipes,EMOTIV_INSIGHT,600.0,Helmet,5,57.91 ± 9.26,55.36 ± 6.96,57.57 ± 9.36,54.42 ± 7.40,61.16 ± 9.95,57.74 ± 7.74,61.12 ± 10.03,57.57 ± 8.01,60.86 ± 10.20,57.81 ± 8.12
20251228_1139_EMOTIV_MN8_multi_pipes,EMOTIV_MN8,480.0,Headphones,2,53.77 ± 6.65,52.28 ± 5.00,53.50 ± 6.53,51.00 ± 5.75,53.91 ± 7.11,52.20 ± 5.62,53.89 ± 7.02,51.68 ± 5.97,53.69 ± 7.15,51.96 ± 5.81
20251228_1143_ULTRACORTEX_16_multi_pipes,ULTRACORTEX_16,600.0,Helmet,16,68.85 ± 13.40,64.16 ± 11.55,68.83 ± 13.40,64.07 ± 11.52,72.41 ± 12.52,66.64 ± 10.94,70.50 ± 11.80,64.93 ± 10.21,72.72 ± 12.54,67.20 ± 11.05
20251228_1150_ULTRACORTEX_8_multi_pipes,ULTRACORTEX_8,450.0,Helmet,8,67.74 ± 11.74,63.18 ± 10.16,67.78 ± 11.68,63.75 ± 9.94,69.71 ± 11.46,64.98 ± 10.09,69.12 ± 11.52,64.05 ± 9.94,69.99 ± 11.43,64.96 ± 9.89
20251228_1156_GTEC_UNICORN_HYBRID_multi_pipes,GTEC_UNICORN_HYBRID,1200.0,Cap,8,68.78 ± 12.36,64.57 ± 10.48,68.76 ± 12.26,64.23 ± 10.76,70.13 ± 12.28,65.25 ± 10.72,69.08 ± 12.35,63.89 ± 10.28,70.21 ± 12.24,65.10 ± 10.60
20251228_1201_BITBRAIN_DIADEM_multi_pipes,BITBRAIN_DIADEM,14200.0,Helmet,12,65.30 ± 11.70,61.18 ± 9.29,65.17 ± 11.45,60.92 ± 9.49,69.09 ± 11.28,63.96 ± 9.28,67.89 ± 11.01,63.21 ± 8.95,69.33 ± 11.51,64.11 ± 9.54
20251228_1207_BITBRAIN_AIR_multi_pipes,BITBRAIN_AIR,6100.0,Helmet,8,61.75 ± 10.07,58.37 ± 8.20,61.44 ± 10.30,57.82 ± 8.33,63.26 ± 10.90,58.89 ± 8.67,62.71 ± 10.83,58.83 ± 8.90,63.13 ± 11.32,59.05 ± 8.98
20251228_1212_BITBRAIN_HERO_multi_pipes,BITBRAIN_HERO,14200.0,Helmet,9,68.01 ± 14.61,63.34 ± 12.11,67.92 ± 14.63,63.26 ± 12.24,70.23 ± 13.57,65.42 ± 11.13,69.29 ± 13.42,64.39 ± 11.43,70.09 ± 13.54,65.22 ± 11.34
