score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.767900,65.480972,10320.000000,1,0,64,1,Cho2017,CSP+SVM
0.561600,65.995354,10320.000000,2,0,64,1,Cho2017,CSP+SVM
0.854600,65.606651,10320.000000,3,0,64,1,Cho2017,CSP+SVM
0.792400,64.999794,10320.000000,4,0,64,1,Cho2017,CSP+SVM
0.603600,64.434647,10320.000000,5,0,64,1,Cho2017,CSP+SVM
0.547300,65.379883,10320.000000,6,0,64,1,Cho2017,CSP+SVM
0.498611,65.439590,10280.000000,7,0,64,1,Cho2017,CSP+SVM
0.547500,65.421989,10320.000000,8,0,64,1,Cho2017,CSP+SVM
0.711042,65.543129,10280.000000,9,0,64,1,Cho2017,CSP+SVM
0.862200,64.597359,10320.000000,10,0,64,1,Cho2017,CSP+SVM
0.650300,64.694954,10320.000000,11,0,64,1,Cho2017,CSP+SVM
0.739000,63.598804,10320.000000,12,0,64,1,Cho2017,CSP+SVM
0.506700,64.391083,10320.000000,13,0,64,1,Cho2017,CSP+SVM
0.981900,64.247276,10320.000000,14,0,64,1,Cho2017,CSP+SVM
0.694000,66.115822,10320.000000,15,0,64,1,Cho2017,CSP+SVM
0.623800,65.944237,10320.000000,16,0,64,1,Cho2017,CSP+SVM
0.546700,65.225555,10320.000000,17,0,64,1,Cho2017,CSP+SVM
0.642200,64.311897,10320.000000,18,0,64,1,Cho2017,CSP+SVM
0.717400,64.310226,10320.000000,19,0,64,1,Cho2017,CSP+SVM
0.706900,65.034889,10320.000000,20,0,64,1,Cho2017,CSP+SVM
0.705500,64.693138,10320.000000,21,0,64,1,Cho2017,CSP+SVM
0.724200,64.456757,10320.000000,22,0,64,1,Cho2017,CSP+SVM
0.852300,64.235580,10320.000000,23,0,64,1,Cho2017,CSP+SVM
0.761900,65.320724,10320.000000,24,0,64,1,Cho2017,CSP+SVM
0.672900,66.225433,10320.000000,25,0,64,1,Cho2017,CSP+SVM
0.639200,65.794228,10320.000000,26,0,64,1,Cho2017,CSP+SVM
0.538100,65.580933,10320.000000,27,0,64,1,Cho2017,CSP+SVM
0.451200,65.914978,10320.000000,28,0,64,1,Cho2017,CSP+SVM
0.570100,64.445091,10320.000000,29,0,64,1,Cho2017,CSP+SVM
0.721200,65.305885,10320.000000,30,0,64,1,Cho2017,CSP+SVM
0.676200,65.281448,10320.000000,31,0,64,1,Cho2017,CSP+SVM
0.487900,65.755974,10320.000000,32,0,64,1,Cho2017,CSP+SVM
0.608700,64.187805,10320.000000,33,0,64,1,Cho2017,CSP+SVM
0.550300,64.418022,10320.000000,34,0,64,1,Cho2017,CSP+SVM
0.355700,64.541496,10320.000000,35,0,64,1,Cho2017,CSP+SVM
0.720800,65.728088,10320.000000,36,0,64,1,Cho2017,CSP+SVM
0.623100,64.829269,10320.000000,37,0,64,1,Cho2017,CSP+SVM
0.616200,65.754433,10320.000000,38,0,64,1,Cho2017,CSP+SVM
0.627000,65.568283,10320.000000,39,0,64,1,Cho2017,CSP+SVM
0.575900,63.970493,10320.000000,40,0,64,1,Cho2017,CSP+SVM
0.866700,64.737923,10320.000000,41,0,64,1,Cho2017,CSP+SVM
0.674700,65.791641,10320.000000,42,0,64,1,Cho2017,CSP+SVM
0.991100,66.058723,10320.000000,43,0,64,1,Cho2017,CSP+SVM
0.633600,64.319084,10320.000000,44,0,64,1,Cho2017,CSP+SVM
0.644900,64.779327,10320.000000,45,0,64,1,Cho2017,CSP+SVM
0.635764,64.830063,10280.000000,46,0,64,1,Cho2017,CSP+SVM
0.667300,65.077408,10320.000000,47,0,64,1,Cho2017,CSP+SVM
0.785600,64.905144,10320.000000,48,0,64,1,Cho2017,CSP+SVM
0.709200,65.376343,10320.000000,49,0,64,1,Cho2017,CSP+SVM
0.506900,65.041740,10320.000000,50,0,64,1,Cho2017,CSP+SVM
0.644900,63.977966,10320.000000,51,0,64,1,Cho2017,CSP+SVM
0.749500,66.188866,10320.000000,52,0,64,1,Cho2017,CSP+SVM
