score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.516604,41.634026,10320.000000,1,0,64,1,Cho2017,TS+EL
0.528876,41.861279,10320.000000,2,0,64,1,Cho2017,TS+EL
0.794954,41.805195,10320.000000,3,0,64,1,Cho2017,TS+EL
0.688450,42.140327,10320.000000,4,0,64,1,Cho2017,TS+EL
0.403856,42.148788,10320.000000,5,0,64,1,Cho2017,TS+EL
0.617552,41.952534,10320.000000,6,0,64,1,Cho2017,TS+EL
0.464560,42.347263,10280.000000,7,0,64,1,Cho2017,TS+EL
0.552000,42.641571,10320.000000,8,0,64,1,Cho2017,TS+EL
0.631259,41.699509,10280.000000,9,0,64,1,Cho2017,TS+EL
0.694381,42.029873,10320.000000,10,0,64,1,Cho2017,TS+EL
0.613366,42.317898,10320.000000,11,0,64,1,Cho2017,TS+EL
0.589255,42.052734,10320.000000,12,0,64,1,Cho2017,TS+EL
0.599782,42.026592,10320.000000,13,0,64,1,Cho2017,TS+EL
0.748928,42.052135,10320.000000,14,0,64,1,Cho2017,TS+EL
0.610000,42.430977,10320.000000,15,0,64,1,Cho2017,TS+EL
0.391172,42.500126,10320.000000,16,0,64,1,Cho2017,TS+EL
0.478697,42.610363,10320.000000,17,0,64,1,Cho2017,TS+EL
0.492865,42.207497,10320.000000,18,0,64,1,Cho2017,TS+EL
0.674233,42.356228,10320.000000,19,0,64,1,Cho2017,TS+EL
0.551048,41.718784,10320.000000,20,0,64,1,Cho2017,TS+EL
0.641927,41.787067,10320.000000,21,0,64,1,Cho2017,TS+EL
0.637060,42.029041,10320.000000,22,0,64,1,Cho2017,TS+EL
0.752269,42.052303,10320.000000,23,0,64,1,Cho2017,TS+EL
0.631676,42.076202,10320.000000,24,0,64,1,Cho2017,TS+EL
0.544271,41.654312,10320.000000,25,0,64,1,Cho2017,TS+EL
0.577296,42.032700,10320.000000,26,0,64,1,Cho2017,TS+EL
0.674014,42.120708,10320.000000,27,0,64,1,Cho2017,TS+EL
0.325326,42.592804,10320.000000,28,0,64,1,Cho2017,TS+EL
0.540941,41.964546,10320.000000,29,0,64,1,Cho2017,TS+EL
0.595960,41.848526,10320.000000,30,0,64,1,Cho2017,TS+EL
0.558499,42.362114,10320.000000,31,0,64,1,Cho2017,TS+EL
0.435028,42.172337,10320.000000,32,0,64,1,Cho2017,TS+EL
0.550039,42.243027,10320.000000,33,0,64,1,Cho2017,TS+EL
0.392857,42.722584,10320.000000,34,0,64,1,Cho2017,TS+EL
0.489796,42.351913,10320.000000,35,0,64,1,Cho2017,TS+EL
0.564486,41.757057,10320.000000,36,0,64,1,Cho2017,TS+EL
0.488232,42.351414,10320.000000,37,0,64,1,Cho2017,TS+EL
0.477333,42.340668,10320.000000,38,0,64,1,Cho2017,TS+EL
0.560275,41.740993,10320.000000,39,0,64,1,Cho2017,TS+EL
0.536188,41.945808,10320.000000,40,0,64,1,Cho2017,TS+EL
0.819982,42.291790,10320.000000,41,0,64,1,Cho2017,TS+EL
0.581221,41.934525,10320.000000,42,0,64,1,Cho2017,TS+EL
0.894681,41.915260,10320.000000,43,0,64,1,Cho2017,TS+EL
0.640805,42.274788,10320.000000,44,0,64,1,Cho2017,TS+EL
0.598775,42.048462,10320.000000,45,0,64,1,Cho2017,TS+EL
0.654161,41.761345,10280.000000,46,0,64,1,Cho2017,TS+EL
0.610016,41.950409,10320.000000,47,0,64,1,Cho2017,TS+EL
0.710336,42.042175,10320.000000,48,0,64,1,Cho2017,TS+EL
0.629206,42.223362,10320.000000,49,0,64,1,Cho2017,TS+EL
0.481071,42.233177,10320.000000,50,0,64,1,Cho2017,TS+EL
0.475066,42.237961,10320.000000,51,0,64,1,Cho2017,TS+EL
0.416540,42.026173,10320.000000,52,0,64,1,Cho2017,TS+EL
