score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.683300,4.424862,10320.000000,1,0,14,1,Cho2017,TS+SVM
0.563300,4.483475,10320.000000,2,0,14,1,Cho2017,TS+SVM
0.656700,4.512804,10320.000000,3,0,14,1,Cho2017,TS+SVM
0.678700,4.410638,10320.000000,4,0,14,1,Cho2017,TS+SVM
0.637400,4.442396,10320.000000,5,0,14,1,Cho2017,TS+SVM
0.597300,4.422624,10320.000000,6,0,14,1,Cho2017,TS+SVM
0.561458,4.339826,10280.000000,7,0,14,1,Cho2017,TS+SVM
0.558100,4.380469,10320.000000,8,0,14,1,Cho2017,TS+SVM
0.665833,4.336106,10280.000000,9,0,14,1,Cho2017,TS+SVM
0.620800,4.347979,10320.000000,10,0,14,1,Cho2017,TS+SVM
0.605000,4.346977,10320.000000,11,0,14,1,Cho2017,TS+SVM
0.655100,4.396196,10320.000000,12,0,14,1,Cho2017,TS+SVM
0.451900,4.351221,10320.000000,13,0,14,1,Cho2017,TS+SVM
0.811300,4.412830,10320.000000,14,0,14,1,Cho2017,TS+SVM
0.572900,4.404922,10320.000000,15,0,14,1,Cho2017,TS+SVM
0.652000,4.390166,10320.000000,16,0,14,1,Cho2017,TS+SVM
0.473300,4.439584,10320.000000,17,0,14,1,Cho2017,TS+SVM
0.560800,4.381940,10320.000000,18,0,14,1,Cho2017,TS+SVM
0.641200,4.415755,10320.000000,19,0,14,1,Cho2017,TS+SVM
0.669800,4.450150,10320.000000,20,0,14,1,Cho2017,TS+SVM
0.686500,4.385877,10320.000000,21,0,14,1,Cho2017,TS+SVM
0.631600,4.388547,10320.000000,22,0,14,1,Cho2017,TS+SVM
0.658300,4.429986,10320.000000,23,0,14,1,Cho2017,TS+SVM
0.692900,4.402169,10320.000000,24,0,14,1,Cho2017,TS+SVM
0.621600,4.397566,10320.000000,25,0,14,1,Cho2017,TS+SVM
0.598600,4.386332,10320.000000,26,0,14,1,Cho2017,TS+SVM
0.512700,4.427505,10320.000000,27,0,14,1,Cho2017,TS+SVM
0.431000,4.420389,10320.000000,28,0,14,1,Cho2017,TS+SVM
0.515600,4.461305,10320.000000,29,0,14,1,Cho2017,TS+SVM
0.596600,4.427999,10320.000000,30,0,14,1,Cho2017,TS+SVM
0.666900,4.440541,10320.000000,31,0,14,1,Cho2017,TS+SVM
0.571100,4.416141,10320.000000,32,0,14,1,Cho2017,TS+SVM
0.506600,4.415659,10320.000000,33,0,14,1,Cho2017,TS+SVM
0.592700,4.492641,10320.000000,34,0,14,1,Cho2017,TS+SVM
0.437400,4.410747,10320.000000,35,0,14,1,Cho2017,TS+SVM
0.725400,4.431614,10320.000000,36,0,14,1,Cho2017,TS+SVM
0.544500,4.458634,10320.000000,37,0,14,1,Cho2017,TS+SVM
0.555000,4.380828,10320.000000,38,0,14,1,Cho2017,TS+SVM
0.605900,4.484011,10320.000000,39,0,14,1,Cho2017,TS+SVM
0.613000,4.436724,10320.000000,40,0,14,1,Cho2017,TS+SVM
0.696800,4.429302,10320.000000,41,0,14,1,Cho2017,TS+SVM
0.566700,4.399144,10320.000000,42,0,14,1,Cho2017,TS+SVM
0.928000,4.430990,10320.000000,43,0,14,1,Cho2017,TS+SVM
0.639100,4.398972,10320.000000,44,0,14,1,Cho2017,TS+SVM
0.523900,4.400746,10320.000000,45,0,14,1,Cho2017,TS+SVM
0.596875,4.361713,10280.000000,46,0,14,1,Cho2017,TS+SVM
0.624300,4.350724,10320.000000,47,0,14,1,Cho2017,TS+SVM
0.716600,4.388433,10320.000000,48,0,14,1,Cho2017,TS+SVM
0.619400,4.383040,10320.000000,49,0,14,1,Cho2017,TS+SVM
0.501000,4.378014,10320.000000,50,0,14,1,Cho2017,TS+SVM
0.534600,4.426228,10320.000000,51,0,14,1,Cho2017,TS+SVM
0.608300,4.419333,10320.000000,52,0,14,1,Cho2017,TS+SVM
0.703400,6.481037,10320.000000,1,0,14,1,Cho2017,CSP+LDA
0.558800,6.517955,10320.000000,2,0,14,1,Cho2017,CSP+LDA
0.603900,6.447929,10320.000000,3,0,14,1,Cho2017,CSP+LDA
0.700200,6.507793,10320.000000,4,0,14,1,Cho2017,CSP+LDA
0.640000,6.447301,10320.000000,5,0,14,1,Cho2017,CSP+LDA
0.535100,6.503637,10320.000000,6,0,14,1,Cho2017,CSP+LDA
0.523403,6.446903,10280.000000,7,0,14,1,Cho2017,CSP+LDA
0.572800,6.502875,10320.000000,8,0,14,1,Cho2017,CSP+LDA
0.650139,6.403571,10280.000000,9,0,14,1,Cho2017,CSP+LDA
0.622500,6.435250,10320.000000,10,0,14,1,Cho2017,CSP+LDA
