score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.637681,4.406984,10320.000000,1,0,14,1,Cho2017,TS+SVM
0.541435,4.419608,10320.000000,2,0,14,1,Cho2017,TS+SVM
0.592008,4.438414,10320.000000,3,0,14,1,Cho2017,TS+SVM
0.614990,4.431934,10320.000000,4,0,14,1,Cho2017,TS+SVM
0.557203,4.452438,10320.000000,5,0,14,1,Cho2017,TS+SVM
0.506229,4.467643,10320.000000,6,0,14,1,Cho2017,TS+SVM
0.530693,4.372514,10280.000000,7,0,14,1,Cho2017,TS+SVM
0.511706,4.426035,10320.000000,8,0,14,1,Cho2017,TS+SVM
0.627297,4.388930,10280.000000,9,0,14,1,Cho2017,TS+SVM
0.599960,4.374552,10320.000000,10,0,14,1,Cho2017,TS+SVM
0.577233,4.372848,10320.000000,11,0,14,1,Cho2017,TS+SVM
0.547860,4.429788,10320.000000,12,0,14,1,Cho2017,TS+SVM
0.352751,4.403764,10320.000000,13,0,14,1,Cho2017,TS+SVM
0.649830,4.443919,10320.000000,14,0,14,1,Cho2017,TS+SVM
0.410987,4.407690,10320.000000,15,0,14,1,Cho2017,TS+SVM
0.601403,4.410201,10320.000000,16,0,14,1,Cho2017,TS+SVM
0.451917,4.449104,10320.000000,17,0,14,1,Cho2017,TS+SVM
0.545455,4.408247,10320.000000,18,0,14,1,Cho2017,TS+SVM
0.571603,4.412215,10320.000000,19,0,14,1,Cho2017,TS+SVM
0.621483,4.437974,10320.000000,20,0,14,1,Cho2017,TS+SVM
0.619892,4.408093,10320.000000,21,0,14,1,Cho2017,TS+SVM
0.585030,4.414721,10320.000000,22,0,14,1,Cho2017,TS+SVM
0.618627,4.410227,10320.000000,23,0,14,1,Cho2017,TS+SVM
0.558351,4.399014,10320.000000,24,0,14,1,Cho2017,TS+SVM
0.574904,4.374884,10320.000000,25,0,14,1,Cho2017,TS+SVM
0.526543,4.385023,10320.000000,26,0,14,1,Cho2017,TS+SVM
0.385580,4.444180,10320.000000,27,0,14,1,Cho2017,TS+SVM
0.435764,4.418807,10320.000000,28,0,14,1,Cho2017,TS+SVM
0.527015,4.453522,10320.000000,29,0,14,1,Cho2017,TS+SVM
0.554900,4.422074,10320.000000,30,0,14,1,Cho2017,TS+SVM
0.543803,4.446297,10320.000000,31,0,14,1,Cho2017,TS+SVM
0.467948,4.422274,10320.000000,32,0,14,1,Cho2017,TS+SVM
0.524988,4.400054,10320.000000,33,0,14,1,Cho2017,TS+SVM
0.479873,4.483537,10320.000000,34,0,14,1,Cho2017,TS+SVM
0.480000,4.444648,10320.000000,35,0,14,1,Cho2017,TS+SVM
0.664925,4.431491,10320.000000,36,0,14,1,Cho2017,TS+SVM
0.539928,4.458109,10320.000000,37,0,14,1,Cho2017,TS+SVM
0.529412,4.396448,10320.000000,38,0,14,1,Cho2017,TS+SVM
0.435652,4.505462,10320.000000,39,0,14,1,Cho2017,TS+SVM
0.572596,4.442428,10320.000000,40,0,14,1,Cho2017,TS+SVM
0.587482,4.423696,10320.000000,41,0,14,1,Cho2017,TS+SVM
0.521920,4.403972,10320.000000,42,0,14,1,Cho2017,TS+SVM
0.844123,4.425479,10320.000000,43,0,14,1,Cho2017,TS+SVM
0.601023,4.398711,10320.000000,44,0,14,1,Cho2017,TS+SVM
0.518404,4.428141,10320.000000,45,0,14,1,Cho2017,TS+SVM
0.483081,4.389723,10280.000000,46,0,14,1,Cho2017,TS+SVM
0.602125,4.403096,10320.000000,47,0,14,1,Cho2017,TS+SVM
0.622065,4.424830,10320.000000,48,0,14,1,Cho2017,TS+SVM
0.545982,4.402046,10320.000000,49,0,14,1,Cho2017,TS+SVM
0.524036,4.397901,10320.000000,50,0,14,1,Cho2017,TS+SVM
0.518797,4.408273,10320.000000,51,0,14,1,Cho2017,TS+SVM
0.520604,4.405211,10320.000000,52,0,14,1,Cho2017,TS+SVM
0.603175,6.562496,10320.000000,1,0,14,1,Cho2017,CSP+LDA
0.380767,6.463554,10320.000000,2,0,14,1,Cho2017,CSP+LDA
0.376299,6.450199,10320.000000,3,0,14,1,Cho2017,CSP+LDA
0.633811,6.476440,10320.000000,4,0,14,1,Cho2017,CSP+LDA
0.547860,6.508751,10320.000000,5,0,14,1,Cho2017,CSP+LDA
0.498663,6.462211,10320.000000,6,0,14,1,Cho2017,CSP+LDA
0.537492,6.456624,10280.000000,7,0,14,1,Cho2017,CSP+LDA
0.342019,6.487347,10320.000000,8,0,14,1,Cho2017,CSP+LDA
0.608249,6.494422,10280.000000,9,0,14,1,Cho2017,CSP+LDA
0.599359,6.504479,10320.000000,10,0,14,1,Cho2017,CSP+LDA
0.581980,6.462560,10320.000000,11,0,14,1,Cho2017,CSP+LDA
0.339675,6.502237,10320.000000,12,0,14,1,Cho2017,CSP+LDA
0.453510,6.532124,10320.000000,13,0,14,1,Cho2017,CSP+LDA
0.532492,6.545812,10320.000000,14,0,14,1,Cho2017,CSP+LDA
0.403927,6.504438,10320.000000,15,0,14,1,Cho2017,CSP+LDA
0.360775,6.551514,10320.000000,16,0,14,1,Cho2017,CSP+LDA
0.401641,6.560556,10320.000000,17,0,14,1,Cho2017,CSP+LDA
0.556407,6.478880,10320.000000,18,0,14,1,Cho2017,CSP+LDA
0.368441,6.462840,10320.000000,19,0,14,1,Cho2017,CSP+LDA
0.618988,6.537780,10320.000000,20,0,14,1,Cho2017,CSP+LDA
0.533279,6.549520,10320.000000,21,0,14,1,Cho2017,CSP+LDA
