score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.689000,17.563932,10320.000000,1,0,30,1,Cho2017,TS+SVM
0.572900,16.788729,10320.000000,2,0,30,1,Cho2017,TS+SVM
0.883400,17.756689,10320.000000,3,0,30,1,Cho2017,TS+SVM
0.795600,17.601847,10320.000000,4,0,30,1,Cho2017,TS+SVM
0.666300,17.444733,10320.000000,5,0,30,1,Cho2017,TS+SVM
0.599400,17.675158,10320.000000,6,0,30,1,Cho2017,TS+SVM
0.503611,17.420534,10280.000000,7,0,30,1,Cho2017,TS+SVM
0.592900,17.818720,10320.000000,8,0,30,1,Cho2017,TS+SVM
0.709375,17.497810,10280.000000,9,0,30,1,Cho2017,TS+SVM
0.798800,17.788275,10320.000000,10,0,30,1,Cho2017,TS+SVM
0.644300,17.832653,10320.000000,11,0,30,1,Cho2017,TS+SVM
0.820400,17.733295,10320.000000,12,0,30,1,Cho2017,TS+SVM
0.512900,17.488081,10320.000000,13,0,30,1,Cho2017,TS+SVM
0.915900,18.080099,10320.000000,14,0,30,1,Cho2017,TS+SVM
0.705400,17.673838,10320.000000,15,0,30,1,Cho2017,TS+SVM
0.643400,17.760584,10320.000000,16,0,30,1,Cho2017,TS+SVM
0.496000,17.591721,10320.000000,17,0,30,1,Cho2017,TS+SVM
0.709900,17.913185,10320.000000,18,0,30,1,Cho2017,TS+SVM
0.732900,17.529589,10320.000000,19,0,30,1,Cho2017,TS+SVM
0.642600,18.080757,10320.000000,20,0,30,1,Cho2017,TS+SVM
0.783000,17.790499,10320.000000,21,0,30,1,Cho2017,TS+SVM
0.648400,17.387596,10320.000000,22,0,30,1,Cho2017,TS+SVM
0.835900,17.461924,10320.000000,23,0,30,1,Cho2017,TS+SVM
0.741900,17.593706,10320.000000,24,0,30,1,Cho2017,TS+SVM
0.675000,17.813623,10320.000000,25,0,30,1,Cho2017,TS+SVM
0.619100,17.776487,10320.000000,26,0,30,1,Cho2017,TS+SVM
0.666700,17.670713,10320.000000,27,0,30,1,Cho2017,TS+SVM
0.464800,17.484661,10320.000000,28,0,30,1,Cho2017,TS+SVM
0.547500,18.098099,10320.000000,29,0,30,1,Cho2017,TS+SVM
0.629600,17.791269,10320.000000,30,0,30,1,Cho2017,TS+SVM
0.712300,17.636284,10320.000000,31,0,30,1,Cho2017,TS+SVM
0.562900,17.856676,10320.000000,32,0,30,1,Cho2017,TS+SVM
0.573700,17.544474,10320.000000,33,0,30,1,Cho2017,TS+SVM
0.519100,17.651976,10320.000000,34,0,30,1,Cho2017,TS+SVM
0.557200,17.533195,10320.000000,35,0,30,1,Cho2017,TS+SVM
0.760400,17.483330,10320.000000,36,0,30,1,Cho2017,TS+SVM
0.547200,17.660957,10320.000000,37,0,30,1,Cho2017,TS+SVM
0.588300,17.706476,10320.000000,38,0,30,1,Cho2017,TS+SVM
0.687300,17.841969,10320.000000,39,0,30,1,Cho2017,TS+SVM
0.573900,17.469246,10320.000000,40,0,30,1,Cho2017,TS+SVM
0.901000,18.086102,10320.000000,41,0,30,1,Cho2017,TS+SVM
0.600300,17.675175,10320.000000,42,0,30,1,Cho2017,TS+SVM
0.982000,17.833004,10320.000000,43,0,30,1,Cho2017,TS+SVM
0.736800,17.936068,10320.000000,44,0,30,1,Cho2017,TS+SVM
0.656900,17.480560,10320.000000,45,0,30,1,Cho2017,TS+SVM
0.669722,17.439796,10280.000000,46,0,30,1,Cho2017,TS+SVM
0.650100,17.483984,10320.000000,47,0,30,1,Cho2017,TS+SVM
0.884100,17.919962,10320.000000,48,0,30,1,Cho2017,TS+SVM
0.709000,17.641453,10320.000000,49,0,30,1,Cho2017,TS+SVM
0.532000,17.276775,10320.000000,50,0,30,1,Cho2017,TS+SVM
0.616300,17.743050,10320.000000,51,0,30,1,Cho2017,TS+SVM
0.726900,17.736168,10320.000000,52,0,30,1,Cho2017,TS+SVM
0.701800,7.421349,10320.000000,1,0,30,1,Cho2017,TS+LR
0.565100,7.464887,10320.000000,2,0,30,1,Cho2017,TS+LR
0.886900,7.520149,10320.000000,3,0,30,1,Cho2017,TS+LR
0.815000,7.461417,10320.000000,4,0,30,1,Cho2017,TS+LR
0.669700,7.535658,10320.000000,5,0,30,1,Cho2017,TS+LR
0.606000,7.661173,10320.000000,6,0,30,1,Cho2017,TS+LR
0.507222,7.451216,10280.000000,7,0,30,1,Cho2017,TS+LR
0.607300,7.449792,10320.000000,8,0,30,1,Cho2017,TS+LR
0.717708,7.528562,10280.000000,9,0,30,1,Cho2017,TS+LR
0.800200,7.502450,10320.000000,10,0,30,1,Cho2017,TS+LR
0.638600,7.442077,10320.000000,11,0,30,1,Cho2017,TS+LR
0.810900,7.468375,10320.000000,12,0,30,1,Cho2017,TS+LR
0.504700,7.635488,10320.000000,13,0,30,1,Cho2017,TS+LR
0.928200,7.417234,10320.000000,14,0,30,1,Cho2017,TS+LR
0.701400,7.464126,10320.000000,15,0,30,1,Cho2017,TS+LR
0.639600,7.411079,10320.000000,16,0,30,1,Cho2017,TS+LR
0.505400,7.729027,10320.000000,17,0,30,1,Cho2017,TS+LR
0.724400,7.468614,10320.000000,18,0,30,1,Cho2017,TS+LR
0.732600,7.727186,10320.000000,19,0,30,1,Cho2017,TS+LR
0.650100,7.472301,10320.000000,20,0,30,1,Cho2017,TS+LR
0.793100,7.513807,10320.000000,21,0,30,1,Cho2017,TS+LR
0.653400,7.525783,10320.000000,22,0,30,1,Cho2017,TS+LR
0.842300,7.439399,10320.000000,23,0,30,1,Cho2017,TS+LR
0.749100,7.581906,10320.000000,24,0,30,1,Cho2017,TS+LR
0.679400,7.387970,10320.000000,25,0,30,1,Cho2017,TS+LR
0.630100,7.580883,10320.000000,26,0,30,1,Cho2017,TS+LR
0.672300,7.550251,10320.000000,27,0,30,1,Cho2017,TS+LR
0.468000,7.780013,10320.000000,28,0,30,1,Cho2017,TS+LR
0.541000,7.639863,10320.000000,29,0,30,1,Cho2017,TS+LR
0.638500,7.813893,10320.000000,30,0,30,1,Cho2017,TS+LR
0.701600,7.899187,10320.000000,31,0,30,1,Cho2017,TS+LR
0.571800,7.432024,10320.000000,32,0,30,1,Cho2017,TS+LR
0.574800,7.549364,10320.000000,33,0,30,1,Cho2017,TS+LR
0.524500,7.484761,10320.000000,34,0,30,1,Cho2017,TS+LR
0.573200,7.541372,10320.000000,35,0,30,1,Cho2017,TS+LR
0.762200,7.653392,10320.000000,36,0,30,1,Cho2017,TS+LR
0.549500,7.446048,10320.000000,37,0,30,1,Cho2017,TS+LR
0.585300,7.551918,10320.000000,38,0,30,1,Cho2017,TS+LR
0.691500,7.470299,10320.000000,39,0,30,1,Cho2017,TS+LR
0.569500,7.415473,10320.000000,40,0,30,1,Cho2017,TS+LR
0.901800,7.514077,10320.000000,41,0,30,1,Cho2017,TS+LR
0.602300,7.512183,10320.000000,42,0,30,1,Cho2017,TS+LR
0.983700,7.474980,10320.000000,43,0,30,1,Cho2017,TS+LR
0.737900,7.730696,10320.000000,44,0,30,1,Cho2017,TS+LR
0.657300,7.470182,10320.000000,45,0,30,1,Cho2017,TS+LR
0.685972,7.561861,10280.000000,46,0,30,1,Cho2017,TS+LR
0.647400,7.497306,10320.000000,47,0,30,1,Cho2017,TS+LR
0.882200,7.619095,10320.000000,48,0,30,1,Cho2017,TS+LR
0.706000,7.633799,10320.000000,49,0,30,1,Cho2017,TS+LR
0.544800,7.492953,10320.000000,50,0,30,1,Cho2017,TS+LR
0.617600,7.478079,10320.000000,51,0,30,1,Cho2017,TS+LR
0.725300,7.661156,10320.000000,52,0,30,1,Cho2017,TS+LR
0.793000,16.637722,10320.000000,1,0,30,1,Cho2017,CSP+SVM
0.534500,16.607811,10320.000000,2,0,30,1,Cho2017,CSP+SVM
0.869800,16.542303,10320.000000,3,0,30,1,Cho2017,CSP+SVM
0.807200,16.536329,10320.000000,4,0,30,1,Cho2017,CSP+SVM
0.588600,16.611822,10320.000000,5,0,30,1,Cho2017,CSP+SVM
0.539200,16.562449,10320.000000,6,0,30,1,Cho2017,CSP+SVM
0.521250,16.879665,10280.000000,7,0,30,1,Cho2017,CSP+SVM
