score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.654922,17.561726,10320.000000,1,0,30,1,Cho2017,TS+SVM
0.513307,17.142700,10320.000000,2,0,30,1,Cho2017,TS+SVM
0.780383,17.720680,10320.000000,3,0,30,1,Cho2017,TS+SVM
0.555556,17.477753,10320.000000,4,0,30,1,Cho2017,TS+SVM
0.464286,17.298397,10320.000000,5,0,30,1,Cho2017,TS+SVM
0.567501,17.452385,10320.000000,6,0,30,1,Cho2017,TS+SVM
0.516403,17.295921,10280.000000,7,0,30,1,Cho2017,TS+SVM
0.494505,17.576958,10320.000000,8,0,30,1,Cho2017,TS+SVM
0.592634,17.302027,10280.000000,9,0,30,1,Cho2017,TS+SVM
0.671181,17.709641,10320.000000,10,0,30,1,Cho2017,TS+SVM
0.513220,17.685120,10320.000000,11,0,30,1,Cho2017,TS+SVM
0.729309,17.659794,10320.000000,12,0,30,1,Cho2017,TS+SVM
0.543619,17.332047,10320.000000,13,0,30,1,Cho2017,TS+SVM
0.736036,17.907393,10320.000000,14,0,30,1,Cho2017,TS+SVM
0.551633,17.510130,10320.000000,15,0,30,1,Cho2017,TS+SVM
0.602203,17.622425,10320.000000,16,0,30,1,Cho2017,TS+SVM
0.466667,17.473471,10320.000000,17,0,30,1,Cho2017,TS+SVM
0.640000,17.756189,10320.000000,18,0,30,1,Cho2017,TS+SVM
0.646507,17.393610,10320.000000,19,0,30,1,Cho2017,TS+SVM
0.565936,17.802155,10320.000000,20,0,30,1,Cho2017,TS+SVM
0.673837,17.597496,10320.000000,21,0,30,1,Cho2017,TS+SVM
0.610000,17.242657,10320.000000,22,0,30,1,Cho2017,TS+SVM
0.699139,17.298737,10320.000000,23,0,30,1,Cho2017,TS+SVM
0.476190,17.350172,10320.000000,24,0,30,1,Cho2017,TS+SVM
0.561866,17.592615,10320.000000,25,0,30,1,Cho2017,TS+SVM
0.561573,17.537128,10320.000000,26,0,30,1,Cho2017,TS+SVM
0.640805,17.421797,10320.000000,27,0,30,1,Cho2017,TS+SVM
0.333333,17.224810,10320.000000,28,0,30,1,Cho2017,TS+SVM
0.567111,17.881758,10320.000000,29,0,30,1,Cho2017,TS+SVM
0.599840,17.665569,10320.000000,30,0,30,1,Cho2017,TS+SVM
0.396740,17.410461,10320.000000,31,0,30,1,Cho2017,TS+SVM
0.453690,17.648722,10320.000000,32,0,30,1,Cho2017,TS+SVM
0.554292,17.373884,10320.000000,33,0,30,1,Cho2017,TS+SVM
0.520737,17.410667,10320.000000,34,0,30,1,Cho2017,TS+SVM
0.522985,17.310085,10320.000000,35,0,30,1,Cho2017,TS+SVM
0.626070,17.284132,10320.000000,36,0,30,1,Cho2017,TS+SVM
0.525013,17.434151,10320.000000,37,0,30,1,Cho2017,TS+SVM
0.438809,17.499941,10320.000000,38,0,30,1,Cho2017,TS+SVM
0.632344,17.655853,10320.000000,39,0,30,1,Cho2017,TS+SVM
0.514799,17.267395,10320.000000,40,0,30,1,Cho2017,TS+SVM
0.824961,17.950846,10320.000000,41,0,30,1,Cho2017,TS+SVM
0.557833,17.579248,10320.000000,42,0,30,1,Cho2017,TS+SVM
0.884163,17.779343,10320.000000,43,0,30,1,Cho2017,TS+SVM
0.654776,17.817177,10320.000000,44,0,30,1,Cho2017,TS+SVM
0.453618,17.295834,10320.000000,45,0,30,1,Cho2017,TS+SVM
0.478304,17.219950,10280.000000,46,0,30,1,Cho2017,TS+SVM
0.608591,17.332291,10320.000000,47,0,30,1,Cho2017,TS+SVM
0.761270,17.795063,10320.000000,48,0,30,1,Cho2017,TS+SVM
0.632198,17.540697,10320.000000,49,0,30,1,Cho2017,TS+SVM
0.501979,17.116751,10320.000000,50,0,30,1,Cho2017,TS+SVM
0.591312,17.588676,10320.000000,51,0,30,1,Cho2017,TS+SVM
0.562984,17.521847,10320.000000,52,0,30,1,Cho2017,TS+SVM
0.654991,7.538459,10320.000000,1,0,30,1,Cho2017,TS+LR
0.513307,7.438390,10320.000000,2,0,30,1,Cho2017,TS+LR
0.763957,7.541361,10320.000000,3,0,30,1,Cho2017,TS+LR
0.566332,7.587968,10320.000000,4,0,30,1,Cho2017,TS+LR
0.429563,7.486805,10320.000000,5,0,30,1,Cho2017,TS+LR
0.555658,7.471013,10320.000000,6,0,30,1,Cho2017,TS+LR
0.498728,7.718073,10280.000000,7,0,30,1,Cho2017,TS+LR
0.490676,7.518203,10320.000000,8,0,30,1,Cho2017,TS+LR
