score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.791200,2.388769,10320.000000,1,0,5,1,Cho2017,CSP+SVM
0.523200,2.499635,10320.000000,2,0,5,1,Cho2017,CSP+SVM
0.665700,2.465315,10320.000000,3,0,5,1,Cho2017,CSP+SVM
0.646400,2.384127,10320.000000,4,0,5,1,Cho2017,CSP+SVM
0.598100,2.447378,10320.000000,5,0,5,1,Cho2017,CSP+SVM
0.527000,2.428730,10320.000000,6,0,5,1,Cho2017,CSP+SVM
0.505625,2.363889,10280.000000,7,0,5,1,Cho2017,CSP+SVM
0.541900,2.402533,10320.000000,8,0,5,1,Cho2017,CSP+SVM
0.560972,2.413527,10280.000000,9,0,5,1,Cho2017,CSP+SVM
0.629800,2.445610,10320.000000,10,0,5,1,Cho2017,CSP+SVM
0.558700,2.501145,10320.000000,11,0,5,1,Cho2017,CSP+SVM
0.501800,2.500187,10320.000000,12,0,5,1,Cho2017,CSP+SVM
0.465700,2.424320,10320.000000,13,0,5,1,Cho2017,CSP+SVM
0.667900,2.446612,10320.000000,14,0,5,1,Cho2017,CSP+SVM
0.539200,2.418323,10320.000000,15,0,5,1,Cho2017,CSP+SVM
0.564400,2.496368,10320.000000,16,0,5,1,Cho2017,CSP+SVM
0.497900,2.532236,10320.000000,17,0,5,1,Cho2017,CSP+SVM
0.677400,2.504481,10320.000000,18,0,5,1,Cho2017,CSP+SVM
0.496600,2.388503,10320.000000,19,0,5,1,Cho2017,CSP+SVM
0.645500,2.470180,10320.000000,20,0,5,1,Cho2017,CSP+SVM
0.611000,2.495250,10320.000000,21,0,5,1,Cho2017,CSP+SVM
0.630000,2.453139,10320.000000,22,0,5,1,Cho2017,CSP+SVM
0.576100,2.436931,10320.000000,23,0,5,1,Cho2017,CSP+SVM
0.616900,2.386838,10320.000000,24,0,5,1,Cho2017,CSP+SVM
0.581200,2.455763,10320.000000,25,0,5,1,Cho2017,CSP+SVM
0.622400,2.398928,10320.000000,26,0,5,1,Cho2017,CSP+SVM
0.490400,2.459290,10320.000000,27,0,5,1,Cho2017,CSP+SVM
0.438700,2.417417,10320.000000,28,0,5,1,Cho2017,CSP+SVM
0.551400,2.406650,10320.000000,29,0,5,1,Cho2017,CSP+SVM
0.499800,2.529039,10320.000000,30,0,5,1,Cho2017,CSP+SVM
0.494700,2.409089,10320.000000,31,0,5,1,Cho2017,CSP+SVM
0.541100,2.530706,10320.000000,32,0,5,1,Cho2017,CSP+SVM
0.502300,2.389783,10320.000000,33,0,5,1,Cho2017,CSP+SVM
0.476300,2.430523,10320.000000,34,0,5,1,Cho2017,CSP+SVM
0.493500,2.486750,10320.000000,35,0,5,1,Cho2017,CSP+SVM
0.651200,2.391488,10320.000000,36,0,5,1,Cho2017,CSP+SVM
0.569300,2.503916,10320.000000,37,0,5,1,Cho2017,CSP+SVM
0.557700,2.390115,10320.000000,38,0,5,1,Cho2017,CSP+SVM
0.597600,2.492927,10320.000000,39,0,5,1,Cho2017,CSP+SVM
0.555000,2.399251,10320.000000,40,0,5,1,Cho2017,CSP+SVM
0.619900,2.363317,10320.000000,41,0,5,1,Cho2017,CSP+SVM
0.479400,2.451573,10320.000000,42,0,5,1,Cho2017,CSP+SVM
0.682000,2.372648,10320.000000,43,0,5,1,Cho2017,CSP+SVM
0.615800,2.491164,10320.000000,44,0,5,1,Cho2017,CSP+SVM
0.574700,2.410269,10320.000000,45,0,5,1,Cho2017,CSP+SVM
0.534514,2.391316,10280.000000,46,0,5,1,Cho2017,CSP+SVM
0.603900,2.445866,10320.000000,47,0,5,1,Cho2017,CSP+SVM
0.580700,2.428783,10320.000000,48,0,5,1,Cho2017,CSP+SVM
0.641700,2.429789,10320.000000,49,0,5,1,Cho2017,CSP+SVM
0.484600,2.537491,10320.000000,50,0,5,1,Cho2017,CSP+SVM
0.591500,2.472126,10320.000000,51,0,5,1,Cho2017,CSP+SVM
0.541300,2.488315,10320.000000,52,0,5,1,Cho2017,CSP+SVM
0.794600,1.898609,10320.000000,1,0,5,1,Cho2017,CSP+LDA
0.526700,1.813121,10320.000000,2,0,5,1,Cho2017,CSP+LDA
0.679200,1.831292,10320.000000,3,0,5,1,Cho2017,CSP+LDA
0.627700,1.796660,10320.000000,4,0,5,1,Cho2017,CSP+LDA
0.596400,1.874372,10320.000000,5,0,5,1,Cho2017,CSP+LDA
0.539000,1.813083,10320.000000,6,0,5,1,Cho2017,CSP+LDA
0.503958,1.860144,10280.000000,7,0,5,1,Cho2017,CSP+LDA
0.548500,1.878300,10320.000000,8,0,5,1,Cho2017,CSP+LDA
0.569236,1.791403,10280.000000,9,0,5,1,Cho2017,CSP+LDA
0.635700,1.806578,10320.000000,10,0,5,1,Cho2017,CSP+LDA
0.562800,1.809537,10320.000000,11,0,5,1,Cho2017,CSP+LDA
0.481800,1.804836,10320.000000,12,0,5,1,Cho2017,CSP+LDA
0.448100,1.803825,10320.000000,13,0,5,1,Cho2017,CSP+LDA
0.658600,1.807776,10320.000000,14,0,5,1,Cho2017,CSP+LDA
0.525800,1.841156,10320.000000,15,0,5,1,Cho2017,CSP+LDA
0.573300,1.802427,10320.000000,16,0,5,1,Cho2017,CSP+LDA
0.503600,1.810152,10320.000000,17,0,5,1,Cho2017,CSP+LDA
0.674600,1.855698,10320.000000,18,0,5,1,Cho2017,CSP+LDA
0.485700,1.805885,10320.000000,19,0,5,1,Cho2017,CSP+LDA
0.652100,1.816905,10320.000000,20,0,5,1,Cho2017,CSP+LDA
0.621700,1.797005,10320.000000,21,0,5,1,Cho2017,CSP+LDA
0.642100,1.830767,10320.000000,22,0,5,1,Cho2017,CSP+LDA
0.574600,1.891483,10320.000000,23,0,5,1,Cho2017,CSP+LDA
0.621100,1.851772,10320.000000,24,0,5,1,Cho2017,CSP+LDA
0.597200,1.799555,10320.000000,25,0,5,1,Cho2017,CSP+LDA
0.619900,1.893639,10320.000000,26,0,5,1,Cho2017,CSP+LDA
0.492700,1.797849,10320.000000,27,0,5,1,Cho2017,CSP+LDA
0.423700,1.850418,10320.000000,28,0,5,1,Cho2017,CSP+LDA
0.562200,1.993011,10320.000000,29,0,5,1,Cho2017,CSP+LDA
0.492000,1.808777,10320.000000,30,0,5,1,Cho2017,CSP+LDA
0.493100,1.830592,10320.000000,31,0,5,1,Cho2017,CSP+LDA
0.552500,1.800659,10320.000000,32,0,5,1,Cho2017,CSP+LDA
0.504300,1.874096,10320.000000,33,0,5,1,Cho2017,CSP+LDA
0.481900,1.859215,10320.000000,34,0,5,1,Cho2017,CSP+LDA
0.490600,1.823207,10320.000000,35,0,5,1,Cho2017,CSP+LDA
0.646300,1.803204,10320.000000,36,0,5,1,Cho2017,CSP+LDA
0.579900,1.830672,10320.000000,37,0,5,1,Cho2017,CSP+LDA
0.552200,1.881066,10320.000000,38,0,5,1,Cho2017,CSP+LDA
0.592800,1.857517,10320.000000,39,0,5,1,Cho2017,CSP+LDA
0.556300,1.802547,10320.000000,40,0,5,1,Cho2017,CSP+LDA
0.625100,1.885197,10320.000000,41,0,5,1,Cho2017,CSP+LDA
0.478100,1.862805,10320.000000,42,0,5,1,Cho2017,CSP+LDA
0.694600,1.859106,10320.000000,43,0,5,1,Cho2017,CSP+LDA
